"address","lon","lat"
"805/ 1 Poplar St, Surry Hills NSW 2010",151.2125174,-33.8783863
"10- 14 Oxford Sq, Darlinghurst NSW 2010",151.2141856,-33.878065
"201 Victoria St, Potts Point NSW 2011",151.2220188,-33.873717
"Level 5/ 401 Sussex St, Haymarket NSW 1236",151.2043945,-33.8781932
"Unit 2 5 Springfield Ave, Potts Point NSW 2011",151.2234479,-33.8727007
"Suite 1/ 13 Springfield Ave, Kings Cross NSW 2011",151.223356,-33.873164
"Ground Floor 66 Oxford St, Darlinghurst NSW 2010",151.2149231,-33.8786875
"18 Macleay St, Potts Point NSW 2011",151.2258385,-33.8693231
"257 Palmer St, East Sydney NSW 2010",151.2159126,-33.8790322
"Shop 9 John Street Sq 55 Harris St, Pyrmont NSW 2009",151.1930738,-33.86759
"20 Roslyn St, Potts Point NSW 2011",151.2261858,-33.8745536
"328 Victoria St, Darlinghurst NSW 2010",151.2219086,-33.8772087
"352 Victoria St, Darlinghurst NSW 2010",151.2217124,-33.8779381
"249 Victoria St, Darlinghurst NSW 2010",151.221216,-33.8784748
"393 Bourke St, Darlinghurst NSW 2010",151.2163851,-33.8814452
"407 Bourke St, Darlinghurst NSW 2010",151.2162806,-33.8816657
"435 Bourke St, Darlinghurst NSW 2010",151.2162283,-33.8830751
"Lvl 1/ 18 Roslyn St, Elizabeth Bay NSW 2011",151.2262577,-33.8745397
"St Lukes Hsptl Hemsley House 20 Roslyn St, Potts Point NSW 2011",151.2256627,-33.8744141
"Department Of Rehabilitation At St Vincent's Hospital 170 Darlinghurst Rd, Darlinghurst NSW 2010",151.2207522,-33.8805454
"11 Little West St, Darlinghurst NSW 2010",151.2230178,-33.8778368
"376 Victoria St, Darlinghurst NSW 2010",151.2215503,-33.8789609
"Level 5 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"St Vincent's Clinic, Suite 1005 Level 10, 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"Suite 805 Lvl 8. 438 Victoria, Darlinghurst NSW 2010",151.2194827,-33.8808271
"Level 6 Suite 601 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"St Vincent's Clinic, Darlinghurst NSW 2010",151.219344,-33.8811589
"Suite 405, Level 4 St Vincents Clinic, 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
