,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Angourie,106.0,3.0,16.0,6.0,54.0,57.3,1.6,8.6,3.2,29.2,10059
Brooms Head,106.0,8.0,26.0,16.0,39.0,54.4,4.1,13.3,8.2,20.0,10603
Wooloweyah,155.0,6.0,53.0,9.0,126.0,44.4,1.7,15.2,2.6,36.1,14411
Woombah,383.0,44.0,93.0,47.0,183.0,51.1,5.9,12.4,6.3,24.4,14414
Maclean,996.0,90.0,277.0,311.0,637.0,43.1,3.9,12.0,13.5,27.6,12431
Iluka (NSW),778.0,72.0,225.0,159.0,293.0,50.9,4.7,14.7,10.4,19.2,11975
Harwood,95.0,9.0,28.0,16.0,104.0,37.7,3.6,11.1,6.3,41.3,11865
Chatsworth (NSW),71.0,4.0,11.0,13.0,34.0,53.4,3.0,8.3,9.8,25.6,10894
Townsend,338.0,36.0,81.0,47.0,208.0,47.6,5.1,11.4,6.6,29.3,13928
Palmers Channel,67.0,7.0,11.0,3.0,15.0,65.0,6.8,10.7,2.9,14.6,13135
James Creek,122.0,6.0,6.0,3.0,48.0,65.9,3.2,3.2,1.6,25.9,11999
Palmers Island,212.0,10.0,41.0,26.0,100.0,54.5,2.6,10.5,6.7,25.7,13136
Bellingen,1181.0,132.0,429.0,186.0,988.0,40.5,4.5,14.7,6.4,33.9,10273
Brierfield,128.0,0.0,27.0,10.0,88.0,50.6,0.0,10.7,4.0,34.8,10568
Fernmount,148.0,19.0,28.0,16.0,85.0,50.0,6.4,9.5,5.4,28.7,11509
Darkwood,43.0,3.0,30.0,13.0,49.0,31.2,2.2,21.7,9.4,35.5,11210
Thora,131.0,11.0,24.0,9.0,91.0,49.2,4.1,9.0,3.4,34.2,13849
Gleniffer,159.0,6.0,40.0,18.0,102.0,48.9,1.8,12.3,5.5,31.4,11668
Valery,48.0,3.0,22.0,0.0,30.0,46.6,2.9,21.4,0.0,29.1,14066
Kalang,110.0,0.0,30.0,0.0,77.0,50.7,0.0,13.8,0.0,35.5,12050
Coffs Harbour,8642.0,972.0,2708.0,1652.0,7294.0,40.6,4.6,12.7,7.8,34.3,10959
North Boambee Valley,844.0,55.0,157.0,255.0,351.0,50.8,3.3,9.4,15.3,21.1,12983
Coramba,323.0,28.0,67.0,28.0,226.0,48.1,4.2,10.0,4.2,33.6,11065
Nana Glen,432.0,33.0,93.0,27.0,263.0,50.9,3.9,11.0,3.2,31.0,12889
Upper Orara,383.0,20.0,59.0,17.0,183.0,57.9,3.0,8.9,2.6,27.6,14041
Bucca (NSW),242.0,19.0,32.0,13.0,135.0,54.9,4.3,7.3,2.9,30.6,10625
Karangi,263.0,16.0,43.0,17.0,123.0,56.9,3.5,9.3,3.7,26.6,12072
Megan,73.0,0.0,11.0,6.0,44.0,54.5,0.0,8.2,4.5,32.8,12558
Ulong,67.0,9.0,23.0,11.0,72.0,36.8,4.9,12.6,6.0,39.6,14005
Lowanna,89.0,23.0,49.0,19.0,122.0,29.5,7.6,16.2,6.3,40.4,12398
Dorrigo,455.0,34.0,143.0,111.0,295.0,43.8,3.3,13.8,10.7,28.4,11278
Deer Vale,38.0,3.0,16.0,0.0,50.0,35.5,2.8,15.0,0.0,46.7,11232
Fernbrook,46.0,0.0,21.0,4.0,29.0,46.0,0.0,21.0,4.0,29.0,11506
Hernani,65.0,0.0,0.0,0.0,24.0,73.0,0.0,0.0,0.0,27.0,11896
Bostobrick,53.0,3.0,11.0,3.0,38.0,49.1,2.8,10.2,2.8,35.2,10516
North Dorrigo,87.0,3.0,19.0,10.0,49.0,51.8,1.8,11.3,6.0,29.2,12989
Sapphire Beach,976.0,76.0,193.0,71.0,376.0,57.7,4.5,11.4,4.2,22.2,13491
Emerald Beach,893.0,76.0,202.0,67.0,520.0,50.8,4.3,11.5,3.8,29.6,11411
Korora,1141.0,68.0,218.0,85.0,501.0,56.7,3.4,10.8,4.2,24.9,12197
Moonee Beach,864.0,42.0,120.0,51.0,406.0,58.3,2.8,8.1,3.4,27.4,12703
Toormina,2057.0,231.0,653.0,478.0,1624.0,40.8,4.6,12.9,9.5,32.2,13912
Boambee East,2053.0,166.0,457.0,217.0,1296.0,49.0,4.0,10.9,5.2,30.9,10422
Boambee,807.0,31.0,114.0,60.0,355.0,59.0,2.3,8.3,4.4,26.0,10421
Sawtell,1462.0,138.0,381.0,206.0,883.0,47.6,4.5,12.4,6.7,28.8,13498
Bonville,1215.0,41.0,164.0,93.0,560.0,58.6,2.0,7.9,4.5,27.0,10474
Bundagen,22.0,6.0,15.0,3.0,72.0,18.6,5.1,12.7,2.5,61.0,10669
Mylestom,136.0,14.0,34.0,32.0,86.0,45.0,4.6,11.3,10.6,28.5,12875
Raleigh,268.0,10.0,50.0,57.0,167.0,48.6,1.8,9.1,10.3,30.3,13307
Urunga,1208.0,125.0,348.0,223.0,709.0,46.2,4.8,13.3,8.5,27.1,14061
Repton,264.0,19.0,75.0,15.0,142.0,51.3,3.7,14.6,2.9,27.6,13352
Valla,382.0,26.0,60.0,40.0,254.0,50.1,3.4,7.9,5.2,33.3,14067
Woolgoolga,2219.0,212.0,454.0,385.0,1199.0,49.7,4.7,10.2,8.6,26.8,14402
Safety Beach (NSW),485.0,16.0,71.0,28.0,167.0,63.2,2.1,9.3,3.7,21.8,13462
Sandy Beach,820.0,81.0,184.0,75.0,632.0,45.8,4.5,10.3,4.2,35.3,13479
Upper Corindi,72.0,10.0,9.0,6.0,39.0,52.9,7.4,6.6,4.4,28.7,14020
Corindi Beach,647.0,37.0,122.0,49.0,452.0,49.5,2.8,9.3,3.7,34.6,11073
Red Rock,148.0,14.0,43.0,27.0,116.0,42.5,4.0,12.4,7.8,33.3,13334
Arrawarra,249.0,20.0,95.0,57.0,70.0,50.7,4.1,19.3,11.6,14.3,10088
Arrawarra Headland,219.0,16.0,57.0,21.0,143.0,48.0,3.5,12.5,4.6,31.4,10089
Mullaway,213.0,21.0,37.0,11.0,155.0,48.7,4.8,8.5,2.5,35.5,12822
Bourke,494.0,53.0,91.0,93.0,740.0,33.6,3.6,6.2,6.3,50.3,10522
Wanaaring,51.0,0.0,13.0,3.0,32.0,51.5,0.0,13.1,3.0,32.3,14126
North Bourke,125.0,6.0,4.0,18.0,63.0,57.9,2.8,1.9,8.3,29.2,12985
Enngonia,40.0,0.0,0.0,3.0,68.0,36.0,0.0,0.0,2.7,61.3,11426
Brewarrina,190.0,24.0,42.0,52.0,558.0,21.9,2.8,4.8,6.0,64.4,10563
Cobar,1408.0,133.0,271.0,191.0,1100.0,45.4,4.3,8.7,6.2,35.4,10949
Coonamble,843.0,84.0,153.0,180.0,920.0,38.7,3.9,7.0,8.3,42.2,11044
Gulargambone,181.0,13.0,42.0,51.0,196.0,37.5,2.7,8.7,10.6,40.6,11792
Quambone,57.0,3.0,12.0,0.0,55.0,44.9,2.4,9.4,0.0,43.3,13287
Nyngan,755.0,69.0,104.0,164.0,622.0,44.0,4.0,6.1,9.6,36.3,13049
Nevertire,96.0,3.0,3.0,8.0,33.0,67.1,2.1,2.1,5.6,23.1,12936
Warren,519.0,47.0,73.0,81.0,370.0,47.6,4.3,6.7,7.4,33.9,14171
Hermidale,63.0,5.0,6.0,3.0,30.0,58.9,4.7,5.6,2.8,28.0,11894
Ravenswood (NSW),153.0,18.0,29.0,54.0,169.0,36.2,4.3,6.9,12.8,40.0,13321
Cumborah,86.0,21.0,31.0,15.0,57.0,41.0,10.0,14.8,7.1,27.1,11158
Goodooga,42.0,3.0,7.0,7.0,130.0,22.2,1.6,3.7,3.7,68.8,11702
Carinda,60.0,3.0,10.0,7.0,49.0,46.5,2.3,7.8,5.4,38.0,10814
Pilliga,67.0,0.0,16.0,17.0,61.0,41.6,0.0,9.9,10.6,37.9,13205
Come By Chance,54.0,0.0,9.0,7.0,29.0,54.5,0.0,9.1,7.1,29.3,10993
Walgett,500.0,45.0,115.0,95.0,859.0,31.0,2.8,7.1,5.9,53.2,14096
Burren Junction,115.0,17.0,16.0,11.0,54.0,54.0,8.0,7.5,5.2,25.4,10710
Lightning Ridge,598.0,100.0,311.0,150.0,784.0,30.8,5.1,16.0,7.7,40.3,12320
Collarenebri,201.0,31.0,39.0,21.0,211.0,40.0,6.2,7.8,4.2,41.9,10969
Rowena,89.0,0.0,3.0,3.0,52.0,60.5,0.0,2.0,2.0,35.4,13431
Broken Hill,6139.0,627.0,1610.0,1241.0,5225.0,41.4,4.2,10.8,8.4,35.2,10592
White Cliffs,52.0,3.0,22.0,9.0,34.0,43.3,2.5,18.3,7.5,28.3,14274
Menindee,158.0,26.0,50.0,15.0,206.0,34.7,5.7,11.0,3.3,45.3,12571
Wilcannia,144.0,19.0,36.0,32.0,363.0,24.2,3.2,6.1,5.4,61.1,14290
Tibooburra,57.0,7.0,14.0,6.0,43.0,44.9,5.5,11.0,4.7,33.9,13860
Pooncarie,76.0,7.0,21.0,3.0,40.0,51.7,4.8,14.3,2.0,27.2,13242
Ivanhoe (NSW),129.0,17.0,16.0,12.0,109.0,45.6,6.0,5.7,4.2,38.5,11991
Baradine,267.0,29.0,77.0,59.0,194.0,42.7,4.6,12.3,9.4,31.0,10190
Coonabarabran,1249.0,124.0,245.0,270.0,794.0,46.6,4.6,9.1,10.1,29.6,11043
Binnaway,223.0,19.0,92.0,41.0,157.0,41.9,3.6,17.3,7.7,29.5,10372
Mendooran,216.0,23.0,72.0,22.0,115.0,48.2,5.1,16.1,4.9,25.7,12570
Coolah,546.0,42.0,102.0,61.0,279.0,53.0,4.1,9.9,5.9,27.1,11024
Bugaldie,64.0,3.0,20.0,6.0,29.0,52.5,2.5,16.4,4.9,23.8,10646
Ulamambri,113.0,9.0,16.0,3.0,33.0,64.9,5.2,9.2,1.7,19.0,14001
Tambar Springs,64.0,4.0,21.0,16.0,56.0,39.8,2.5,13.0,9.9,34.8,13743
Merrygoen,62.0,0.0,4.0,7.0,30.0,60.2,0.0,3.9,6.8,29.1,12587
Dubbo,14153.0,1141.0,2626.0,1842.0,10921.0,46.1,3.7,8.6,6.0,35.6,11296
Terramungamine,122.0,0.0,21.0,5.0,59.0,58.9,0.0,10.1,2.4,28.5,13801
Brocklehurst,171.0,9.0,18.0,12.0,70.0,61.1,3.2,6.4,4.3,25.0,10583
Wongarbon,312.0,18.0,41.0,21.0,169.0,55.6,3.2,7.3,3.7,30.1,14373
Elong Elong,51.0,8.0,17.0,8.0,23.0,47.7,7.5,15.9,7.5,21.5,11406
Gollan,67.0,0.0,6.0,3.0,16.0,72.8,0.0,6.5,3.3,17.4,11694
Eumungerie,126.0,18.0,35.0,16.0,82.0,45.5,6.5,12.6,5.8,29.6,11456
Minore,68.0,0.0,17.0,9.0,32.0,54.0,0.0,13.5,7.1,25.4,12641
Ballimore,72.0,8.0,22.0,7.0,42.0,47.7,5.3,14.6,4.6,27.8,10161
Gilgandra,1146.0,97.0,212.0,235.0,857.0,45.0,3.8,8.3,9.2,33.6,11619
Collie (NSW),94.0,3.0,0.0,6.0,50.0,61.4,2.0,0.0,3.9,32.7,10975
Armatree,62.0,3.0,7.0,0.0,29.0,61.4,3.0,6.9,0.0,28.7,10084
Curban,77.0,0.0,3.0,4.0,19.0,74.8,0.0,2.9,3.9,18.4,11166
Tooraweenah,111.0,6.0,13.0,4.0,52.0,59.7,3.2,7.0,2.2,28.0,13911
Narromine,1734.0,141.0,300.0,305.0,1161.0,47.6,3.9,8.2,8.4,31.9,12911
Burroway,70.0,0.0,3.0,7.0,15.0,73.7,0.0,3.2,7.4,15.8,10715
Trangie,426.0,46.0,77.0,101.0,329.0,43.5,4.7,7.9,10.3,33.6,13932
Tomingley,128.0,10.0,35.0,12.0,65.0,51.2,4.0,14.0,4.8,26.0,13896
Wellington (NSW),1089.0,162.0,341.0,363.0,1346.0,33.0,4.9,10.3,11.0,40.8,14221
Mumbil,95.0,19.0,25.0,17.0,72.0,41.7,8.3,11.0,7.5,31.6,12832
Stuart Town,95.0,13.0,11.0,17.0,65.0,47.3,6.5,5.5,8.5,32.3,13680
Euchareena,88.0,3.0,10.0,14.0,35.0,58.7,2.0,6.7,9.3,23.3,11452
Neurea,63.0,0.0,4.0,0.0,42.0,57.8,0.0,3.7,0.0,38.5,12933
Mount Arthur,75.0,3.0,10.0,3.0,46.0,54.7,2.2,7.3,2.2,33.6,12747
Maryvale (NSW),88.0,6.0,13.0,10.0,41.0,55.7,3.8,8.2,6.3,25.9,12517
Geurie,301.0,31.0,50.0,37.0,168.0,51.3,5.3,8.5,6.3,28.6,11608
Montefiores,260.0,9.0,34.0,23.0,124.0,57.8,2.0,7.6,5.1,27.6,12685
Greta (NSW),992.0,75.0,204.0,71.0,771.0,46.9,3.5,9.7,3.4,36.5,11778
Lower Belford,179.0,6.0,27.0,16.0,92.0,55.9,1.9,8.4,5.0,28.8,12401
Belford,71.0,3.0,9.0,3.0,52.0,51.4,2.2,6.5,2.2,37.7,10258
Branxton,859.0,62.0,94.0,78.0,458.0,55.4,4.0,6.1,5.0,29.5,10549
Pokolbin,603.0,10.0,47.0,22.0,157.0,71.9,1.2,5.6,2.6,18.7,13236
Keinbah,52.0,4.0,9.0,3.0,27.0,54.7,4.2,9.5,3.2,28.4,12084
Lovedale,257.0,5.0,32.0,16.0,88.0,64.6,1.3,8.0,4.0,22.1,12396
East Branxton,643.0,65.0,125.0,38.0,463.0,48.2,4.9,9.4,2.8,34.7,11346
North Rothbury,322.0,19.0,71.0,22.0,214.0,49.7,2.9,11.0,3.4,33.0,13004
Leconfield,64.0,3.0,11.0,3.0,27.0,59.3,2.8,10.2,2.8,25.0,12291
Cessnock,4759.0,577.0,1262.0,1024.0,4678.0,38.7,4.7,10.3,8.3,38.0,10878
Nulkaba,336.0,17.0,37.0,25.0,141.0,60.4,3.1,6.7,4.5,25.4,13031
Aberdare,747.0,99.0,229.0,107.0,765.0,38.4,5.1,11.8,5.5,39.3,10006
Kearsley,295.0,28.0,56.0,28.0,237.0,45.8,4.3,8.7,4.3,36.8,12080
Bellbird,733.0,66.0,140.0,70.0,564.0,46.6,4.2,8.9,4.5,35.9,10268
Bellbird Heights,320.0,27.0,49.0,33.0,205.0,50.5,4.3,7.7,5.2,32.3,10269
Ellalong,405.0,42.0,96.0,33.0,290.0,46.8,4.8,11.1,3.8,33.5,11398
Kitchener,187.0,15.0,24.0,27.0,127.0,49.2,3.9,6.3,7.1,33.4,12174
Abernethy,131.0,10.0,11.0,7.0,93.0,52.0,4.0,4.4,2.8,36.9,10011
Mulbring,276.0,6.0,35.0,19.0,135.0,58.6,1.3,7.4,4.0,28.7,12813
Buchanan (NSW),81.0,11.0,12.0,3.0,55.0,50.0,6.8,7.4,1.9,34.0,10628
Millfield,377.0,41.0,83.0,29.0,245.0,48.6,5.3,10.7,3.7,31.6,12620
Paxton,340.0,34.0,73.0,54.0,232.0,46.4,4.6,10.0,7.4,31.7,13162
Black Hill (NSW),288.0,4.0,28.0,17.0,118.0,63.3,0.9,6.2,3.7,25.9,10385
Mount Vincent,160.0,15.0,39.0,9.0,80.0,52.8,5.0,12.9,3.0,26.4,12799
Brunkerville,101.0,3.0,4.0,10.0,54.0,58.7,1.7,2.3,5.8,31.4,10620
Quorrobolong,250.0,6.0,36.0,16.0,127.0,57.5,1.4,8.3,3.7,29.2,13302
Congewai,85.0,3.0,26.0,8.0,38.0,53.1,1.9,16.2,5.0,23.8,11007
Mount View,68.0,3.0,13.0,4.0,21.0,62.4,2.8,11.9,3.7,19.3,12798
Paynes Crossing,56.0,0.0,11.0,3.0,24.0,59.6,0.0,11.7,3.2,25.5,13163
Laguna,90.0,11.0,28.0,4.0,45.0,50.6,6.2,15.7,2.2,25.3,12237
Wollombi,96.0,0.0,34.0,6.0,26.0,59.3,0.0,21.0,3.7,16.0,14355
Watagan,35.0,3.0,19.0,6.0,39.0,34.3,2.9,18.6,5.9,38.2,14180
Murrays Run,71.0,7.0,23.0,4.0,31.0,52.2,5.1,16.9,2.9,22.8,12855
Bucketty,77.0,3.0,24.0,7.0,33.0,53.5,2.1,16.7,4.9,22.9,10634
Clarence Town,916.0,36.0,147.0,54.0,455.0,57.0,2.2,9.1,3.4,28.3,10920
Dungog,811.0,54.0,172.0,183.0,467.0,48.1,3.2,10.2,10.8,27.7,11320
Bendolba,81.0,3.0,20.0,10.0,45.0,50.9,1.9,12.6,6.3,28.3,10291
Paterson (NSW),392.0,19.0,62.0,25.0,202.0,56.0,2.7,8.9,3.6,28.9,13159
Martins Creek,162.0,4.0,30.0,20.0,91.0,52.8,1.3,9.8,6.5,29.6,12511
Torryburn (Dungog - NSW),71.0,7.0,13.0,7.0,27.0,56.8,5.6,10.4,5.6,21.6,13920
Vacy,290.0,3.0,41.0,17.0,130.0,60.3,0.6,8.5,3.5,27.0,14063
East Gresford,106.0,12.0,16.0,11.0,88.0,45.5,5.2,6.9,4.7,37.8,11350
Gresford,108.0,10.0,19.0,16.0,46.0,54.3,5.0,9.5,8.0,23.1,11777
Glen Martin,83.0,3.0,7.0,3.0,39.0,61.5,2.2,5.2,2.2,28.9,11650
Wallarobba,87.0,3.0,8.0,8.0,43.0,58.4,2.0,5.4,5.4,28.9,14111
Hilldale,80.0,9.0,16.0,6.0,56.0,47.9,5.4,9.6,3.6,33.5,11906
Glen Oak,163.0,10.0,14.0,8.0,86.0,58.0,3.6,5.0,2.8,30.6,11652
Glen William,51.0,10.0,20.0,4.0,22.0,47.7,9.3,18.7,3.7,20.6,11654
Brookfield (NSW),106.0,7.0,20.0,5.0,46.0,57.6,3.8,10.9,2.7,25.0,10596
Abermain,826.0,95.0,175.0,104.0,674.0,44.1,5.1,9.3,5.5,36.0,10010
Weston (NSW),1241.0,122.0,313.0,166.0,1022.0,43.3,4.3,10.9,5.8,35.7,14262
Kurri Kurri,1879.0,250.0,568.0,426.0,1842.0,37.8,5.0,11.4,8.6,37.1,12221
Stanford Merthyr,193.0,16.0,49.0,38.0,151.0,43.2,3.6,11.0,8.5,33.8,13647
Pelaw Main,357.0,27.0,88.0,36.0,313.0,43.5,3.3,10.7,4.4,38.1,13177
Heddon Greta,873.0,50.0,118.0,44.0,524.0,54.3,3.1,7.3,2.7,32.6,11888
Neath,160.0,31.0,64.0,55.0,104.0,38.6,7.5,15.5,13.3,25.1,12917
Cliftleigh,205.0,39.0,47.0,19.0,267.0,35.5,6.8,8.1,3.3,46.3,10932
Sawyers Gully,211.0,11.0,40.0,18.0,131.0,51.3,2.7,9.7,4.4,31.9,13499
Hunterview,1182.0,66.0,145.0,55.0,740.0,54.0,3.0,6.6,2.5,33.8,11955
Redbournberry,117.0,0.0,16.0,0.0,54.0,62.6,0.0,8.6,0.0,28.9,13337
Singleton (NSW),1706.0,177.0,425.0,326.0,1467.0,41.6,4.3,10.4,7.9,35.8,13549
Whittingham,175.0,9.0,29.0,15.0,70.0,58.7,3.0,9.7,5.0,23.5,14279
Gowrie (Singleton - NSW),160.0,0.0,7.0,10.0,68.0,65.3,0.0,2.9,4.1,27.8,11729
Glenridding,90.0,4.0,20.0,16.0,89.0,41.1,1.8,9.1,7.3,40.6,11676
Singleton Heights,1620.0,134.0,307.0,184.0,1346.0,45.1,3.7,8.5,5.1,37.5,13550
Wattle Ponds,534.0,8.0,39.0,24.0,212.0,65.4,1.0,4.8,2.9,25.9,14193
McDougalls Hill,65.0,0.0,9.0,4.0,39.0,55.6,0.0,7.7,3.4,33.3,12541
Darlington (Singleton - NSW),145.0,7.0,30.0,8.0,120.0,46.8,2.3,9.7,2.6,38.7,11213
Broke (NSW),243.0,24.0,34.0,16.0,121.0,55.5,5.5,7.8,3.7,27.6,10590
Putty,65.0,11.0,14.0,9.0,34.0,48.9,8.3,10.5,6.8,25.6,13279
Howes Valley,58.0,9.0,11.0,0.0,28.0,54.7,8.5,10.4,0.0,26.4,11948
Bulga (NSW),177.0,9.0,11.0,3.0,85.0,62.1,3.2,3.9,1.1,29.8,10651
Jerrys Plains,159.0,19.0,15.0,7.0,99.0,53.2,6.4,5.0,2.3,33.1,12021
Maison Dieu,78.0,0.0,6.0,5.0,60.0,52.3,0.0,4.0,3.4,40.3,12448
Bridgman,87.0,3.0,7.0,4.0,49.0,58.0,2.0,4.7,2.7,32.7,10567
Mount Olive (Singleton - NSW),83.0,0.0,8.0,3.0,26.0,69.2,0.0,6.7,2.5,21.7,12781
Westbrook (NSW),76.0,0.0,3.0,0.0,38.0,65.0,0.0,2.6,0.0,32.5,14257
Reedy Creek (NSW),93.0,0.0,3.0,7.0,45.0,62.8,0.0,2.0,4.7,30.4,13342
Sedgefield,86.0,3.0,11.0,3.0,35.0,62.3,2.2,8.0,2.2,25.4,13514
Mitchells Flat,88.0,0.0,15.0,3.0,47.0,57.5,0.0,9.8,2.0,30.7,12651
Glendon,55.0,0.0,6.0,3.0,27.0,60.4,0.0,6.6,3.3,29.7,11660
Elderslie (Singleton - NSW),63.0,3.0,15.0,3.0,26.0,57.3,2.7,13.6,2.7,23.6,11392
Lambs Valley (Singleton - NSW),181.0,4.0,28.0,8.0,71.0,62.0,1.4,9.6,2.7,24.3,12263
Stanhope (NSW),79.0,0.0,6.0,3.0,32.0,65.8,0.0,5.0,2.5,26.7,13648
Glendon Brook,123.0,6.0,12.0,11.0,48.0,61.5,3.0,6.0,5.5,24.0,11661
Maitland (NSW),540.0,72.0,213.0,153.0,638.0,33.4,4.5,13.2,9.5,39.5,12449
South Maitland,127.0,33.0,52.0,24.0,171.0,31.2,8.1,12.8,5.9,42.0,13591
Gillieston Heights,1091.0,106.0,212.0,92.0,843.0,46.5,4.5,9.0,3.9,36.0,11624
Louth Park,314.0,10.0,25.0,8.0,146.0,62.4,2.0,5.0,1.6,29.0,12395
Horseshoe Bend,115.0,18.0,47.0,13.0,125.0,36.2,5.7,14.8,4.1,39.3,11939
Oakhampton,81.0,3.0,11.0,36.0,37.0,48.2,1.8,6.5,21.4,22.0,13056
East Maitland,4299.0,354.0,1019.0,730.0,3267.0,44.5,3.7,10.5,7.5,33.8,11360
Metford,1644.0,141.0,393.0,131.0,1324.0,45.3,3.9,10.8,3.6,36.4,12592
Tenambit,1061.0,91.0,229.0,137.0,809.0,45.6,3.9,9.8,5.9,34.8,13787
Raworth,797.0,49.0,82.0,20.0,367.0,60.6,3.7,6.2,1.5,27.9,13325
Morpeth,605.0,51.0,126.0,114.0,280.0,51.4,4.3,10.7,9.7,23.8,12727
Ashtonfield,2107.0,99.0,251.0,126.0,940.0,59.8,2.8,7.1,3.6,26.7,10102
Chisholm (NSW),691.0,26.0,61.0,14.0,288.0,64.0,2.4,5.6,1.3,26.7,10909
Largs,833.0,29.0,99.0,101.0,403.0,56.9,2.0,6.8,6.9,27.5,12278
Bolwarra Heights,1372.0,57.0,146.0,79.0,587.0,61.2,2.5,6.5,3.5,26.2,10451
Lorn,571.0,43.0,102.0,64.0,289.0,53.4,4.0,9.5,6.0,27.0,12389
Bolwarra (NSW),492.0,26.0,63.0,33.0,197.0,60.7,3.2,7.8,4.1,24.3,10450
Woodville (NSW),197.0,18.0,32.0,25.0,90.0,54.4,5.0,8.8,6.9,24.9,14398
Maitland Vale,60.0,4.0,14.0,0.0,25.0,58.3,3.9,13.6,0.0,24.3,12451
Rutherford,3892.0,392.0,880.0,561.0,3410.0,42.6,4.3,9.6,6.1,37.3,13449
Aberglasslyn,2066.0,157.0,259.0,78.0,1387.0,52.3,4.0,6.6,2.0,35.1,10009
Luskintyre,93.0,6.0,7.0,0.0,42.0,62.8,4.1,4.7,0.0,28.4,12423
Lochinvar,367.0,20.0,41.0,28.0,209.0,55.2,3.0,6.2,4.2,31.4,12368
Windella,364.0,10.0,23.0,14.0,169.0,62.8,1.7,4.0,2.4,29.1,14317
Telarah,699.0,77.0,214.0,125.0,742.0,37.6,4.1,11.5,6.7,40.0,13780
Farley,95.0,6.0,19.0,7.0,61.0,50.5,3.2,10.1,3.7,32.4,11490
Bishops Bridge,107.0,12.0,20.0,8.0,50.0,54.3,6.1,10.2,4.1,25.4,10380
Thornton (NSW),3405.0,194.0,514.0,201.0,1899.0,54.8,3.1,8.3,3.2,30.6,13851
Millers Forest,161.0,6.0,10.0,5.0,94.0,58.3,2.2,3.6,1.8,34.1,12618
Berry Park,67.0,0.0,7.0,3.0,42.0,56.3,0.0,5.9,2.5,35.3,10325
Anna Bay,1584.0,118.0,378.0,246.0,919.0,48.8,3.6,11.6,7.6,28.3,10060
Boat Harbour (Port Stephens - NSW),458.0,22.0,79.0,30.0,176.0,59.9,2.9,10.3,3.9,23.0,10425
Bobs Farm,172.0,21.0,35.0,16.0,145.0,44.2,5.4,9.0,4.1,37.3,10429
One Mile (NSW),179.0,8.0,46.0,19.0,85.0,53.1,2.4,13.6,5.6,25.2,13085
Lemon Tree Passage,1095.0,106.0,302.0,123.0,563.0,50.0,4.8,13.8,5.6,25.7,12300
Mallabula,354.0,23.0,89.0,55.0,238.0,46.6,3.0,11.7,7.2,31.4,12455
Tanilba Bay,1290.0,98.0,252.0,224.0,699.0,50.3,3.8,9.8,8.7,27.3,13748
Salamander Bay,2034.0,130.0,466.0,454.0,960.0,50.3,3.2,11.5,11.2,23.7,13463
Soldiers Point,654.0,53.0,162.0,81.0,286.0,52.9,4.3,13.1,6.6,23.1,13570
Corlette,2693.0,116.0,421.0,333.0,928.0,60.0,2.6,9.4,7.4,20.7,11075
Taylors Beach (NSW),57.0,6.0,9.0,0.0,25.0,58.8,6.2,9.3,0.0,25.8,13777
Nelson Bay (NSW),2409.0,196.0,624.0,299.0,1391.0,49.0,4.0,12.7,6.1,28.3,12923
Fingal Bay,790.0,35.0,164.0,161.0,290.0,54.9,2.4,11.4,11.2,20.1,11518
Shoal Bay (NSW),666.0,78.0,213.0,232.0,450.0,40.6,4.8,13.0,14.2,27.5,13539
Raymond Terrace,4028.0,448.0,1195.0,643.0,3749.0,40.0,4.5,11.9,6.4,37.3,13327
Tomago,91.0,20.0,59.0,14.0,89.0,33.3,7.3,21.6,5.1,32.6,13889
Heatherbrae,194.0,32.0,67.0,32.0,149.0,40.9,6.8,14.1,6.8,31.4,11884
Eagleton,112.0,0.0,23.0,4.0,24.0,68.7,0.0,14.1,2.5,14.7,11342
Duns Creek,257.0,15.0,27.0,9.0,117.0,60.5,3.5,6.4,2.1,27.5,11326
Seaham,488.0,19.0,41.0,19.0,217.0,62.2,2.4,5.2,2.4,27.7,13510
Wallalong,453.0,21.0,48.0,22.0,244.0,57.5,2.7,6.1,2.8,31.0,14104
Brandy Hill,346.0,15.0,33.0,15.0,164.0,60.4,2.6,5.8,2.6,28.6,10548
Hinton,207.0,7.0,23.0,15.0,110.0,57.2,1.9,6.4,4.1,30.4,11916
Butterwick,85.0,0.0,6.0,0.0,34.0,68.0,0.0,4.8,0.0,27.2,10725
East Seaham,154.0,10.0,22.0,7.0,80.0,56.4,3.7,8.1,2.6,29.3,11362
Nelsons Plains,169.0,13.0,7.0,12.0,76.0,61.0,4.7,2.5,4.3,27.4,12924
Osterley (NSW),66.0,0.0,7.0,3.0,30.0,62.3,0.0,6.6,2.8,28.3,13099
Tea Gardens,1699.0,48.0,241.0,251.0,411.0,64.1,1.8,9.1,9.5,15.5,13779
North Arm Cove,233.0,14.0,47.0,26.0,71.0,59.6,3.6,12.0,6.6,18.2,12979
Bundabah,44.0,4.0,7.0,0.0,29.0,52.4,4.8,8.3,0.0,34.5,10668
Pindimar,155.0,12.0,43.0,16.0,73.0,51.8,4.0,14.4,5.4,24.4,13211
Hawks Nest,505.0,47.0,151.0,126.0,263.0,46.2,4.3,13.8,11.5,24.1,11873
Karuah,568.0,52.0,140.0,82.0,335.0,48.3,4.4,11.9,7.0,28.5,12076
