,Italian,Assyrian (incl. Aramaic,Croatian,Arabic (incl. Lebanese,Spanish,&nbsp;,English only spoken at home,Greek,Cantonese,Tagalog (Filipino,Punjabi,Maltese,Macedonian,Serbian,Mandarin,Sinhalese,Samoan,Tongan,Vietnamese,German,Netherlandic,French,Hindi,Polish,Japanese,Korean,Turkish,Persian,Latvian,Thai,Hungarian,Armenian,Indonesian,Malay,Tamil,Maori (Cook Island,Hebrew,Norwegian,Afrikaans,Portuguese,Khmer,Russian,Fijian,Lao,Gujarati,Ukrainian,Maori (New Zealand,Irish,Urdu,Swedish,Estonian,Finnish,Bengali,Czech,Bosnian,Danish,Gaelic (Scotland,Burmese,Albanian,"Sign Languages, nec","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin",Slovak,Lithuanian,Auslan,Bulgarian,"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy",Nepali,Italian (%),Assyrian (incl. Aramaic (%),Croatian (%),Arabic (incl. Lebanese (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Greek (%),Cantonese (%),Tagalog (Filipino (%),Punjabi (%),Maltese (%),Macedonian (%),Serbian (%),Mandarin (%),Sinhalese (%),Samoan (%),Tongan (%),Vietnamese (%),German (%),Netherlandic (%),French (%),Hindi (%),Polish (%),Japanese (%),Korean (%),Turkish (%),Persian (%),Latvian (%),Thai (%),Hungarian (%),Armenian (%),Indonesian (%),Malay (%),Tamil (%),Maori (Cook Island (%),Hebrew (%),Norwegian (%),Afrikaans (%),Portuguese (%),Khmer (%),Russian (%),Fijian (%),Lao (%),Gujarati (%),Ukrainian (%),Maori (New Zealand (%),Irish (%),Urdu (%),Swedish (%),Estonian (%),Finnish (%),Bengali (%),Czech (%),Bosnian (%),Danish (%),Gaelic (Scotland (%),Burmese (%),Albanian (%),"Sign Languages, nec (%)","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin (%)",Slovak (%),Lithuanian (%),Auslan (%),Bulgarian (%),"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy (%)",Nepali (%)
Forestville,82,,,,,&nbsp;,"5,763",59,193,,,,,,,,,,,,,,,,156,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,&nbsp;,77.2,0.8,2.6,,,,,,,,,,,,,,,,2.1,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forresters Beach,8,,,,5,&nbsp;,"2,168",,,,,,,,,,,,,10,,,,7,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.2,&nbsp;,93.9,,,,,,,,,,,,,0.4,,,,0.3,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Frenchs Forest,138,,,,,&nbsp;,"10,286",,234,,,,,,87,,,,,,,,,,105,,,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,&nbsp;,83.7,,1.9,,,,,,0.7,,,,,,,,,,0.9,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Suburb,5,,,,,&nbsp;,"1,478",,,,,,,,,,,,,6,,,,18,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,93.1,,,,,,,,,,,,,0.4,,,,1.1,,,,,,0.3,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
Gateshead,,,,,,&nbsp;,"3,308",,8,10,,,13,,,,16,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,90.3,,0.2,0.3,,,0.4,,,,0.4,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Hall,349,,,728,,&nbsp;,"4,786",460,,,,,213,,,,,,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,9.2,,&nbsp;,60.2,5.8,,,,,2.7,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,,,,,,&nbsp;,"1,588",23,,,,,17,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,8,,,,,,,,,,,,,,,,,,&nbsp;,88.4,1.3,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.4,,,,,,,,,,,,
Girraween,76,,,135,,&nbsp;,"2,102",,,,,225,,,86,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,3.7,,&nbsp;,58.3,,,,,6.2,,,2.4,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladesville,506,,,116,,&nbsp;,"7,783",398,261,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,1.1,,&nbsp;,73.3,3.8,2.5,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glebe,121,,,,131,&nbsp;,"7,640",158,221,,,,,,,,,,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,1.2,&nbsp;,70.3,1.5,2.0,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Alpine,,,,,36,&nbsp;,"3,454",,63,55,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,&nbsp;,82.8,,1.5,1.3,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,
Glenbrook,13,,,,,&nbsp;,"4,701",10,,,,,,,,,,,,28,14,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,93.5,0.2,,,,,,,,,,,,0.6,0.3,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,16,,,,,&nbsp;,"2,833",5,,,,,8,,,,,,,17,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,&nbsp;,93.6,0.2,,,,,0.3,,,,,,,0.6,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendenning,,,,73,42,&nbsp;,"2,703",,,608,201,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.9,&nbsp;,57.4,,,12.9,4.3,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfield,,,,153,125,&nbsp;,"4,418",,108,118,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.8,&nbsp;,63.3,,1.5,1.7,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenhaven,81,,,35,,&nbsp;,"4,911",,71,,,,,,35,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,0.6,,&nbsp;,86.6,,1.3,,,,,,0.6,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmore Park,128,,,135,86,&nbsp;,"14,175",,,244,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.8,0.5,&nbsp;,83.8,,,1.4,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenning Valley,5,,4,,9,&nbsp;,"1,533",6,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,1.3,&nbsp;,95.1,0.8,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood,,,,227,,&nbsp;,"5,941",,234,509,197,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,&nbsp;,64.0,,2.5,5.5,2.1,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,,,,,,&nbsp;,"4,620",,496,,,,,,262,,,,,,,,,,104,158,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,73.6,,7.9,,,,,,4.2,,,,,,,,,,1.7,2.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorokan,15,,,,,&nbsp;,"6,678",,,,,14,,13,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,93.0,,,,,0.2,,0.2,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,
Gosford,,,,,19,&nbsp;,"2,175",,19,17,,,,,17,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,&nbsp;,79.1,,0.7,0.6,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville,,,,"6,479",,&nbsp;,"7,858",,912,,,,,,506,,,,667,,,,,,,,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,&nbsp;,34.8,,4.4,,,,,,2.4,,,,3.2,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grays Point,16,,,,,&nbsp;,"2,562",19,8,,,8,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,93.0,0.7,0.3,,,0.3,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Point,16,,17,,,&nbsp;,"5,876",,22,,,,,,,,,,,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,,&nbsp;,93.5,,0.3,,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Valley,524,,,524,711,&nbsp;,"3,562",,,,,,,,,,,,"1,037",,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,4.5,6.2,&nbsp;,30.9,,,,,,,,,,,,9.0,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenacre,759,,,"6,973",,&nbsp;,"6,628","1,083",,,,,,,,,,,619,,,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,33.8,,&nbsp;,32.1,5.2,,,,,,,,,,,3.0,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Park,,699,228,,395,&nbsp;,"1,394",,209,,,,,,,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,4.2,,7.4,&nbsp;,26.0,,3.9,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich,37,,,,,&nbsp;,"4,342",,126,,,,,,74,,,,,,,,,,31,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,&nbsp;,81.7,,2.4,,,,,,1.4,,,,,,,,,,0.6,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greystanes,631,,355,"1,186",,&nbsp;,"14,687",593,,,,"1,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,1.6,5.5,,&nbsp;,67.7,2.7,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guildford,213,,,"2,569",,&nbsp;,"4,501",,347,,,,,,,,,,257,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,24.3,,&nbsp;,42.6,,3.3,,,,,,,,,,2.4,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guildford West,110,,,762,49,&nbsp;,"2,463",47,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,18.4,1.2,&nbsp;,59.4,1.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwynneville,38,,,,,&nbsp;,"1,371",,,,,,41,39,90,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,&nbsp;,69.9,,,,,,2.1,2.0,4.6,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymea,103,,,67,,&nbsp;,"5,654",84,67,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,1.0,,&nbsp;,86.4,1.3,1.0,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymea Bay,35,,,22,,&nbsp;,"5,942",64,43,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.3,,&nbsp;,92.7,1.0,0.7,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haberfield,"2,047",,,,70,&nbsp;,"3,741",147,63,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,,,1.0,&nbsp;,55.6,2.2,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halekulani,20,,,,,&nbsp;,"2,177",4,,,,,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0.9,,,,,&nbsp;,94.6,0.2,,,,,,,,,,,,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,
Hamilton,139,,,,,&nbsp;,"3,229",135,,20,,,95,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,&nbsp;,81.6,3.4,,0.5,,,2.4,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton East,16,,,,,&nbsp;,842,72,,,,,3,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1.6,,,,,&nbsp;,84.5,7.2,,,,,0.3,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,
Hamilton North,22,,,,3,&nbsp;,769,5,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,0.4,&nbsp;,90.6,0.6,,,,,,,,,,,,0.5,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton South,108,,,,,&nbsp;,"3,088",119,,,,,31,,14,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,&nbsp;,83.6,3.2,,,,,0.8,,0.4,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammondville,,,,100,34,&nbsp;,"2,165",82,,,,,,,,,,,,,,,32,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.0,&nbsp;,76.2,2.4,,,,,,,,,,,,,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrington Park,41,,11,13,39,&nbsp;,"2,715",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,0.4,0.4,1.3,&nbsp;,90.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Park,,,,777,,&nbsp;,"2,269",,287,,,,,,361,,,,,,,,284,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,&nbsp;,32.8,,4.2,,,,,,5.2,,,,,,,,4.1,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassall Grove,,,,251,92,&nbsp;,"2,615",,,412,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,5.7,2.1,&nbsp;,59.5,,,9.4,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,
Haymarket,,,,,,&nbsp;,766,,496,,,,,,413,,,,,,,,,,,138,,,,90,,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,15.0,,9.7,,,,,,8.1,,,,,,,,,,,2.7,,,,1.8,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heathcote,,,10,,,&nbsp;,"5,644",25,18,,,,,,,,,,,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,&nbsp;,95.2,0.4,0.3,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebersham,,,,155,104,&nbsp;,"3,818",,,230,,,,,,,166,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.7,&nbsp;,63.9,,,3.9,,,,,,,2.8,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heckenberg,,,,380,105,&nbsp;,"1,571",,,,,,,,,,60,,309,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,3.6,&nbsp;,53.3,,,,,,,,,,2.0,,10.5,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henley,20,,5,6,,&nbsp;,330,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,1.2,1.4,,&nbsp;,79.3,1.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highfields,9,,,,,&nbsp;,560,8,,,,,,,,,,,,4,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,&nbsp;,94.0,1.3,,,,,,,,,,,,0.7,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough,,,,,,&nbsp;,676,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,&nbsp;,96.6,,,,,,,,,,,,,,0.4,,,,0.4,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,0.4,,,,,,,,,,
Hillsdale,,223,,199,383,&nbsp;,"2,125",,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,,,,,,,,,,,,,,,,3.9,,3.4,6.6,&nbsp;,36.7,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,
Hinchinbrook,389,,,,670,&nbsp;,"4,191",,,383,,,,,,,,,479,,,,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,6.8,&nbsp;,42.3,,,3.9,,,,,,,,,4.8,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmesville,3,,,,,&nbsp;,"1,434",,,3,,,,,,,,,,9,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,95.3,,,0.2,,,,,,,,,,0.6,,,,0.2,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
Holsworthy,,,,72,,&nbsp;,"2,663",,42,69,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,2.5,,&nbsp;,75.9,,1.4,2.4,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,
Homebush,,,,157,,&nbsp;,"1,754",,220,,,,,,171,,,,,,,,,,,155,,,,,,,,,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,&nbsp;,40.4,,5.1,,,,,,3.9,,,,,,,,,,,3.6,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homebush West,,,,,,&nbsp;,626,,465,,,,,,302,,,,,,,,,,,121,,,,,,,,,299,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,&nbsp;,23.5,,17.5,,,,,,11.4,,,,,,,,,,,4.6,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,
Horningsea Park,104,,,49,132,&nbsp;,"1,504",,,67,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,1.8,5.0,&nbsp;,56.6,,,2.5,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby,,,,,,&nbsp;,"12,046",,936,262,,,,,734,,,,,,,,,,,485,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,65.9,,5.1,1.4,,,,,4.0,,,,,,,,,,,2.7,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby Heights,45,,,41,43,&nbsp;,"5,096",,99,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.7,0.7,&nbsp;,86.2,,1.7,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsley,64,,,,45,&nbsp;,"4,686",,43,32,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,0.8,&nbsp;,88.0,,0.8,0.6,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoxton Park,136,,,,140,&nbsp;,"1,474",,,118,,,,,,,,,112,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,4.2,&nbsp;,44.2,,,3.5,,,,,,,,,3.4,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunters Hill,203,,,,,&nbsp;,"7,059",195,182,,,,,,,,,,,85,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,&nbsp;,80.1,2.2,2.1,,,,,,,,,,,1.0,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntleys Point,7,,,,,&nbsp;,152,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,4.1,,,,,&nbsp;,89.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,
Hurlstone Park,232,,,396,,&nbsp;,"2,208",656,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,7.9,,&nbsp;,44.0,13.1,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurstville,,,,958,,&nbsp;,"6,907","1,120","3,679",,,,664,,"2,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,&nbsp;,33.9,5.5,18.1,,,,3.3,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurstville Grove,,,59,82,,&nbsp;,"1,390",213,190,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.7,,&nbsp;,62.0,9.5,8.5,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illawong,134,,,310,,&nbsp;,"6,041",298,144,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,3.9,,&nbsp;,76.5,3.8,1.8,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingleburn,,,,191,253,&nbsp;,"10,573",,,332,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,1.3,1.8,&nbsp;,74.2,,,2.3,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,
Ingleside,33,,12,,,&nbsp;,710,,,,,,,32,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,1.2,,,&nbsp;,73.9,,,,,,,3.3,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islington,20,,,,,&nbsp;,"1,201",9,,,,,9,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1.4,,,,,&nbsp;,85.9,0.6,,,,,0.6,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,
