,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Yarrowyck,52.0,10.0,33.0,54.7,10.5,34.7,14492
Kentucky,64.0,6.0,52.0,52.5,4.9,42.6,12102
Kentucky South,47.0,15.0,40.0,46.1,14.7,39.2,12103
Balala,50.0,7.0,22.0,63.3,8.9,27.8,10144
Rocky River (Uralla - NSW),80.0,28.0,88.0,40.8,14.3,44.9,13390
Walcha,995.0,164.0,609.0,56.3,9.3,34.4,14093
Woolbrook,55.0,14.0,34.0,53.4,13.6,33.0,14400
Nowendoc,63.0,3.0,35.0,62.4,3.0,34.7,13026
Yarrowitch,60.0,0.0,46.0,56.6,0.0,43.4,14491
Stonehenge (NSW),63.0,3.0,26.0,68.5,3.3,28.3,13665
Glen Innes,1841.0,507.0,1868.0,43.7,12.0,44.3,11649
Emmaville,216.0,44.0,133.0,55.0,11.2,33.8,11414
Deepwater (NSW),143.0,19.0,154.0,45.3,6.0,48.7,11231
Dundee,72.0,9.0,36.0,61.5,7.7,30.8,11314
Red Range,71.0,11.0,55.0,51.8,8.0,40.1,13333
Shannon Vale,80.0,16.0,30.0,63.5,12.7,23.8,13526
Glencoe (NSW),72.0,14.0,38.0,58.1,11.3,30.6,11657
Inverell,3667.0,951.0,3522.0,45.0,11.7,43.3,11981
Ashford (NSW),209.0,44.0,204.0,45.7,9.6,44.6,10099
Tingha,233.0,88.0,265.0,39.8,15.0,45.2,13874
Yetman,72.0,12.0,43.0,56.7,9.4,33.9,14514
Bundarra,245.0,51.0,175.0,52.0,10.8,37.2,10671
Gilgai,232.0,57.0,189.0,48.5,11.9,39.5,11618
Bonshaw (NSW),40.0,9.0,24.0,54.8,12.3,32.9,10473
Coolatai,38.0,8.0,26.0,52.8,11.1,36.1,11028
Bukkulla,45.0,14.0,36.0,47.4,14.7,37.9,10648
Oakwood (NSW),81.0,4.0,27.0,72.3,3.6,24.1,13061
Nullamanna,61.0,13.0,37.0,55.0,11.7,33.3,13032
Elsmore,110.0,12.0,59.0,60.8,6.6,32.6,11408
Bingara,497.0,75.0,444.0,48.9,7.4,43.7,10365
Gravesend,124.0,26.0,68.0,56.9,11.9,31.2,11742
Auburn Vale,58.0,6.0,13.0,75.3,7.8,16.9,10107
Gum Flat,79.0,17.0,40.0,58.1,12.5,29.4,11796
Delungra,223.0,66.0,137.0,52.3,15.5,32.2,11234
Warialda,522.0,156.0,425.0,47.3,14.1,38.5,14149
Yallaroi,44.0,9.0,14.0,65.7,13.4,20.9,14456
Warialda Rail,32.0,16.0,41.0,36.0,18.0,46.1,14150
Upper Horton,54.0,17.0,32.0,52.4,16.5,31.1,14029
Tabulam,112.0,44.0,181.0,33.2,13.1,53.7,13723
Tenterfield,1387.0,306.0,1150.0,48.8,10.8,40.5,13792
Drake,66.0,43.0,126.0,28.1,18.3,53.6,11290
Liston,52.0,10.0,43.0,49.5,9.5,41.0,12346
Legume,68.0,7.0,35.0,61.8,6.4,31.8,12296
Urbenville,92.0,22.0,91.0,44.9,10.7,44.4,14057
Woodenbong,154.0,25.0,112.0,52.9,8.6,38.5,14382
Jennings,61.0,5.0,52.0,51.7,4.2,44.1,12008
Moree,2566.0,737.0,2709.0,42.7,12.3,45.1,12722
Pallamallawa,146.0,41.0,114.0,48.5,13.6,37.9,13131
Garah,100.0,25.0,66.0,52.4,13.1,34.6,11586
Boomi,70.0,6.0,44.0,58.3,5.0,36.7,10489
Ashley,92.0,47.0,84.0,41.3,21.1,37.7,10100
Boggabilla,177.0,95.0,371.0,27.5,14.8,57.7,10441
North Star,78.0,28.0,43.0,52.3,18.8,28.9,13008
Mungindi (NSW),142.0,59.0,156.0,39.8,16.5,43.7,12843
Gurley,85.0,24.0,40.0,57.0,16.1,26.8,11817
Biniguy,54.0,6.0,30.0,60.0,6.7,33.3,10369
Bellata,116.0,18.0,83.0,53.5,8.3,38.2,10266
Narrabri,2594.0,522.0,1978.0,50.9,10.2,38.8,12903
Wee Waa,593.0,133.0,576.0,45.5,10.2,44.2,14211
Merah North,59.0,18.0,33.0,53.6,16.4,30.0,12572
Maules Creek,47.0,8.0,20.0,62.7,10.7,26.7,12526
Baan Baa,54.0,18.0,42.0,47.4,15.8,36.8,10120
Tarriaro,62.0,3.0,17.0,75.6,3.7,20.7,13770
Bohena Creek,68.0,8.0,32.0,63.0,7.4,29.6,10444
Jacks Creek,56.0,6.0,39.0,55.4,5.9,38.6,11993
Gwabegar,34.0,16.0,56.0,32.1,15.1,52.8,11823
Gunnedah,3179.0,802.0,2741.0,47.3,11.9,40.8,11812
Curlewis (NSW),259.0,76.0,220.0,46.7,13.7,39.6,11169
Boggabri,336.0,73.0,367.0,43.3,9.4,47.3,10442
Carroll,113.0,23.0,91.0,49.8,10.1,40.1,10832
Piallaway,44.0,8.0,31.0,53.0,9.6,37.3,13196
Breeza,50.0,29.0,46.0,40.0,23.2,36.8,10561
Caroona,41.0,25.0,73.0,29.5,18.0,52.5,10823
Spring Ridge,98.0,18.0,62.0,55.1,10.1,34.8,13619
Emerald Hill,58.0,13.0,19.0,64.4,14.4,21.1,11412
Mullaley,71.0,12.0,40.0,57.7,9.8,32.5,12820
Kelvin,66.0,16.0,32.0,57.9,14.0,28.1,12091
Werris Creek,464.0,107.0,525.0,42.3,9.8,47.9,14238
Quirindi,1132.0,229.0,1060.0,46.8,9.5,43.8,13301
Wallabadah,154.0,31.0,119.0,50.7,10.2,39.1,14098
Currabubula,127.0,25.0,80.0,54.7,10.8,34.5,11172
Quipolly,69.0,20.0,35.0,55.6,16.1,28.2,13300
Willow Tree,113.0,9.0,88.0,53.8,4.3,41.9,14305
Blackville,43.0,10.0,18.0,60.6,14.1,25.4,10398
Hillvue,2494.0,434.0,1649.0,54.5,9.5,36.0,11914
Calala,1387.0,314.0,904.0,53.2,12.1,34.7,10748
Kingswood (Tamworth Regional - NSW),459.0,65.0,188.0,64.5,9.1,26.4,12164
South Tamworth,1601.0,529.0,2485.0,34.7,11.5,53.8,13597
West Tamworth,1090.0,376.0,2092.0,30.6,10.6,58.8,14252
North Tamworth,1460.0,347.0,1623.0,42.6,10.1,47.3,13011
Tamworth,29.0,3.0,76.0,26.9,2.8,70.4,13746
East Tamworth,1836.0,356.0,1493.0,49.8,9.7,40.5,11363
Oxley Vale,1006.0,350.0,1073.0,41.4,14.4,44.2,13111
Nemingha,243.0,58.0,199.0,48.6,11.6,39.8,12926
Westdale (Tamworth Regional - NSW),785.0,240.0,637.0,47.2,14.4,38.3,14259
Kootingal,755.0,206.0,548.0,50.0,13.7,36.3,12194
Duri,228.0,26.0,130.0,59.4,6.8,33.9,11332
Bithramere,62.0,11.0,48.0,51.2,9.1,39.7,10381
Winton (NSW),84.0,13.0,59.0,53.8,8.3,37.8,14336
Rushes Creek,39.0,7.0,32.0,50.0,9.0,41.0,13445
Somerton (NSW),94.0,26.0,71.0,49.2,13.6,37.2,13572
Bective,96.0,7.0,49.0,63.2,4.6,32.2,10245
Attunga,212.0,42.0,146.0,53.0,10.5,36.5,10105
Garthowen,73.0,10.0,28.0,65.8,9.0,25.2,11593
Limbri,46.0,9.0,31.0,53.5,10.5,36.0,12327
Tintinhull,156.0,31.0,96.0,55.1,11.0,33.9,13879
Loomberah,245.0,24.0,108.0,65.0,6.4,28.6,12386
Moonbi,378.0,83.0,287.0,50.5,11.1,38.4,12699
Bendemeer,164.0,36.0,153.0,46.5,10.2,43.3,10289
Watsons Creek (NSW),35.0,0.0,38.0,47.9,0.0,52.1,14188
Halls Creek (NSW),54.0,11.0,27.0,58.7,12.0,29.3,11834
Barraba,471.0,90.0,440.0,47.1,9.0,44.0,10206
Upper Manilla,52.0,3.0,32.0,59.8,3.4,36.8,14037
Manilla,754.0,171.0,838.0,42.8,9.7,47.5,12474
Daruka,377.0,38.0,159.0,65.7,6.6,27.7,11218
Moore Creek,1027.0,107.0,407.0,66.6,6.9,26.4,12710
Hallsville,230.0,31.0,127.0,59.3,8.0,32.7,11835
Nundle,161.0,24.0,155.0,47.4,7.1,45.6,13043
Ogunbil,68.0,0.0,44.0,60.7,0.0,39.3,13071
Dungowan,157.0,32.0,70.0,60.6,12.4,27.0,11321
Piallamore,126.0,9.0,50.0,68.1,4.9,27.0,13195
Woolomin,99.0,27.0,76.0,49.0,13.4,37.6,14408
Warral,155.0,28.0,103.0,54.2,9.8,36.0,14163
Timbumburi,61.0,14.0,26.0,60.4,13.9,25.7,13870
Windale,636.0,266.0,1436.0,27.2,11.4,61.4,14315
Jewells,1104.0,171.0,566.0,60.0,9.3,30.7,12024
Belmont North,2364.0,494.0,1756.0,51.2,10.7,38.1,10277
Belmont (NSW),2549.0,454.0,2455.0,46.7,8.3,45.0,10276
Floraville,794.0,117.0,434.0,59.0,8.7,32.3,11535
Blacksmiths,647.0,154.0,640.0,44.9,10.7,44.4,10396
Pelican (NSW),348.0,72.0,286.0,49.3,10.2,40.5,13178
Marks Point,563.0,156.0,693.0,39.9,11.0,49.1,12492
Belmont South,319.0,95.0,401.0,39.1,11.7,49.2,10278
Kahibah,875.0,217.0,733.0,47.9,11.9,40.2,12048
Charlestown (NSW),4736.0,1008.0,3964.0,48.8,10.4,40.8,10885
Whitebridge,1070.0,173.0,725.0,54.4,8.8,36.8,14276
Gateshead,752.0,287.0,1181.0,33.9,12.9,53.2,11594
Dudley,933.0,196.0,585.0,54.4,11.4,34.1,11300
Highfields (NSW),314.0,48.0,257.0,50.7,7.8,41.5,11902
Garden Suburb,789.0,124.0,483.0,56.5,8.9,34.6,11587
Cardiff (NSW),1777.0,598.0,1983.0,40.8,13.7,45.5,10809
Hillsborough (Lake Macquarie - NSW),265.0,44.0,182.0,54.0,9.0,37.1,11909
Warners Bay,2866.0,482.0,2379.0,50.0,8.4,41.5,14153
Argenton,352.0,139.0,529.0,34.5,13.6,51.9,10078
Glendale (NSW),1051.0,241.0,1049.0,44.9,10.3,44.8,11658
Elermore Vale,2093.0,323.0,1679.0,51.1,7.9,41.0,11394
Macquarie Hills,1339.0,258.0,797.0,55.9,10.8,33.3,12434
Kotara,1550.0,275.0,1117.0,52.7,9.3,38.0,12200
Cardiff Heights,532.0,103.0,389.0,52.0,10.1,38.0,10810
Cardiff South,998.0,245.0,875.0,47.1,11.6,41.3,10811
New Lambton Heights,1054.0,136.0,595.0,59.0,7.6,33.3,12943
Rankin Park,1092.0,167.0,603.0,58.6,9.0,32.4,13315
Tingira Heights,764.0,144.0,597.0,50.8,9.6,39.7,13875
Mount Hutton (NSW),1205.0,262.0,1128.0,46.4,10.1,43.5,12766
Eleebana,2654.0,266.0,1339.0,62.3,6.2,31.4,11393
Redhead,1351.0,174.0,1044.0,52.6,6.8,40.6,13340
Caves Beach,1759.0,214.0,1075.0,57.7,7.0,35.3,10862
Nords Wharf,342.0,65.0,234.0,53.4,10.1,36.5,12975
Swansea (NSW),1673.0,409.0,1908.0,41.9,10.3,47.8,13711
Swansea Heads,247.0,40.0,175.0,53.5,8.7,37.9,13712
Catherine Hill Bay,54.0,22.0,62.0,39.1,15.9,44.9,10857
Cams Wharf,47.0,23.0,33.0,45.6,22.3,32.0,10784
Murrays Beach,322.0,40.0,65.0,75.4,9.4,15.2,12854
Valentine,2612.0,259.0,1355.0,61.8,6.1,32.1,14065
Croudace Bay,218.0,33.0,136.0,56.3,8.5,35.1,11128
Speers Point,1248.0,265.0,990.0,49.9,10.6,39.6,13605
Lakelands (NSW),663.0,56.0,373.0,60.7,5.1,34.2,12256
Boolaroo,292.0,104.0,401.0,36.6,13.0,50.3,10482
Booragul,379.0,91.0,439.0,41.7,10.0,48.3,10495
Fennell Bay,602.0,125.0,511.0,48.6,10.1,41.3,11500
Marmong Point,301.0,45.0,241.0,51.3,7.7,41.1,12498
Woodrising,376.0,93.0,389.0,43.8,10.8,45.3,14391
Bolton Point,613.0,128.0,714.0,42.1,8.8,49.1,10449
Teralba,454.0,139.0,566.0,39.2,12.0,48.8,13793
Fassifern (NSW),214.0,40.0,197.0,47.5,8.9,43.7,11495
Balcolyn,343.0,92.0,257.0,49.6,13.3,37.1,10145
Yarrawonga Park,135.0,34.0,109.0,48.6,12.2,39.2,14487
Mirrabooka (NSW),255.0,66.0,230.0,46.3,12.0,41.7,12647
Sunshine (NSW),170.0,21.0,135.0,52.1,6.4,41.4,13694
Silverwater (Lake Macquarie - NSW),103.0,27.0,74.0,50.5,13.2,36.3,13546
Bonnells Bay,1407.0,272.0,1024.0,52.1,10.1,37.9,10468
Brightwaters,359.0,58.0,251.0,53.7,8.7,37.6,10570
Morisset Park,330.0,45.0,156.0,62.1,8.5,29.4,12724
Windermere Park,215.0,60.0,232.0,42.4,11.8,45.8,14321
Edgeworth,2098.0,539.0,1910.0,46.1,11.9,42.0,11381
Cameron Park,3097.0,624.0,1613.0,58.1,11.7,30.2,10775
Cooranbong,2063.0,315.0,1437.0,54.1,8.3,37.7,11052
Wyee,855.0,184.0,694.0,49.3,10.6,40.0,14438
Morisset,1042.0,197.0,1128.0,44.0,8.3,47.7,12723
Wyee Point,473.0,75.0,281.0,57.1,9.0,33.9,14439
Mandalong,140.0,67.0,93.0,46.7,22.3,31.0,12465
Dora Creek,626.0,131.0,523.0,48.9,10.2,40.9,11277
Eraring,94.0,18.0,48.0,58.7,11.2,30.0,11429
Martinsville,155.0,33.0,76.0,58.7,12.5,28.8,12512
Blackalls Park,978.0,193.0,907.0,47.1,9.3,43.6,10390
Toronto,1729.0,423.0,1974.0,41.9,10.3,47.8,13918
Kilaben Bay,626.0,95.0,342.0,58.9,8.9,32.2,12125
Coal Point,792.0,104.0,432.0,59.6,7.8,32.5,10943
Awaba,133.0,41.0,114.0,46.2,14.2,39.6,10118
Carey Bay,286.0,77.0,239.0,47.5,12.8,39.7,10812
Buttaba,468.0,74.0,260.0,58.4,9.2,32.4,10723
Fishing Point,477.0,73.0,250.0,59.6,9.1,31.2,11526
Rathmines,778.0,144.0,548.0,52.9,9.8,37.3,13319
Wangi Wangi,1122.0,228.0,767.0,53.0,10.8,36.2,14135
Arcadia Vale,554.0,111.0,361.0,54.0,10.8,35.2,10073
Balmoral (Lake Macquarie - NSW),307.0,52.0,203.0,54.6,9.3,36.1,10166
Holmesville,487.0,131.0,391.0,48.3,13.0,38.8,11924
Barnsley,615.0,177.0,484.0,48.2,13.9,37.9,10204
Seahampton,104.0,24.0,74.0,51.5,11.9,36.6,13511
West Wallsend,790.0,247.0,627.0,47.5,14.8,37.7,14253
Killingworth (NSW),291.0,35.0,202.0,55.1,6.6,38.3,12137
Wakefield,54.0,13.0,27.0,57.4,13.8,28.7,14088
Adamstown Heights,2335.0,273.0,1329.0,59.3,6.9,33.8,10017
Adamstown,1794.0,572.0,2124.0,40.0,12.7,47.3,10016
Kotara South,426.0,72.0,301.0,53.3,9.0,37.7,12201
Woodberry,828.0,252.0,1047.0,38.9,11.8,49.2,14377
Beresfield,1022.0,259.0,1137.0,42.3,10.7,47.0,10301
Tarro,591.0,125.0,556.0,46.5,9.8,43.7,13771
Hexham (NSW),35.0,15.0,48.0,35.7,15.3,49.0,11898
Hamilton South,1202.0,267.0,1391.0,42.0,9.3,48.6,11841
Broadmeadow,421.0,160.0,615.0,35.2,13.4,51.4,10578
Hamilton East,367.0,66.0,283.0,51.3,9.2,39.5,11839
Newcastle West,96.0,65.0,280.0,21.8,14.7,63.5,12951
Hamilton North,209.0,104.0,356.0,31.2,15.5,53.2,11840
Hamilton (NSW),1039.0,450.0,1782.0,31.8,13.8,54.5,11838
New Lambton,3438.0,711.0,3316.0,46.1,9.5,44.4,12942
Lambton,1652.0,344.0,1702.0,44.7,9.3,46.0,12264
Jesmond,655.0,179.0,1347.0,30.0,8.2,61.8,12023
Maryland (Newcastle - NSW),2806.0,598.0,2230.0,49.8,10.6,39.6,12514
Fletcher (NSW),2080.0,317.0,1020.0,60.9,9.3,29.9,11533
Minmi,275.0,62.0,208.0,50.5,11.4,38.2,12638
Warabrook,669.0,110.0,673.0,46.1,7.6,46.3,14140
Mayfield West,506.0,206.0,737.0,34.9,14.2,50.9,12536
Mayfield (Newcastle - NSW),2176.0,1071.0,3588.0,31.8,15.7,52.5,12530
Mayfield East,384.0,237.0,636.0,30.5,18.9,50.6,12534
Merewether Heights,599.0,74.0,283.0,62.7,7.7,29.6,12574
Merewether,3649.0,936.0,3592.0,44.6,11.4,43.9,12573
The Junction,323.0,105.0,395.0,39.2,12.8,48.0,13827
Cooks Hill,803.0,436.0,1500.0,29.3,15.9,54.8,11019
Bar Beach,365.0,88.0,449.0,40.5,9.8,49.8,10187
Newcastle,777.0,286.0,999.0,37.7,13.9,48.4,12949
The Hill,491.0,253.0,800.0,31.8,16.4,51.8,13826
Newcastle East,256.0,127.0,363.0,34.3,17.0,48.7,12950
Carrington (Newcastle - NSW),432.0,257.0,759.0,29.8,17.7,52.4,10830
Shortland,1088.0,335.0,1619.0,35.8,11.0,53.2,13542
Birmingham Gardens,512.0,136.0,1190.0,27.9,7.4,64.7,10377
Sandgate (NSW),40.0,11.0,77.0,31.2,8.6,60.2,13474
North Lambton,860.0,290.0,1396.0,33.8,11.4,54.8,12993
