,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Newcastle,14.0,32.0,0.0,6.0,26.0,3.0,25.0,55.0,261.0,24.0,343.0,1.8,4.1,0.0,0.8,3.3,0.4,3.2,7.0,33.1,3.0,43.5,12949
The Hill,23.0,55.0,8.0,13.0,27.0,9.0,39.0,61.0,248.0,9.0,118.0,3.8,9.0,1.3,2.1,4.4,1.5,6.4,10.0,40.7,1.5,19.3,13826
Newcastle East,11.0,44.0,8.0,3.0,15.0,7.0,11.0,13.0,70.0,7.0,76.0,4.2,16.6,3.0,1.1,5.7,2.6,4.2,4.9,26.4,2.6,28.7,12950
Carrington (Newcastle - NSW),39.0,84.0,10.0,7.0,41.0,3.0,9.0,46.0,145.0,12.0,133.0,7.4,15.9,1.9,1.3,7.8,0.6,1.7,8.7,27.4,2.3,25.1,10830
Shortland,62.0,201.0,43.0,12.0,160.0,20.0,10.0,101.0,433.0,16.0,193.0,5.0,16.1,3.4,1.0,12.8,1.6,0.8,8.1,34.6,1.3,15.4,13542
Birmingham Gardens,26.0,115.0,22.0,20.0,67.0,19.0,16.0,72.0,661.0,25.0,123.0,2.2,9.9,1.9,1.7,5.7,1.6,1.4,6.2,56.7,2.1,10.5,10377
Sandgate (NSW),3.0,14.0,0.0,0.0,7.0,0.0,0.0,6.0,3.0,3.0,29.0,4.6,21.5,0.0,0.0,10.8,0.0,0.0,9.2,4.6,4.6,44.6,13474
North Lambton,52.0,190.0,44.0,17.0,117.0,20.0,15.0,104.0,528.0,34.0,152.0,4.1,14.9,3.5,1.3,9.2,1.6,1.2,8.2,41.5,2.7,11.9,12993
Stockton (NSW),52.0,183.0,46.0,15.0,135.0,70.0,20.0,75.0,137.0,16.0,682.0,3.6,12.8,3.2,1.0,9.4,4.9,1.4,5.2,9.6,1.1,47.7,13662
Fern Bay,56.0,89.0,50.0,29.0,55.0,20.0,22.0,33.0,54.0,10.0,189.0,9.2,14.7,8.2,4.8,9.1,3.3,3.6,5.4,8.9,1.6,31.1,11501
Fullerton Cove,3.0,10.0,6.0,3.0,11.0,7.0,6.0,3.0,8.0,4.0,62.0,2.4,8.1,4.9,2.4,8.9,5.7,4.9,2.4,6.5,3.3,50.4,11575
Wallsend,212.0,678.0,101.0,78.0,494.0,71.0,73.0,310.0,652.0,54.0,796.0,6.0,19.3,2.9,2.2,14.0,2.0,2.1,8.8,18.5,1.5,22.6,14118
Georgetown (NSW),44.0,104.0,41.0,11.0,64.0,22.0,11.0,36.0,141.0,6.0,88.0,7.7,18.3,7.2,1.9,11.3,3.9,1.9,6.3,24.8,1.1,15.5,11603
Waratah West,48.0,135.0,26.0,13.0,89.0,18.0,9.0,81.0,527.0,20.0,233.0,4.0,11.3,2.2,1.1,7.4,1.5,0.8,6.8,44.0,1.7,19.4,14142
Waratah (NSW),60.0,150.0,63.0,33.0,113.0,42.0,25.0,101.0,359.0,20.0,614.0,3.8,9.5,4.0,2.1,7.2,2.7,1.6,6.4,22.7,1.3,38.9,14141
Wickham (NSW),16.0,29.0,7.0,4.0,24.0,14.0,6.0,42.0,113.0,8.0,88.0,4.6,8.3,2.0,1.1,6.8,4.0,1.7,12.0,32.2,2.3,25.1,14285
Maryville,25.0,77.0,12.0,0.0,23.0,17.0,9.0,29.0,115.0,10.0,60.0,6.6,20.4,3.2,0.0,6.1,4.5,2.4,7.7,30.5,2.7,15.9,12518
Tighes Hill,43.0,118.0,16.0,6.0,55.0,12.0,4.0,52.0,128.0,9.0,123.0,7.6,20.8,2.8,1.1,9.7,2.1,0.7,9.2,22.6,1.6,21.7,13863
Islington,29.0,105.0,6.0,9.0,43.0,9.0,5.0,64.0,150.0,12.0,145.0,5.0,18.2,1.0,1.6,7.5,1.6,0.9,11.1,26.0,2.1,25.1,11990
Ballina,85.0,223.0,134.0,51.0,242.0,69.0,40.0,154.0,138.0,33.0,1080.0,3.8,9.9,6.0,2.3,10.8,3.1,1.8,6.8,6.1,1.5,48.0,10162
West Ballina,33.0,97.0,77.0,31.0,96.0,33.0,18.0,58.0,48.0,7.0,295.0,4.2,12.2,9.7,3.9,12.1,4.2,2.3,7.3,6.1,0.9,37.2,14240
East Ballina,107.0,184.0,148.0,65.0,172.0,157.0,28.0,94.0,166.0,18.0,293.0,7.5,12.8,10.3,4.5,12.0,11.0,2.0,6.6,11.6,1.3,20.5,11345
Skennars Head,24.0,25.0,49.0,4.0,31.0,80.0,0.0,10.0,35.0,11.0,55.0,7.4,7.7,15.1,1.2,9.6,24.7,0.0,3.1,10.8,3.4,17.0,13554
Alstonville,101.0,307.0,82.0,72.0,234.0,95.0,37.0,116.0,124.0,21.0,347.0,6.6,20.0,5.3,4.7,15.2,6.2,2.4,7.6,8.1,1.4,22.6,10046
Wollongbar,60.0,211.0,53.0,21.0,149.0,55.0,21.0,63.0,75.0,29.0,109.0,7.1,24.9,6.3,2.5,17.6,6.5,2.5,7.4,8.9,3.4,12.9,14357
Wardell,9.0,47.0,7.0,11.0,37.0,7.0,3.0,12.0,19.0,3.0,149.0,3.0,15.5,2.3,3.6,12.2,2.3,1.0,3.9,6.2,1.0,49.0,14144
East Wardell,7.0,25.0,5.0,4.0,19.0,3.0,0.0,8.0,3.0,6.0,30.0,6.4,22.7,4.5,3.6,17.3,2.7,0.0,7.3,2.7,5.5,27.3,11365
Empire Vale,0.0,7.0,3.0,0.0,13.0,4.0,0.0,3.0,4.0,0.0,22.0,0.0,12.5,5.4,0.0,23.2,7.1,0.0,5.4,7.1,0.0,39.3,11416
Meerschaum Vale,5.0,29.0,3.0,0.0,21.0,9.0,3.0,10.0,11.0,0.0,30.0,4.1,24.0,2.5,0.0,17.4,7.4,2.5,8.3,9.1,0.0,24.8,12556
Dalwood (Ballina - NSW),6.0,11.0,0.0,0.0,12.0,3.0,3.0,3.0,6.0,0.0,12.0,10.7,19.6,0.0,0.0,21.4,5.4,5.4,5.4,10.7,0.0,21.4,11195
Marom Creek,0.0,0.0,0.0,3.0,14.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,9.7,45.2,0.0,0.0,16.1,0.0,0.0,29.0,12499
Rous,0.0,17.0,7.0,0.0,13.0,17.0,3.0,8.0,4.0,3.0,11.0,0.0,20.5,8.4,0.0,15.7,20.5,3.6,9.6,4.8,3.6,13.3,13427
Pimlico (NSW),8.0,11.0,7.0,0.0,18.0,3.0,3.0,7.0,6.0,0.0,37.0,8.0,11.0,7.0,0.0,18.0,3.0,3.0,7.0,6.0,0.0,37.0,13207
Coolgardie (NSW),0.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,13.3,0.0,10.0,13.3,0.0,0.0,0.0,0.0,0.0,63.3,11031
Keith Hall,0.0,3.0,3.0,0.0,4.0,3.0,0.0,8.0,4.0,0.0,43.0,0.0,4.4,4.4,0.0,5.9,4.4,0.0,11.8,5.9,0.0,63.2,12086
Uralba,3.0,5.0,3.0,9.0,7.0,6.0,0.0,3.0,4.0,0.0,18.0,5.2,8.6,5.2,15.5,12.1,10.3,0.0,5.2,6.9,0.0,31.0,14050
Tuckombil,6.0,20.0,3.0,3.0,8.0,4.0,3.0,4.0,3.0,0.0,0.0,11.1,37.0,5.6,5.6,14.8,7.4,5.6,7.4,5.6,0.0,0.0,13947
Fernleigh,4.0,13.0,6.0,4.0,7.0,16.0,5.0,9.0,3.0,0.0,41.0,3.7,12.0,5.6,3.7,6.5,14.8,4.6,8.3,2.8,0.0,38.0,11508
Tintenbar,19.0,47.0,15.0,18.0,15.0,32.0,5.0,13.0,25.0,3.0,91.0,6.7,16.6,5.3,6.4,5.3,11.3,1.8,4.6,8.8,1.1,32.2,13878
Cumbalum,35.0,73.0,46.0,49.0,52.0,34.0,29.0,33.0,46.0,5.0,57.0,7.6,15.9,10.0,10.7,11.3,7.4,6.3,7.2,10.0,1.1,12.4,11154
Brooklet,8.0,11.0,3.0,3.0,11.0,6.0,3.0,3.0,3.0,0.0,16.0,11.9,16.4,4.5,4.5,16.4,9.0,4.5,4.5,4.5,0.0,23.9,10598
Knockrow,3.0,7.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,24.0,6.5,15.2,0.0,0.0,15.2,10.9,0.0,0.0,0.0,0.0,52.2,12178
Newrybar,14.0,14.0,5.0,14.0,12.0,3.0,6.0,4.0,9.0,3.0,27.0,12.6,12.6,4.5,12.6,10.8,2.7,5.4,3.6,8.1,2.7,24.3,12957
Alstonvale,8.0,31.0,9.0,3.0,17.0,23.0,3.0,5.0,14.0,3.0,25.0,5.7,22.0,6.4,2.1,12.1,16.3,2.1,3.5,9.9,2.1,17.7,10045
Teven,7.0,9.0,12.0,3.0,9.0,5.0,3.0,3.0,5.0,0.0,35.0,7.7,9.9,13.2,3.3,9.9,5.5,3.3,3.3,5.5,0.0,38.5,13807
Pearces Creek,8.0,4.0,0.0,8.0,9.0,3.0,4.0,0.0,3.0,0.0,15.0,14.8,7.4,0.0,14.8,16.7,5.6,7.4,0.0,5.6,0.0,27.8,13170
Lynwood (NSW),0.0,14.0,0.0,3.0,12.0,10.0,9.0,3.0,6.0,0.0,14.0,0.0,19.7,0.0,4.2,16.9,14.1,12.7,4.2,8.5,0.0,19.7,12427
Rous Mill,3.0,6.0,3.0,0.0,4.0,0.0,3.0,6.0,3.0,0.0,15.0,7.0,14.0,7.0,0.0,9.3,0.0,7.0,14.0,7.0,0.0,34.9,13428
Ewingsdale,13.0,42.0,18.0,9.0,27.0,6.0,17.0,10.0,29.0,0.0,148.0,4.1,13.2,5.6,2.8,8.5,1.9,5.3,3.1,9.1,0.0,46.4,11474
Eureka (NSW),3.0,30.0,5.0,9.0,6.0,6.0,0.0,12.0,5.0,0.0,28.0,2.9,28.8,4.8,8.7,5.8,5.8,0.0,11.5,4.8,0.0,26.9,11461
Coorabell,4.0,23.0,0.0,9.0,21.0,0.0,3.0,0.0,9.0,3.0,37.0,3.7,21.1,0.0,8.3,19.3,0.0,2.8,0.0,8.3,2.8,33.9,11051
Possum Creek,3.0,16.0,0.0,4.0,11.0,0.0,0.0,6.0,8.0,0.0,30.0,3.8,20.5,0.0,5.1,14.1,0.0,0.0,7.7,10.3,0.0,38.5,13252
Bangalow,44.0,172.0,25.0,16.0,79.0,43.0,6.0,26.0,59.0,9.0,165.0,6.8,26.7,3.9,2.5,12.3,6.7,0.9,4.0,9.2,1.4,25.6,10174
Coopers Shoot,4.0,8.0,3.0,3.0,9.0,6.0,3.0,0.0,3.0,0.0,46.0,4.7,9.4,3.5,3.5,10.6,7.1,3.5,0.0,3.5,0.0,54.1,11049
Skinners Shoot,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,8.7,0.0,84.8,13556
Talofa,0.0,3.0,3.0,0.0,9.0,3.0,0.0,3.0,5.0,0.0,18.0,0.0,6.8,6.8,0.0,20.5,6.8,0.0,6.8,11.4,0.0,40.9,13739
Nashua,3.0,10.0,7.0,0.0,9.0,9.0,5.0,0.0,5.0,4.0,14.0,4.5,15.2,10.6,0.0,13.6,13.6,7.6,0.0,7.6,6.1,21.2,12914
Federal (NSW),6.0,46.0,9.0,9.0,14.0,14.0,8.0,14.0,19.0,7.0,98.0,2.5,18.9,3.7,3.7,5.7,5.7,3.3,5.7,7.8,2.9,40.2,11499
Binna Burra (NSW),3.0,12.0,4.0,0.0,7.0,11.0,3.0,3.0,6.0,0.0,31.0,3.8,15.0,5.0,0.0,8.8,13.8,3.8,3.8,7.5,0.0,38.8,10371
Brunswick Heads,25.0,70.0,3.0,24.0,62.0,23.0,21.0,31.0,61.0,7.0,185.0,4.9,13.7,0.6,4.7,12.1,4.5,4.1,6.1,11.9,1.4,36.1,10621
Ocean Shores,88.0,292.0,41.0,62.0,216.0,59.0,72.0,94.0,114.0,38.0,434.0,5.8,19.3,2.7,4.1,14.3,3.9,4.8,6.2,7.5,2.5,28.7,13070
Tyagarah,0.0,7.0,0.0,0.0,7.0,3.0,3.0,3.0,3.0,0.0,23.0,0.0,14.3,0.0,0.0,14.3,6.1,6.1,6.1,6.1,0.0,46.9,13993
New Brighton,8.0,17.0,0.0,0.0,12.0,3.0,0.0,4.0,8.0,5.0,66.0,6.5,13.8,0.0,0.0,9.8,2.4,0.0,3.3,6.5,4.1,53.7,12939
South Golden Beach,17.0,66.0,3.0,16.0,32.0,6.0,11.0,12.0,23.0,3.0,83.0,6.2,24.3,1.1,5.9,11.8,2.2,4.0,4.4,8.5,1.1,30.5,13581
Wooyung,0.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,0.0,14.0,0.0,10.0,0.0,0.0,13.3,10.0,0.0,0.0,20.0,0.0,46.7,14418
Byron Bay,53.0,194.0,51.0,42.0,130.0,36.0,26.0,100.0,181.0,54.0,1082.0,2.7,10.0,2.6,2.2,6.7,1.8,1.3,5.1,9.3,2.8,55.5,10733
Suffolk Park,74.0,163.0,56.0,25.0,150.0,57.0,14.0,64.0,106.0,33.0,432.0,6.3,13.9,4.8,2.1,12.8,4.9,1.2,5.5,9.0,2.8,36.8,13684
Broken Head,3.0,9.0,5.0,4.0,11.0,0.0,0.0,4.0,11.0,0.0,23.0,4.3,12.9,7.1,5.7,15.7,0.0,0.0,5.7,15.7,0.0,32.9,10591
Woodburn (Richmond Valley - NSW),14.0,32.0,20.0,3.0,37.0,13.0,0.0,6.0,18.0,0.0,73.0,6.5,14.8,9.3,1.4,17.1,6.0,0.0,2.8,8.3,0.0,33.8,14379
Broadwater (Richmond Valley - NSW),15.0,36.0,3.0,3.0,26.0,11.0,3.0,16.0,6.0,4.0,65.0,8.0,19.1,1.6,1.6,13.8,5.9,1.6,8.5,3.2,2.1,34.6,10580
Rileys Hill,3.0,5.0,5.0,0.0,8.0,3.0,0.0,3.0,5.0,0.0,12.0,6.8,11.4,11.4,0.0,18.2,6.8,0.0,6.8,11.4,0.0,27.3,13364
Evans Head,42.0,144.0,54.0,0.0,100.0,46.0,6.0,51.0,48.0,6.0,285.0,5.4,18.4,6.9,0.0,12.8,5.9,0.8,6.5,6.1,0.8,36.4,11469
Bungawalbin,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,18.5,0.0,0.0,25.9,0.0,0.0,0.0,0.0,0.0,55.6,10683
New Italy,6.0,14.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,22.0,11.1,25.9,0.0,0.0,5.6,0.0,0.0,9.3,7.4,0.0,40.7,12941
Swan Bay (Richmond Valley - NSW),5.0,9.0,18.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,17.0,8.2,14.8,29.5,0.0,9.8,9.8,0.0,0.0,0.0,0.0,27.9,13705
Doonbah,3.0,3.0,7.0,3.0,3.0,10.0,0.0,4.0,4.0,0.0,24.0,4.9,4.9,11.5,4.9,4.9,16.4,0.0,6.6,6.6,0.0,39.3,11274
Lennox Head,131.0,266.0,240.0,72.0,182.0,278.0,46.0,113.0,223.0,38.0,358.0,6.7,13.7,12.3,3.7,9.3,14.3,2.4,5.8,11.5,2.0,18.4,12303
Myocum,19.0,27.0,9.0,36.0,19.0,8.0,17.0,13.0,22.0,10.0,106.0,6.6,9.4,3.1,12.6,6.6,2.8,5.9,4.5,7.7,3.5,37.1,12877
Billinudgel,0.0,12.0,0.0,0.0,9.0,0.0,7.0,7.0,6.0,0.0,41.0,0.0,14.6,0.0,0.0,11.0,0.0,8.5,8.5,7.3,0.0,50.0,10355
Yelgun,0.0,9.0,0.0,0.0,4.0,3.0,0.0,4.0,3.0,3.0,3.0,0.0,31.0,0.0,0.0,13.8,10.3,0.0,13.8,10.3,10.3,10.3,14499
The Pocket,5.0,25.0,0.0,9.0,3.0,0.0,7.0,7.0,4.0,0.0,29.0,5.6,28.1,0.0,10.1,3.4,0.0,7.9,7.9,4.5,0.0,32.6,13834
Middle Pocket,3.0,16.0,0.0,0.0,3.0,0.0,3.0,0.0,9.0,0.0,14.0,6.2,33.3,0.0,0.0,6.2,0.0,6.2,0.0,18.8,0.0,29.2,12606
Main Arm,8.0,33.0,4.0,14.0,13.0,5.0,14.0,5.0,8.0,6.0,105.0,3.7,15.3,1.9,6.5,6.0,2.3,6.5,2.3,3.7,2.8,48.8,12445
Upper Main Arm,0.0,6.0,0.0,7.0,0.0,0.0,0.0,11.0,4.0,0.0,55.0,0.0,7.2,0.0,8.4,0.0,0.0,0.0,13.3,4.8,0.0,66.3,14035
Mullumbimby,52.0,154.0,41.0,96.0,140.0,30.0,77.0,64.0,82.0,23.0,406.0,4.5,13.2,3.5,8.2,12.0,2.6,6.6,5.5,7.0,2.0,34.8,12828
Mullumbimby Creek,3.0,12.0,3.0,18.0,16.0,3.0,19.0,9.0,12.0,8.0,96.0,1.5,6.0,1.5,9.0,8.0,1.5,9.5,4.5,6.0,4.0,48.2,12829
Wilsons Creek,7.0,17.0,0.0,12.0,15.0,0.0,8.0,11.0,8.0,6.0,104.0,3.7,9.0,0.0,6.4,8.0,0.0,4.3,5.9,4.3,3.2,55.3,14310
Goonengerry,4.0,15.0,0.0,8.0,8.0,4.0,4.0,9.0,13.0,6.0,42.0,3.5,13.3,0.0,7.1,7.1,3.5,3.5,8.0,11.5,5.3,37.2,11712
Huonbrook,0.0,4.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,39.0,0.0,7.7,0.0,5.8,0.0,0.0,5.8,5.8,0.0,0.0,75.0,11962
Whian Whian,3.0,11.0,0.0,3.0,7.0,0.0,0.0,0.0,3.0,0.0,12.0,7.7,28.2,0.0,7.7,17.9,0.0,0.0,0.0,7.7,0.0,30.8,14272
Yorklea,5.0,25.0,11.0,0.0,9.0,9.0,3.0,6.0,5.0,3.0,52.0,3.9,19.5,8.6,0.0,7.0,7.0,2.3,4.7,3.9,2.3,40.6,14517
Casino,227.0,660.0,179.0,42.0,419.0,220.0,44.0,248.0,162.0,42.0,935.0,7.1,20.8,5.6,1.3,13.2,6.9,1.4,7.8,5.1,1.3,29.4,10843
North Casino,13.0,28.0,60.0,31.0,49.0,33.0,20.0,17.0,17.0,8.0,53.0,4.0,8.5,18.2,9.4,14.9,10.0,6.1,5.2,5.2,2.4,16.1,12987
Fairy Hill,5.0,19.0,16.0,0.0,8.0,22.0,8.0,4.0,3.0,0.0,23.0,4.6,17.6,14.8,0.0,7.4,20.4,7.4,3.7,2.8,0.0,21.3,11483
Bonalbo,3.0,24.0,0.0,0.0,17.0,0.0,0.0,7.0,3.0,0.0,44.0,3.1,24.5,0.0,0.0,17.3,0.0,0.0,7.1,3.1,0.0,44.9,10463
Coraki,23.0,56.0,50.0,0.0,50.0,28.0,3.0,21.0,20.0,12.0,158.0,5.5,13.3,11.9,0.0,11.9,6.7,0.7,5.0,4.8,2.9,37.5,11063
Mallanganee,0.0,7.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,8.0,0.0,25.9,0.0,0.0,0.0,11.1,0.0,33.3,0.0,0.0,29.6,12457
Dobies Bight,0.0,6.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0,15.0,10.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,45.0,11262
Backmede,4.0,9.0,3.0,0.0,9.0,6.0,0.0,3.0,0.0,0.0,15.0,8.2,18.4,6.1,0.0,18.4,12.2,0.0,6.1,0.0,0.0,30.6,10130
Stratheden,0.0,7.0,7.0,0.0,9.0,3.0,0.0,3.0,0.0,0.0,10.0,0.0,17.9,17.9,0.0,23.1,7.7,0.0,7.7,0.0,0.0,25.6,13674
Woodview,6.0,7.0,12.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,6.0,15.0,17.5,30.0,0.0,7.5,7.5,0.0,7.5,0.0,0.0,15.0,14397
Bentley (NSW),0.0,4.0,0.0,0.0,4.0,5.0,0.0,5.0,6.0,0.0,33.0,0.0,7.0,0.0,0.0,7.0,8.8,0.0,8.8,10.5,0.0,57.9,10298
Spring Grove,12.0,22.0,29.0,3.0,13.0,16.0,3.0,10.0,12.0,0.0,13.0,9.0,16.5,21.8,2.3,9.8,12.0,2.3,7.5,9.0,0.0,9.8,13614
Greenridge,11.0,9.0,11.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,21.0,16.4,13.4,16.4,4.5,4.5,4.5,4.5,0.0,4.5,0.0,31.3,11768
McKees Hill,4.0,21.0,18.0,8.0,11.0,18.0,10.0,4.0,10.0,0.0,21.0,3.2,16.8,14.4,6.4,8.8,14.4,8.0,3.2,8.0,0.0,16.8,12543
Tatham,9.0,9.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0,16.7,16.7,14.8,0.0,0.0,13.0,0.0,0.0,0.0,0.0,38.9,13773
West Coraki,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,11.1,0.0,13.9,0.0,0.0,0.0,0.0,0.0,75.0,14243
Ellangowan (NSW),3.0,12.0,7.0,0.0,11.0,10.0,4.0,8.0,3.0,0.0,41.0,3.0,12.1,7.1,0.0,11.1,10.1,4.0,8.1,3.0,0.0,41.4,11400
Leeville,7.0,3.0,11.0,6.0,11.0,11.0,0.0,4.0,0.0,0.0,28.0,8.6,3.7,13.6,7.4,13.6,13.6,0.0,4.9,0.0,0.0,34.6,12295
Shannon Brook,3.0,10.0,3.0,0.0,6.0,3.0,3.0,7.0,3.0,0.0,24.0,4.8,16.1,4.8,0.0,9.7,4.8,4.8,11.3,4.8,0.0,38.7,13525
Rappville,3.0,10.0,0.0,0.0,9.0,0.0,0.0,3.0,4.0,0.0,23.0,5.8,19.2,0.0,0.0,17.3,0.0,0.0,5.8,7.7,0.0,44.2,13318
Goonellabah,256.0,654.0,250.0,193.0,512.0,261.0,80.0,294.0,503.0,66.0,964.0,6.3,16.2,6.2,4.8,12.7,6.5,2.0,7.3,12.5,1.6,23.9,11711
Chilcotts Grass,0.0,8.0,10.0,0.0,7.0,5.0,0.0,3.0,10.0,5.0,10.0,0.0,13.8,17.2,0.0,12.1,8.6,0.0,5.2,17.2,8.6,17.2,10903
Eden Creek,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,13.3,0.0,0.0,46.7,11376
West Wiangaree,3.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,3.0,12.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,12.0,0.0,12.0,14254
Wiangaree,3.0,12.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,11.0,7.0,27.9,0.0,0.0,25.6,0.0,0.0,14.0,0.0,0.0,25.6,14283
Doubtful Creek,3.0,12.0,4.0,3.0,3.0,4.0,4.0,3.0,0.0,0.0,9.0,6.7,26.7,8.9,6.7,6.7,8.9,8.9,6.7,0.0,0.0,20.0,11282
Ettrick (NSW),4.0,13.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,12.0,8.9,28.9,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,26.7,11448
Kyogle,38.0,124.0,32.0,9.0,102.0,23.0,0.0,48.0,34.0,10.0,244.0,5.7,18.7,4.8,1.4,15.4,3.5,0.0,7.2,5.1,1.5,36.7,12229
Cedar Point,0.0,10.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,17.0,0.0,24.4,0.0,0.0,22.0,0.0,0.0,12.2,0.0,0.0,41.5,10871
Geneva,12.0,28.0,18.0,0.0,26.0,26.0,4.0,13.0,14.0,3.0,67.0,5.7,13.3,8.5,0.0,12.3,12.3,1.9,6.2,6.6,1.4,31.8,11599
Upper Horseshoe Creek,3.0,7.0,0.0,3.0,6.0,0.0,0.0,4.0,0.0,0.0,23.0,6.5,15.2,0.0,6.5,13.0,0.0,0.0,8.7,0.0,0.0,50.0,14028
Barkers Vale,3.0,10.0,0.0,5.0,3.0,3.0,0.0,6.0,4.0,0.0,18.0,5.8,19.2,0.0,9.6,5.8,5.8,0.0,11.5,7.7,0.0,34.6,10201
Wadeville,0.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,4.0,16.0,0.0,23.8,0.0,0.0,21.4,0.0,0.0,0.0,7.1,9.5,38.1,14082
Lillian Rock,3.0,10.0,0.0,8.0,7.0,7.0,0.0,8.0,3.0,0.0,31.0,3.9,13.0,0.0,10.4,9.1,9.1,0.0,10.4,3.9,0.0,40.3,12323
Fawcetts Plain,5.0,4.0,9.0,0.0,8.0,3.0,0.0,3.0,3.0,0.0,24.0,8.5,6.8,15.3,0.0,13.6,5.1,0.0,5.1,5.1,0.0,40.7,11498
New Park,3.0,4.0,5.0,0.0,3.0,7.0,0.0,3.0,9.0,0.0,18.0,5.8,7.7,9.6,0.0,5.8,13.5,0.0,5.8,17.3,0.0,34.6,12945
Homeleigh,4.0,3.0,3.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,12.0,12.1,9.1,9.1,0.0,9.1,0.0,0.0,15.2,9.1,0.0,36.4,11931
Cawongla,3.0,4.0,4.0,0.0,4.0,0.0,0.0,3.0,6.0,0.0,16.0,7.5,10.0,10.0,0.0,10.0,0.0,0.0,7.5,15.0,0.0,40.0,10864
Green Pigeon,0.0,13.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,27.7,0.0,0.0,21.3,0.0,0.0,6.4,0.0,0.0,44.7,11752
Collins Creek,0.0,7.0,3.0,0.0,7.0,3.0,0.0,0.0,7.0,0.0,16.0,0.0,16.3,7.0,0.0,16.3,7.0,0.0,0.0,16.3,0.0,37.2,10978
East Lismore,89.0,269.0,82.0,43.0,156.0,111.0,15.0,87.0,357.0,25.0,494.0,5.2,15.6,4.7,2.5,9.0,6.4,0.9,5.0,20.7,1.4,28.6,11358
Lismore (NSW),55.0,169.0,58.0,17.0,140.0,47.0,9.0,123.0,238.0,23.0,348.0,4.5,13.8,4.7,1.4,11.4,3.8,0.7,10.0,19.4,1.9,28.4,12344
Lismore Heights,40.0,127.0,47.0,19.0,81.0,37.0,6.0,52.0,109.0,10.0,141.0,6.0,19.0,7.0,2.8,12.1,5.5,0.9,7.8,16.3,1.5,21.1,12345
South Lismore,26.0,139.0,25.0,12.0,121.0,19.0,9.0,53.0,51.0,8.0,154.0,4.2,22.5,4.1,1.9,19.6,3.1,1.5,8.6,8.3,1.3,25.0,13589
Girards Hill,15.0,61.0,29.0,7.0,44.0,45.0,0.0,33.0,78.0,8.0,104.0,3.5,14.4,6.8,1.7,10.4,10.6,0.0,7.8,18.4,1.9,24.5,11631
Monaltrie,0.0,3.0,0.0,0.0,10.0,6.0,0.0,5.0,9.0,0.0,5.0,0.0,7.9,0.0,0.0,26.3,15.8,0.0,13.2,23.7,0.0,13.2,12674
North Lismore,9.0,35.0,11.0,0.0,35.0,21.0,0.0,21.0,25.0,4.0,79.0,3.8,14.6,4.6,0.0,14.6,8.8,0.0,8.8,10.4,1.7,32.9,12994
Loftville,5.0,8.0,0.0,0.0,9.0,0.0,0.0,10.0,4.0,0.0,37.0,6.8,11.0,0.0,0.0,12.3,0.0,0.0,13.7,5.5,0.0,50.7,12372
Modanville,3.0,45.0,7.0,9.0,27.0,25.0,6.0,16.0,15.0,5.0,50.0,1.4,21.6,3.4,4.3,13.0,12.0,2.9,7.7,7.2,2.4,24.0,12655
