,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%),SSC_CODE
Eumungerie,41.0,66.0,37.0,42.0,15.5,24.9,14.0,15.8,11456
Minore,23.0,24.0,25.0,20.0,18.1,18.9,19.7,15.7,12641
Ballimore,33.0,35.0,11.0,25.0,20.2,21.5,6.7,15.3,10161
Gilgandra,398.0,555.0,310.0,287.0,15.6,21.8,12.2,11.3,11619
Collie (NSW),39.0,29.0,27.0,26.0,24.2,18.0,16.8,16.1,10975
Armatree,22.0,26.0,11.0,13.0,19.3,22.8,9.6,11.4,10084
Curban,28.0,21.0,7.0,24.0,27.2,20.4,6.8,23.3,11166
Tooraweenah,33.0,60.0,21.0,27.0,17.2,31.2,10.9,14.1,13911
Narromine,635.0,854.0,462.0,433.0,17.4,23.4,12.7,11.9,12911
Burroway,14.0,28.0,12.0,14.0,13.9,27.7,11.9,13.9,10715
Trangie,181.0,237.0,102.0,90.0,18.5,24.2,10.4,9.2,13932
Tomingley,40.0,73.0,25.0,29.0,16.6,30.3,10.4,12.0,13896
Wellington (NSW),516.0,665.0,332.0,335.0,15.7,20.2,10.1,10.2,14221
Mumbil,22.0,52.0,28.0,32.0,9.1,21.6,11.6,13.3,12832
Stuart Town,34.0,45.0,22.0,18.0,17.4,23.1,11.3,9.2,13680
Euchareena,19.0,36.0,19.0,18.0,12.1,22.9,12.1,11.5,11452
Neurea,26.0,24.0,18.0,11.0,23.9,22.0,16.5,10.1,12933
Mount Arthur,26.0,44.0,14.0,6.0,20.2,34.1,10.9,4.7,12747
Maryvale (NSW),19.0,49.0,23.0,17.0,12.3,31.8,14.9,11.0,12517
Geurie,101.0,156.0,91.0,67.0,17.2,26.5,15.5,11.4,11608
Montefiores,96.0,128.0,51.0,36.0,21.6,28.8,11.5,8.1,12685
Greta (NSW),404.0,550.0,265.0,270.0,19.0,25.9,12.5,12.7,11778
Lower Belford,73.0,85.0,44.0,37.0,22.2,25.8,13.4,11.2,12401
Belford,36.0,38.0,18.0,14.0,26.7,28.1,13.3,10.4,10258
Branxton,308.0,419.0,228.0,190.0,19.8,26.9,14.6,12.2,10549
Pokolbin,170.0,214.0,124.0,66.0,20.4,25.7,14.9,7.9,13236
Keinbah,20.0,25.0,16.0,12.0,20.8,26.0,16.7,12.5,12084
Lovedale,76.0,117.0,56.0,63.0,18.7,28.7,13.8,15.5,12396
East Branxton,297.0,375.0,163.0,181.0,22.4,28.3,12.3,13.6,11346
North Rothbury,143.0,172.0,87.0,90.0,22.0,26.5,13.4,13.9,13004
Leconfield,19.0,43.0,9.0,21.0,17.4,39.4,8.3,19.3,12291
Cessnock,2028.0,2629.0,1328.0,1331.0,16.5,21.3,10.8,10.8,10878
Nulkaba,119.0,135.0,77.0,66.0,21.8,24.8,14.1,12.1,13031
Aberdare,350.0,501.0,240.0,211.0,18.1,25.9,12.4,10.9,10006
Kearsley,132.0,160.0,84.0,72.0,20.1,24.3,12.8,10.9,12080
Bellbird,236.0,409.0,203.0,192.0,15.0,26.0,12.9,12.2,10268
Bellbird Heights,120.0,176.0,96.0,68.0,18.9,27.7,15.1,10.7,10269
Ellalong,169.0,219.0,140.0,99.0,19.6,25.3,16.2,11.5,11398
Kitchener,68.0,86.0,48.0,56.0,18.0,22.8,12.7,14.8,12174
Abernethy,46.0,61.0,22.0,30.0,17.8,23.6,8.5,11.6,10011
Mulbring,97.0,125.0,80.0,68.0,20.3,26.2,16.7,14.2,12813
Buchanan (NSW),31.0,53.0,16.0,17.0,20.4,34.9,10.5,11.2,10628
Millfield,126.0,185.0,85.0,103.0,16.3,23.9,11.0,13.3,12620
Paxton,123.0,174.0,100.0,86.0,17.2,24.3,13.9,12.0,13162
Black Hill (NSW),87.0,111.0,69.0,60.0,19.4,24.8,15.4,13.4,10385
Mount Vincent,61.0,92.0,52.0,41.0,20.7,31.3,17.7,13.9,12799
Brunkerville,38.0,44.0,32.0,19.0,21.6,25.0,18.2,10.8,10620
Quorrobolong,75.0,132.0,60.0,55.0,17.4,30.6,13.9,12.8,13302
Congewai,23.0,58.0,27.0,10.0,14.6,36.7,17.1,6.3,11007
Mount View,15.0,25.0,11.0,17.0,13.0,21.7,9.6,14.8,12798
Paynes Crossing,5.0,17.0,7.0,10.0,5.5,18.7,7.7,11.0,13163
Laguna,18.0,52.0,26.0,24.0,10.6,30.6,15.3,14.1,12237
Wollombi,29.0,56.0,27.0,20.0,16.7,32.2,15.5,11.5,14355
Watagan,23.0,29.0,13.0,22.0,22.1,27.9,12.5,21.2,14180
Murrays Run,22.0,47.0,27.0,17.0,16.3,34.8,20.0,12.6,12855
Bucketty,22.0,36.0,27.0,14.0,15.3,25.0,18.8,9.7,10634
Clarence Town,300.0,449.0,237.0,217.0,18.5,27.7,14.6,13.4,10920
Dungog,275.0,437.0,219.0,218.0,16.1,25.6,12.9,12.8,11320
Bendolba,23.0,34.0,17.0,33.0,15.1,22.4,11.2,21.7,10291
Paterson (NSW),137.0,190.0,127.0,93.0,19.8,27.5,18.4,13.5,13159
Martins Creek,51.0,87.0,36.0,52.0,16.8,28.6,11.8,17.1,12511
Torryburn (Dungog - NSW),30.0,40.0,27.0,7.0,24.6,32.8,22.1,5.7,13920
Vacy,109.0,132.0,64.0,71.0,22.7,27.4,13.3,14.8,14063
East Gresford,39.0,60.0,23.0,36.0,16.2,25.0,9.6,15.0,11350
Gresford,38.0,48.0,16.0,25.0,18.5,23.4,7.8,12.2,11777
Glen Martin,24.0,34.0,19.0,25.0,18.5,26.2,14.6,19.2,11650
Wallarobba,21.0,36.0,25.0,20.0,15.0,25.7,17.9,14.3,14111
Hilldale,30.0,30.0,34.0,20.0,19.0,19.0,21.5,12.7,11906
Glen Oak,74.0,80.0,25.0,28.0,26.0,28.1,8.8,9.8,11652
Glen William,21.0,26.0,17.0,16.0,22.1,27.4,17.9,16.8,11654
Brookfield (NSW),34.0,42.0,20.0,25.0,19.9,24.6,11.7,14.6,10596
Abermain,324.0,495.0,233.0,233.0,17.3,26.4,12.4,12.4,10010
Weston (NSW),463.0,653.0,351.0,360.0,16.2,22.8,12.3,12.6,14262
Kurri Kurri,883.0,1175.0,571.0,523.0,17.8,23.7,11.5,10.5,12221
Stanford Merthyr,90.0,106.0,55.0,52.0,19.7,23.1,12.0,11.4,13647
Pelaw Main,171.0,203.0,90.0,116.0,20.6,24.5,10.9,14.0,13177
Heddon Greta,346.0,451.0,219.0,166.0,21.5,28.0,13.6,10.3,11888
Neath,61.0,85.0,37.0,42.0,15.1,21.0,9.2,10.4,12917
Cliftleigh,106.0,133.0,77.0,65.0,18.8,23.6,13.7,11.5,10932
Sawyers Gully,78.0,106.0,53.0,59.0,18.1,24.7,12.3,13.7,13499
Hunterview,497.0,652.0,282.0,263.0,22.6,29.7,12.8,12.0,11955
Redbournberry,39.0,59.0,23.0,27.0,20.2,30.6,11.9,14.0,13337
Singleton (NSW),834.0,1163.0,486.0,443.0,20.3,28.4,11.9,10.8,13549
Whittingham,47.0,73.0,43.0,55.0,15.7,24.4,14.4,18.4,14279
Gowrie (Singleton - NSW),57.0,69.0,47.0,38.0,23.2,28.0,19.1,15.4,11729
Glenridding,46.0,46.0,32.0,17.0,20.9,20.9,14.5,7.7,11676
Singleton Heights,723.0,980.0,432.0,396.0,20.0,27.2,12.0,11.0,13550
Wattle Ponds,168.0,240.0,139.0,117.0,20.7,29.5,17.1,14.4,14193
McDougalls Hill,32.0,20.0,18.0,16.0,26.7,16.7,15.0,13.3,12541
Darlington (Singleton - NSW),59.0,76.0,36.0,38.0,19.7,25.4,12.0,12.7,11213
Broke (NSW),72.0,99.0,59.0,58.0,16.5,22.7,13.5,13.3,10590
Putty,18.0,20.0,4.0,23.0,12.1,13.4,2.7,15.4,13279
Howes Valley,12.0,10.0,15.0,4.0,12.1,10.1,15.2,4.0,11948
Bulga (NSW),43.0,63.0,42.0,57.0,15.0,22.0,14.7,19.9,10651
Jerrys Plains,53.0,81.0,40.0,31.0,17.3,26.5,13.1,10.1,12021
Maison Dieu,25.0,39.0,18.0,20.0,17.1,26.7,12.3,13.7,12448
Bridgman,25.0,40.0,29.0,28.0,16.0,25.6,18.6,17.9,10567
Mount Olive (Singleton - NSW),32.0,30.0,13.0,35.0,25.6,24.0,10.4,28.0,12781
Westbrook (NSW),19.0,25.0,17.0,23.0,16.0,21.0,14.3,19.3,14257
Reedy Creek (NSW),26.0,30.0,22.0,23.0,17.4,20.1,14.8,15.4,13342
Sedgefield,31.0,37.0,20.0,26.0,22.3,26.6,14.4,18.7,13514
Mitchells Flat,41.0,47.0,23.0,26.0,24.4,28.0,13.7,15.5,12651
Glendon,12.0,25.0,20.0,14.0,13.6,28.4,22.7,15.9,11660
Elderslie (Singleton - NSW),25.0,30.0,18.0,7.0,23.4,28.0,16.8,6.5,11392
Lambs Valley (Singleton - NSW),47.0,66.0,49.0,42.0,16.5,23.2,17.2,14.7,12263
Stanhope (NSW),29.0,27.0,12.0,25.0,24.2,22.5,10.0,20.8,13648
Glendon Brook,28.0,48.0,41.0,27.0,14.0,24.0,20.5,13.5,11661
Maitland (NSW),304.0,419.0,166.0,129.0,18.9,26.1,10.3,8.0,12449
South Maitland,55.0,81.0,50.0,33.0,13.8,20.2,12.5,8.2,13591
Gillieston Heights,559.0,687.0,273.0,265.0,23.9,29.3,11.7,11.3,11624
Louth Park,117.0,143.0,73.0,51.0,23.2,28.3,14.5,10.1,12395
Horseshoe Bend,58.0,68.0,46.0,27.0,18.5,21.7,14.6,8.6,11939
Oakhampton,17.0,41.0,16.0,15.0,9.7,23.4,9.1,8.6,13056
East Maitland,2100.0,2551.0,1271.0,912.0,21.7,26.3,13.1,9.4,11360
Metford,751.0,971.0,447.0,424.0,20.8,26.8,12.4,11.7,12592
Tenambit,445.0,612.0,316.0,240.0,19.1,26.3,13.6,10.3,13787
Raworth,292.0,366.0,205.0,173.0,22.1,27.7,15.5,13.1,13325
Morpeth,247.0,341.0,186.0,128.0,20.9,28.9,15.8,10.9,12727
Ashtonfield,811.0,969.0,517.0,377.0,23.0,27.5,14.7,10.7,10102
Chisholm (NSW),255.0,377.0,167.0,110.0,23.7,35.1,15.5,10.2,10909
Largs,324.0,403.0,227.0,153.0,22.1,27.5,15.5,10.4,12278
Bolwarra Heights,479.0,679.0,339.0,288.0,21.4,30.3,15.1,12.9,10451
Lorn,254.0,342.0,161.0,101.0,23.6,31.7,14.9,9.4,12389
Bolwarra (NSW),184.0,247.0,122.0,99.0,23.1,31.1,15.3,12.5,10450
Woodville (NSW),65.0,93.0,46.0,47.0,18.6,26.6,13.2,13.5,14398
Maitland Vale,24.0,34.0,17.0,10.0,23.1,32.7,16.3,9.6,12451
Rutherford,1758.0,2289.0,1162.0,968.0,19.2,25.1,12.7,10.6,13449
Aberglasslyn,893.0,1150.0,546.0,456.0,22.5,29.0,13.8,11.5,10009
Luskintyre,27.0,31.0,25.0,35.0,17.1,19.6,15.8,22.2,12423
Lochinvar,128.0,161.0,93.0,94.0,19.6,24.7,14.2,14.4,12368
Windella,139.0,165.0,102.0,70.0,23.6,28.1,17.3,11.9,14317
Telarah,370.0,465.0,202.0,216.0,19.8,24.9,10.8,11.6,13780
Farley,44.0,56.0,20.0,20.0,24.7,31.5,11.2,11.2,11490
Bishops Bridge,39.0,62.0,28.0,21.0,19.4,30.8,13.9,10.4,10380
Thornton (NSW),1386.0,1789.0,791.0,751.0,22.3,28.8,12.7,12.1,13851
Millers Forest,60.0,81.0,41.0,34.0,21.1,28.4,14.4,11.9,12618
Berry Park,19.0,32.0,12.0,11.0,17.0,28.6,10.7,9.8,10325
Anna Bay,594.0,750.0,442.0,319.0,18.4,23.2,13.7,9.9,10060
Boat Harbour (Port Stephens - NSW),133.0,243.0,116.0,90.0,17.7,32.3,15.4,12.0,10425
Bobs Farm,86.0,105.0,32.0,37.0,22.5,27.5,8.4,9.7,10429
One Mile (NSW),70.0,82.0,52.0,31.0,20.9,24.5,15.5,9.3,13085
Lemon Tree Passage,339.0,549.0,337.0,309.0,15.5,25.1,15.4,14.1,12300
Mallabula,142.0,184.0,94.0,93.0,18.8,24.4,12.5,12.3,12455
Tanilba Bay,409.0,637.0,372.0,326.0,16.0,25.0,14.6,12.8,13748
Salamander Bay,736.0,1045.0,541.0,477.0,18.2,25.8,13.4,11.8,13463
Soldiers Point,226.0,329.0,206.0,115.0,18.4,26.8,16.8,9.4,13570
Corlette,800.0,1281.0,689.0,508.0,17.8,28.5,15.3,11.3,11075
Taylors Beach (NSW),16.0,30.0,13.0,10.0,16.7,31.2,13.5,10.4,13777
Nelson Bay (NSW),982.0,1360.0,673.0,470.0,20.0,27.6,13.7,9.6,12923
Fingal Bay,213.0,328.0,202.0,163.0,14.7,22.6,13.9,11.2,11518
Shoal Bay (NSW),234.0,331.0,154.0,156.0,14.3,20.2,9.4,9.5,13539
Raymond Terrace,1883.0,2480.0,1225.0,1057.0,18.7,24.6,12.2,10.5,13327
Tomago,42.0,44.0,22.0,27.0,16.4,17.2,8.6,10.5,13889
Heatherbrae,85.0,100.0,47.0,48.0,18.3,21.5,10.1,10.3,11884
Eagleton,25.0,49.0,34.0,34.0,14.6,28.7,19.9,19.9,11342
Duns Creek,76.0,152.0,70.0,54.0,17.8,35.7,16.4,12.7,11326
Seaham,161.0,231.0,125.0,107.0,20.3,29.1,15.7,13.5,13510
Wallalong,203.0,216.0,119.0,81.0,25.9,27.5,15.2,10.3,14104
Brandy Hill,120.0,149.0,100.0,78.0,21.0,26.0,17.5,13.6,10548
Hinton,78.0,106.0,80.0,31.0,21.0,28.6,21.6,8.4,11916
Butterwick,30.0,27.0,25.0,20.0,23.6,21.3,19.7,15.7,10725
East Seaham,57.0,91.0,39.0,24.0,21.4,34.2,14.7,9.0,11362
Nelsons Plains,51.0,80.0,44.0,29.0,18.1,28.4,15.6,10.3,12924
Osterley (NSW),13.0,27.0,9.0,13.0,13.4,27.8,9.3,13.4,13099
Tea Gardens,390.0,688.0,455.0,361.0,14.8,26.0,17.2,13.7,13779
North Arm Cove,62.0,99.0,78.0,59.0,15.9,25.4,20.1,15.2,12979
Bundabah,7.0,33.0,15.0,15.0,7.9,37.1,16.9,16.9,10668
Pindimar,52.0,82.0,51.0,44.0,16.9,26.6,16.6,14.3,13211
Hawks Nest,167.0,295.0,148.0,120.0,15.5,27.4,13.7,11.1,11873
Karuah,187.0,274.0,180.0,142.0,15.8,23.2,15.2,12.0,12076
Medowie,1496.0,2069.0,1096.0,828.0,20.5,28.4,15.0,11.4,12554
Salt Ash,175.0,241.0,117.0,128.0,18.7,25.7,12.5,13.7,13467
Williamtown,153.0,140.0,80.0,58.0,18.4,16.8,9.6,7.0,14299
Twelve Mile Creek,20.0,26.0,14.0,16.0,13.5,17.6,9.5,10.8,13988
Swan Bay (Port Stephens - NSW),52.0,87.0,35.0,31.0,19.8,33.1,13.3,11.8,13704
Muswellbrook,1789.0,2279.0,1098.0,1107.0,19.2,24.5,11.8,11.9,12868
Denman,278.0,382.0,167.0,157.0,19.7,27.0,11.8,11.1,11241
Gungal,23.0,52.0,14.0,40.0,12.2,27.7,7.4,21.3,11810
Martindale,26.0,30.0,23.0,25.0,18.4,21.3,16.3,17.7,12510
Castle Rock,23.0,32.0,18.0,22.0,15.8,21.9,12.3,15.1,10848
Aberdeen (NSW),318.0,410.0,212.0,196.0,19.4,25.1,13.0,12.0,10007
Wybong,12.0,32.0,11.0,13.0,12.8,34.0,11.7,13.8,14436
Sandy Hollow,25.0,39.0,7.0,15.0,18.9,29.5,5.3,11.4,13486
Muscle Creek,51.0,59.0,48.0,16.0,22.4,25.9,21.1,7.0,12867
McCullys Gap,30.0,50.0,31.0,38.0,15.9,26.5,16.4,20.1,12540
Scone,894.0,1158.0,540.0,433.0,20.1,26.0,12.1,9.7,13503
Middle Brook,41.0,54.0,21.0,24.0,23.8,31.4,12.2,14.0,12600
Dartbrook,13.0,26.0,13.0,11.0,16.0,32.1,16.0,13.6,11217
Segenhoe,39.0,42.0,11.0,21.0,22.2,23.9,6.2,11.9,13517
Rouchel,18.0,38.0,23.0,8.0,14.4,30.4,18.4,6.4,13422
Murrurundi,135.0,226.0,120.0,84.0,15.6,26.1,13.9,9.7,12864
Blandford,27.0,43.0,18.0,25.0,17.3,27.6,11.5,16.0,10406
Wingen,37.0,59.0,41.0,21.0,15.5,24.7,17.2,8.8,14331
Parkville (NSW),50.0,55.0,25.0,33.0,22.4,24.7,11.2,14.8,13154
Upper Dartbrook,19.0,41.0,20.0,11.0,16.2,35.0,17.1,9.4,14022
Gundy,28.0,55.0,18.0,17.0,17.4,34.2,11.2,10.6,11809
Moonan Flat,23.0,27.0,9.0,13.0,21.7,25.5,8.5,12.3,12697
Niangala,19.0,39.0,10.0,12.0,18.6,38.2,9.8,11.8,12962
Merriwa (NSW),245.0,347.0,176.0,169.0,17.4,24.7,12.5,12.0,12585
Moobi,25.0,37.0,11.0,12.0,22.1,32.7,9.7,10.6,12688
Dapto,1768.0,2240.0,1132.0,910.0,20.3,25.8,13.0,10.5,11202
Kanahooka,902.0,1209.0,613.0,538.0,19.4,26.0,13.2,11.6,12055
Koonawarra,597.0,630.0,339.0,341.0,20.7,21.9,11.8,11.8,12187
Avondale (NSW),267.0,341.0,195.0,150.0,19.7,25.1,14.4,11.0,10116
Marshall Mount,22.0,37.0,21.0,13.0,20.0,33.6,19.1,11.8,12507
Haywards Bay,176.0,212.0,121.0,89.0,23.0,27.7,15.8,11.6,11880
Brownsville,89.0,119.0,57.0,39.0,18.8,25.2,12.1,8.2,10612
Horsley,1443.0,1832.0,838.0,624.0,23.1,29.4,13.4,10.0,11942
Wongawilli,34.0,28.0,14.0,13.0,30.1,24.8,12.4,11.5,14374
Kembla Grange,42.0,54.0,21.0,31.0,20.2,26.0,10.1,14.9,12092
Dombarton,32.0,30.0,18.0,13.0,29.1,27.3,16.4,11.8,11270
Port Kembla,808.0,957.0,534.0,397.0,19.3,22.9,12.8,9.5,13245
Coniston,443.0,478.0,213.0,152.0,23.5,25.3,11.3,8.1,11010
Unanderra,829.0,1024.0,520.0,448.0,18.4,22.8,11.6,10.0,14008
Mount Kembla,201.0,260.0,135.0,92.0,24.5,31.7,16.4,11.2,12769
Kembla Heights,21.0,18.0,6.0,8.0,23.6,20.2,6.7,9.0,12093
Cordeaux Heights,923.0,1105.0,513.0,349.0,24.9,29.9,13.9,9.4,11070
Farmborough Heights,770.0,945.0,507.0,337.0,22.8,27.9,15.0,10.0,11491
Berkeley,1085.0,1396.0,661.0,623.0,17.6,22.6,10.7,10.1,10303
Cringila,306.0,308.0,170.0,177.0,17.6,17.8,9.8,10.2,11116
Lake Heights,596.0,731.0,337.0,352.0,19.3,23.6,10.9,11.4,12248
Warrawong,686.0,784.0,375.0,389.0,18.0,20.6,9.8,10.2,14167
Windang,437.0,530.0,285.0,207.0,18.7,22.7,12.2,8.9,14316
Primbee,280.0,342.0,171.0,130.0,20.3,24.8,12.4,9.4,13264
Mount Keira,320.0,390.0,215.0,123.0,24.4,29.8,16.4,9.4,12768
Bulli,1125.0,1408.0,692.0,469.0,23.8,29.8,14.6,9.9,10662
Bargo,690.0,947.0,472.0,415.0,19.8,27.2,13.6,11.9,10198
Yerrinbool,179.0,269.0,120.0,105.0,20.0,30.0,13.4,11.7,14510
Wilton (NSW),539.0,678.0,336.0,246.0,23.9,30.1,14.9,10.9,14311
Pheasants Nest,97.0,158.0,79.0,53.0,17.8,29.0,14.5,9.7,13191
Albion Park,2303.0,2819.0,1343.0,1066.0,22.2,27.2,12.9,10.3,10025
Calderwood,29.0,37.0,26.0,16.0,20.4,26.1,18.3,11.3,10750
Tullimbar,104.0,110.0,63.0,43.0,25.7,27.2,15.6,10.6,13958
Yellow Rock (Shellharbour - NSW),37.0,44.0,21.0,18.0,21.8,25.9,12.4,10.6,14503
Albion Park Rail,1048.0,1373.0,726.0,589.0,18.6,24.4,12.9,10.5,10026
Kiama,1241.0,1673.0,865.0,571.0,21.1,28.5,14.7,9.7,12116
Kiama Heights,149.0,193.0,114.0,82.0,21.2,27.5,16.2,11.7,12118
Bombo,21.0,16.0,22.0,13.0,20.8,15.8,21.8,12.9,10458
Kiama Downs,928.0,1223.0,626.0,432.0,23.0,30.3,15.5,10.7,12117
Minnamurra,108.0,205.0,94.0,74.0,17.6,33.3,15.3,12.0,12639
Gerringong,676.0,939.0,441.0,325.0,21.0,29.1,13.7,10.1,11606
Jamberoo,289.0,392.0,191.0,184.0,21.0,28.5,13.9,13.4,11998
Werri Beach,123.0,116.0,74.0,47.0,26.4,24.9,15.9,10.1,14233
Gerroa,126.0,153.0,78.0,55.0,21.5,26.2,13.3,9.4,11607
Curramore (NSW),33.0,48.0,35.0,15.0,20.2,29.4,21.5,9.2,11174
Jerrara,17.0,31.0,23.0,19.0,15.6,28.4,21.1,17.4,12017
Toolijooa,22.0,28.0,11.0,17.0,19.0,24.1,9.5,14.7,13903
Foxground,15.0,32.0,33.0,20.0,11.1,23.7,24.4,14.8,11558
Flinders (NSW),1168.0,1458.0,652.0,513.0,22.9,28.6,12.8,10.1,11534
Shellharbour,618.0,773.0,419.0,299.0,20.9,26.1,14.2,10.1,13533
Shell Cove,967.0,1236.0,631.0,427.0,23.2,29.7,15.2,10.3,13532
Barrack Point,109.0,147.0,67.0,59.0,19.6,26.4,12.1,10.6,10208
Dunmore (NSW),33.0,49.0,29.0,19.0,18.8,27.8,16.5,10.8,11323
Oak Flats,1099.0,1388.0,698.0,612.0,20.8,26.2,13.2,11.6,13053
Blackbutt (NSW),586.0,657.0,339.0,269.0,21.5,24.1,12.5,9.9,10391
Shellharbour City Centre,26.0,26.0,22.0,9.0,11.5,11.5,9.7,4.0,13534
Warilla,912.0,1075.0,608.0,510.0,17.1,20.1,11.4,9.5,14151
Lake Illawarra,540.0,642.0,271.0,274.0,20.2,24.0,10.1,10.3,12250
Barrack Heights,901.0,1135.0,646.0,549.0,18.9,23.8,13.6,11.5,10207
Mount Warrigal,745.0,944.0,513.0,454.0,18.7,23.7,12.9,11.4,12801
Fairy Meadow,1447.0,1591.0,681.0,501.0,23.1,25.4,10.9,8.0,11484
Balgownie,966.0,1278.0,629.0,458.0,21.3,28.2,13.9,10.1,10155
Gwynneville,693.0,574.0,240.0,168.0,26.4,21.9,9.2,6.4,11825
North Wollongong,753.0,570.0,152.0,78.0,31.1,23.5,6.3,3.2,13017
Mount Ousley,271.0,397.0,171.0,133.0,21.0,30.8,13.3,10.3,12782
Mount Pleasant (NSW),239.0,325.0,155.0,108.0,22.2,30.1,14.4,10.0,12784
Tarrawanna,369.0,404.0,241.0,185.0,20.8,22.8,13.6,10.5,13769
Corrimal,1195.0,1428.0,711.0,473.0,22.2,26.6,13.2,8.8,11082
Towradgi,578.0,721.0,325.0,226.0,22.4,28.0,12.6,8.8,13929
Fernhill,170.0,208.0,92.0,76.0,19.4,23.7,10.5,8.7,11507
East Corrimal,668.0,802.0,317.0,247.0,24.1,28.9,11.4,8.9,11348
Bellambi,619.0,762.0,402.0,307.0,19.0,23.4,12.4,9.4,10264
West Wollongong,1029.0,1115.0,433.0,349.0,26.5,28.7,11.1,9.0,14255
Keiraville,909.0,839.0,304.0,212.0,29.6,27.3,9.9,6.9,12085
Figtree,2021.0,2549.0,1267.0,974.0,21.8,27.5,13.7,10.5,11515
Helensburgh,1190.0,1410.0,680.0,457.0,24.2,28.6,13.8,9.3,11890
Otford,71.0,105.0,39.0,36.0,24.1,35.7,13.3,12.2,13101
Stanwell Park,315.0,345.0,168.0,95.0,27.5,30.1,14.6,8.3,13653
Stanwell Tops,84.0,114.0,65.0,40.0,20.9,28.4,16.2,10.0,13654
Thirroul,1117.0,1463.0,681.0,463.0,23.1,30.2,14.1,9.6,13848
Austinmer,489.0,656.0,312.0,209.0,24.0,32.3,15.3,10.3,10108
Coledale,237.0,312.0,141.0,95.0,24.2,31.8,14.4,9.7,10966
Wombarra,163.0,228.0,116.0,95.0,22.8,31.9,16.2,13.3,14363
Scarborough (NSW),65.0,70.0,33.0,21.0,27.5,29.7,14.0,8.9,13500
Coalcliff,37.0,58.0,23.0,12.0,24.0,37.7,14.9,7.8,10944
Woonona,2219.0,2727.0,1310.0,909.0,22.7,27.9,13.4,9.3,14416
Russell Vale,246.0,329.0,158.0,151.0,20.4,27.2,13.1,12.5,13448
Wollongong,4311.0,4115.0,1303.0,847.0,25.7,24.5,7.8,5.0,14358
Mount Saint Thomas,263.0,360.0,146.0,114.0,22.1,30.2,12.3,9.6,12791
Mangerton,550.0,688.0,296.0,206.0,23.5,29.3,12.6,8.8,12468
Bulahdelah,194.0,259.0,181.0,145.0,15.7,21.0,14.7,11.7,10649
Wards River,26.0,42.0,15.0,20.0,16.7,26.9,9.6,12.8,14147
Stroud Road,29.0,39.0,30.0,24.0,14.9,20.1,15.5,12.4,13679
Stroud,117.0,205.0,105.0,99.0,15.7,27.4,14.1,13.3,13677
Girvan,22.0,37.0,18.0,21.0,16.1,27.0,13.1,15.3,11637
Nerong,19.0,29.0,11.0,10.0,19.6,29.9,11.3,10.3,12929
Allworth,21.0,26.0,23.0,27.0,15.2,18.8,16.7,19.6,10041
Bunyah,21.0,39.0,20.0,18.0,16.8,31.2,16.0,14.4,10690
Markwell,16.0,35.0,18.0,12.0,15.0,32.7,16.8,11.2,12493
Booral (NSW),60.0,88.0,43.0,47.0,17.6,25.9,12.6,13.8,10496
Limeburners Creek (Mid-Coast - NSW),28.0,76.0,40.0,35.0,10.5,28.6,15.0,13.2,12328
Forster (NSW),1937.0,2913.0,1676.0,1259.0,16.4,24.7,14.2,10.7,11550
Green Point (Mid-Coast - NSW),81.0,132.0,90.0,56.0,17.5,28.4,19.4,12.1,11755
Darawank,60.0,83.0,41.0,40.0,19.0,26.3,13.0,12.7,11203
Tarbuck Bay,34.0,42.0,26.0,17.0,23.0,28.4,17.6,11.5,13762
Nabiac,194.0,263.0,149.0,121.0,19.2,26.0,14.7,12.0,12885
Failford,63.0,117.0,73.0,81.0,13.6,25.3,15.8,17.5,11476
Coomba Park,71.0,116.0,83.0,79.0,12.7,20.8,14.8,14.1,11038
Smiths Lake,147.0,275.0,159.0,137.0,15.0,28.1,16.2,14.0,13563
Bungwahl,40.0,47.0,48.0,30.0,20.6,24.2,24.7,15.5,10687
Charlotte Bay,29.0,24.0,17.0,28.0,20.9,17.3,12.2,20.1,10887
Wootton,30.0,40.0,30.0,29.0,17.2,23.0,17.2,16.7,14417
Coolongolook,42.0,83.0,47.0,42.0,12.7,25.1,14.2,12.7,11032
Coomba Bay,20.0,21.0,21.0,22.0,17.4,18.3,18.3,19.1,11037
Minimbah,27.0,43.0,24.0,24.0,16.7,26.5,14.8,14.8,12636
Elizabeth Beach,22.0,67.0,22.0,22.0,12.1,36.8,12.1,12.1,11396
Blueys Beach,28.0,42.0,28.0,24.0,17.2,25.8,17.2,14.7,10420
Boomerang Beach,35.0,75.0,25.0,25.0,15.3,32.8,10.9,10.9,10487
Tuncurry,873.0,1279.0,670.0,569.0,15.6,22.9,12.0,10.2,13969
South Kempsey,255.0,364.0,210.0,220.0,14.2,20.3,11.7,12.2,13588
West Kempsey,518.0,810.0,466.0,421.0,13.4,21.0,12.1,10.9,14247
Kempsey,54.0,67.0,52.0,36.0,13.5,16.8,13.0,9.0,12095
Frederickton,179.0,265.0,116.0,125.0,15.9,23.5,10.3,11.1,11561
Aldavilla,107.0,148.0,95.0,71.0,9.5,13.1,8.4,6.3,10028
Euroka,57.0,65.0,56.0,39.0,19.9,22.6,19.5,13.6,11464
Dondingalong,102.0,147.0,99.0,82.0,17.8,25.7,17.3,14.3,11272
