,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Calala,2247.0,1025.0,388.0,820.0,74.8,34.1,12.9,27.3,10748
Kingswood (Tamworth Regional - NSW),617.0,236.0,87.0,204.0,74.7,28.3,10.5,24.6,12164
South Tamworth,3279.0,1355.0,579.0,885.0,61.6,25.4,10.9,16.6,13597
West Tamworth,2397.0,971.0,470.0,605.0,58.3,23.6,11.4,14.7,14252
North Tamworth,2765.0,1057.0,469.0,860.0,64.8,24.8,11.0,20.2,13011
Tamworth,90.0,38.0,18.0,21.0,59.6,25.3,11.2,13.2,13746
East Tamworth,3258.0,1146.0,551.0,1237.0,74.3,26.1,12.6,28.2,11363
Oxley Vale,1933.0,867.0,368.0,517.0,67.6,30.2,12.8,18.0,13111
Nemingha,418.0,161.0,75.0,125.0,75.2,29.5,13.6,22.8,12926
Westdale (Tamworth Regional - NSW),1360.0,720.0,230.0,289.0,69.2,36.6,11.8,14.8,14259
Kootingal,1244.0,513.0,206.0,349.0,75.3,31.0,12.4,21.2,12194
Duri,286.0,114.0,57.0,96.0,67.9,26.6,13.3,22.9,11332
Bithramere,107.0,38.0,16.0,42.0,69.0,25.0,10.5,28.0,10381
Winton (NSW),127.0,38.0,24.0,40.0,69.8,21.7,13.2,22.1,14336
Rushes Creek,58.0,8.0,13.0,16.0,65.9,8.6,13.8,16.8,13445
Somerton (NSW),155.0,56.0,30.0,50.0,66.0,24.3,12.6,21.4,13572
Bective,124.0,39.0,21.0,39.0,70.5,22.4,11.5,23.1,10245
Attunga,314.0,126.0,66.0,84.0,68.1,27.5,14.4,18.1,10105
Garthowen,94.0,26.0,11.0,19.0,71.2,21.3,8.7,15.2,11593
Limbri,68.0,16.0,15.0,18.0,74.7,16.3,16.0,18.4,12327
Tintinhull,232.0,99.0,52.0,87.0,75.3,32.4,16.9,28.2,13879
Loomberah,315.0,133.0,37.0,121.0,78.8,32.9,9.2,30.5,12386
Moonbi,608.0,222.0,109.0,183.0,65.0,23.9,11.7,19.8,12699
Bendemeer,284.0,75.0,34.0,97.0,66.7,18.2,8.2,23.3,10289
Watsons Creek (NSW),61.0,15.0,16.0,19.0,56.5,15.0,15.0,18.1,14188
Halls Creek (NSW),77.0,35.0,7.0,20.0,77.0,33.0,6.5,20.0,11834
Barraba,710.0,204.0,154.0,301.0,58.3,16.9,12.7,24.7,10206
Upper Manilla,65.0,21.0,13.0,32.0,61.3,19.3,12.1,28.8,14037
Manilla,1225.0,459.0,290.0,449.0,58.6,22.0,13.9,21.4,12474
Daruka,515.0,220.0,70.0,203.0,83.2,35.5,11.4,32.8,11218
Moore Creek,1365.0,682.0,219.0,455.0,79.7,39.7,12.7,26.5,12710
Hallsville,339.0,121.0,77.0,120.0,78.7,28.2,17.8,28.1,11835
Nundle,251.0,102.0,71.0,144.0,62.1,24.6,17.1,35.2,13043
Ogunbil,99.0,33.0,16.0,31.0,78.6,25.2,12.4,24.0,13071
Dungowan,227.0,108.0,37.0,88.0,74.7,35.8,12.3,29.9,11321
Piallamore,164.0,77.0,21.0,70.0,81.2,37.9,10.6,35.7,13195
Woolomin,138.0,59.0,26.0,39.0,64.2,26.8,12.3,17.9,14408
Warral,224.0,83.0,47.0,78.0,70.9,26.0,15.0,25.2,14163
Timbumburi,100.0,49.0,19.0,25.0,87.7,42.6,15.6,21.6,13870
Windale,1474.0,661.0,410.0,272.0,56.2,25.2,15.6,10.4,14315
Jewells,1535.0,698.0,290.0,396.0,77.6,35.2,14.6,20.0,12024
Belmont North,3710.0,1688.0,700.0,954.0,73.0,33.2,13.8,18.8,10277
Belmont (NSW),4200.0,1664.0,747.0,1017.0,70.0,27.7,12.4,17.0,10276
Floraville,1134.0,533.0,192.0,321.0,79.3,37.2,13.4,22.4,11535
Blacksmiths,1046.0,440.0,214.0,272.0,67.1,28.1,13.6,17.4,10396
Pelican (NSW),539.0,226.0,125.0,137.0,71.0,29.9,16.5,18.0,13178
Marks Point,1057.0,434.0,215.0,234.0,69.0,28.2,14.0,15.3,12492
Belmont South,570.0,223.0,111.0,133.0,63.1,24.7,12.4,14.8,10278
Kahibah,1517.0,669.0,228.0,378.0,77.7,34.2,11.6,19.3,12048
Charlestown (NSW),7938.0,3156.0,1366.0,1927.0,74.7,29.7,12.9,18.2,10885
Whitebridge,1588.0,735.0,273.0,389.0,75.4,34.9,13.0,18.5,14276
Gateshead,1560.0,729.0,340.0,302.0,63.1,29.6,13.8,12.2,11594
Dudley,1532.0,708.0,291.0,420.0,80.8,37.3,15.3,22.1,11300
Highfields (NSW),502.0,216.0,90.0,110.0,74.5,32.1,13.4,16.4,11902
Garden Suburb,1174.0,480.0,182.0,299.0,74.3,30.5,11.6,19.0,11587
Cardiff (NSW),3427.0,1518.0,633.0,832.0,72.7,32.1,13.4,17.6,10809
Hillsborough (Lake Macquarie - NSW),394.0,172.0,77.0,84.0,73.1,31.9,14.4,15.8,11909
Warners Bay,4657.0,1979.0,866.0,1153.0,74.4,31.6,13.8,18.4,14153
Argenton,703.0,306.0,170.0,131.0,63.0,27.6,15.3,11.8,10078
Glendale (NSW),1809.0,811.0,343.0,356.0,72.1,32.3,13.6,14.2,11658
Elermore Vale,3292.0,1421.0,653.0,792.0,73.2,31.6,14.5,17.6,11394
Macquarie Hills,2028.0,975.0,322.0,437.0,79.3,38.1,12.6,17.1,12434
Kotara,2457.0,1076.0,390.0,646.0,78.6,34.5,12.5,20.7,12200
Cardiff Heights,845.0,348.0,129.0,214.0,69.8,28.6,10.7,17.6,10810
Cardiff South,1695.0,762.0,283.0,343.0,75.1,33.8,12.5,15.2,10811
New Lambton Heights,1579.0,690.0,308.0,483.0,80.8,35.4,15.8,24.8,12943
Rankin Park,1607.0,745.0,303.0,465.0,80.8,37.3,15.2,23.4,13315
Tingira Heights,1202.0,575.0,209.0,278.0,71.4,34.1,12.5,16.6,13875
Mount Hutton (NSW),2000.0,806.0,387.0,416.0,67.4,27.1,13.0,14.0,12766
Eleebana,3683.0,1623.0,654.0,1057.0,79.1,34.8,14.0,22.7,11393
Redhead,2058.0,889.0,420.0,619.0,71.8,31.0,14.7,21.6,13340
Caves Beach,2519.0,1039.0,450.0,648.0,75.0,30.9,13.4,19.3,10862
Nords Wharf,541.0,246.0,98.0,141.0,75.5,34.6,13.7,19.7,12975
Swansea (NSW),2842.0,1021.0,576.0,662.0,64.4,23.1,13.0,15.0,13711
Swansea Heads,391.0,147.0,62.0,114.0,76.4,28.5,12.2,22.2,13712
Catherine Hill Bay,105.0,32.0,20.0,32.0,77.8,24.6,15.2,24.2,10857
Cams Wharf,91.0,41.0,17.0,15.0,77.1,36.0,14.2,12.9,10784
Murrays Beach,405.0,227.0,67.0,111.0,87.5,49.5,14.5,23.9,12854
Valentine,3538.0,1588.0,664.0,972.0,78.5,35.3,14.7,21.6,14065
Croudace Bay,333.0,171.0,51.0,94.0,75.9,38.9,11.7,21.6,11128
Speers Point,2099.0,839.0,393.0,524.0,75.3,30.1,14.1,18.8,13605
Lakelands (NSW),948.0,400.0,180.0,254.0,81.1,34.2,15.3,21.7,12256
Boolaroo,623.0,254.0,122.0,152.0,69.5,28.3,13.6,16.9,10482
Booragul,680.0,277.0,166.0,173.0,64.8,26.3,15.6,16.4,10495
Fennell Bay,999.0,366.0,199.0,228.0,72.7,26.7,14.5,16.6,11500
Marmong Point,507.0,197.0,81.0,132.0,80.7,31.3,12.9,21.1,12498
Woodrising,688.0,312.0,121.0,132.0,73.3,33.7,13.0,14.1,14391
Bolton Point,1104.0,461.0,269.0,276.0,64.0,26.8,15.5,16.0,10449
Teralba,889.0,362.0,187.0,211.0,65.8,26.9,13.9,15.7,13793
Fassifern (NSW),388.0,150.0,104.0,86.0,74.2,28.6,20.0,16.6,11495
Balcolyn,558.0,236.0,116.0,142.0,72.1,30.5,14.9,18.3,10145
Yarrawonga Park,221.0,94.0,50.0,46.0,70.2,29.8,15.8,14.4,14487
Mirrabooka (NSW),464.0,197.0,85.0,146.0,77.7,32.7,14.0,24.5,12647
Sunshine (NSW),257.0,91.0,44.0,82.0,72.4,25.6,12.6,22.8,13694
Silverwater (Lake Macquarie - NSW),170.0,76.0,38.0,47.0,71.4,32.5,15.7,19.1,13546
Bonnells Bay,2129.0,853.0,412.0,592.0,72.7,29.1,14.0,20.2,10468
Brightwaters,551.0,234.0,135.0,154.0,74.2,31.1,18.0,20.6,10570
Morisset Park,464.0,207.0,92.0,120.0,79.9,35.8,15.8,20.6,12724
Windermere Park,388.0,180.0,91.0,83.0,72.5,33.3,16.9,15.4,14321
Edgeworth,3424.0,1615.0,689.0,631.0,68.1,32.1,13.7,12.6,11381
Cameron Park,4463.0,2471.0,640.0,888.0,76.5,42.3,11.0,15.2,10775
Cooranbong,3231.0,1241.0,570.0,1292.0,71.7,27.6,12.7,28.7,11052
Wyee,1318.0,506.0,274.0,323.0,66.1,25.4,13.7,16.2,14438
Morisset,1676.0,509.0,343.0,480.0,58.7,17.8,12.0,16.8,12723
Wyee Point,654.0,300.0,113.0,151.0,72.7,33.2,12.6,16.9,14439
Mandalong,263.0,102.0,46.0,85.0,76.7,30.3,13.5,25.3,12465
Dora Creek,1017.0,349.0,217.0,235.0,72.4,24.7,15.4,16.7,11277
Eraring,139.0,62.0,38.0,52.0,79.4,33.5,21.6,29.1,11429
Martinsville,230.0,84.0,31.0,94.0,72.6,27.2,9.8,29.4,12512
Blackalls Park,1645.0,685.0,334.0,360.0,72.9,30.3,14.8,16.0,10390
Toronto,3020.0,1159.0,654.0,728.0,63.8,24.4,13.8,15.4,13918
Kilaben Bay,897.0,417.0,169.0,248.0,77.3,36.0,14.6,21.3,12125
Coal Point,1169.0,433.0,236.0,313.0,77.7,28.8,15.7,20.9,10943
Awaba,229.0,112.0,55.0,55.0,72.9,35.7,17.7,17.9,10118
Carey Bay,498.0,191.0,106.0,123.0,64.0,24.5,13.7,15.8,10812
Buttaba,669.0,294.0,146.0,149.0,75.9,33.4,16.5,16.9,10723
Fishing Point,693.0,253.0,139.0,190.0,77.0,28.1,15.4,21.1,11526
Rathmines,1210.0,473.0,237.0,276.0,75.9,29.7,14.8,17.3,13319
Wangi Wangi,1739.0,630.0,333.0,529.0,73.7,26.7,14.1,22.4,14135
Arcadia Vale,829.0,353.0,148.0,183.0,74.1,31.8,13.3,16.5,10073
Balmoral (Lake Macquarie - NSW),459.0,181.0,65.0,98.0,77.0,30.0,10.8,16.3,10166
Holmesville,731.0,358.0,169.0,163.0,66.9,32.6,15.4,14.9,11924
Barnsley,1010.0,510.0,166.0,163.0,72.4,36.6,11.8,11.7,10204
Seahampton,162.0,90.0,25.0,41.0,72.0,41.7,11.6,18.2,13511
West Wallsend,1304.0,629.0,278.0,301.0,72.9,35.1,15.5,16.8,14253
Killingworth (NSW),404.0,170.0,77.0,75.0,74.1,31.4,14.2,13.7,12137
Wakefield,79.0,32.0,18.0,22.0,69.9,27.6,15.3,19.5,14088
Adamstown Heights,3340.0,1497.0,563.0,901.0,79.8,35.7,13.4,21.5,10017
Adamstown,3721.0,1527.0,576.0,973.0,75.6,31.0,11.7,19.8,10016
Kotara South,642.0,303.0,106.0,170.0,75.2,35.5,12.3,19.8,12201
Woodberry,1466.0,720.0,287.0,260.0,62.3,30.5,12.2,11.0,14377
Beresfield,1854.0,728.0,323.0,357.0,70.6,27.7,12.3,13.6,10301
Tarro,888.0,387.0,195.0,157.0,64.5,28.0,14.2,11.5,13771
Hexham (NSW),75.0,24.0,23.0,8.0,66.4,21.2,19.8,7.5,11898
Hamilton South,2238.0,867.0,455.0,621.0,70.1,27.2,14.3,19.4,11841
Broadmeadow,997.0,383.0,149.0,239.0,75.6,29.0,11.4,18.1,10578
Hamilton East,625.0,239.0,130.0,199.0,78.5,29.7,16.3,25.1,11839
Newcastle West,381.0,73.0,50.0,92.0,63.8,12.3,8.5,15.4,12951
Hamilton North,551.0,212.0,88.0,122.0,77.5,29.8,12.4,17.2,11840
Hamilton (NSW),2714.0,841.0,405.0,738.0,72.8,22.5,10.9,19.8,11838
New Lambton,6156.0,2586.0,1038.0,1596.0,76.4,32.1,12.9,19.8,12942
Lambton,3006.0,1246.0,551.0,794.0,75.7,31.4,13.9,20.0,12264
Jesmond,1427.0,519.0,263.0,356.0,56.9,20.7,10.5,14.2,12023
Maryland (Newcastle - NSW),4444.0,2116.0,823.0,951.0,73.4,34.9,13.6,15.7,12514
Fletcher (NSW),2860.0,1654.0,457.0,654.0,78.3,45.3,12.5,17.9,11533
Minmi,414.0,221.0,98.0,85.0,72.9,38.6,17.2,14.8,12638
Warabrook,1118.0,436.0,226.0,291.0,64.8,25.3,13.1,16.9,14140
Mayfield West,1126.0,414.0,176.0,258.0,71.7,26.5,11.2,16.4,12536
Mayfield (Newcastle - NSW),5541.0,2011.0,961.0,1294.0,70.5,25.6,12.2,16.5,12530
Mayfield East,1039.0,353.0,144.0,256.0,72.1,24.5,10.0,17.8,12534
Merewether Heights,829.0,382.0,149.0,275.0,76.8,35.6,13.7,25.5,12574
Merewether,7116.0,2661.0,1106.0,2048.0,78.4,29.3,12.2,22.6,12573
The Junction,701.0,222.0,120.0,178.0,78.0,24.4,13.2,19.6,13827
Cooks Hill,2368.0,677.0,307.0,709.0,74.0,21.2,9.6,22.1,11019
Bar Beach,784.0,253.0,123.0,247.0,71.5,23.1,11.2,22.5,10187
Newcastle,1861.0,421.0,284.0,527.0,71.1,16.1,10.8,20.1,12949
The Hill,1380.0,346.0,168.0,433.0,79.0,19.8,9.7,24.8,13826
Newcastle East,645.0,194.0,106.0,197.0,71.8,21.8,11.8,22.3,12950
Carrington (Newcastle - NSW),1228.0,415.0,163.0,309.0,74.3,25.0,9.9,18.7,10830
Shortland,2215.0,861.0,366.0,514.0,67.9,26.4,11.2,15.8,13542
Birmingham Gardens,1267.0,378.0,179.0,373.0,62.4,18.6,8.8,18.3,10377
Sandgate (NSW),79.0,37.0,20.0,24.0,28.2,13.4,7.2,8.6,13474
North Lambton,1961.0,722.0,308.0,513.0,71.3,26.3,11.2,18.7,12993
Stockton (NSW),2259.0,896.0,457.0,602.0,63.1,25.0,12.8,16.8,13662
Fern Bay,1651.0,572.0,322.0,394.0,70.4,24.4,13.8,16.8,11501
Fullerton Cove,357.0,117.0,85.0,110.0,69.1,22.5,16.4,20.8,11575
Wallsend,6980.0,2670.0,1274.0,1579.0,66.8,25.6,12.2,15.1,14118
Georgetown (NSW),1202.0,456.0,210.0,287.0,74.8,28.4,13.0,17.9,11603
Waratah West,1744.0,580.0,315.0,435.0,68.1,22.6,12.3,17.0,14142
Waratah (NSW),2563.0,890.0,352.0,670.0,66.0,22.9,9.1,17.2,14141
Wickham (NSW),728.0,183.0,105.0,186.0,75.0,18.9,10.8,19.3,14285
Maryville,984.0,336.0,154.0,242.0,80.7,27.5,12.6,19.8,12518
Tighes Hill,986.0,387.0,143.0,279.0,72.0,28.4,10.4,20.5,13863
Islington,1237.0,423.0,190.0,305.0,77.0,26.5,11.9,19.1,11990
Ballina,4585.0,1353.0,895.0,1367.0,60.0,17.7,11.7,17.9,10162
West Ballina,1743.0,543.0,346.0,524.0,66.9,20.8,13.3,20.1,14240
East Ballina,3554.0,1296.0,616.0,1145.0,76.4,27.8,13.2,24.6,11345
Skennars Head,730.0,267.0,143.0,218.0,75.9,27.8,14.9,22.6,13554
Alstonville,3472.0,1243.0,663.0,1282.0,72.9,26.1,13.9,26.9,10046
Wollongbar,1742.0,689.0,289.0,557.0,77.1,30.5,12.8,24.7,14357
Wardell,417.0,145.0,82.0,104.0,61.6,21.4,12.1,15.4,14144
East Wardell,170.0,63.0,35.0,44.0,69.4,25.4,14.5,18.1,11365
Empire Vale,103.0,34.0,15.0,36.0,67.3,23.3,10.0,23.8,11416
Meerschaum Vale,240.0,76.0,52.0,93.0,75.2,23.4,16.0,28.1,12556
Dalwood (Ballina - NSW),145.0,60.0,32.0,46.0,75.5,30.5,16.6,24.3,11195
Marom Creek,89.0,32.0,14.0,24.0,81.7,28.1,11.9,20.9,12499
Rous,152.0,47.0,20.0,62.0,83.5,26.0,11.0,33.7,13427
Pimlico (NSW),185.0,64.0,22.0,43.0,73.4,25.5,8.9,17.2,13207
Coolgardie (NSW),75.0,24.0,16.0,32.0,72.1,23.1,15.8,29.9,11031
Keith Hall,75.0,26.0,22.0,29.0,54.3,18.7,15.4,20.7,12086
Uralba,145.0,42.0,27.0,52.0,75.5,22.2,14.3,27.4,14050
Tuckombil,160.0,71.0,24.0,50.0,80.8,36.2,12.4,25.5,13947
Fernleigh,186.0,57.0,38.0,64.0,75.6,23.3,15.3,25.7,11508
Tintenbar,473.0,194.0,88.0,155.0,72.1,29.4,13.3,23.8,13878
Cumbalum,922.0,407.0,149.0,253.0,79.4,35.0,12.9,21.7,11154
Brooklet,171.0,64.0,28.0,53.0,81.8,29.1,13.1,25.4,10598
Knockrow,118.0,47.0,14.0,39.0,69.4,27.6,8.6,23.5,12178
Newrybar,296.0,93.0,53.0,110.0,78.1,24.7,13.9,28.9,12957
Alstonvale,301.0,109.0,31.0,107.0,81.6,30.0,8.5,28.9,10045
Teven,177.0,68.0,24.0,65.0,75.3,28.0,10.2,27.3,13807
Pearces Creek,121.0,51.0,25.0,45.0,85.2,36.7,18.1,31.9,13170
Lynwood (NSW),142.0,51.0,46.0,71.0,76.8,27.0,23.7,37.8,12427
Rous Mill,128.0,41.0,20.0,40.0,77.1,25.3,12.1,23.7,13428
Ewingsdale,491.0,165.0,63.0,151.0,72.5,24.5,9.2,22.2,11474
Eureka (NSW),218.0,89.0,42.0,84.0,80.4,33.7,15.3,30.4,11461
Coorabell,268.0,94.0,39.0,97.0,76.6,26.3,11.1,27.7,11051
Possum Creek,176.0,50.0,24.0,61.0,71.3,20.2,9.9,25.0,13252
Bangalow,1208.0,522.0,171.0,479.0,76.6,33.1,10.8,30.3,10174
Coopers Shoot,165.0,54.0,36.0,53.0,71.1,23.5,15.5,22.9,11049
Skinners Shoot,73.0,21.0,3.0,33.0,61.3,19.1,2.5,27.5,13556
Talofa,64.0,23.0,3.0,21.0,68.8,25.8,3.4,21.9,13739
Nashua,151.0,77.0,32.0,57.0,79.1,39.5,16.3,30.3,12914
Federal (NSW),412.0,141.0,72.0,167.0,73.0,24.8,12.7,29.5,11499
Binna Burra (NSW),136.0,36.0,18.0,42.0,78.6,21.4,10.3,24.0,10371
Brunswick Heads,1057.0,332.0,196.0,409.0,70.0,22.0,13.0,27.0,10621
Ocean Shores,3173.0,1205.0,573.0,1087.0,74.9,28.5,13.5,25.6,13070
Tyagarah,99.0,27.0,6.0,44.0,72.3,20.1,4.4,32.8,13993
New Brighton,199.0,59.0,41.0,62.0,67.5,20.3,14.1,21.2,12939
South Golden Beach,489.0,218.0,62.0,144.0,76.3,34.2,9.6,22.4,13581
Wooyung,66.0,17.0,9.0,18.0,59.5,15.6,8.7,16.1,14418
Byron Bay,2988.0,905.0,409.0,1018.0,61.8,18.7,8.5,21.0,10733
Suffolk Park,2250.0,846.0,274.0,769.0,72.4,27.2,8.8,24.7,13684
Broken Head,183.0,61.0,34.0,52.0,78.5,26.8,14.5,22.0,10591
Woodburn (Richmond Valley - NSW),388.0,148.0,95.0,93.0,64.9,24.7,15.8,15.6,14379
Broadwater (Richmond Valley - NSW),354.0,114.0,69.0,101.0,67.6,21.8,13.0,19.2,10580
Rileys Hill,109.0,39.0,21.0,37.0,74.7,27.7,14.0,25.7,13364
Evans Head,1661.0,551.0,322.0,586.0,68.6,22.8,13.3,24.3,11469
Bungawalbin,64.0,17.0,11.0,22.0,64.0,17.9,11.0,21.2,10683
New Italy,113.0,32.0,27.0,47.0,75.8,21.5,16.7,30.5,12941
Swan Bay (Richmond Valley - NSW),137.0,53.0,31.0,30.0,77.8,29.6,17.5,16.4,13705
Doonbah,147.0,31.0,27.0,45.0,65.6,13.9,12.2,20.2,11274
Lennox Head,4042.0,1670.0,594.0,1245.0,78.5,32.4,11.5,24.2,12303
Myocum,620.0,210.0,90.0,226.0,76.2,25.9,11.0,27.8,12877
Billinudgel,115.0,43.0,29.0,44.0,66.5,23.5,16.8,24.9,10355
Yelgun,64.0,28.0,3.0,23.0,71.1,31.1,3.4,24.0,14499
The Pocket,162.0,56.0,29.0,40.0,74.7,26.7,13.6,19.0,13834
Middle Pocket,79.0,29.0,19.0,18.0,69.3,25.4,16.5,15.5,12606
Main Arm,332.0,131.0,47.0,115.0,70.0,27.7,10.0,24.3,12445
Upper Main Arm,129.0,39.0,27.0,51.0,63.5,19.1,14.1,25.5,14035
Mullumbimby,2073.0,882.0,352.0,761.0,70.7,30.1,12.0,26.0,12828
Mullumbimby Creek,313.0,139.0,70.0,119.0,70.0,30.8,15.5,26.6,12829
Wilsons Creek,237.0,96.0,41.0,76.0,63.9,25.7,11.1,20.4,14310
Goonengerry,228.0,78.0,38.0,91.0,74.5,25.7,12.5,29.4,11712
Huonbrook,77.0,23.0,18.0,22.0,62.6,19.3,15.5,19.0,11962
Whian Whian,95.0,32.0,11.0,47.0,82.6,28.8,9.8,43.1,14272
Yorklea,224.0,89.0,48.0,64.0,69.6,26.6,15.0,19.6,14517
Casino,5440.0,2152.0,1174.0,1585.0,62.5,24.7,13.5,18.2,10843
North Casino,573.0,257.0,112.0,182.0,79.6,35.2,15.5,25.2,12987
Fairy Hill,222.0,99.0,53.0,61.0,71.6,31.5,17.2,19.1,11483
Bonalbo,188.0,41.0,46.0,71.0,57.7,12.9,14.6,22.3,10463
Coraki,615.0,216.0,150.0,162.0,59.2,20.8,14.4,15.6,11063
Mallanganee,88.0,17.0,19.0,26.0,62.9,12.6,13.7,19.5,12457
Dobies Bight,70.0,21.0,5.0,23.0,70.0,20.4,4.6,22.1,11262
Backmede,89.0,26.0,19.0,24.0,73.6,21.7,15.3,19.4,10130
Stratheden,133.0,51.0,24.0,26.0,71.9,28.5,13.8,14.5,13674
Woodview,90.0,42.0,15.0,30.0,84.1,35.0,12.8,25.6,14397
Bentley (NSW),116.0,43.0,20.0,41.0,69.0,25.4,12.3,25.0,10298
Spring Grove,251.0,126.0,37.0,72.0,77.2,38.1,11.1,21.6,13614
Greenridge,70.0,45.0,13.0,23.0,71.4,43.7,13.4,20.9,11768
McKees Hill,189.0,93.0,34.0,59.0,72.4,35.4,13.0,22.2,12543
Tatham,112.0,46.0,22.0,39.0,68.7,27.5,13.1,23.8,13773
West Coraki,67.0,18.0,14.0,15.0,63.8,17.5,13.6,14.6,14243
Ellangowan (NSW),159.0,48.0,31.0,50.0,58.9,17.6,11.7,18.8,11400
Leeville,139.0,57.0,35.0,28.0,67.8,27.8,17.3,14.2,12295
Shannon Brook,106.0,31.0,18.0,21.0,72.1,20.7,12.3,14.9,13525
Rappville,88.0,28.0,22.0,29.0,62.9,21.5,16.4,21.5,13318
Goonellabah,7492.0,2834.0,1411.0,2262.0,71.5,27.1,13.5,21.6,11711
Chilcotts Grass,148.0,58.0,35.0,51.0,79.1,31.0,19.1,27.3,10903
Eden Creek,96.0,15.0,17.0,42.0,70.6,10.8,12.0,28.8,11376
West Wiangaree,70.0,26.0,13.0,27.0,76.9,30.2,14.8,28.7,14254
Wiangaree,73.0,29.0,15.0,11.0,76.8,29.0,15.0,11.6,14283
Doubtful Creek,88.0,40.0,21.0,31.0,75.2,33.9,17.6,27.4,11282
Ettrick (NSW),73.0,33.0,24.0,23.0,71.6,33.0,24.0,23.0,11448
Kyogle,1113.0,402.0,265.0,426.0,61.3,22.1,14.6,23.4,12229
Cedar Point,99.0,40.0,20.0,38.0,66.9,26.3,13.2,25.5,10871
Geneva,422.0,165.0,66.0,170.0,70.3,27.3,11.1,28.6,11599
Upper Horseshoe Creek,57.0,24.0,4.0,32.0,60.0,25.5,4.3,32.3,14028
Barkers Vale,103.0,43.0,17.0,32.0,81.1,33.6,13.4,24.4,10201
Wadeville,106.0,23.0,23.0,48.0,71.1,15.6,15.5,32.0,14082
Lillian Rock,131.0,39.0,20.0,48.0,71.6,22.4,11.2,27.7,12323
Fawcetts Plain,77.0,35.0,13.0,32.0,63.1,27.8,10.9,25.8,11498
New Park,74.0,25.0,20.0,36.0,60.7,19.7,15.2,28.6,12945
Homeleigh,70.0,17.0,14.0,27.0,71.4,17.9,14.7,30.0,11931
Cawongla,119.0,25.0,24.0,37.0,75.3,15.2,14.7,22.8,10864
Green Pigeon,90.0,35.0,22.0,35.0,67.2,25.9,15.6,27.1,11752
Collins Creek,75.0,25.0,14.0,25.0,68.8,22.5,12.1,23.6,10978
East Lismore,2768.0,1012.0,484.0,933.0,67.4,24.6,11.8,22.7,11358
Lismore (NSW),1984.0,693.0,382.0,608.0,65.4,22.8,12.6,20.0,12344
Lismore Heights,1338.0,487.0,245.0,445.0,75.9,27.5,13.8,25.1,12345
South Lismore,1041.0,400.0,218.0,261.0,68.3,26.1,14.3,17.1,13589
Girards Hill,830.0,252.0,170.0,278.0,75.1,22.7,15.4,25.2,11631
Monaltrie,140.0,41.0,30.0,49.0,80.0,23.0,17.3,28.2,12674
North Lismore,434.0,163.0,94.0,156.0,66.8,25.1,14.5,24.3,12994
Loftville,106.0,29.0,24.0,33.0,52.0,13.9,11.3,15.5,12372
Modanville,374.0,155.0,64.0,118.0,74.1,30.3,12.6,23.6,12655
Clunes (NSW),564.0,215.0,87.0,200.0,81.7,31.2,12.7,29.2,10939
Terania Creek,126.0,49.0,19.0,50.0,82.9,32.9,12.8,35.2,13794
The Channon,253.0,90.0,55.0,99.0,82.7,29.2,18.3,32.1,13816
Koonorigan,207.0,80.0,33.0,76.0,82.1,31.5,13.0,30.3,12188
Rosebank,268.0,85.0,45.0,91.0,78.1,24.1,12.8,25.9,13401
Corndale (NSW),217.0,67.0,29.0,65.0,83.8,25.5,10.8,24.5,11076
East Coraki,133.0,48.0,22.0,44.0,73.5,28.7,12.7,24.9,11347
Tregeagle,306.0,113.0,62.0,104.0,79.5,30.5,16.3,27.4,13933
Wyrallah,286.0,102.0,52.0,96.0,82.2,29.7,15.3,28.3,14449
South Gundurimba,188.0,81.0,44.0,51.0,70.4,31.4,16.5,19.5,13585
Caniaba,386.0,164.0,63.0,138.0,75.2,31.8,12.2,26.7,10790
Blakebrook,93.0,31.0,17.0,27.0,71.0,24.8,13.8,22.1,10402
Booerie Creek,78.0,29.0,9.0,24.0,51.7,19.6,6.0,16.1,10475
Goolmangar,118.0,53.0,27.0,32.0,79.2,35.6,18.5,21.5,11708
Keerrong,74.0,42.0,9.0,27.0,60.7,34.4,7.6,22.9,12083
Tullera,184.0,73.0,24.0,77.0,81.4,31.7,10.5,33.9,13956
Bexhill,322.0,146.0,54.0,100.0,82.4,36.5,13.8,25.5,10333
Richmond Hill (NSW),535.0,197.0,102.0,189.0,77.8,28.8,14.8,27.5,13361
Boat Harbour (Lismore - NSW),96.0,28.0,16.0,34.0,80.0,25.0,12.8,29.1,10424
McLeans Ridges,340.0,130.0,53.0,117.0,82.1,30.8,12.7,28.3,12545
Eltham (NSW),223.0,84.0,31.0,82.0,79.9,29.6,10.9,28.5,11409
Lindendale,153.0,57.0,25.0,52.0,76.9,29.5,13.0,26.8,12336
Nimbin,849.0,283.0,158.0,334.0,68.0,22.7,12.7,26.8,12965
Stony Chute,105.0,33.0,22.0,40.0,73.9,21.9,15.1,27.8,13667
Blue Knob,138.0,34.0,30.0,58.0,68.0,16.5,14.9,29.4,10416
Tuntable Creek,126.0,40.0,23.0,51.0,77.3,25.0,14.4,32.1,13971
