,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Leumeah,5165.0,2308.0,1020.0,1008.0,65.7,29.4,13.0,12.8,12308
Blair Athol (NSW),1483.0,705.0,231.0,299.0,66.4,31.5,10.3,13.4,10400
Raby,3296.0,1494.0,597.0,612.0,70.1,31.7,12.7,13.0,13303
Eagle Vale,3072.0,1383.0,549.0,612.0,66.8,30.1,12.0,13.3,11341
Eschol Park,1474.0,661.0,289.0,254.0,71.9,32.3,14.1,12.4,11441
Blairmount,192.0,101.0,25.0,42.0,60.6,31.4,7.9,13.3,10401
Kearns,1562.0,653.0,267.0,319.0,71.0,29.7,12.2,14.5,12079
Claymore,724.0,426.0,233.0,149.0,40.9,24.0,13.2,8.4,10924
Holsworthy,2930.0,1363.0,340.0,727.0,69.0,32.1,8.0,17.1,11926
Ingleburn,7849.0,3535.0,1475.0,1585.0,65.7,29.6,12.4,13.3,11978
Macquarie Links,798.0,342.0,141.0,166.0,74.7,32.0,13.2,15.5,12435
Denham Court,1127.0,339.0,235.0,405.0,66.1,20.0,13.8,23.8,11235
Bardia,789.0,475.0,119.0,117.0,68.5,41.4,10.3,10.1,10194
Edmondson Park,1129.0,598.0,140.0,186.0,68.0,36.1,8.4,11.2,11383
Ruse,3164.0,1474.0,609.0,690.0,70.6,32.9,13.6,15.4,13443
Kentlyn,435.0,161.0,103.0,136.0,73.0,27.0,17.5,22.9,12101
Minto Heights,220.0,75.0,38.0,58.0,67.9,23.7,12.1,18.3,12643
Macquarie Fields,6282.0,2966.0,1326.0,1256.0,59.3,28.0,12.5,11.9,12433
Glenfield (NSW),4924.0,2303.0,842.0,1093.0,65.3,30.5,11.2,14.5,11664
Long Point (Campbelltown - NSW),127.0,55.0,27.0,42.0,72.6,31.4,15.5,24.7,12381
St Andrews (NSW),3072.0,1339.0,592.0,599.0,67.8,29.5,13.1,13.2,13631
Bow Bowing,888.0,402.0,118.0,206.0,70.3,31.7,9.3,16.2,10526
Minto,5975.0,2983.0,1186.0,1146.0,61.7,30.8,12.2,11.8,12642
Rosemeadow,3876.0,1825.0,783.0,755.0,64.3,30.3,13.0,12.5,13410
Ambarvale,3572.0,1703.0,701.0,679.0,63.1,30.1,12.4,12.0,10049
Menangle Park,140.0,58.0,24.0,21.0,68.0,27.9,12.2,10.7,12569
Gilead,182.0,52.0,30.0,63.0,45.2,12.6,7.2,15.4,11617
Glen Alpine,2831.0,1148.0,530.0,640.0,75.3,30.5,14.1,17.0,11645
Englorie Park,199.0,96.0,26.0,34.0,63.8,30.0,8.1,10.8,11423
Yanderra,358.0,157.0,79.0,87.0,69.8,30.7,15.5,16.8,14461
