,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Braunstone,36.0,12.0,3.0,46.0,29.0,19.0,49.0,0.0,0.0,21.0,0.0,38.0,14.2,4.7,1.2,18.2,11.5,7.5,19.4,0.0,0.0,8.3,0.0,15.0,10550
Glenugie,16.0,14.0,3.0,24.0,10.0,6.0,32.0,0.0,0.0,22.0,0.0,31.0,9.2,8.1,1.7,13.9,5.8,3.5,18.5,0.0,0.0,12.7,0.0,17.9,11681
Clarenza,62.0,41.0,17.0,78.0,44.0,13.0,88.0,0.0,0.0,47.0,3.0,49.0,13.5,8.9,3.7,17.0,9.6,2.8,19.2,0.0,0.0,10.2,0.7,10.7,10922
Swan Creek (NSW),5.0,4.0,5.0,21.0,3.0,0.0,16.0,0.0,0.0,6.0,0.0,17.0,5.4,4.3,5.4,22.8,3.3,0.0,17.4,0.0,0.0,6.5,0.0,18.5,13706
Pillar Valley,30.0,13.0,5.0,45.0,29.0,4.0,41.0,3.0,0.0,35.0,0.0,47.0,11.3,4.9,1.9,17.0,10.9,1.5,15.5,1.1,0.0,13.2,0.0,17.7,13204
Minnie Water,34.0,17.0,8.0,40.0,13.0,3.0,41.0,0.0,0.0,19.0,0.0,31.0,17.3,8.6,4.1,20.3,6.6,1.5,20.8,0.0,0.0,9.6,0.0,15.7,12640
Tyndale,11.0,11.0,3.0,27.0,10.0,7.0,25.0,0.0,0.0,23.0,0.0,24.0,7.1,7.1,1.9,17.3,6.4,4.5,16.0,0.0,0.0,14.7,0.0,15.4,13997
Ilarwill,24.0,18.0,12.0,36.0,13.0,11.0,30.0,0.0,0.0,21.0,0.0,28.0,11.8,8.9,5.9,17.7,6.4,5.4,14.8,0.0,0.0,10.3,0.0,13.8,11970
Yamba (NSW),669.0,440.0,142.0,874.0,551.0,198.0,935.0,8.0,0.0,582.0,4.0,705.0,12.6,8.3,2.7,16.5,10.4,3.7,17.6,0.2,0.0,11.0,0.1,13.3,14458
Gulmarrad,141.0,112.0,57.0,314.0,142.0,50.0,234.0,0.0,0.0,115.0,0.0,143.0,10.4,8.2,4.2,23.1,10.4,3.7,17.2,0.0,0.0,8.5,0.0,10.5,11795
Angourie,67.0,21.0,3.0,22.0,25.0,3.0,10.0,0.0,0.0,13.0,0.0,25.0,36.6,11.5,1.6,12.0,13.7,1.6,5.5,0.0,0.0,7.1,0.0,13.7,10059
Brooms Head,28.0,16.0,3.0,35.0,14.0,3.0,42.0,0.0,0.0,25.0,0.0,21.0,14.3,8.2,1.5,17.9,7.1,1.5,21.4,0.0,0.0,12.8,0.0,10.7,10603
Wooloweyah,87.0,44.0,19.0,65.0,33.0,16.0,23.0,0.0,0.0,19.0,0.0,43.0,25.1,12.7,5.5,18.7,9.5,4.6,6.6,0.0,0.0,5.5,0.0,12.4,14411
Woombah,62.0,60.0,22.0,140.0,69.0,34.0,131.0,3.0,0.0,99.0,0.0,117.0,8.3,8.0,2.9,18.6,9.2,4.5,17.4,0.4,0.0,13.2,0.0,15.6,14414
Maclean,251.0,153.0,75.0,327.0,208.0,103.0,398.0,5.0,0.0,360.0,6.0,336.0,10.9,6.6,3.3,14.2,9.0,4.5,17.3,0.2,0.0,15.6,0.3,14.6,12431
Iluka (NSW),102.0,113.0,34.0,272.0,125.0,43.0,330.0,0.0,0.0,214.0,6.0,239.0,6.6,7.3,2.2,17.7,8.1,2.8,21.4,0.0,0.0,13.9,0.4,15.5,11975
Harwood,22.0,13.0,10.0,61.0,18.0,8.0,43.0,0.0,0.0,23.0,0.0,37.0,8.9,5.2,4.0,24.6,7.3,3.2,17.3,0.0,0.0,9.3,0.0,14.9,11865
Chatsworth (NSW),14.0,4.0,4.0,20.0,11.0,9.0,27.0,0.0,0.0,20.0,0.0,25.0,10.4,3.0,3.0,14.8,8.1,6.7,20.0,0.0,0.0,14.8,0.0,18.5,10894
Townsend,40.0,52.0,33.0,135.0,86.0,31.0,125.0,4.0,0.0,78.0,3.0,94.0,5.6,7.3,4.6,18.9,12.1,4.3,17.5,0.6,0.0,10.9,0.4,13.2,13928
Palmers Channel,9.0,7.0,0.0,19.0,6.0,3.0,21.0,0.0,0.0,10.0,0.0,6.0,10.7,8.3,0.0,22.6,7.1,3.6,25.0,0.0,0.0,11.9,0.0,7.1,13135
James Creek,34.0,11.0,4.0,32.0,18.0,13.0,24.0,0.0,0.0,16.0,0.0,20.0,19.7,6.4,2.3,18.5,10.4,7.5,13.9,0.0,0.0,9.2,0.0,11.6,11999
Palmers Island,36.0,17.0,14.0,85.0,50.0,11.0,53.0,0.0,0.0,40.0,0.0,50.0,9.7,4.6,3.8,22.8,13.4,3.0,14.2,0.0,0.0,10.8,0.0,13.4,13136
Bellingen,707.0,324.0,85.0,397.0,325.0,108.0,328.0,8.0,0.0,222.0,8.0,318.0,24.0,11.0,2.9,13.5,11.0,3.7,11.1,0.3,0.0,7.5,0.3,10.8,10273
Brierfield,71.0,23.0,12.0,37.0,24.0,10.0,25.0,0.0,0.0,21.0,0.0,26.0,27.2,8.8,4.6,14.2,9.2,3.8,9.6,0.0,0.0,8.0,0.0,10.0,10568
Fernmount,63.0,31.0,8.0,49.0,35.0,9.0,30.0,0.0,0.0,30.0,0.0,36.0,21.4,10.5,2.7,16.6,11.9,3.1,10.2,0.0,0.0,10.2,0.0,12.2,11509
Darkwood,40.0,16.0,0.0,22.0,12.0,4.0,11.0,0.0,0.0,7.0,0.0,13.0,30.3,12.1,0.0,16.7,9.1,3.0,8.3,0.0,0.0,5.3,0.0,9.8,11210
Thora,52.0,30.0,10.0,34.0,31.0,3.0,38.0,0.0,0.0,23.0,0.0,32.0,20.2,11.7,3.9,13.2,12.1,1.2,14.8,0.0,0.0,8.9,0.0,12.5,13849
Gleniffer,93.0,37.0,8.0,54.0,27.0,3.0,39.0,0.0,0.0,21.0,0.0,36.0,28.4,11.3,2.4,16.5,8.3,0.9,11.9,0.0,0.0,6.4,0.0,11.0,11668
Valery,20.0,10.0,6.0,16.0,20.0,0.0,20.0,0.0,0.0,5.0,0.0,13.0,19.4,9.7,5.8,15.5,19.4,0.0,19.4,0.0,0.0,4.9,0.0,12.6,14066
Kalang,59.0,33.0,8.0,34.0,24.0,8.0,26.0,0.0,0.0,7.0,0.0,35.0,25.4,14.2,3.4,14.7,10.3,3.4,11.2,0.0,0.0,3.0,0.0,15.1,12050
Coffs Harbour,2793.0,1887.0,725.0,3224.0,2552.0,894.0,3194.0,46.0,6.0,2274.0,168.0,2857.0,13.1,8.9,3.4,15.2,12.0,4.2,15.0,0.2,0.0,10.7,0.8,13.4,10959
North Boambee Valley,252.0,137.0,45.0,225.0,153.0,57.0,238.0,0.0,0.0,153.0,5.0,350.0,15.2,8.3,2.7,13.6,9.3,3.4,14.4,0.0,0.0,9.3,0.3,21.2,12983
Coramba,83.0,69.0,23.0,137.0,71.0,31.0,105.0,0.0,0.0,64.0,0.0,75.0,12.4,10.3,3.4,20.4,10.6,4.6,15.7,0.0,0.0,9.6,0.0,11.2,11065
Nana Glen,110.0,70.0,27.0,190.0,99.0,31.0,118.0,3.0,0.0,77.0,0.0,84.0,13.2,8.4,3.2,22.8,11.9,3.7,14.2,0.4,0.0,9.2,0.0,10.1,12889
Upper Orara,109.0,69.0,26.0,131.0,78.0,19.0,76.0,0.0,0.0,39.0,3.0,95.0,16.7,10.6,4.0,20.0,11.9,2.9,11.6,0.0,0.0,6.0,0.5,14.5,14041
Bucca (NSW),66.0,41.0,15.0,81.0,65.0,15.0,62.0,0.0,0.0,37.0,0.0,47.0,15.1,9.4,3.4,18.5,14.8,3.4,14.2,0.0,0.0,8.4,0.0,10.7,10625
Karangi,78.0,54.0,19.0,78.0,30.0,17.0,63.0,0.0,0.0,32.0,0.0,74.0,17.0,11.8,4.1,17.0,6.6,3.7,13.8,0.0,0.0,7.0,0.0,16.2,12072
Megan,26.0,7.0,3.0,14.0,16.0,3.0,23.0,0.0,0.0,12.0,0.0,23.0,19.7,5.3,2.3,10.6,12.1,2.3,17.4,0.0,0.0,9.1,0.0,17.4,12558
Ulong,15.0,12.0,7.0,26.0,12.0,9.0,37.0,0.0,0.0,24.0,3.0,42.0,8.0,6.4,3.7,13.9,6.4,4.8,19.8,0.0,0.0,12.8,1.6,22.5,14005
Lowanna,23.0,13.0,9.0,54.0,21.0,9.0,60.0,0.0,0.0,40.0,0.0,66.0,7.9,4.5,3.1,18.5,7.2,3.1,20.5,0.0,0.0,13.7,0.0,22.6,12398
Dorrigo,126.0,70.0,30.0,161.0,121.0,50.0,170.0,0.0,0.0,149.0,4.0,119.0,12.1,6.7,2.9,15.5,11.6,4.8,16.3,0.0,0.0,14.3,0.4,11.4,11278
Deer Vale,15.0,11.0,8.0,18.0,13.0,3.0,17.0,0.0,0.0,16.0,0.0,14.0,13.8,10.1,7.3,16.5,11.9,2.8,15.6,0.0,0.0,14.7,0.0,12.8,11232
Fernbrook,22.0,9.0,3.0,29.0,17.0,0.0,10.0,0.0,0.0,15.0,0.0,10.0,20.4,8.3,2.8,26.9,15.7,0.0,9.3,0.0,0.0,13.9,0.0,9.3,11506
Hernani,20.0,7.0,3.0,11.0,4.0,6.0,21.0,0.0,0.0,9.0,0.0,12.0,21.3,7.4,3.2,11.7,4.3,6.4,22.3,0.0,0.0,9.6,0.0,12.8,11896
Bostobrick,17.0,9.0,7.0,20.0,12.0,10.0,12.0,0.0,0.0,15.0,0.0,7.0,14.8,7.8,6.1,17.4,10.4,8.7,10.4,0.0,0.0,13.0,0.0,6.1,10516
North Dorrigo,17.0,5.0,3.0,25.0,22.0,4.0,34.0,0.0,0.0,24.0,0.0,13.0,11.1,3.3,2.0,16.3,14.4,2.6,22.2,0.0,0.0,15.7,0.0,8.5,12989
Sapphire Beach,401.0,201.0,64.0,271.0,212.0,49.0,183.0,0.0,0.0,85.0,8.0,149.0,23.7,11.9,3.8,16.0,12.5,2.9,10.8,0.0,0.0,5.0,0.5,8.8,13491
Emerald Beach,387.0,196.0,75.0,347.0,184.0,66.0,215.0,5.0,0.0,108.0,3.0,124.0,21.9,11.1,4.3,19.7,10.4,3.7,12.2,0.3,0.0,6.1,0.2,7.0,11411
Korora,463.0,238.0,86.0,303.0,220.0,61.0,244.0,0.0,0.0,119.0,5.0,200.0,23.0,11.8,4.3,15.1,10.9,3.0,12.1,0.0,0.0,5.9,0.2,9.9,12197
Moonee Beach,248.0,153.0,70.0,268.0,181.0,79.0,197.0,0.0,0.0,111.0,3.0,129.0,16.6,10.3,4.7,18.0,12.1,5.3,13.2,0.0,0.0,7.4,0.2,8.7,12703
Toormina,498.0,352.0,192.0,830.0,527.0,199.0,920.0,22.0,0.0,676.0,13.0,613.0,9.9,7.0,3.8,16.5,10.5,4.0,18.3,0.4,0.0,13.4,0.3,12.2,13912
Boambee East,510.0,386.0,185.0,758.0,484.0,220.0,727.0,8.0,0.0,436.0,8.0,327.0,12.1,9.2,4.4,18.0,11.5,5.2,17.3,0.2,0.0,10.4,0.2,7.8,10422
Boambee,305.0,131.0,40.0,204.0,135.0,59.0,177.0,0.0,0.0,127.0,6.0,134.0,22.4,9.6,2.9,15.0,9.9,4.3,13.0,0.0,0.0,9.3,0.4,9.9,10421
Sawtell,649.0,325.0,91.0,475.0,347.0,103.0,393.0,10.0,0.0,289.0,6.0,281.0,21.2,10.6,3.0,15.5,11.3,3.4,12.8,0.3,0.0,9.4,0.2,9.2,13498
Bonville,338.0,193.0,99.0,364.0,235.0,88.0,314.0,0.0,0.0,183.0,3.0,167.0,16.3,9.3,4.8,17.6,11.4,4.3,15.2,0.0,0.0,8.8,0.1,8.1,10474
Bundagen,33.0,12.0,3.0,11.0,15.0,0.0,13.0,0.0,0.0,0.0,0.0,17.0,27.5,10.0,2.5,9.2,12.5,0.0,10.8,0.0,0.0,0.0,0.0,14.2,10669
Mylestom,39.0,25.0,9.0,57.0,32.0,14.0,49.0,0.0,0.0,36.0,0.0,24.0,13.3,8.5,3.1,19.4,10.9,4.8,16.7,0.0,0.0,12.2,0.0,8.2,12875
Raleigh,100.0,44.0,20.0,107.0,57.0,18.0,74.0,3.0,0.0,62.0,0.0,61.0,18.2,8.0,3.6,19.5,10.4,3.3,13.5,0.5,0.0,11.3,0.0,11.1,13307
Urunga,313.0,201.0,82.0,448.0,251.0,102.0,416.0,3.0,0.0,323.0,8.0,380.0,12.0,7.7,3.1,17.1,9.6,3.9,15.9,0.1,0.0,12.4,0.3,14.5,14061
Repton,125.0,55.0,17.0,94.0,48.0,21.0,63.0,3.0,0.0,39.0,0.0,39.0,23.6,10.4,3.2,17.8,9.1,4.0,11.9,0.6,0.0,7.4,0.0,7.4,13352
Valla,114.0,75.0,27.0,157.0,76.0,24.0,113.0,0.0,0.0,52.0,0.0,100.0,15.0,9.9,3.6,20.7,10.0,3.2,14.9,0.0,0.0,6.9,0.0,13.2,14067
Woolgoolga,544.0,370.0,115.0,567.0,593.0,161.0,769.0,4.0,0.0,522.0,71.0,635.0,12.1,8.2,2.6,12.6,13.2,3.6,17.1,0.1,0.0,11.6,1.6,14.1,14402
Safety Beach (NSW),182.0,86.0,26.0,127.0,87.0,23.0,118.0,0.0,0.0,55.0,9.0,41.0,23.6,11.2,3.4,16.5,11.3,3.0,15.3,0.0,0.0,7.1,1.2,5.3,13462
Sandy Beach,248.0,172.0,90.0,309.0,219.0,76.0,290.0,3.0,0.0,141.0,4.0,173.0,14.0,9.7,5.1,17.4,12.3,4.3,16.3,0.2,0.0,7.9,0.2,9.8,13479
Upper Corindi,11.0,13.0,7.0,21.0,15.0,3.0,19.0,0.0,0.0,12.0,0.0,23.0,9.1,10.7,5.8,17.4,12.4,2.5,15.7,0.0,0.0,9.9,0.0,19.0,14020
Corindi Beach,174.0,121.0,56.0,246.0,158.0,64.0,189.0,0.0,0.0,133.0,6.0,132.0,13.2,9.2,4.3,18.7,12.0,4.9,14.4,0.0,0.0,10.1,0.5,10.0,11073
Red Rock,63.0,30.0,11.0,63.0,40.0,13.0,55.0,0.0,0.0,37.0,0.0,35.0,18.4,8.8,3.2,18.4,11.7,3.8,16.1,0.0,0.0,10.8,0.0,10.2,13334
Arrawarra,34.0,34.0,12.0,91.0,45.0,21.0,67.0,0.0,0.0,72.0,3.0,98.0,6.8,6.8,2.4,18.2,9.0,4.2,13.4,0.0,0.0,14.4,0.6,19.6,10088
Arrawarra Headland,109.0,33.0,14.0,56.0,65.0,19.0,62.0,0.0,0.0,34.0,0.0,42.0,23.5,7.1,3.0,12.1,14.0,4.1,13.4,0.0,0.0,7.3,0.0,9.1,10089
Mullaway,74.0,47.0,19.0,82.0,46.0,24.0,42.0,0.0,0.0,35.0,0.0,52.0,16.7,10.6,4.3,18.6,10.4,5.4,9.5,0.0,0.0,7.9,0.0,11.8,12822
Bourke,167.0,97.0,41.0,135.0,119.0,78.0,234.0,3.0,0.0,191.0,8.0,355.0,11.4,6.6,2.8,9.2,8.1,5.3,16.0,0.2,0.0,13.0,0.5,24.2,10522
Wanaaring,6.0,12.0,0.0,3.0,14.0,3.0,13.0,0.0,0.0,9.0,0.0,38.0,6.2,12.4,0.0,3.1,14.4,3.1,13.4,0.0,0.0,9.3,0.0,39.2,14126
North Bourke,18.0,20.0,3.0,33.0,22.0,7.0,34.0,0.0,0.0,24.0,0.0,55.0,8.3,9.3,1.4,15.3,10.2,3.2,15.7,0.0,0.0,11.1,0.0,25.5,12985
Enngonia,3.0,9.0,0.0,11.0,10.0,4.0,19.0,0.0,0.0,19.0,0.0,27.0,2.5,7.6,0.0,9.3,8.5,3.4,16.1,0.0,0.0,16.1,0.0,22.9,11426
Brewarrina,63.0,37.0,14.0,67.0,80.0,49.0,174.0,5.0,0.0,162.0,4.0,197.0,7.3,4.3,1.6,7.8,9.3,5.7,20.2,0.6,0.0,18.8,0.5,22.9,10563
Cobar,300.0,148.0,88.0,581.0,318.0,145.0,520.0,7.0,0.0,354.0,6.0,570.0,9.7,4.8,2.8,18.8,10.3,4.7,16.8,0.2,0.0,11.4,0.2,18.4,10949
Coonamble,150.0,105.0,69.0,236.0,212.0,118.0,354.0,9.0,0.0,363.0,16.0,508.0,6.9,4.8,3.2,10.8,9.7,5.4,16.3,0.4,0.0,16.7,0.7,23.3,11044
Gulargambone,29.0,12.0,7.0,48.0,47.0,21.0,92.0,0.0,0.0,77.0,4.0,113.0,6.4,2.7,1.6,10.7,10.4,4.7,20.4,0.0,0.0,17.1,0.9,25.1,11792
Quambone,8.0,13.0,0.0,10.0,13.0,6.0,27.0,0.0,0.0,16.0,3.0,28.0,6.6,10.7,0.0,8.3,10.7,5.0,22.3,0.0,0.0,13.2,2.5,23.1,13287
Nyngan,162.0,89.0,28.0,266.0,215.0,84.0,325.0,0.0,0.0,242.0,0.0,268.0,9.5,5.2,1.6,15.6,12.6,4.9,19.1,0.0,0.0,14.2,0.0,15.7,13049
Nevertire,19.0,7.0,3.0,21.0,24.0,6.0,24.0,0.0,0.0,14.0,0.0,19.0,13.2,4.9,2.1,14.6,16.7,4.2,16.7,0.0,0.0,9.7,0.0,13.2,12936
Warren,103.0,68.0,17.0,150.0,142.0,41.0,210.0,0.0,0.0,158.0,8.0,180.0,9.3,6.1,1.5,13.5,12.8,3.7,18.9,0.0,0.0,14.2,0.7,16.2,14171
Hermidale,6.0,7.0,6.0,14.0,11.0,0.0,19.0,0.0,0.0,16.0,0.0,19.0,5.8,6.8,5.8,13.6,10.7,0.0,18.4,0.0,0.0,15.5,0.0,18.4,11894
Ravenswood (NSW),26.0,12.0,6.0,45.0,53.0,12.0,76.0,0.0,0.0,60.0,11.0,111.0,6.2,2.9,1.4,10.8,12.7,2.9,18.2,0.0,0.0,14.4,2.6,26.6,13321
Cumborah,14.0,13.0,0.0,29.0,20.0,9.0,28.0,0.0,0.0,23.0,0.0,70.0,6.3,5.9,0.0,13.1,9.0,4.1,12.7,0.0,0.0,10.4,0.0,31.7,11158
Goodooga,17.0,11.0,0.0,24.0,32.0,9.0,36.0,0.0,0.0,31.0,0.0,29.0,9.0,5.9,0.0,12.8,17.0,4.8,19.1,0.0,0.0,16.5,0.0,15.4,11702
Carinda,10.0,10.0,3.0,17.0,24.0,5.0,27.0,0.0,0.0,12.0,0.0,16.0,7.7,7.7,2.3,13.1,18.5,3.8,20.8,0.0,0.0,9.2,0.0,12.3,10814
Pilliga,12.0,4.0,0.0,10.0,22.0,11.0,29.0,0.0,0.0,41.0,4.0,34.0,7.1,2.4,0.0,5.9,12.9,6.5,17.1,0.0,0.0,24.1,2.4,20.0,13205
Come By Chance,15.0,9.0,3.0,9.0,18.0,6.0,14.0,0.0,0.0,13.0,0.0,10.0,15.3,9.2,3.1,9.2,18.4,6.1,14.3,0.0,0.0,13.3,0.0,10.2,10993
Walgett,167.0,89.0,27.0,151.0,188.0,86.0,307.0,0.0,0.0,236.0,15.0,311.0,10.5,5.6,1.7,9.5,11.8,5.4,19.3,0.0,0.0,14.8,0.9,19.5,14096
Burren Junction,20.0,10.0,0.0,35.0,29.0,6.0,48.0,0.0,0.0,30.0,0.0,25.0,9.2,4.6,0.0,16.1,13.4,2.8,22.1,0.0,0.0,13.8,0.0,11.5,10710
Lightning Ridge,144.0,123.0,43.0,251.0,192.0,96.0,335.0,0.0,0.0,302.0,24.0,389.0,7.4,6.4,2.2,13.0,9.9,5.0,17.3,0.0,0.0,15.6,1.2,20.1,12320
Collarenebri,44.0,24.0,11.0,44.0,45.0,36.0,101.0,0.0,0.0,113.0,6.0,79.0,8.4,4.6,2.1,8.4,8.6,6.9,19.3,0.0,0.0,21.6,1.1,15.1,10969
Rowena,14.0,12.0,0.0,15.0,22.0,3.0,21.0,0.0,0.0,26.0,0.0,30.0,9.6,8.2,0.0,10.3,15.1,2.1,14.4,0.0,0.0,17.8,0.0,20.5,13431
Broken Hill,1267.0,812.0,515.0,2384.0,1246.0,662.0,2786.0,30.0,3.0,2452.0,32.0,2285.0,8.5,5.5,3.5,16.1,8.4,4.5,18.8,0.2,0.0,16.5,0.2,15.4,10592
White Cliffs,9.0,9.0,3.0,17.0,14.0,8.0,20.0,0.0,0.0,18.0,0.0,13.0,8.3,8.3,2.8,15.6,12.8,7.3,18.3,0.0,0.0,16.5,0.0,11.9,14274
Menindee,23.0,13.0,10.0,43.0,44.0,23.0,97.0,0.0,0.0,79.0,3.0,115.0,5.0,2.9,2.2,9.4,9.6,5.0,21.3,0.0,0.0,17.3,0.7,25.2,12571
Wilcannia,40.0,35.0,12.0,49.0,41.0,21.0,91.0,3.0,0.0,121.0,0.0,159.0,6.8,6.0,2.1,8.4,7.0,3.6,15.6,0.5,0.0,20.7,0.0,27.2,14290
Tibooburra,6.0,5.0,4.0,22.0,18.0,10.0,11.0,0.0,0.0,19.0,0.0,13.0,5.2,4.3,3.4,19.0,15.5,8.6,9.5,0.0,0.0,16.4,0.0,11.2,13860
Pooncarie,6.0,9.0,8.0,30.0,7.0,8.0,18.0,0.0,0.0,19.0,0.0,37.0,4.4,6.7,5.9,22.2,5.2,5.9,13.3,0.0,0.0,14.1,0.0,27.4,13242
Ivanhoe (NSW),10.0,15.0,0.0,26.0,30.0,21.0,43.0,0.0,0.0,25.0,0.0,105.0,3.6,5.4,0.0,9.4,10.9,7.6,15.6,0.0,0.0,9.1,0.0,38.0,11991
Baradine,38.0,29.0,16.0,93.0,55.0,12.0,150.0,0.0,0.0,133.0,0.0,87.0,5.9,4.5,2.5,14.6,8.6,1.9,23.5,0.0,0.0,20.8,0.0,13.6,10190
Coonabarabran,275.0,154.0,72.0,404.0,287.0,129.0,498.0,8.0,0.0,352.0,6.0,411.0,10.3,5.8,2.7,15.1,10.7,4.8,18.6,0.3,0.0,13.2,0.2,15.4,11043
Binnaway,22.0,28.0,7.0,51.0,64.0,23.0,129.0,0.0,0.0,103.0,3.0,96.0,4.1,5.2,1.3,9.4,11.8,4.2,23.8,0.0,0.0,19.0,0.6,17.7,10372
Mendooran,29.0,22.0,14.0,70.0,47.0,18.0,100.0,0.0,0.0,72.0,3.0,66.0,6.5,4.9,3.1,15.7,10.5,4.0,22.4,0.0,0.0,16.1,0.7,14.8,12570
Coolah,110.0,72.0,33.0,149.0,92.0,41.0,176.0,0.0,0.0,147.0,0.0,187.0,10.7,7.0,3.2,14.6,9.0,4.0,17.2,0.0,0.0,14.4,0.0,18.3,11024
Bugaldie,17.0,7.0,4.0,18.0,15.0,7.0,18.0,0.0,0.0,13.0,0.0,23.0,14.3,5.9,3.4,15.1,12.6,5.9,15.1,0.0,0.0,10.9,0.0,19.3,10646
Ulamambri,25.0,16.0,3.0,15.0,25.0,10.0,27.0,0.0,0.0,22.0,0.0,34.0,13.7,8.7,1.6,8.2,13.7,5.5,14.8,0.0,0.0,12.0,0.0,18.6,14001
Tambar Springs,23.0,18.0,4.0,13.0,13.0,3.0,25.0,0.0,0.0,19.0,3.0,33.0,15.3,12.0,2.7,8.7,8.7,2.0,16.7,0.0,0.0,12.7,2.0,22.0,13743
Merrygoen,14.0,8.0,3.0,15.0,13.0,4.0,19.0,0.0,0.0,8.0,0.0,24.0,13.6,7.8,2.9,14.6,12.6,3.9,18.4,0.0,0.0,7.8,0.0,23.3,12587
Dubbo,4653.0,2270.0,1268.0,4963.0,3580.0,1257.0,5019.0,34.0,3.0,3118.0,103.0,3558.0,15.2,7.4,4.1,16.2,11.7,4.1,16.4,0.1,0.0,10.2,0.3,11.6,11296
Terramungamine,30.0,15.0,12.0,44.0,17.0,8.0,31.0,0.0,0.0,14.0,0.0,25.0,14.6,7.3,5.9,21.5,8.3,3.9,15.1,0.0,0.0,6.8,0.0,12.2,13801
Brocklehurst,27.0,22.0,20.0,44.0,29.0,10.0,49.0,0.0,0.0,32.0,0.0,40.0,9.5,7.7,7.0,15.4,10.2,3.5,17.2,0.0,0.0,11.2,0.0,14.0,10583
Wongarbon,82.0,43.0,40.0,114.0,62.0,18.0,70.0,0.0,0.0,54.0,3.0,68.0,14.4,7.6,7.0,20.1,10.9,3.2,12.3,0.0,0.0,9.5,0.5,12.0,14373
Elong Elong,16.0,11.0,0.0,19.0,8.0,6.0,22.0,0.0,0.0,4.0,0.0,13.0,14.2,9.7,0.0,16.8,7.1,5.3,19.5,0.0,0.0,3.5,0.0,11.5,11406
Gollan,17.0,8.0,3.0,11.0,5.0,0.0,7.0,0.0,0.0,11.0,0.0,24.0,21.2,10.0,3.8,13.8,6.2,0.0,8.8,0.0,0.0,13.8,0.0,30.0,11694
Eumungerie,26.0,17.0,7.0,44.0,24.0,5.0,52.0,0.0,0.0,26.0,0.0,55.0,10.6,6.9,2.8,17.9,9.8,2.0,21.1,0.0,0.0,10.6,0.0,22.4,11456
Minore,15.0,7.0,3.0,30.0,10.0,6.0,27.0,0.0,0.0,19.0,0.0,10.0,12.0,5.6,2.4,24.0,8.0,4.8,21.6,0.0,0.0,15.2,0.0,8.0,12641
Ballimore,11.0,6.0,0.0,24.0,15.0,7.0,28.0,0.0,0.0,7.0,0.0,44.0,7.2,3.9,0.0,15.8,9.9,4.6,18.4,0.0,0.0,4.6,0.0,28.9,10161
Gilgandra,191.0,121.0,89.0,387.0,230.0,113.0,496.0,3.0,3.0,446.0,4.0,398.0,7.5,4.7,3.5,15.2,9.0,4.4,19.5,0.1,0.1,17.5,0.2,15.6,11619
Collie (NSW),13.0,14.0,3.0,24.0,17.0,7.0,38.0,0.0,0.0,17.0,0.0,29.0,8.2,8.9,1.9,15.2,10.8,4.4,24.1,0.0,0.0,10.8,0.0,18.4,10975
Armatree,17.0,10.0,0.0,11.0,10.0,5.0,14.0,0.0,0.0,12.0,0.0,20.0,17.2,10.1,0.0,11.1,10.1,5.1,14.1,0.0,0.0,12.1,0.0,20.2,10084
Curban,14.0,4.0,3.0,16.0,5.0,7.0,27.0,0.0,0.0,9.0,0.0,9.0,13.1,3.7,2.8,15.0,4.7,6.5,25.2,0.0,0.0,8.4,0.0,8.4,11166
Tooraweenah,19.0,11.0,6.0,21.0,15.0,3.0,43.0,0.0,0.0,38.0,0.0,24.0,9.9,5.8,3.1,11.0,7.9,1.6,22.5,0.0,0.0,19.9,0.0,12.6,13911
Narromine,345.0,225.0,108.0,588.0,398.0,151.0,705.0,7.0,0.0,489.0,9.0,526.0,9.5,6.2,3.0,16.1,10.9,4.1,19.3,0.2,0.0,13.4,0.2,14.4,12911
Burroway,11.0,13.0,0.0,13.0,13.0,0.0,16.0,0.0,0.0,11.0,0.0,18.0,11.1,13.1,0.0,13.1,13.1,0.0,16.2,0.0,0.0,11.1,0.0,18.2,10715
Trangie,79.0,54.0,24.0,133.0,137.0,42.0,190.0,3.0,0.0,142.0,3.0,157.0,8.1,5.5,2.5,13.6,14.1,4.3,19.5,0.3,0.0,14.6,0.3,16.1,13932
Tomingley,23.0,19.0,10.0,37.0,26.0,5.0,39.0,0.0,0.0,29.0,0.0,46.0,9.5,7.9,4.1,15.3,10.7,2.1,16.1,0.0,0.0,12.0,0.0,19.0,13896
Wellington (NSW),185.0,174.0,93.0,478.0,330.0,146.0,635.0,10.0,0.0,526.0,12.0,633.0,5.6,5.3,2.8,14.6,10.1,4.5,19.4,0.3,0.0,16.0,0.4,19.3,14221
Mumbil,8.0,11.0,3.0,37.0,31.0,10.0,33.0,0.0,0.0,43.0,0.0,54.0,3.4,4.7,1.3,15.7,13.2,4.3,14.0,0.0,0.0,18.3,0.0,23.0,12832
