,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Bethungra,30.0,18.0,14.0,0.0,3.0,46.2,27.7,21.5,0.0,4.6,10328
Wantabadgery,35.0,13.0,13.0,0.0,4.0,53.8,20.0,20.0,0.0,6.2,14136
Temora,823.0,521.0,460.0,15.0,51.0,44.0,27.9,24.6,0.8,2.7,13784
Springdale (NSW),19.0,11.0,12.0,0.0,0.0,45.2,26.2,28.6,0.0,0.0,13621
Lake Albert (NSW),865.0,881.0,352.0,53.0,39.0,39.5,40.2,16.1,2.4,1.8,12238
East Wagga Wagga,34.0,21.0,25.0,0.0,5.0,40.0,24.7,29.4,0.0,5.9,11364
Kooringal (NSW),868.0,825.0,1037.0,7.0,92.0,30.7,29.2,36.7,0.2,3.3,12193
Gumly Gumly,43.0,35.0,11.0,0.0,8.0,44.3,36.1,11.3,0.0,8.2,11800
Tatton,273.0,343.0,186.0,0.0,8.0,33.7,42.3,23.0,0.0,1.0,13775
Estella,181.0,286.0,230.0,56.0,14.0,23.6,37.3,30.0,7.3,1.8,11444
Boorooma,19.0,170.0,65.0,0.0,13.0,7.1,63.7,24.3,0.0,4.9,10501
North Wagga Wagga,96.0,86.0,37.0,0.0,4.0,43.0,38.6,16.6,0.0,1.8,13014
Cartwrights Hill,28.0,23.0,8.0,0.0,3.0,45.2,37.1,12.9,0.0,4.8,10839
Springvale (Wagga Wagga - NSW),180.0,280.0,7.0,0.0,6.0,38.1,59.2,1.5,0.0,1.3,13628
Lloyd,78.0,143.0,65.0,0.0,3.0,27.0,49.5,22.5,0.0,1.0,12365
Bourkelands,257.0,443.0,269.0,3.0,11.0,26.1,45.1,27.4,0.3,1.1,10523
Glenfield Park,470.0,683.0,701.0,16.0,63.0,24.3,35.3,36.3,0.8,3.3,11665
Tolland,355.0,313.0,569.0,4.0,51.0,27.5,24.2,44.0,0.3,3.9,13887
Mount Austin,375.0,422.0,677.0,0.0,54.0,24.5,27.6,44.3,0.0,3.5,12748
Turvey Park,379.0,474.0,352.0,5.0,35.0,30.4,38.1,28.3,0.4,2.8,13983
San Isidore,53.0,60.0,9.0,0.0,3.0,42.4,48.0,7.2,0.0,2.4,13469
Ashmont,303.0,355.0,706.0,6.0,54.0,21.3,24.9,49.6,0.4,3.8,10101
Wagga Wagga,822.0,573.0,1535.0,43.0,97.0,26.8,18.7,50.0,1.4,3.2,14083
Kapooka,0.0,0.0,46.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12068
Moorong,16.0,20.0,11.0,0.0,3.0,32.0,40.0,22.0,0.0,6.0,12715
Ladysmith,53.0,39.0,20.0,3.0,16.0,40.5,29.8,15.3,2.3,12.2,12233
The Rock,185.0,173.0,70.0,4.0,11.0,41.8,39.1,15.8,0.9,2.5,13838
Forest Hill (NSW),123.0,299.0,266.0,0.0,18.0,17.4,42.4,37.7,0.0,2.5,11544
Collingullie,25.0,30.0,14.0,0.0,0.0,36.2,43.5,20.3,0.0,0.0,10976
Lockhart,208.0,104.0,96.0,0.0,13.0,49.4,24.7,22.8,0.0,3.1,12369
Pleasant Hills,28.0,11.0,6.0,4.0,0.0,57.1,22.4,12.2,8.2,0.0,13228
Ganmain,135.0,95.0,38.0,3.0,11.0,47.9,33.7,13.5,1.1,3.9,11585
Matong,34.0,6.0,10.0,0.0,5.0,61.8,10.9,18.2,0.0,9.1,12523
Yerong Creek,56.0,31.0,12.0,0.0,0.0,56.6,31.3,12.1,0.0,0.0,14508
Uranquinty,105.0,154.0,42.0,0.0,11.0,33.7,49.4,13.5,0.0,3.5,14055
Currawarna,23.0,22.0,9.0,0.0,3.0,40.4,38.6,15.8,0.0,5.3,11178
Oura,17.0,32.0,14.0,0.0,0.0,27.0,50.8,22.2,0.0,0.0,13102
Eunanoreenya,26.0,15.0,11.0,0.0,0.0,50.0,28.8,21.2,0.0,0.0,11457
Gobbagombalin,21.0,95.0,33.0,3.0,9.0,13.0,59.0,20.5,1.9,5.6,11689
Brucedale,25.0,23.0,0.0,0.0,3.0,49.0,45.1,0.0,0.0,5.9,10613
Downside,18.0,16.0,11.0,0.0,0.0,40.0,35.6,24.4,0.0,0.0,11285
Euberta,21.0,10.0,3.0,0.0,0.0,61.8,29.4,8.8,0.0,0.0,11451
Marrar,47.0,46.0,23.0,0.0,3.0,39.5,38.7,19.3,0.0,2.5,12503
Coolamon,280.0,272.0,139.0,14.0,23.0,38.5,37.4,19.1,1.9,3.2,11025
Tarcutta,69.0,52.0,36.0,0.0,5.0,42.6,32.1,22.2,0.0,3.1,13763
Gregadoo,28.0,38.0,7.0,0.0,3.0,36.8,50.0,9.2,0.0,3.9,11773
Big Springs,20.0,18.0,3.0,0.0,3.0,45.5,40.9,6.8,0.0,6.8,10345
Mangoplah,26.0,31.0,15.0,0.0,3.0,34.7,41.3,20.0,0.0,4.0,12470
Gelston Park,21.0,17.0,0.0,0.0,0.0,55.3,44.7,0.0,0.0,0.0,11597
Berry,526.0,240.0,161.0,66.0,25.0,51.7,23.6,15.8,6.5,2.5,10322
Kangaroo Valley,152.0,95.0,59.0,4.0,8.0,47.8,29.9,18.6,1.3,2.5,12061
Barrengarry,29.0,16.0,13.0,0.0,0.0,50.0,27.6,22.4,0.0,0.0,10213
Upper Kangaroo River,31.0,10.0,6.0,0.0,0.0,66.0,21.3,12.8,0.0,0.0,14030
Broughton Vale,54.0,17.0,0.0,0.0,0.0,76.1,23.9,0.0,0.0,0.0,10606
Bellawongarah,29.0,9.0,0.0,0.0,0.0,76.3,23.7,0.0,0.0,0.0,10267
Beaumont (NSW),23.0,8.0,3.0,0.0,0.0,67.6,23.5,8.8,0.0,0.0,10242
Far Meadow,48.0,17.0,7.0,0.0,5.0,62.3,22.1,9.1,0.0,6.5,11488
Coolangatta (NSW),45.0,41.0,9.0,0.0,0.0,47.4,43.2,9.5,0.0,0.0,11026
Jaspers Brush,75.0,33.0,24.0,3.0,0.0,55.6,24.4,17.8,2.2,0.0,12002
Shoalhaven Heads,741.0,304.0,272.0,4.0,52.0,54.0,22.1,19.8,0.3,3.8,13540
Callala Bay,390.0,206.0,209.0,5.0,17.0,47.2,24.9,25.3,0.6,2.1,10757
Callala Beach,156.0,55.0,80.0,3.0,15.0,50.5,17.8,25.9,1.0,4.9,10758
Currarong,102.0,41.0,16.0,0.0,3.0,63.0,25.3,9.9,0.0,1.9,11176
Myola (NSW),30.0,7.0,0.0,0.0,0.0,81.1,18.9,0.0,0.0,0.0,12878
Orient Point,119.0,62.0,50.0,3.0,8.0,49.2,25.6,20.7,1.2,3.3,13096
Culburra Beach,528.0,281.0,285.0,19.0,29.0,46.2,24.6,25.0,1.7,2.5,11146
Greenwell Point,272.0,133.0,109.0,5.0,19.0,50.6,24.7,20.3,0.9,3.5,11769
Numbaa,16.0,10.0,14.0,0.0,3.0,37.2,23.3,32.6,0.0,7.0,13035
Huskisson,144.0,61.0,153.0,3.0,11.0,38.7,16.4,41.1,0.8,3.0,11966
Vincentia,635.0,334.0,329.0,6.0,48.0,47.0,24.7,24.3,0.4,3.6,14075
Hyams Beach,43.0,5.0,0.0,0.0,0.0,89.6,10.4,0.0,0.0,0.0,11967
Bomaderry,1011.0,679.0,906.0,18.0,86.0,37.4,25.1,33.6,0.7,3.2,10453
Cambewarra,50.0,24.0,5.0,0.0,0.0,63.3,30.4,6.3,0.0,0.0,10763
North Nowra,761.0,693.0,579.0,14.0,54.0,36.2,33.0,27.6,0.7,2.6,13000
Bangalee (NSW),111.0,98.0,22.0,0.0,3.0,47.4,41.9,9.4,0.0,1.3,10173
Meroo Meadow,70.0,59.0,23.0,0.0,3.0,45.2,38.1,14.8,0.0,1.9,12579
Cambewarra Village,160.0,168.0,46.0,0.0,4.0,42.3,44.4,12.2,0.0,1.1,10764
Tapitallee,97.0,93.0,13.0,3.0,6.0,45.8,43.9,6.1,1.4,2.8,13755
Worrigee,412.0,612.0,581.0,7.0,35.0,25.0,37.2,35.3,0.4,2.1,14423
Nowra,1044.0,763.0,1622.0,48.0,134.0,28.9,21.1,44.9,1.3,3.7,13028
Nowra Hill,142.0,177.0,18.0,3.0,12.0,40.3,50.3,5.1,0.9,3.4,13029
West Nowra,112.0,179.0,196.0,0.0,17.0,22.2,35.5,38.9,0.0,3.4,14248
Terara,69.0,15.0,17.0,0.0,8.0,63.3,13.8,15.6,0.0,7.3,13795
South Nowra,163.0,268.0,183.0,4.0,19.0,25.6,42.1,28.7,0.6,3.0,13594
St Georges Basin,506.0,312.0,184.0,56.0,30.0,46.5,28.7,16.9,5.1,2.8,13636
Worrowing Heights,116.0,9.0,14.0,60.0,12.0,55.0,4.3,6.6,28.4,5.7,14424
Basin View,212.0,209.0,94.0,7.0,39.0,37.8,37.3,16.8,1.2,7.0,10223
Sanctuary Point,1285.0,728.0,770.0,10.0,101.0,44.4,25.2,26.6,0.3,3.5,13472
Erowal Bay,106.0,83.0,48.0,0.0,8.0,43.3,33.9,19.6,0.0,3.3,11436
Wrights Beach,24.0,13.0,5.0,0.0,0.0,57.1,31.0,11.9,0.0,0.0,14428
Old Erowal Bay,121.0,150.0,105.0,3.0,16.0,30.6,38.0,26.6,0.8,4.1,13075
Sussex Inlet,910.0,288.0,312.0,25.0,56.0,57.2,18.1,19.6,1.6,3.5,13700
Swanhaven,53.0,18.0,9.0,0.0,3.0,63.9,21.7,10.8,0.0,3.6,13709
Berrara,59.0,38.0,12.0,0.0,4.0,52.2,33.6,10.6,0.0,3.5,10313
Cudmirrah,65.0,28.0,19.0,0.0,0.0,58.0,25.0,17.0,0.0,0.0,11145
Falls Creek (NSW),138.0,126.0,22.0,5.0,8.0,46.2,42.1,7.4,1.7,2.7,11487
Tomerong,156.0,152.0,46.0,4.0,6.0,42.9,41.8,12.6,1.1,1.6,13894
Wandandian,43.0,50.0,6.0,3.0,0.0,42.2,49.0,5.9,2.9,0.0,14127
Woollamia,117.0,75.0,18.0,0.0,6.0,54.2,34.7,8.3,0.0,2.8,14405
Parma,36.0,13.0,5.0,0.0,3.0,63.2,22.8,8.8,0.0,5.3,13155
Ulladulla,1303.0,549.0,773.0,9.0,95.0,47.7,20.1,28.3,0.3,3.5,14003
Kings Point,87.0,81.0,36.0,0.0,8.0,41.0,38.2,17.0,0.0,3.8,12153
Burrill Lake,271.0,177.0,114.0,3.0,23.0,46.1,30.1,19.4,0.5,3.9,10712
Dolphin Point,48.0,15.0,14.0,0.0,0.0,62.3,19.5,18.2,0.0,0.0,11269
Milton (NSW),276.0,158.0,95.0,17.0,21.0,48.7,27.9,16.8,3.0,3.7,12630
Mollymook Beach,561.0,236.0,207.0,3.0,27.0,54.3,22.8,20.0,0.3,2.6,12670
Narrawallee,253.0,119.0,108.0,3.0,13.0,51.0,24.0,21.8,0.6,2.6,12909
Mollymook,211.0,106.0,102.0,0.0,13.0,48.8,24.5,23.6,0.0,3.0,12669
Manyana,126.0,59.0,31.0,0.0,8.0,56.2,26.3,13.8,0.0,3.6,12482
Conjola,27.0,12.0,8.0,0.0,0.0,57.4,25.5,17.0,0.0,0.0,11011
Fishermans Paradise,78.0,59.0,32.0,0.0,11.0,43.3,32.8,17.8,0.0,6.1,11523
Lake Tabourie,128.0,62.0,56.0,0.0,7.0,50.6,24.5,22.1,0.0,2.8,12254
Conjola Park,60.0,48.0,21.0,0.0,3.0,45.5,36.4,15.9,0.0,2.3,11012
Lake Conjola,118.0,30.0,33.0,3.0,8.0,61.5,15.6,17.2,1.6,4.2,12244
Yatte Yattah,36.0,17.0,8.0,0.0,0.0,59.0,27.9,13.1,0.0,0.0,14497
Little Forest,37.0,19.0,5.0,0.0,0.0,60.7,31.1,8.2,0.0,0.0,12351
Croobyar,34.0,14.0,3.0,0.0,0.0,66.7,27.5,5.9,0.0,0.0,11121
Morton,37.0,30.0,3.0,0.0,0.0,52.9,42.9,4.3,0.0,0.0,12730
Woodstock (Shoalhaven - NSW),40.0,24.0,3.0,0.0,0.0,59.7,35.8,4.5,0.0,0.0,14396
Bawley Point,177.0,68.0,40.0,3.0,0.0,61.5,23.6,13.9,1.0,0.0,10235
Kioloa,70.0,26.0,26.0,0.0,3.0,56.0,20.8,20.8,0.0,2.4,12165
Termeil,46.0,31.0,7.0,3.0,6.0,49.5,33.3,7.5,3.2,6.5,13797
Bowral,2018.0,1067.0,822.0,86.0,103.0,49.3,26.0,20.1,2.1,2.5,10536
Burradoo,566.0,259.0,79.0,3.0,24.0,60.8,27.8,8.5,0.3,2.6,10701
Woodlands (Wingecarribee - NSW),36.0,40.0,20.0,0.0,0.0,37.5,41.7,20.8,0.0,0.0,14388
Balmoral (Wingecarribee - NSW),47.0,88.0,11.0,3.0,5.0,30.5,57.1,7.1,1.9,3.2,10167
Hill Top (Wingecarribee - NSW),215.0,502.0,114.0,4.0,27.0,24.9,58.2,13.2,0.5,3.1,11905
Colo Vale,180.0,233.0,93.0,0.0,7.0,35.1,45.4,18.1,0.0,1.4,10985
Alpine,23.0,19.0,0.0,0.0,0.0,54.8,45.2,0.0,0.0,0.0,10044
Aylmerton,22.0,34.0,11.0,0.0,0.0,32.8,50.7,16.4,0.0,0.0,10119
Mittagong,945.0,580.0,585.0,21.0,77.0,42.8,26.3,26.5,1.0,3.5,12653
Willow Vale (Wingecarribee - NSW),107.0,100.0,31.0,0.0,5.0,44.0,41.2,12.8,0.0,2.1,14307
Renwick,58.0,102.0,37.0,0.0,7.0,28.4,50.0,18.1,0.0,3.4,13350
Balaclava (NSW),73.0,58.0,30.0,0.0,7.0,43.5,34.5,17.9,0.0,4.2,10143
Welby,93.0,86.0,93.0,3.0,4.0,33.3,30.8,33.3,1.1,1.4,14219
Glenquarry,34.0,20.0,17.0,3.0,0.0,45.9,27.0,23.0,4.1,0.0,11674
Braemar,36.0,77.0,37.0,0.0,7.0,22.9,49.0,23.6,0.0,4.5,10545
Moss Vale,1178.0,1001.0,889.0,23.0,97.0,37.0,31.4,27.9,0.7,3.0,12739
Sutton Forest,79.0,45.0,45.0,3.0,3.0,45.1,25.7,25.7,1.7,1.7,13703
Berrima,127.0,80.0,30.0,3.0,7.0,51.4,32.4,12.1,1.2,2.8,10320
New Berrima,57.0,118.0,45.0,0.0,6.0,25.2,52.2,19.9,0.0,2.7,12938
Robertson (NSW),281.0,268.0,95.0,6.0,12.0,42.4,40.5,14.4,0.9,1.8,13374
Kangaloon,30.0,12.0,11.0,0.0,0.0,56.6,22.6,20.8,0.0,0.0,12058
Wildes Meadow,50.0,21.0,24.0,0.0,3.0,51.0,21.4,24.5,0.0,3.1,14292
Burrawang,73.0,43.0,26.0,0.0,3.0,50.3,29.7,17.9,0.0,2.1,10708
Avoca (NSW),30.0,22.0,15.0,0.0,3.0,42.9,31.4,21.4,0.0,4.3,10113
Fitzroy Falls,41.0,21.0,11.0,0.0,0.0,56.2,28.8,15.1,0.0,0.0,11529
Bundanoon (NSW),616.0,318.0,136.0,13.0,24.0,55.6,28.7,12.3,1.2,2.2,10670
Wingello,81.0,89.0,34.0,0.0,5.0,38.8,42.6,16.3,0.0,2.4,14330
Exeter (NSW),205.0,112.0,51.0,8.0,10.0,53.1,29.0,13.2,2.1,2.6,11475
High Range,44.0,72.0,10.0,0.0,8.0,32.8,53.7,7.5,0.0,6.0,11900
Joadja,19.0,19.0,10.0,0.0,0.0,39.6,39.6,20.8,0.0,0.0,12035
Canyonleigh,67.0,49.0,18.0,0.0,7.0,47.5,34.8,12.8,0.0,5.0,10799
Penrose,59.0,21.0,12.0,0.0,0.0,64.1,22.8,13.0,0.0,0.0,13185
Baulkham Hills,4166.0,5166.0,2441.0,72.0,184.0,34.6,42.9,20.3,0.6,1.5,10233
Bella Vista,812.0,1070.0,260.0,9.0,29.0,37.2,49.1,11.9,0.4,1.3,10263
Glenhaven,895.0,815.0,135.0,233.0,42.0,42.2,38.4,6.4,11.0,2.0,11667
Castle Hill (NSW),4500.0,4918.0,2498.0,477.0,248.0,35.6,38.9,19.8,3.8,2.0,10847
West Pennant Hills,2212.0,2151.0,562.0,62.0,80.0,43.7,42.5,11.1,1.2,1.6,14249
Cherrybrook,2329.0,2504.0,816.0,76.0,82.0,40.1,43.1,14.1,1.3,1.4,10898
Kellyville,1972.0,4476.0,1412.0,80.0,100.0,24.5,55.7,17.6,1.0,1.2,12088
Kenthurst,647.0,600.0,136.0,27.0,32.0,44.9,41.6,9.4,1.9,2.2,12100
Glenorie,407.0,418.0,160.0,9.0,13.0,40.4,41.5,15.9,0.9,1.3,11673
Maroota,69.0,61.0,46.0,0.0,12.0,36.7,32.4,24.5,0.0,6.4,12500
Canoelands,17.0,29.0,5.0,3.0,3.0,29.8,50.9,8.8,5.3,5.3,10794
Cattai,94.0,111.0,30.0,4.0,3.0,38.8,45.9,12.4,1.7,1.2,10859
South Maroota,54.0,76.0,19.0,0.0,10.0,34.0,47.8,11.9,0.0,6.3,13592
Dural (Hornsby - NSW),1032.0,879.0,342.0,26.0,45.0,44.4,37.8,14.7,1.1,1.9,11328
Sackville North,30.0,46.0,16.0,0.0,0.0,32.6,50.0,17.4,0.0,0.0,13459
Lower Portland,56.0,93.0,26.0,0.0,3.0,31.5,52.2,14.6,0.0,1.7,12412
Middle Dural,143.0,106.0,26.0,4.0,6.0,50.2,37.2,9.1,1.4,2.1,12603
Annangrove,165.0,157.0,35.0,0.0,7.0,45.3,43.1,9.6,0.0,1.9,10062
Galston,450.0,369.0,133.0,45.0,28.0,43.9,36.0,13.0,4.4,2.7,11582
Arcadia (NSW),191.0,163.0,50.0,5.0,11.0,45.5,38.8,11.9,1.2,2.6,10072
Fiddletown,22.0,34.0,14.0,0.0,0.0,31.4,48.6,20.0,0.0,0.0,11513
Berowra Waters,13.0,9.0,0.0,0.0,0.0,59.1,40.9,0.0,0.0,0.0,10311
Berrilee,22.0,28.0,13.0,0.0,0.0,34.9,44.4,20.6,0.0,0.0,10319
Bilpin,78.0,104.0,39.0,0.0,5.0,34.5,46.0,17.3,0.0,2.2,10358
Colo Heights,32.0,41.0,7.0,0.0,0.0,40.0,51.2,8.8,0.0,0.0,10984
Lower Macdonald,34.0,54.0,20.0,0.0,0.0,31.5,50.0,18.5,0.0,0.0,12408
Cumberland Reach,14.0,46.0,4.0,0.0,0.0,21.9,71.9,6.2,0.0,0.0,11156
St Albans (NSW),31.0,18.0,6.0,0.0,3.0,53.4,31.0,10.3,0.0,5.2,13630
Bowen Mountain,122.0,324.0,52.0,0.0,12.0,23.9,63.5,10.2,0.0,2.4,10528
Grose Vale,157.0,176.0,31.0,3.0,4.0,42.3,47.4,8.4,0.8,1.1,11785
Grose Wold,70.0,83.0,22.0,0.0,3.0,39.3,46.6,12.4,0.0,1.7,11786
Kurrajong,406.0,466.0,89.0,3.0,16.0,41.4,47.6,9.1,0.3,1.6,12218
Kurrajong Hills,84.0,112.0,9.0,0.0,5.0,40.0,53.3,4.3,0.0,2.4,12220
Kurrajong Heights,147.0,256.0,28.0,4.0,6.0,33.3,58.0,6.3,0.9,1.4,12219
Kurmond,111.0,121.0,42.0,3.0,8.0,38.9,42.5,14.7,1.1,2.8,12215
The Slopes,41.0,51.0,4.0,3.0,3.0,40.2,50.0,3.9,2.9,2.9,13842
East Kurrajong,189.0,364.0,41.0,0.0,15.0,31.0,59.8,6.7,0.0,2.5,11356
Wilberforce (NSW),328.0,433.0,165.0,3.0,21.0,34.5,45.6,17.4,0.3,2.2,14288
Freemans Reach,229.0,281.0,91.0,5.0,9.0,37.2,45.7,14.8,0.8,1.5,11564
Sackville,22.0,50.0,10.0,0.0,4.0,25.6,58.1,11.6,0.0,4.7,13458
Ebenezer (NSW),105.0,138.0,35.0,0.0,12.0,36.2,47.6,12.1,0.0,4.1,11371
Glossodia,222.0,476.0,153.0,6.0,18.0,25.4,54.4,17.5,0.7,2.1,11684
Blaxlands Ridge,35.0,86.0,11.0,0.0,4.0,25.7,63.2,8.1,0.0,2.9,10409
Tennyson (NSW),53.0,41.0,19.0,0.0,3.0,45.7,35.3,16.4,0.0,2.6,13789
Vineyard,200.0,86.0,78.0,4.0,29.0,50.4,21.7,19.6,1.0,7.3,14076
McGraths Hill,219.0,434.0,165.0,7.0,13.0,26.1,51.8,19.7,0.8,1.6,12542
Maraylya,121.0,167.0,54.0,4.0,10.0,34.0,46.9,15.2,1.1,2.8,12484
Oakville,284.0,199.0,80.0,3.0,12.0,49.1,34.4,13.8,0.5,2.1,13060
Pitt Town,239.0,552.0,86.0,5.0,20.0,26.5,61.2,9.5,0.6,2.2,13226
Pitt Town Bottoms,3.0,12.0,7.0,0.0,0.0,13.6,54.5,31.8,0.0,0.0,13227
Rouse Hill,468.0,1255.0,476.0,7.0,95.0,20.3,54.5,20.7,0.3,4.1,13429
Beaumont Hills,562.0,1486.0,371.0,7.0,45.0,22.7,60.1,15.0,0.3,1.8,10243
Nelson (The Hills Shire - NSW),85.0,33.0,24.0,0.0,5.0,57.8,22.4,16.3,0.0,3.4,12922
Box Hill (NSW),131.0,49.0,74.0,3.0,15.0,48.2,18.0,27.2,1.1,5.5,10539
Blacktown,3614.0,4758.0,5928.0,93.0,520.0,24.2,31.9,39.8,0.6,3.5,10397
Kings Park (NSW),309.0,585.0,236.0,8.0,16.0,26.8,50.7,20.5,0.7,1.4,12150
Acacia Gardens,228.0,685.0,178.0,0.0,19.0,20.5,61.7,16.0,0.0,1.7,10014
Quakers Hill,1785.0,3916.0,2320.0,18.0,161.0,21.8,47.8,28.3,0.2,2.0,13286
Marayong,674.0,806.0,939.0,21.0,97.0,26.6,31.8,37.0,0.8,3.8,12485
Woodcroft (NSW),454.0,1014.0,308.0,4.0,49.0,24.8,55.4,16.8,0.2,2.7,14381
Bungarribee,49.0,584.0,41.0,4.0,9.0,7.1,85.0,6.0,0.6,1.3,10682
Doonside,896.0,1271.0,1812.0,31.0,143.0,21.6,30.6,43.6,0.7,3.4,11275
Seven Hills (NSW),1921.0,2198.0,1992.0,41.0,185.0,30.3,34.7,31.4,0.6,2.9,13518
Lalor Park,630.0,883.0,1109.0,17.0,105.0,23.0,32.2,40.4,0.6,3.8,12261
Kings Langley,1137.0,1462.0,350.0,21.0,63.0,37.5,48.2,11.5,0.7,2.1,12149
Toongabbie (NSW),1310.0,1721.0,1371.0,10.0,128.0,28.9,37.9,30.2,0.2,2.8,13907
Prospect (NSW),544.0,642.0,239.0,4.0,36.0,37.1,43.8,16.3,0.3,2.5,13266
Glenwood (NSW),990.0,2510.0,842.0,14.0,61.0,22.4,56.8,19.1,0.3,1.4,11682
Parklea,71.0,433.0,144.0,0.0,18.0,10.7,65.0,21.6,0.0,2.7,13153
Stanhope Gardens,601.0,1565.0,538.0,11.0,70.0,21.6,56.2,19.3,0.4,2.5,13649
Kellyville Ridge,372.0,1868.0,589.0,6.0,45.0,12.9,64.9,20.5,0.2,1.6,12089
The Ponds,333.0,2201.0,655.0,23.0,56.0,10.2,67.4,20.0,0.7,1.7,13835
Riverstone,614.0,879.0,737.0,17.0,64.0,26.6,38.0,31.9,0.7,2.8,13368
Schofields,366.0,735.0,389.0,0.0,41.0,23.9,48.0,25.4,0.0,2.7,13502
Shanes Park,57.0,26.0,25.0,0.0,0.0,52.8,24.1,23.1,0.0,0.0,13524
Marsden Park,173.0,72.0,89.0,5.0,12.0,49.3,20.5,25.4,1.4,3.4,12505
Colebee,57.0,403.0,65.0,0.0,8.0,10.7,75.6,12.2,0.0,1.5,10965
Bidwill (NSW),116.0,167.0,942.0,15.0,41.0,9.1,13.0,73.5,1.2,3.2,10340
Hebersham,389.0,502.0,654.0,8.0,69.0,24.0,30.9,40.3,0.5,4.3,11886
Dharruk,227.0,321.0,250.0,3.0,31.0,27.3,38.6,30.0,0.4,3.7,11248
Blackett,225.0,256.0,511.0,3.0,40.0,21.7,24.7,49.4,0.3,3.9,10392
Emerton,141.0,166.0,364.0,5.0,18.0,20.3,23.9,52.4,0.7,2.6,11413
Glendenning,171.0,850.0,379.0,0.0,23.0,12.0,59.7,26.6,0.0,1.6,11659
Dean Park,225.0,447.0,242.0,8.0,20.0,23.9,47.5,25.7,0.8,2.1,11224
Plumpton (NSW),457.0,1349.0,565.0,26.0,60.0,18.6,54.9,23.0,1.1,2.4,13230
Oakhurst (NSW),370.0,1017.0,467.0,7.0,43.0,19.4,53.4,24.5,0.4,2.3,13058
Hassall Grove,218.0,657.0,323.0,3.0,20.0,17.9,53.8,26.5,0.2,1.6,11866
Shalvey,177.0,257.0,531.0,6.0,44.0,17.4,25.3,52.3,0.6,4.3,13523
Willmot,148.0,133.0,417.0,0.0,25.0,20.5,18.4,57.7,0.0,3.5,14302
Tregear,200.0,195.0,717.0,5.0,68.0,16.9,16.5,60.5,0.4,5.7,13934
Lethbridge Park,273.0,338.0,817.0,15.0,65.0,18.1,22.4,54.2,1.0,4.3,12307
Ropes Crossing,229.0,1097.0,427.0,45.0,37.0,12.5,59.8,23.3,2.5,2.0,13397
Mount Druitt,912.0,1472.0,2380.0,17.0,158.0,18.5,29.8,48.2,0.3,3.2,12756
Whalan,413.0,413.0,944.0,12.0,70.0,22.3,22.3,51.0,0.6,3.8,14266
Eastern Creek,60.0,96.0,81.0,3.0,5.0,24.5,39.2,33.1,1.2,2.0,11366
Minchinbury,427.0,833.0,290.0,0.0,37.0,26.9,52.5,18.3,0.0,2.3,12633
Rooty Hill,997.0,1741.0,1183.0,21.0,104.0,24.6,43.0,29.2,0.5,2.6,13395
Botany,854.0,1459.0,1221.0,20.0,101.0,23.4,39.9,33.4,0.5,2.8,10517
Mascot,1100.0,1479.0,2472.0,23.0,128.0,21.1,28.4,47.5,0.4,2.5,12519
Eastlakes,619.0,516.0,1320.0,21.0,109.0,23.9,20.0,51.1,0.8,4.2,11368
Rosebery (NSW),964.0,1065.0,1579.0,19.0,96.0,25.9,28.6,42.4,0.5,2.6,13405
Pagewood,475.0,417.0,304.0,12.0,39.0,38.1,33.4,24.4,1.0,3.1,13125
Daceyville,53.0,44.0,410.0,14.0,21.0,9.8,8.1,75.6,2.6,3.9,11185
Hillsdale,411.0,432.0,1043.0,8.0,65.0,21.0,22.1,53.2,0.4,3.3,11911
Eastgardens,116.0,91.0,73.0,3.0,16.0,38.8,30.4,24.4,1.0,5.4,11367
Matraville,1086.0,991.0,1127.0,22.0,93.0,32.7,29.9,34.0,0.7,2.8,12524
Marrickville,2361.0,2633.0,4409.0,58.0,298.0,24.2,27.0,45.2,0.6,3.1,12504
Petersham,586.0,902.0,1556.0,16.0,90.0,18.6,28.6,49.4,0.5,2.9,13190
Dulwich Hill,1383.0,1493.0,2417.0,27.0,148.0,25.3,27.3,44.2,0.5,2.7,11303
Newtown (NSW),966.0,1386.0,3567.0,23.0,163.0,15.8,22.7,58.4,0.4,2.7,12960
Lewisham (NSW),281.0,356.0,545.0,6.0,34.0,23.0,29.1,44.6,0.5,2.8,12313
Stanmore (NSW),690.0,860.0,1373.0,8.0,102.0,22.7,28.4,45.3,0.3,3.4,13650
Camperdown (NSW),524.0,949.0,2869.0,31.0,92.0,11.7,21.3,64.3,0.7,2.1,10781
Enmore (Inner West - NSW),289.0,422.0,770.0,5.0,47.0,18.9,27.5,50.2,0.3,3.1,11425
St Peters (NSW),242.0,462.0,466.0,8.0,34.0,20.0,38.1,38.4,0.7,2.8,13644
Sydenham (NSW),111.0,147.0,140.0,0.0,14.0,26.9,35.7,34.0,0.0,3.4,13714
Tempe,387.0,473.0,317.0,0.0,45.0,31.7,38.7,25.9,0.0,3.7,13785
Darlinghurst,792.0,1037.0,3012.0,20.0,176.0,15.7,20.6,59.8,0.4,3.5,11212
Erskineville,436.0,1184.0,1723.0,15.0,84.0,12.7,34.4,50.1,0.4,2.4,11439
