,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Cobargo,281,92,95,163,,,33,,,,,,,,,,,,,,,,,,,,,,,,,36.5,11.9,12.3,21.2,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,10951
Yowrie,51,14,8,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,12.3,7.0,16.7,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,14520
Wandella (NSW),44,17,16,25,,,14,,,,,,,,,,,,,,,,,,,,,,,,,32.1,12.4,11.7,18.2,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,14128
Angledale,53,30,16,32,,,10,,,,,,,,,,,,,,,,,,,,,,,,,34.6,19.6,10.5,20.9,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,10056
Verona,123,33,32,60,,,,,,,9,,,,,,,,,,,,,,,,,,,,,41.7,11.2,10.8,20.3,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,14073
Tanja,113,5,20,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,76.9,3.4,13.6,4.1,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,13749
Coolagolite,108,46,33,56,,,10,,,,,,,,,,,,,,,,,,,,,,,,,39.3,16.7,12.0,20.4,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,11023
Brogo,234,63,48,79,,12,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,12.6,9.6,15.8,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,10589
Coopers Gully,46,40,21,39,,,,,,,7,,,,,,,,,,,,,,,,,,,,,27.4,23.8,12.5,23.2,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,11048
Stony Creek (Bega Valley - NSW),48,23,19,36,,,3,,,,,,,,,,,,,,,,,,,,,,,,,37.2,17.8,14.7,27.9,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,13668
Numbugga,38,4,15,32,,,,,,,4,,,,,,,,,,,,,,,,,,,,,37.3,3.9,14.7,31.4,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,13038
