,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Bulli,"2,162","1,484",436,"1,072",,,265,,,,,,,,,,,,,,,,,,,,,,,,,35.4,24.3,7.1,17.5,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,10662
Bargo,990,"1,228",293,"1,269",,,155,,,,,,,,,,,,,,,,,,,,,,,,,22.6,28.0,6.7,28.9,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,10198
Yerrinbool,270,288,112,356,,,,,,,31,,,,,,,,,,,,,,,,,,,,,23.2,24.7,9.6,30.6,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,14510
Wilton (NSW),739,962,151,872,82,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,31.2,4.9,28.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,14311
Pheasants Nest,124,205,70,205,,,21,,,,,,,,,,,,,,,,,,,,,,,,,18.0,29.7,10.1,29.7,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,13191
Albion Park,"3,434","3,737",826,"3,033",,,605,,,,,,,,,,,,,,,,,,,,,,,,,25.8,28.1,6.2,22.8,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,10025
Calderwood,24,66,11,53,,,,,,,6,,,,,,,,,,,,,,,,,,,,,14.4,39.5,6.6,31.7,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,10750
Tullimbar,112,164,27,151,,,23,,,,,,,,,,,,,,,,,,,,,,,,,21.4,31.4,5.2,28.9,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,13958
Yellow Rock (Shellharbour - NSW),30,73,16,36,,,,,,,,,,,10,,,,,,,,,,,,,,,,,14.9,36.1,7.9,17.8,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,14503
Albion Park Rail,"1,856","1,734",518,"1,672",,,316,,,,,,,,,,,,,,,,,,,,,,,,,26.9,25.1,7.5,24.2,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,10026
Kiama,"1,968","1,673",572,"1,526",,,304,,,,,,,,,,,,,,,,,,,,,,,,,28.6,24.3,8.3,22.2,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,12116
Kiama Heights,207,215,79,190,,,32,,,,,,,,,,,,,,,,,,,,,,,,,25.9,26.9,9.9,23.8,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,12118
Bombo,18,35,16,31,,,,,,,3,,,,,,,,,,,,,,,,,,,,,17.0,33.0,15.1,29.2,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,10458
Kiama Downs,"1,493","1,256",334,"1,130",,,205,,,,,,,,,,,,,,,,,,,,,,,,,29.8,25.1,6.7,22.6,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,12117
Minnamurra,226,175,54,196,,,30,,,,,,,,,,,,,,,,,,,,,,,,,30.2,23.4,7.2,26.2,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,12639
Gerringong,"1,146",965,393,766,,,387,,,,,,,,,,,,,,,,,,,,,,,,,29.0,24.4,10.0,19.4,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,11606
Jamberoo,441,400,149,401,,,73,,,,,,,,,,,,,,,,,,,,,,,,,27.1,24.5,9.1,24.6,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,11998
Werri Beach,177,107,35,110,,,61,,,,,,,,,,,,,,,,,,,,,,,,,32.5,19.6,6.4,20.2,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,14233
Gerroa,164,183,89,121,,,41,,,,,,,,,,,,,,,,,,,,,,,,,24.5,27.3,13.3,18.1,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,11607
Curramore (NSW),49,49,6,57,,,8,,,,,,,,,,,,,,,,,,,,,,,,,27.1,27.1,3.3,31.5,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,11174
Jerrara,28,24,26,44,,,,,,,18,,,,,,,,,,,,,,,,,,,,,18.3,15.7,17.0,28.8,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,12017
Toolijooa,29,27,25,11,,,25,,,,,,,,,,,,,,,,,,,,,,,,,23.8,22.1,20.5,9.0,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,13903
Foxground,53,26,16,32,,,,,,,,5,,,,,,,,,,,,,,,,,,,,39.3,19.3,11.9,23.7,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,11558
Flinders (NSW),"1,425","2,072",456,"1,187",,,,530,,,,,,,,,,,,,,,,,,,,,,,,21.3,31.0,6.8,17.8,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,11534
Shellharbour,837,"1,053",375,695,,,,118,,,,,,,,,,,,,,,,,,,,,,,,23.6,29.7,10.6,19.6,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,13533
Shell Cove,"1,252","1,821",299,"1,058",,,,273,,,,,,,,,,,,,,,,,,,,,,,,22.3,32.4,5.3,18.8,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,13532
Barrack Point,166,194,77,132,,,28,,,,,,,,,,,,,,,,,,,,,,,,,24.1,28.2,11.2,19.2,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,10208
Dunmore (NSW),32,77,,51,,,7,,,,,,,7,,,,,,,,,,,,,,,,,,16.3,39.3,,26.0,,,3.6,,,,,,,3.6,,,,,,,,,,,,,,,,,,11323
Oak Flats,"1,782","1,543",467,"1,402",,,256,,,,,,,,,,,,,,,,,,,,,,,,,27.8,24.1,7.3,21.9,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,13053
Blackbutt (NSW),647,"1,000",240,503,,,,372,,,,,,,,,,,,,,,,,,,,,,,,19.7,30.5,7.3,15.3,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,10391
Shellharbour City Centre,25,91,,44,,,18,,,,15,,,,,,,,,,,,,,,,,,,,,10.6,38.7,,18.7,,,7.7,,,,6.4,,,,,,,,,,,,,,,,,,,,,13534
Warilla,"1,736","1,570",709,"1,352",,,,,,,181,,,,,,,,,,,,,,,,,,,,,26.9,24.3,11.0,20.9,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,14151
Lake Illawarra,915,891,262,552,106,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,28.1,8.3,17.4,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,12250
Barrack Heights,"1,513","1,625",495,"1,144",,,,322,,,,,,,,,,,,,,,,,,,,,,,,25.6,27.5,8.4,19.3,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,10207
Mount Warrigal,"1,276","1,398",351,"1,002",,,,214,,,,,,,,,,,,,,,,,,,,,,,,25.9,28.4,7.1,20.3,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,12801
Fairy Meadow,"2,124","2,085",651,883,,,,,,395,,,,,,,,,,,,,,,,,,,,,,28.7,28.2,8.8,11.9,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,11484
Balgownie,"1,380","1,810",356,852,,,253,,,,,,,,,,,,,,,,,,,,,,,,,25.0,32.8,6.5,15.5,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,10155
Gwynneville,"1,036",638,192,280,,,,,,331,,,,,,,,,,,,,,,,,,,,,,33.6,20.7,6.2,9.1,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,11825
North Wollongong,958,548,287,258,,,,,,119,,,,,,,,,,,,,,,,,,,,,,36.9,21.1,11.1,9.9,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,13017
Mount Ousley,463,456,106,255,,,57,,,,,,,,,,,,,,,,,,,,,,,,,28.9,28.4,6.6,15.9,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,12782
Mount Pleasant (NSW),423,313,111,172,,,,67,,,,,,,,,,,,,,,,,,,,,,,,31.2,23.1,8.2,12.7,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,12784
Tarrawanna,445,653,142,345,,,109,,,,,,,,,,,,,,,,,,,,,,,,,21.5,31.6,6.9,16.7,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,13769
Corrimal,"1,730","1,932",426,"1,127",,,298,,,,,,,,,,,,,,,,,,,,,,,,,26.5,29.6,6.5,17.3,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,11082
Towradgi,793,"1,019",176,538,,,,,,,112,,,,,,,,,,,,,,,,,,,,,25.4,32.6,5.6,17.2,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,13929
Fernhill,217,305,69,209,,,46,,,,,,,,,,,,,,,,,,,,,,,,,21.3,30.0,6.8,20.5,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,11507
East Corrimal,"1,082",857,242,519,,,130,,,,,,,,,,,,,,,,,,,,,,,,,31.8,25.2,7.1,15.3,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,11348
Bellambi,"1,225",911,346,735,,,127,,,,,,,,,,,,,,,,,,,,,,,,,31.2,23.2,8.8,18.7,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,10264
West Wollongong,"1,272","1,175",375,648,,,,337,,,,,,,,,,,,,,,,,,,,,,,,26.4,24.4,7.8,13.4,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,14255
Keiraville,"1,312",671,236,471,,,,,,138,,,,,,,,,,,,,,,,,,,,,,36.8,18.8,6.6,13.2,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,12085
Figtree,"2,765","2,917",745,"2,100",,,,844,,,,,,,,,,,,,,,,,,,,,,,,23.9,25.2,6.4,18.2,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,11515
Helensburgh,"1,853","1,691",485,"1,443",,,229,,,,,,,,,,,,,,,,,,,,,,,,,29.1,26.5,7.6,22.6,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,11890
Otford,181,48,18,53,,,,,,,,,,,,,,,15,,,,,,,,,,,,,51.1,13.6,5.1,15.0,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,13101
Stanwell Park,547,319,103,218,46,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,22.5,7.3,15.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,13653
Stanwell Tops,149,109,35,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,21.7,7.0,19.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13654
Thirroul,"2,305","1,485",457,"1,020",,,252,,,,,,,,,,,,,,,,,,,,,,,,,37.8,24.4,7.5,16.7,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,13848
Austinmer,"1,055",524,242,378,,,80,,,,,,,,,,,,,,,,,,,,,,,,,41.5,20.6,9.5,14.9,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,10108
Coledale,499,260,112,229,,,44,,,,,,,,,,,,,,,,,,,,,,,,,39.5,20.6,8.9,18.1,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,10966
Wombarra,371,163,59,135,,,24,,,,,,,,,,,,,,,,,,,,,,,,,42.7,18.8,6.8,15.5,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,14363
Scarborough (NSW),131,55,30,62,,,13,,,,,,,,,,,,,,,,,,,,,,,,,42.4,17.8,9.7,20.1,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,13500
Coalcliff,61,56,12,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,28.7,6.2,17.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,10944
Woonona,"3,665","3,187",847,"2,318",,,549,,,,,,,,,,,,,,,,,,,,,,,,,30.1,26.2,7.0,19.0,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,14416
Russell Vale,468,321,86,304,,,122,,,,,,,,,,,,,,,,,,,,,,,,,30.5,20.9,5.6,19.8,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,13448
Wollongong,"5,876","3,527","2,332","1,909",,,,"1,014",,,,,,,,,,,,,,,,,,,,,,,,31.9,19.1,12.6,10.4,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,14358
Mount Saint Thomas,451,340,112,222,,,,84,,,,,,,,,,,,,,,,,,,,,,,,31.0,23.4,7.7,15.3,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,12791
Mangerton,790,707,242,419,,,,173,,,,,,,,,,,,,,,,,,,,,,,,27.7,24.8,8.5,14.7,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,12468
Bulahdelah,312,332,129,432,,,110,,,,,,,,,,,,,,,,,,,,,,,,,21.9,23.3,9.0,30.3,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,10649
Wards River,18,33,15,57,,,21,,,,,,,,,,,,,,,,,,,,,,,,,10.6,19.4,8.8,33.5,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,14147
Stroud Road,47,40,19,78,,,26,,,,,,,,,,,,,,,,,,,,,,,,,20.8,17.7,8.4,34.5,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,13679
Stroud,205,109,69,346,,,78,,,,,,,,,,,,,,,,,,,,,,,,,21.8,11.6,7.3,36.8,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,13677
Girvan,45,20,17,51,6,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,13.6,11.6,34.7,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,11637
Nerong,28,20,5,46,,,,,,,3,,,,,,,,,,,,,,,,,,,,,26.7,19.0,4.8,43.8,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,12929
Allworth,42,31,17,47,,,,,,,15,,,,,,,,,,,,,,,,,,,,,25.6,18.9,10.4,28.7,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,10041
Bunyah,40,23,11,29,,,12,,,,,,,,,,,,,,,,,,,,,,,,,30.8,17.7,8.5,22.3,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,10690
Markwell,15,44,11,30,,,11,,,,,,,,,,,,,,,,,,,,,,,,,13.2,38.6,9.6,26.3,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,12493
Booral (NSW),151,64,30,91,,,,,,,,13,,,,,,,,,,,,,,,,,,,,38.8,16.5,7.7,23.4,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,10496
Limeburners Creek (Mid-Coast - NSW),97,69,45,67,,,27,,,,,,,,,,,,,,,,,,,,,,,,,28.9,20.5,13.4,19.9,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,12328
Forster (NSW),"3,221","3,066","1,245","3,909",,,629,,,,,,,,,,,,,,,,,,,,,,,,,23.4,22.3,9.0,28.4,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,11550
Green Point (Mid-Coast - NSW),175,107,40,119,,,19,,,,,,,,,,,,,,,,,,,,,,,,,33.5,20.5,7.7,22.8,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,11755
Darawank,87,85,37,128,,,21,,,,,,,,,,,,,,,,,,,,,,,,,22.0,21.5,9.3,32.3,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,11203
Tarbuck Bay,91,29,19,34,,,4,,,,,,,,,,,,,,,,,,,,,,,,,48.9,15.6,10.2,18.3,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,13762
Nabiac,331,216,98,388,,,79,,,,,,,,,,,,,,,,,,,,,,,,,26.8,17.5,7.9,31.4,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,12885
Failford,110,121,45,149,,,38,,,,,,,,,,,,,,,,,,,,,,,,,21.1,23.2,8.6,28.6,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,11476
Coomba Park,177,109,105,163,,,19,,,,,,,,,,,,,,,,,,,,,,,,,28.3,17.4,16.8,26.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,11038
Smiths Lake,459,238,104,270,,,37,,,,,,,,,,,,,,,,,,,,,,,,,37.2,19.3,8.4,21.9,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,13563
Bungwahl,86,28,28,53,,,11,,,,,,,,,,,,,,,,,,,,,,,,,38.2,12.4,12.4,23.6,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,10687
Charlotte Bay,70,29,20,33,,,8,,,,,,,,,,,,,,,,,,,,,,,,,41.4,17.2,11.8,19.5,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,10887
Wootton,65,40,23,45,,,11,,,,,,,,,,,,,,,,,,,,,,,,,33.0,20.3,11.7,22.8,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,14417
Coolongolook,111,63,57,111,,,18,,,,,,,,,,,,,,,,,,,,,,,,,28.7,16.3,14.7,28.7,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,11032
Coomba Bay,36,18,18,41,,,,,,,7,,,,,,,,,,,,,,,,,,,,,28.3,14.2,14.2,32.3,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,11037
Minimbah,55,38,35,72,,,5,,,,,,,,,,,,,,,,,,,,,,,,,25.9,17.9,16.5,34.0,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,12636
Elizabeth Beach,64,46,24,41,,,18,,,,,,,,,,,,,,,,,,,,,,,,,30.3,21.8,11.4,19.4,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,11396
Blueys Beach,47,28,13,69,,,11,,,,,,,,,,,,,,,,,,,,,,,,,24.7,14.7,6.8,36.3,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,10420
Boomerang Beach,121,43,35,62,16,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,14.9,12.1,21.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,10487
Tuncurry,"1,223","1,399",595,"1,897",,,330,,,,,,,,,,,,,,,,,,,,,,,,,19.8,22.6,9.6,30.7,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,13969
South Kempsey,561,519,348,481,,,135,,,,,,,,,,,,,,,,,,,,,,,,,24.3,22.5,15.1,20.9,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,13588
West Kempsey,"1,149","1,291",621,989,,,298,,,,,,,,,,,,,,,,,,,,,,,,,23.3,26.2,12.6,20.1,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,14247
Kempsey,133,118,71,90,,,24,,,,,,,,,,,,,,,,,,,,,,,,,27.8,24.6,14.8,18.8,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,12095
Frederickton,343,319,104,353,,,109,,,,,,,,,,,,,,,,,,,,,,,,,24.6,22.9,7.5,25.3,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,11561
Aldavilla,146,179,576,179,,,64,,,,,,,,,,,,,,,,,,,,,,,,,11.9,14.6,47.1,14.6,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,10028
Euroka,74,92,33,94,,,30,,,,,,,,,,,,,,,,,,,,,,,,,21.5,26.7,9.6,27.3,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,11464
Dondingalong,191,128,76,152,,,35,,,,,,,,,,,,,,,,,,,,,,,,,28.7,19.2,11.4,22.8,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,11272
Greenhill (NSW),185,186,86,136,,,,,,,,,48,,,,,,,,,,,,,,,,,,,25.1,25.2,11.7,18.4,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,11763
East Kempsey,344,291,167,302,,,79,,,,,,,,,,,,,,,,,,,,,,,,,25.1,21.2,12.2,22.0,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,11354
Verges Creek,54,59,33,49,,,14,,,,,,,,,,,,,,,,,,,,,,,,,24.1,26.3,14.7,21.9,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,14072
Yarravel,295,262,105,254,,,55,,,,,,,,,,,,,,,,,,,,,,,,,26.6,23.6,9.5,22.9,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,14483
Stuarts Point,255,138,80,161,,,42,,,,,,,,,,,,,,,,,,,,,,,,,33.3,18.0,10.4,21.0,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,13681
Barraganyatti,44,28,22,29,,,5,,,,,,,,,,,,,,,,,,,,,,,,,32.6,20.7,16.3,21.5,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,10209
Yarrahapinni,68,27,22,35,,,16,,,,,,,,,,,,,,,,,,,,,,,,,37.0,14.7,12.0,19.0,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,14474
Hat Head,87,87,22,72,,,11,,,,,,,,,,,,,,,,,,,,,,,,,29.8,29.8,7.5,24.7,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,11869
Kinchela,58,64,17,58,,,37,,,,,,,,,,,,,,,,,,,,,,,,,22.2,24.5,6.5,22.2,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,12140
Gladstone (NSW),81,72,43,104,,,48,,,,,,,,,,,,,,,,,,,,,,,,,21.5,19.1,11.4,27.7,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,11639
Smithtown,150,157,50,137,,,57,,,,,,,,,,,,,,,,,,,,,,,,,25.6,26.7,8.5,23.3,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,13564
Mungay Creek,41,30,29,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,21.0,20.3,17.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,12841
Willawarrin,63,44,19,49,,,9,,,,,,,,,,,,,,,,,,,,,,,,,31.7,22.1,9.5,24.6,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,14295
Temagog,90,50,24,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,20.9,10.0,20.9,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,13783
Turners Flat,48,43,13,19,,,,,,,,,,8,,,,,,,,,,,,,,,,,,31.6,28.3,8.6,12.5,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,13976
Millbank (NSW),40,21,14,33,,,7,,,,,,,,,,,,,,,,,,,,,,,,,33.9,17.8,11.9,28.0,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,12616
Hickeys Creek,48,16,14,23,,,,,,,6,,,,,,,,,,,,,,,,,,,,,38.7,12.9,11.3,18.5,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,11899
Belmore River,55,67,24,76,,,28,,,,,,,,,,,,,,,,,,,,,,,,,21.1,25.7,9.2,29.1,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,10280
Austral Eden,15,42,15,37,,,18,,,,,,,,,,,,,,,,,,,,,,,,,10.9,30.4,10.9,26.8,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,10110
Crescent Head,527,270,188,298,,,47,,,,,,,,,,,,,,,,,,,,,,,,,34.7,17.8,12.4,19.6,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,11114
Fishermans Reach,47,24,19,42,,,7,,,,,,,,,,,,,,,,,,,,,,,,,31.5,16.1,12.8,28.2,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,11524
Clybucca,31,34,15,45,,5,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,24.1,10.6,31.9,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,10940
Bellimbopinni,27,32,18,18,,,10,,,,,,,,,,,,,,,,,,,,,,,,,24.3,28.8,16.2,16.2,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,10272
Collombatti,179,131,98,130,,,18,,,,,,,,,,,,,,,,,,,,,,,,,28.0,20.5,15.3,20.3,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,10979
Kundabung,207,99,102,104,,,,,,,25,,,,,,,,,,,,,,,,,,,,,33.3,15.9,16.4,16.7,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,12209
Sherwood (Kempsey - NSW),42,33,13,38,,,,,,,,,,8,,,,,,,,,,,,,,,,,,27.8,21.9,8.6,25.2,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,13537
Bellbrook,70,44,21,53,,,,,,,,,62,,,,,,,,,,,,,,,,,,,24.8,15.6,7.4,18.8,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,10270
Macksville,582,598,306,561,,,,,,,136,,,,,,,,,,,,,,,,,,,,,22.5,23.1,11.8,21.7,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,12430
North Macksville,128,144,66,158,,,,,,,29,,,,,,,,,,,,,,,,,,,,,21.5,24.2,11.1,26.5,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,12995
Way Way,106,32,33,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,13.3,13.8,17.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,14203
Scotts Head,333,170,74,156,,,,,,,34,,,,,,,,,,,,,,,,,,,,,37.4,19.1,8.3,17.5,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,13508
Gumma,98,104,32,125,,,32,,,,,,,,,,,,,,,,,,,,,,,,,22.2,23.5,7.2,28.3,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,11801
Nambucca Heads,"1,757","1,167",753,"1,514",,,,,,,342,,,,,,,,,,,,,,,,,,,,,27.8,18.5,11.9,24.0,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,12887
Hyland Park,146,65,43,79,,,,,,,23,,,,,,,,,,,,,,,,,,,,,34.0,15.2,10.0,18.4,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,11968
Bowraville,296,242,112,251,,,63,,,,,,,,,,,,,,,,,,,,,,,,,26.8,21.9,10.1,22.7,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,10537
Valla Beach,484,208,91,305,,,56,,,,,,,,,,,,,,,,,,,,,,,,,36.6,15.7,6.9,23.1,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,14068
South Arm (Nambucca - NSW),114,78,26,47,,,,,,,15,,,,,,,,,,,,,,,,,,,,,37.7,25.8,8.6,15.6,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,13575
Newee Creek,120,79,48,65,,,,,,,22,,,,,,,,,,,,,,,,,,,,,31.2,20.5,12.5,16.9,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,12952
Congarinni North,81,105,46,70,,,,,,,30,,,,,,,,,,,,,,,,,,,,,21.6,28.0,12.3,18.7,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,11006
Congarinni,81,74,29,62,,,15,,,,,,,,,,,,,,,,,,,,,,,,,26.0,23.8,9.3,19.9,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,11005
Talarm,79,33,21,42,,,,,,,12,,,,,,,,,,,,,,,,,,,,,36.6,15.3,9.7,19.4,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,13728
