,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Leeton,717.0,2281.0,108.0,23.1,73.4,3.5,12293
Yanco,78.0,163.0,6.0,31.6,66.0,2.4,14460
Corbie Hill,18.0,60.0,3.0,22.2,74.1,3.7,11068
Merungle Hill,13.0,62.0,4.0,16.5,78.5,5.1,12590
Narrandera,466.0,1120.0,61.0,28.3,68.0,3.7,12906
Grong Grong,21.0,66.0,0.0,24.1,75.9,0.0,11784
Boree Creek,22.0,56.0,0.0,28.2,71.8,0.0,10512
Gillenbah,15.0,24.0,0.0,38.5,61.5,0.0,11622
Tumbarumba,180.0,510.0,30.0,25.0,70.8,4.2,13961
Khancoban,35.0,88.0,3.0,27.8,69.8,2.4,12111
Rosewood (Snowy Valleys - NSW),23.0,55.0,0.0,29.5,70.5,0.0,13415
Humula,20.0,30.0,0.0,40.0,60.0,0.0,11952
Tooma,5.0,27.0,3.0,14.3,77.1,8.6,13906
Tumut,625.0,1660.0,64.0,26.6,70.7,2.7,13966
Gilmore (NSW),12.0,56.0,0.0,17.6,82.4,0.0,11626
Batlow,147.0,356.0,23.0,27.9,67.7,4.4,10232
Talbingo,26.0,76.0,0.0,25.5,74.5,0.0,13730
Gocup,19.0,25.0,0.0,43.2,56.8,0.0,11690
Bombowlee,27.0,75.0,3.0,25.7,71.4,2.9,10459
Lacmalac,10.0,40.0,3.0,18.9,75.5,5.7,12231
Mundongo,14.0,55.0,0.0,20.3,79.7,0.0,12840
Adelong,102.0,253.0,20.0,27.2,67.5,5.3,10018
Cootamundra,748.0,1898.0,87.0,27.4,69.4,3.2,11053
Stockinbingal,32.0,109.0,0.0,22.7,77.3,0.0,13660
Wallendbeen,22.0,72.0,3.0,22.7,74.2,3.1,14113
Gundagai,198.0,438.0,31.0,29.7,65.7,4.6,11803
South Gundagai,81.0,209.0,10.0,27.0,69.7,3.3,13584
Tumblong,14.0,43.0,3.0,23.3,71.7,5.0,13963
Nangus,18.0,58.0,0.0,23.7,76.3,0.0,12890
Coolac,19.0,47.0,4.0,27.1,67.1,5.7,11022
Junee,342.0,1040.0,74.0,23.5,71.4,5.1,12046
Harefield,4.0,36.0,0.0,10.0,90.0,0.0,11853
Old Junee,14.0,73.0,8.0,14.7,76.8,8.4,13078
Illabo,12.0,42.0,0.0,22.2,77.8,0.0,11972
Bethungra,16.0,44.0,3.0,25.4,69.8,4.8,10328
Wantabadgery,18.0,38.0,3.0,30.5,64.4,5.1,14136
Temora,539.0,1268.0,53.0,29.0,68.2,2.8,13784
Lake Albert (NSW),252.0,1898.0,42.0,11.5,86.6,1.9,12238
East Wagga Wagga,14.0,63.0,3.0,17.5,78.8,3.8,11364
Kooringal (NSW),540.0,2206.0,92.0,19.0,77.7,3.2,12193
Gumly Gumly,21.0,78.0,3.0,20.6,76.5,2.9,11800
Tatton,54.0,755.0,6.0,6.6,92.6,0.7,13775
Estella,74.0,674.0,20.0,9.6,87.8,2.6,11444
Boorooma,9.0,241.0,5.0,3.5,94.5,2.0,10501
North Wagga Wagga,39.0,180.0,6.0,17.3,80.0,2.7,13014
Cartwrights Hill,9.0,50.0,8.0,13.4,74.6,11.9,10839
Springvale (Wagga Wagga - NSW),25.0,451.0,7.0,5.2,93.4,1.4,13628
Lloyd,15.0,261.0,3.0,5.4,93.5,1.1,12365
Bourkelands,86.0,875.0,16.0,8.8,89.6,1.6,10523
Glenfield Park,331.0,1552.0,58.0,17.1,80.0,3.0,11665
Tolland,327.0,919.0,57.0,25.1,70.5,4.4,13887
Mount Austin,440.0,1028.0,62.0,28.8,67.2,4.1,12748
Turvey Park,189.0,1028.0,26.0,15.2,82.7,2.1,13983
San Isidore,9.0,107.0,4.0,7.5,89.2,3.3,13469
Ashmont,428.0,945.0,55.0,30.0,66.2,3.9,10101
Wagga Wagga,653.0,2312.0,101.0,21.3,75.4,3.3,14083
Moorong,4.0,41.0,3.0,8.3,85.4,6.2,12715
Ladysmith,19.0,90.0,8.0,16.2,76.9,6.8,12233
The Rock,87.0,339.0,13.0,19.8,77.2,3.0,13838
Forest Hill (NSW),111.0,575.0,17.0,15.8,81.8,2.4,11544
Collingullie,12.0,50.0,0.0,19.4,80.6,0.0,10976
Lockhart,122.0,290.0,13.0,28.7,68.2,3.1,12369
Pleasant Hills,13.0,36.0,0.0,26.5,73.5,0.0,13228
Ganmain,64.0,203.0,12.0,22.9,72.8,4.3,11585
Yerong Creek,19.0,82.0,0.0,18.8,81.2,0.0,14508
Uranquinty,37.0,272.0,11.0,11.6,85.0,3.4,14055
Currawarna,9.0,50.0,3.0,14.5,80.6,4.8,11178
Oura,3.0,63.0,0.0,4.5,95.5,0.0,13102
Eunanoreenya,3.0,47.0,0.0,6.0,94.0,0.0,11457
Gobbagombalin,3.0,144.0,9.0,1.9,92.3,5.8,11689
Downside,11.0,36.0,0.0,23.4,76.6,0.0,11285
Marrar,14.0,107.0,3.0,11.3,86.3,2.4,12503
Coolamon,165.0,546.0,21.0,22.5,74.6,2.9,11025
Tarcutta,40.0,114.0,4.0,25.3,72.2,2.5,13763
Gregadoo,9.0,62.0,5.0,11.8,81.6,6.6,11773
Mangoplah,16.0,62.0,3.0,19.8,76.5,3.7,12470
Gelston Park,4.0,37.0,0.0,9.8,90.2,0.0,11597
Berry,136.0,870.0,25.0,13.2,84.4,2.4,10322
Kangaroo Valley,31.0,275.0,10.0,9.8,87.0,3.2,12061
Barrengarry,3.0,51.0,0.0,5.6,94.4,0.0,10213
Broughton Vale,3.0,61.0,0.0,4.7,95.3,0.0,10606
Far Meadow,11.0,67.0,3.0,13.6,82.7,3.7,11488
Coolangatta (NSW),8.0,89.0,0.0,8.2,91.8,0.0,11026
Jaspers Brush,22.0,110.0,0.0,16.7,83.3,0.0,12002
Shoalhaven Heads,346.0,980.0,49.0,25.2,71.3,3.6,13540
Callala Bay,134.0,678.0,25.0,16.0,81.0,3.0,10757
Callala Beach,72.0,221.0,10.0,23.8,72.9,3.3,10758
Currarong,33.0,136.0,3.0,19.2,79.1,1.7,11176
Myola (NSW),11.0,24.0,3.0,28.9,63.2,7.9,12878
Orient Point,59.0,181.0,4.0,24.2,74.2,1.6,13096
Culburra Beach,265.0,848.0,30.0,23.2,74.2,2.6,11146
Greenwell Point,154.0,367.0,14.0,28.8,68.6,2.6,11769
Numbaa,11.0,32.0,0.0,25.6,74.4,0.0,13035
Huskisson,93.0,263.0,9.0,25.5,72.1,2.5,11966
Vincentia,200.0,1110.0,47.0,14.7,81.8,3.5,14075
Bomaderry,571.0,2025.0,94.0,21.2,75.3,3.5,10453
Cambewarra,5.0,75.0,0.0,6.2,93.8,0.0,10763
North Nowra,337.0,1715.0,47.0,16.1,81.7,2.2,13000
Bangalee (NSW),22.0,209.0,0.0,9.5,90.5,0.0,10173
Meroo Meadow,20.0,140.0,4.0,12.2,85.4,2.4,12579
Cambewarra Village,19.0,355.0,8.0,5.0,92.9,2.1,10764
Tapitallee,13.0,189.0,7.0,6.2,90.4,3.3,13755
Worrigee,191.0,1418.0,37.0,11.6,86.1,2.2,14423
Nowra,1001.0,2482.0,131.0,27.7,68.7,3.6,13028
Nowra Hill,34.0,308.0,8.0,9.7,88.0,2.3,13029
West Nowra,93.0,403.0,15.0,18.2,78.9,2.9,14248
Terara,29.0,76.0,8.0,25.7,67.3,7.1,13795
South Nowra,86.0,528.0,19.0,13.6,83.4,3.0,13594
St Georges Basin,188.0,874.0,34.0,17.2,79.7,3.1,13636
Worrowing Heights,62.0,139.0,12.0,29.1,65.3,5.6,14424
Basin View,89.0,428.0,44.0,15.9,76.3,7.8,10223
Sanctuary Point,648.0,2154.0,103.0,22.3,74.1,3.5,13472
Erowal Bay,49.0,186.0,10.0,20.0,75.9,4.1,11436
Wrights Beach,3.0,40.0,3.0,6.5,87.0,6.5,14428
Old Erowal Bay,75.0,301.0,15.0,19.2,77.0,3.8,13075
Sussex Inlet,433.0,1093.0,60.0,27.3,68.9,3.8,13700
Swanhaven,15.0,58.0,3.0,19.7,76.3,3.9,13709
Berrara,23.0,87.0,4.0,20.2,76.3,3.5,10313
Cudmirrah,29.0,84.0,5.0,24.6,71.2,4.2,11145
Falls Creek (NSW),33.0,266.0,4.0,10.9,87.8,1.3,11487
Tomerong,39.0,314.0,11.0,10.7,86.3,3.0,13894
Wandandian,13.0,86.0,0.0,13.1,86.9,0.0,14127
Woollamia,31.0,184.0,6.0,14.0,83.3,2.7,14405
Parma,5.0,55.0,0.0,8.3,91.7,0.0,13155
Ulladulla,658.0,1970.0,101.0,24.1,72.2,3.7,14003
Kings Point,23.0,185.0,4.0,10.8,87.3,1.9,12153
Burrill Lake,129.0,443.0,18.0,21.9,75.1,3.1,10712
Dolphin Point,15.0,55.0,0.0,21.4,78.6,0.0,11269
Milton (NSW),73.0,470.0,24.0,12.9,82.9,4.2,12630
Mollymook Beach,161.0,846.0,27.0,15.6,81.8,2.6,12670
Narrawallee,87.0,408.0,14.0,17.1,80.2,2.8,12909
Mollymook,72.0,343.0,12.0,16.9,80.3,2.8,12669
Manyana,48.0,174.0,7.0,21.0,76.0,3.1,12482
Fishermans Paradise,27.0,151.0,8.0,14.5,81.2,4.3,11523
Lake Tabourie,39.0,214.0,8.0,14.9,82.0,3.1,12254
Conjola Park,28.0,106.0,8.0,19.7,74.6,5.6,11012
Lake Conjola,46.0,138.0,10.0,23.7,71.1,5.2,12244
Yatte Yattah,6.0,53.0,0.0,10.2,89.8,0.0,14497
Little Forest,4.0,54.0,3.0,6.6,88.5,4.9,12351
Croobyar,9.0,45.0,0.0,16.7,83.3,0.0,11121
Morton,11.0,61.0,0.0,15.3,84.7,0.0,12730
Woodstock (Shoalhaven - NSW),3.0,72.0,0.0,4.0,96.0,0.0,14396
Bawley Point,41.0,240.0,3.0,14.4,84.5,1.1,10235
Kioloa,38.0,78.0,3.0,31.9,65.5,2.5,12165
Termeil,13.0,74.0,3.0,14.4,82.2,3.3,13797
Bowral,505.0,3508.0,95.0,12.3,85.4,2.3,10536
Burradoo,65.0,859.0,11.0,7.0,91.9,1.2,10701
Balmoral (Wingecarribee - NSW),20.0,126.0,0.0,13.7,86.3,0.0,10167
Hill Top (Wingecarribee - NSW),119.0,716.0,27.0,13.8,83.1,3.1,11905
Colo Vale,55.0,460.0,6.0,10.6,88.3,1.2,10985
Alpine,3.0,34.0,0.0,8.1,91.9,0.0,10044
Aylmerton,10.0,63.0,0.0,13.7,86.3,0.0,10119
Mittagong,389.0,1750.0,64.0,17.7,79.4,2.9,12653
Willow Vale (Wingecarribee - NSW),13.0,222.0,4.0,5.4,92.9,1.7,14307
Renwick,3.0,200.0,0.0,1.5,98.5,0.0,13350
Balaclava (NSW),26.0,135.0,3.0,15.9,82.3,1.8,10143
Welby,65.0,203.0,8.0,23.6,73.6,2.9,14219
Glenquarry,4.0,66.0,0.0,5.7,94.3,0.0,11674
Braemar,16.0,135.0,3.0,10.4,87.7,1.9,10545
Moss Vale,519.0,2584.0,86.0,16.3,81.0,2.7,12739
Sutton Forest,25.0,146.0,3.0,14.4,83.9,1.7,13703
Berrima,21.0,214.0,9.0,8.6,87.7,3.7,10320
New Berrima,42.0,175.0,6.0,18.8,78.5,2.7,12938
Robertson (NSW),73.0,571.0,10.0,11.2,87.3,1.5,13374
Wildes Meadow,10.0,87.0,3.0,10.0,87.0,3.0,14292
Burrawang,13.0,126.0,4.0,9.1,88.1,2.8,10708
Fitzroy Falls,8.0,60.0,0.0,11.8,88.2,0.0,11529
Bundanoon (NSW),125.0,967.0,22.0,11.2,86.8,2.0,10670
Wingello,36.0,172.0,4.0,17.0,81.1,1.9,14330
Exeter (NSW),44.0,333.0,6.0,11.5,86.9,1.6,11475
High Range,10.0,112.0,8.0,7.7,86.2,6.2,11900
Medway,4.0,34.0,0.0,10.5,89.5,0.0,12555
Joadja,7.0,37.0,0.0,15.9,84.1,0.0,12035
Canyonleigh,30.0,103.0,12.0,20.7,71.0,8.3,10799
Penrose,17.0,79.0,0.0,17.7,82.3,0.0,13185
Baulkham Hills,800.0,11047.0,198.0,6.6,91.7,1.6,10233
Bella Vista,57.0,2095.0,28.0,2.6,96.1,1.3,10263
Glenhaven,148.0,1944.0,34.0,7.0,91.4,1.6,11667
Castle Hill (NSW),870.0,11533.0,238.0,6.9,91.2,1.9,10847
West Pennant Hills,235.0,4765.0,74.0,4.6,93.9,1.5,14249
Cherrybrook,315.0,5418.0,68.0,5.4,93.4,1.2,10898
Kellyville,277.0,7646.0,111.0,3.4,95.2,1.4,12088
Kenthurst,101.0,1309.0,28.0,7.0,91.0,1.9,12100
Glenorie,93.0,894.0,17.0,9.3,89.0,1.7,11673
Maroota,31.0,144.0,6.0,17.1,79.6,3.3,12500
Canoelands,5.0,48.0,8.0,8.2,78.7,13.1,10794
Cattai,20.0,210.0,3.0,8.6,90.1,1.3,10859
South Maroota,18.0,134.0,7.0,11.3,84.3,4.4,13592
Dural (Hornsby - NSW),180.0,2106.0,48.0,7.7,90.2,2.1,11328
Sackville North,12.0,73.0,0.0,14.1,85.9,0.0,13459
Lower Portland,27.0,140.0,4.0,15.8,81.9,2.3,12412
Middle Dural,26.0,250.0,11.0,9.1,87.1,3.8,12603
Annangrove,13.0,358.0,9.0,3.4,94.2,2.4,10062
Galston,103.0,902.0,22.0,10.0,87.8,2.1,11582
Arcadia (NSW),25.0,377.0,12.0,6.0,91.1,2.9,10072
Berowra Waters,3.0,25.0,0.0,10.7,89.3,0.0,10311
Berrilee,6.0,60.0,0.0,9.1,90.9,0.0,10319
Bilpin,26.0,189.0,8.0,11.7,84.8,3.6,10358
Colo Heights,16.0,68.0,3.0,18.4,78.2,3.4,10984
Lower Macdonald,19.0,95.0,0.0,16.7,83.3,0.0,12408
Cumberland Reach,10.0,48.0,3.0,16.4,78.7,4.9,11156
Bowen Mountain,36.0,468.0,13.0,7.0,90.5,2.5,10528
Grose Vale,24.0,341.0,3.0,6.5,92.7,0.8,11785
Grose Wold,10.0,169.0,3.0,5.5,92.9,1.6,11786
Kurrajong,76.0,883.0,14.0,7.8,90.8,1.4,12218
Kurrajong Hills,14.0,193.0,10.0,6.5,88.9,4.6,12220
Kurrajong Heights,33.0,403.0,3.0,7.5,91.8,0.7,12219
Kurmond,21.0,248.0,4.0,7.7,90.8,1.5,12215
The Slopes,11.0,88.0,3.0,10.8,86.3,2.9,13842
East Kurrajong,49.0,544.0,15.0,8.1,89.5,2.5,11356
Wilberforce (NSW),128.0,807.0,15.0,13.5,84.9,1.6,14288
Freemans Reach,79.0,529.0,18.0,12.6,84.5,2.9,11564
Sackville,9.0,75.0,4.0,10.2,85.2,4.5,13458
Ebenezer (NSW),38.0,246.0,6.0,13.1,84.8,2.1,11371
Glossodia,82.0,774.0,18.0,9.4,88.6,2.1,11684
Blaxlands Ridge,11.0,117.0,3.0,8.4,89.3,2.3,10409
Tennyson (NSW),22.0,95.0,3.0,18.3,79.2,2.5,13789
Vineyard,98.0,277.0,31.0,24.1,68.2,7.6,14076
McGraths Hill,90.0,730.0,17.0,10.8,87.2,2.0,12542
Maraylya,34.0,314.0,8.0,9.6,88.2,2.2,12484
Oakville,63.0,501.0,14.0,10.9,86.7,2.4,13060
Pitt Town,65.0,827.0,18.0,7.1,90.9,2.0,13226
Pitt Town Bottoms,10.0,19.0,0.0,34.5,65.5,0.0,13227
Rouse Hill,95.0,2114.0,95.0,4.1,91.8,4.1,13429
Beaumont Hills,62.0,2372.0,38.0,2.5,96.0,1.5,10243
Nelson (The Hills Shire - NSW),13.0,125.0,3.0,9.2,88.7,2.1,12922
Box Hill (NSW),31.0,225.0,14.0,11.5,83.3,5.2,10539
Blacktown,2105.0,12252.0,560.0,14.1,82.1,3.8,10397
Kings Park (NSW),90.0,1044.0,18.0,7.8,90.6,1.6,12150
Acacia Gardens,50.0,1043.0,16.0,4.5,94.0,1.4,10014
Quakers Hill,546.0,7480.0,167.0,6.7,91.3,2.0,13286
Marayong,506.0,1938.0,89.0,20.0,76.5,3.5,12485
Woodcroft (NSW),104.0,1682.0,41.0,5.7,92.1,2.2,14381
Bungarribee,9.0,668.0,9.0,1.3,97.4,1.3,10682
Doonside,722.0,3286.0,150.0,17.4,79.0,3.6,11275
Seven Hills (NSW),906.0,5247.0,181.0,14.3,82.8,2.9,13518
Lalor Park,585.0,2049.0,121.0,21.2,74.4,4.4,12261
Kings Langley,237.0,2729.0,63.0,7.8,90.1,2.1,12149
Toongabbie (NSW),515.0,3898.0,128.0,11.3,85.8,2.8,13907
Prospect (NSW),143.0,1276.0,38.0,9.8,87.6,2.6,13266
Glenwood (NSW),163.0,4181.0,65.0,3.7,94.8,1.5,11682
Parklea,29.0,619.0,10.0,4.4,94.1,1.5,13153
Stanhope Gardens,179.0,2546.0,59.0,6.4,91.5,2.1,13649
Kellyville Ridge,76.0,2769.0,40.0,2.6,96.0,1.4,12089
The Ponds,75.0,3143.0,49.0,2.3,96.2,1.5,13835
Riverstone,365.0,1877.0,67.0,15.8,81.3,2.9,13368
Schofields,139.0,1351.0,44.0,9.1,88.1,2.9,13502
Shanes Park,24.0,93.0,0.0,20.5,79.5,0.0,13524
Marsden Park,84.0,252.0,11.0,24.2,72.6,3.2,12505
Colebee,7.0,515.0,10.0,1.3,96.8,1.9,10965
Bidwill (NSW),379.0,861.0,42.0,29.6,67.2,3.3,10340
Hebersham,304.0,1247.0,77.0,18.7,76.6,4.7,11886
Dharruk,136.0,662.0,31.0,16.4,79.9,3.7,11248
