,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Parkville (NSW),25.0,7.0,17.0,45.0,54.0,16.4,4.6,11.2,29.6,35.5,13154
Upper Dartbrook,8.0,5.0,6.0,14.0,32.0,11.1,6.9,8.3,19.4,44.4,14022
Gundy,11.0,5.0,13.0,16.0,50.0,10.8,4.9,12.7,15.7,49.0,11809
Moonan Flat,8.0,6.0,13.0,3.0,26.0,13.6,10.2,22.0,5.1,44.1,12697
Niangala,3.0,4.0,10.0,5.0,50.0,4.2,5.6,13.9,6.9,69.4,12962
Merriwa (NSW),87.0,66.0,71.0,94.0,333.0,12.4,9.4,10.1,13.4,47.3,12585
Moobi,5.0,6.0,4.0,12.0,60.0,5.4,6.5,4.3,12.9,64.5,12688
Dapto,491.0,467.0,521.0,965.0,1795.0,10.9,10.4,11.6,21.4,39.8,11202
Kanahooka,229.0,263.0,271.0,457.0,891.0,10.3,11.8,12.2,20.6,40.1,12055
Koonawarra,182.0,146.0,174.0,270.0,483.0,13.8,11.1,13.2,20.5,36.6,12187
Avondale (NSW),81.0,87.0,85.0,188.0,255.0,11.0,11.8,11.5,25.4,34.5,10116
Marshall Mount,11.0,10.0,4.0,7.0,29.0,18.0,16.4,6.6,11.5,47.5,12507
Haywards Bay,58.0,45.0,51.0,118.0,206.0,11.4,8.9,10.1,23.3,40.6,11880
Brownsville,18.0,18.0,26.0,48.0,81.0,8.8,8.8,12.7,23.4,39.5,10612
Horsley,453.0,423.0,437.0,888.0,1648.0,11.2,10.4,10.8,21.9,40.7,11942
Wongawilli,9.0,5.0,5.0,17.0,36.0,10.7,6.0,6.0,20.2,42.9,14374
Kembla Grange,5.0,24.0,10.0,12.0,52.0,4.5,21.8,9.1,10.9,47.3,12092
Dombarton,17.0,8.0,0.0,10.0,38.0,22.4,10.5,0.0,13.2,50.0,11270
Port Kembla,185.0,222.0,200.0,425.0,677.0,10.2,12.2,11.0,23.4,37.2,13245
Coniston,129.0,110.0,99.0,210.0,325.0,14.0,11.9,10.7,22.7,35.2,11010
Unanderra,233.0,214.0,208.0,436.0,694.0,12.2,11.2,10.9,22.8,36.4,14008
Mount Kembla,72.0,60.0,61.0,88.0,228.0,13.6,11.3,11.5,16.6,42.9,12769
Kembla Heights,3.0,8.0,3.0,8.0,20.0,6.5,17.4,6.5,17.4,43.5,12093
Cordeaux Heights,341.0,270.0,259.0,461.0,1045.0,13.8,10.9,10.4,18.6,42.2,11070
Farmborough Heights,256.0,228.0,212.0,414.0,842.0,12.5,11.1,10.3,20.1,41.0,11491
Berkeley,316.0,309.0,346.0,664.0,1004.0,11.1,10.9,12.2,23.4,35.4,10303
Cringila,77.0,57.0,79.0,151.0,215.0,12.3,9.1,12.6,24.1,34.3,11116
Lake Heights,168.0,167.0,173.0,311.0,579.0,11.5,11.4,11.8,21.2,39.5,12248
Warrawong,144.0,134.0,148.0,289.0,428.0,11.7,10.9,12.0,23.4,34.7,14167
Windang,138.0,93.0,125.0,184.0,353.0,14.7,9.9,13.3,19.6,37.7,14316
Primbee,65.0,64.0,76.0,141.0,259.0,10.1,9.9,11.8,21.9,40.2,13264
Mount Keira,109.0,85.0,81.0,163.0,343.0,13.4,10.4,9.9,20.0,42.1,12768
Bulli,381.0,348.0,309.0,496.0,1265.0,13.0,11.9,10.5,16.9,43.1,10662
Bargo,209.0,190.0,202.0,391.0,919.0,10.3,9.3,9.9,19.2,45.1,10198
Yerrinbool,64.0,59.0,65.0,102.0,262.0,11.1,10.2,11.2,17.6,45.3,14510
Wilton (NSW),166.0,149.0,154.0,308.0,842.0,9.8,8.8,9.1,18.1,49.5,14311
Pheasants Nest,29.0,41.0,46.0,74.0,147.0,8.2,11.6,13.0,21.0,41.6,13191
Albion Park,689.0,684.0,766.0,1289.0,2587.0,10.9,10.8,12.1,20.3,40.8,10025
Calderwood,13.0,13.0,7.0,14.0,42.0,13.7,13.7,7.4,14.7,44.2,10750
Tullimbar,24.0,20.0,32.0,66.0,99.0,9.3,7.8,12.4,25.6,38.4,13958
Yellow Rock (Shellharbour - NSW),12.0,12.0,8.0,22.0,49.0,11.2,11.2,7.5,20.6,45.8,14503
Albion Park Rail,336.0,322.0,368.0,595.0,1133.0,11.6,11.1,12.7,20.5,38.9,10026
Kiama,389.0,355.0,322.0,457.0,1185.0,13.6,12.4,11.2,16.0,41.4,12116
Kiama Heights,47.0,51.0,42.0,60.0,143.0,13.1,14.2,11.7,16.7,39.8,12118
Bombo,3.0,6.0,8.0,11.0,15.0,5.9,11.8,15.7,21.6,29.4,10458
Kiama Downs,322.0,266.0,263.0,418.0,967.0,13.6,11.2,11.1,17.6,40.7,12117
Minnamurra,37.0,33.0,41.0,51.0,139.0,11.7,10.4,13.0,16.1,44.0,12639
Gerringong,241.0,206.0,208.0,260.0,699.0,14.1,12.0,12.1,15.2,40.8,11606
Jamberoo,116.0,92.0,79.0,127.0,308.0,15.3,12.1,10.4,16.8,40.6,11998
Werri Beach,43.0,34.0,30.0,26.0,107.0,16.2,12.8,11.3,9.8,40.4,14233
Gerroa,42.0,48.0,32.0,30.0,128.0,14.2,16.2,10.8,10.1,43.2,11607
Curramore (NSW),16.0,15.0,9.0,9.0,34.0,18.6,17.4,10.5,10.5,39.5,11174
Jerrara,9.0,9.0,4.0,6.0,22.0,16.7,16.7,7.4,11.1,40.7,12017
Toolijooa,9.0,5.0,4.0,12.0,14.0,17.3,9.6,7.7,23.1,26.9,13903
Foxground,14.0,12.0,6.0,10.0,32.0,17.5,15.0,7.5,12.5,40.0,11558
Flinders (NSW),345.0,332.0,391.0,692.0,1318.0,10.6,10.2,12.0,21.3,40.6,11534
Shellharbour,171.0,201.0,187.0,321.0,645.0,10.6,12.4,11.6,19.8,39.8,13533
Shell Cove,325.0,329.0,281.0,492.0,1155.0,12.0,12.1,10.4,18.1,42.6,13532
Barrack Point,37.0,38.0,31.0,54.0,120.0,12.4,12.8,10.4,18.1,40.3,10208
Dunmore (NSW),16.0,8.0,10.0,20.0,43.0,15.8,7.9,9.9,19.8,42.6,11323
Oak Flats,328.0,313.0,358.0,616.0,1032.0,11.6,11.1,12.7,21.9,36.6,13053
Blackbutt (NSW),219.0,179.0,191.0,302.0,586.0,14.0,11.5,12.2,19.3,37.5,10391
Shellharbour City Centre,9.0,9.0,0.0,17.0,24.0,15.3,15.3,0.0,28.8,40.7,13534
Warilla,239.0,239.0,282.0,419.0,735.0,11.6,11.6,13.7,20.4,35.8,14151
Lake Illawarra,142.0,117.0,168.0,269.0,432.0,11.9,9.8,14.1,22.6,36.3,12250
Barrack Heights,254.0,270.0,297.0,485.0,865.0,11.0,11.7,12.9,21.1,37.5,10207
Mount Warrigal,204.0,205.0,248.0,389.0,672.0,11.3,11.4,13.7,21.6,37.3,12801
Fairy Meadow,447.0,363.0,360.0,596.0,1133.0,14.5,11.8,11.7,19.4,36.8,11484
Balgownie,297.0,300.0,285.0,451.0,1003.0,12.0,12.1,11.5,18.2,40.4,10155
Gwynneville,242.0,172.0,132.0,187.0,336.0,21.2,15.1,11.6,16.4,29.5,11825
North Wollongong,201.0,122.0,111.0,216.0,452.0,17.0,10.3,9.4,18.3,38.2,13017
Mount Ousley,102.0,100.0,88.0,111.0,302.0,13.7,13.4,11.8,14.9,40.5,12782
Mount Pleasant (NSW),107.0,71.0,56.0,108.0,292.0,16.2,10.7,8.5,16.3,44.2,12784
Tarrawanna,125.0,104.0,86.0,148.0,329.0,14.8,12.3,10.2,17.5,38.9,13769
Corrimal,345.0,316.0,309.0,569.0,1148.0,12.1,11.1,10.8,20.0,40.3,11082
Towradgi,161.0,166.0,148.0,276.0,562.0,11.5,11.8,10.6,19.7,40.1,13929
Fernhill,46.0,46.0,43.0,77.0,125.0,12.9,12.9,12.1,21.6,35.1,11507
East Corrimal,179.0,167.0,203.0,327.0,632.0,11.3,10.6,12.8,20.7,39.9,11348
Bellambi,188.0,157.0,196.0,316.0,519.0,12.8,10.7,13.3,21.5,35.3,10264
West Wollongong,316.0,259.0,253.0,430.0,829.0,14.4,11.8,11.6,19.7,37.9,14255
Keiraville,270.0,208.0,181.0,241.0,477.0,18.5,14.2,12.4,16.5,32.6,12085
Figtree,684.0,559.0,563.0,1048.0,2076.0,13.2,10.8,10.8,20.2,40.0,11515
Helensburgh,340.0,384.0,390.0,592.0,1504.0,10.1,11.4,11.6,17.6,44.7,11890
Otford,26.0,14.0,20.0,41.0,98.0,12.6,6.8,9.7,19.9,47.6,13101
Stanwell Park,90.0,103.0,101.0,83.0,348.0,11.9,13.6,13.3,10.9,45.8,13653
Stanwell Tops,26.0,24.0,34.0,42.0,114.0,10.5,9.7,13.8,17.0,46.2,13654
Thirroul,361.0,332.0,335.0,448.0,1257.0,12.5,11.5,11.6,15.5,43.5,13848
Austinmer,159.0,154.0,146.0,180.0,544.0,12.8,12.4,11.7,14.5,43.7,10108
Coledale,83.0,69.0,79.0,98.0,267.0,13.2,10.9,12.5,15.5,42.3,10966
Wombarra,55.0,45.0,45.0,70.0,226.0,12.1,9.9,9.9,15.4,49.7,14363
Scarborough (NSW),28.0,20.0,18.0,29.0,70.0,16.7,11.9,10.7,17.3,41.7,13500
Coalcliff,10.0,5.0,11.0,9.0,56.0,10.6,5.3,11.7,9.6,59.6,10944
Woonona,651.0,589.0,623.0,1025.0,2284.0,12.0,10.8,11.4,18.8,42.0,14416
Russell Vale,83.0,83.0,88.0,123.0,262.0,11.9,11.9,12.6,17.7,37.6,13448
Wollongong,1141.0,899.0,808.0,1638.0,3155.0,14.2,11.2,10.0,20.4,39.2,14358
Mount Saint Thomas,74.0,66.0,82.0,159.0,269.0,10.8,9.6,11.9,23.1,39.1,12791
Mangerton,157.0,154.0,117.0,244.0,600.0,11.7,11.5,8.7,18.2,44.8,12468
Bulahdelah,74.0,60.0,73.0,79.0,181.0,14.7,12.0,14.5,15.7,36.1,10649
Wards River,13.0,10.0,3.0,13.0,20.0,20.3,15.6,4.7,20.3,31.2,14147
Stroud Road,10.0,13.0,9.0,18.0,44.0,10.1,13.1,9.1,18.2,44.4,13679
Stroud,46.0,50.0,41.0,63.0,149.0,12.6,13.7,11.3,17.3,40.9,13677
Girvan,10.0,4.0,8.0,4.0,29.0,17.2,6.9,13.8,6.9,50.0,11637
Nerong,3.0,3.0,3.0,3.0,6.0,14.3,14.3,14.3,14.3,28.6,12929
Allworth,0.0,3.0,6.0,13.0,39.0,0.0,4.6,9.2,20.0,60.0,10041
Bunyah,9.0,10.0,13.0,9.0,22.0,14.3,15.9,20.6,14.3,34.9,10690
Markwell,10.0,6.0,9.0,13.0,26.0,14.9,9.0,13.4,19.4,38.8,12493
Booral (NSW),16.0,18.0,21.0,39.0,88.0,8.5,9.6,11.2,20.7,46.8,10496
Limeburners Creek (Mid-Coast - NSW),18.0,19.0,15.0,27.0,56.0,13.3,14.1,11.1,20.0,41.5,12328
Forster (NSW),664.0,551.0,653.0,711.0,1477.0,15.2,12.6,15.0,16.3,33.8,11550
Green Point (Mid-Coast - NSW),29.0,34.0,29.0,37.0,58.0,14.4,16.9,14.4,18.4,28.9,11755
Darawank,20.0,13.0,19.0,26.0,57.0,14.1,9.2,13.4,18.3,40.1,11203
Tarbuck Bay,7.0,15.0,11.0,21.0,14.0,9.5,20.3,14.9,28.4,18.9,13762
Nabiac,69.0,58.0,83.0,53.0,165.0,15.1,12.7,18.1,11.6,36.0,12885
Failford,25.0,27.0,19.0,23.0,51.0,16.4,17.8,12.5,15.1,33.6,11476
Coomba Park,20.0,17.0,18.0,12.0,50.0,16.5,14.0,14.9,9.9,41.3,11038
Smiths Lake,73.0,53.0,70.0,58.0,122.0,17.8,12.9,17.0,14.1,29.7,13563
Bungwahl,20.0,13.0,19.0,8.0,17.0,23.0,14.9,21.8,9.2,19.5,10687
Charlotte Bay,15.0,14.0,10.0,6.0,20.0,20.0,18.7,13.3,8.0,26.7,10887
Wootton,18.0,8.0,6.0,3.0,29.0,25.4,11.3,8.5,4.2,40.8,14417
Coolongolook,12.0,17.0,16.0,21.0,51.0,9.6,13.6,12.8,16.8,40.8,11032
Coomba Bay,12.0,3.0,3.0,6.0,6.0,36.4,9.1,9.1,18.2,18.2,11037
Minimbah,10.0,12.0,15.0,11.0,28.0,12.7,15.2,19.0,13.9,35.4,12636
Elizabeth Beach,13.0,11.0,23.0,14.0,33.0,12.9,10.9,22.8,13.9,32.7,11396
Blueys Beach,14.0,11.0,15.0,6.0,23.0,20.3,15.9,21.7,8.7,33.3,10420
Boomerang Beach,20.0,22.0,11.0,16.0,48.0,15.4,16.9,8.5,12.3,36.9,10487
Tuncurry,245.0,193.0,252.0,305.0,515.0,14.9,11.8,15.4,18.6,31.4,13969
South Kempsey,83.0,82.0,89.0,142.0,179.0,13.3,13.2,14.3,22.8,28.8,13588
West Kempsey,170.0,169.0,214.0,300.0,338.0,13.2,13.1,16.6,23.3,26.2,14247
Kempsey,20.0,19.0,23.0,27.0,38.0,14.7,14.0,16.9,19.9,27.9,12095
Frederickton,61.0,64.0,54.0,113.0,158.0,12.5,13.1,11.1,23.2,32.4,11561
Aldavilla,38.0,30.0,55.0,56.0,102.0,12.5,9.8,18.0,18.4,33.4,10028
Euroka,15.0,21.0,17.0,30.0,54.0,10.2,14.3,11.6,20.4,36.7,11464
Dondingalong,53.0,34.0,45.0,39.0,77.0,18.9,12.1,16.1,13.9,27.5,11272
Greenhill (NSW),22.0,24.0,28.0,40.0,53.0,12.6,13.8,16.1,23.0,30.5,11763
East Kempsey,62.0,62.0,84.0,100.0,163.0,12.5,12.5,16.9,20.1,32.8,11354
Verges Creek,13.0,5.0,14.0,29.0,32.0,13.3,5.1,14.3,29.6,32.7,14072
Yarravel,55.0,53.0,64.0,92.0,144.0,12.8,12.3,14.8,21.3,33.4,14483
Stuarts Point,36.0,33.0,33.0,39.0,50.0,17.6,16.1,16.1,19.0,24.4,13681
Barraganyatti,8.0,7.0,6.0,12.0,12.0,15.1,13.2,11.3,22.6,22.6,10209
Yarrahapinni,11.0,15.0,15.0,5.0,31.0,13.8,18.8,18.8,6.2,38.8,14474
Hat Head,10.0,15.0,19.0,15.0,37.0,9.7,14.6,18.4,14.6,35.9,11869
Kinchela,8.0,18.0,16.0,12.0,45.0,7.1,15.9,14.2,10.6,39.8,12140
Gladstone (NSW),14.0,12.0,20.0,22.0,57.0,10.1,8.7,14.5,15.9,41.3,11639
Smithtown,28.0,26.0,35.0,36.0,79.0,12.4,11.5,15.5,15.9,35.0,13564
Mungay Creek,3.0,3.0,6.0,9.0,11.0,9.4,9.4,18.8,28.1,34.4,12841
Willawarrin,8.0,9.0,9.0,9.0,26.0,11.3,12.7,12.7,12.7,36.6,14295
Temagog,10.0,11.0,10.0,16.0,28.0,12.0,13.3,12.0,19.3,33.7,13783
Turners Flat,12.0,5.0,5.0,18.0,25.0,17.6,7.4,7.4,26.5,36.8,13976
Millbank (NSW),0.0,6.0,4.0,8.0,13.0,0.0,17.6,11.8,23.5,38.2,12616
Hickeys Creek,8.0,3.0,10.0,3.0,15.0,17.4,6.5,21.7,6.5,32.6,11899
Belmore River,10.0,19.0,10.0,26.0,50.0,7.9,15.0,7.9,20.5,39.4,10280
Austral Eden,6.0,7.0,10.0,4.0,34.0,8.7,10.1,14.5,5.8,49.3,10110
Crescent Head,88.0,97.0,79.0,83.0,225.0,14.0,15.5,12.6,13.2,35.9,11114
Fishermans Reach,16.0,4.0,5.0,8.0,15.0,31.4,7.8,9.8,15.7,29.4,11524
Clybucca,18.0,9.0,17.0,13.0,15.0,24.0,12.0,22.7,17.3,20.0,10940
Bellimbopinni,4.0,3.0,13.0,10.0,16.0,8.2,6.1,26.5,20.4,32.7,10272
Collombatti,31.0,31.0,39.0,39.0,69.0,13.7,13.7,17.2,17.2,30.4,10979
Kundabung,21.0,29.0,35.0,57.0,90.0,8.3,11.5,13.9,22.6,35.7,12209
Sherwood (Kempsey - NSW),13.0,9.0,12.0,11.0,30.0,15.5,10.7,14.3,13.1,35.7,13537
Bellbrook,12.0,5.0,11.0,10.0,36.0,15.2,6.3,13.9,12.7,45.6,10270
Macksville,94.0,100.0,118.0,174.0,277.0,11.6,12.3,14.5,21.5,34.2,12430
North Macksville,28.0,24.0,29.0,36.0,70.0,13.8,11.8,14.3,17.7,34.5,12995
Way Way,12.0,18.0,17.0,15.0,40.0,11.3,17.0,16.0,14.2,37.7,14203
Scotts Head,47.0,40.0,40.0,54.0,106.0,15.0,12.8,12.8,17.3,33.9,13508
Gumma,20.0,14.0,20.0,41.0,56.0,12.3,8.6,12.3,25.2,34.4,11801
Nambucca Heads,250.0,219.0,260.0,293.0,508.0,15.2,13.3,15.8,17.8,30.9,12887
Hyland Park,25.0,19.0,28.0,39.0,54.0,13.8,10.5,15.5,21.5,29.8,11968
Bowraville,72.0,46.0,57.0,54.0,89.0,21.6,13.8,17.1,16.2,26.6,10537
Valla Beach,65.0,75.0,59.0,81.0,169.0,13.5,15.6,12.3,16.9,35.2,14068
South Arm (Nambucca - NSW),14.0,18.0,15.0,23.0,21.0,14.1,18.2,15.2,23.2,21.2,13575
Newee Creek,19.0,24.0,26.0,29.0,65.0,11.2,14.1,15.3,17.1,38.2,12952
Congarinni North,23.0,24.0,22.0,16.0,49.0,16.0,16.7,15.3,11.1,34.0,11006
Congarinni,20.0,25.0,15.0,18.0,54.0,14.8,18.5,11.1,13.3,40.0,11005
Talarm,11.0,12.0,14.0,14.0,33.0,11.3,12.4,14.4,14.4,34.0,13728
Warrell Creek,14.0,18.0,12.0,25.0,31.0,12.8,16.5,11.0,22.9,28.4,14170
Eungai Creek,16.0,17.0,20.0,27.0,56.0,10.4,11.0,13.0,17.5,36.4,11458
Eungai Rail,9.0,6.0,10.0,11.0,21.0,15.0,10.0,16.7,18.3,35.0,11459
Allgomera,7.0,10.0,4.0,4.0,18.0,16.3,23.3,9.3,9.3,41.9,10040
Yarranbella,12.0,13.0,14.0,7.0,29.0,15.4,16.7,17.9,9.0,37.2,14478
Utungun,14.0,12.0,13.0,9.0,16.0,19.4,16.7,18.1,12.5,22.2,14062
Upper Taylors Arm,12.0,5.0,10.0,3.0,13.0,27.9,11.6,23.3,7.0,30.2,14045
Taylors Arm,4.0,9.0,8.0,3.0,17.0,9.1,20.5,18.2,6.8,38.6,13776
Argents Hill,7.0,14.0,11.0,12.0,27.0,9.0,17.9,14.1,15.4,34.6,10079
Missabotti,14.0,16.0,22.0,13.0,19.0,15.7,18.0,24.7,14.6,21.3,12649
South West Rocks,187.0,152.0,185.0,243.0,489.0,13.6,11.1,13.5,17.7,35.7,13600
Arakoon,23.0,22.0,22.0,30.0,58.0,13.7,13.1,13.1,17.9,34.5,10069
Jerseyville,9.0,9.0,4.0,10.0,13.0,20.0,20.0,8.9,22.2,28.9,12022
Lord Howe Island,35.0,25.0,23.0,26.0,91.0,15.5,11.1,10.2,11.5,40.3,12387
Lake Cathie,206.0,142.0,193.0,227.0,479.0,15.8,10.9,14.8,17.4,36.8,12243
Bonny Hills,157.0,151.0,166.0,213.0,484.0,12.6,12.1,13.3,17.1,38.8,10470
North Haven (NSW),46.0,69.0,67.0,83.0,149.0,10.3,15.4,15.0,18.6,33.3,12992
Kendall,66.0,47.0,57.0,80.0,133.0,16.2,11.5,14.0,19.7,32.7,12096
West Haven,28.0,29.0,42.0,54.0,90.0,11.1,11.5,16.7,21.4,35.7,14245
Laurieton,52.0,59.0,84.0,68.0,119.0,12.6,14.3,20.3,16.5,28.8,12283
Kew (NSW),36.0,48.0,60.0,46.0,138.0,10.5,14.0,17.4,13.4,40.1,12109
Herons Creek,12.0,12.0,13.0,16.0,42.0,11.3,11.3,12.3,15.1,39.6,11897
Upsalls Creek,3.0,11.0,5.0,12.0,12.0,6.4,23.4,10.6,25.5,25.5,14049
Logans Crossing,4.0,10.0,9.0,13.0,15.0,7.3,18.2,16.4,23.6,27.3,12373
Lorne (NSW),18.0,19.0,15.0,20.0,37.0,15.5,16.4,12.9,17.2,31.9,12390
Lakewood,41.0,50.0,49.0,44.0,110.0,12.9,15.8,15.5,13.9,34.7,12259
Dunbogan,46.0,35.0,50.0,54.0,126.0,13.7,10.4,14.9,16.1,37.5,11310
Johns River,11.0,16.0,26.0,18.0,50.0,8.7,12.6,20.5,14.2,39.4,12037
Camden Head,8.0,8.0,3.0,0.0,17.0,20.5,20.5,7.7,0.0,43.6,10771
Port Macquarie,2337.0,1794.0,2479.0,3341.0,6525.0,13.5,10.3,14.3,19.3,37.6,13246
Lake Innes,29.0,17.0,23.0,39.0,81.0,14.2,8.3,11.3,19.1,39.7,12251
Fernbank Creek,8.0,8.0,9.0,13.0,16.0,14.0,14.0,15.8,22.8,28.1,11505
Riverside (NSW),17.0,12.0,10.0,29.0,31.0,14.5,10.3,8.5,24.8,26.5,13367
Thrumster,23.0,16.0,37.0,49.0,89.0,10.2,7.1,16.4,21.8,39.6,13852
North Shore (NSW),29.0,29.0,21.0,30.0,49.0,17.3,17.3,12.5,17.9,29.2,13006
Telegraph Point,35.0,30.0,43.0,56.0,114.0,11.6,9.9,14.2,18.5,37.7,13781
Blackmans Point,4.0,0.0,6.0,8.0,30.0,7.8,0.0,11.8,15.7,58.8,10395
Gum Scrub,5.0,7.0,8.0,6.0,27.0,8.8,12.3,14.0,10.5,47.4,11797
Cooperabung,22.0,11.0,11.0,18.0,58.0,17.3,8.7,8.7,14.2,45.7,11046
Rollands Plains,7.0,10.0,12.0,6.0,32.0,10.4,14.9,17.9,9.0,47.8,13392
Upper Rollands Plains,7.0,3.0,5.0,7.0,24.0,14.0,6.0,10.0,14.0,48.0,14043
Pembrooke,6.0,13.0,10.0,3.0,25.0,9.5,20.6,15.9,4.8,39.7,13180
Frazers Creek,6.0,8.0,12.0,12.0,32.0,8.6,11.4,17.1,17.1,45.7,11560
Mortons Creek,16.0,14.0,15.0,28.0,53.0,11.8,10.3,11.0,20.6,39.0,12731
Brombin,4.0,5.0,3.0,14.0,25.0,7.4,9.3,5.6,25.9,46.3,10593
Long Flat (NSW),13.0,3.0,6.0,3.0,15.0,28.9,6.7,13.3,6.7,33.3,12377
Byabarra,22.0,23.0,19.0,22.0,57.0,14.8,15.4,12.8,14.8,38.3,10727
Ellenborough,9.0,12.0,4.0,12.0,26.0,13.0,17.4,5.8,17.4,37.7,11401
Comboyne,18.0,19.0,16.0,28.0,101.0,9.0,9.5,8.0,14.1,50.8,10992
Wauchope,244.0,204.0,305.0,453.0,754.0,11.6,9.7,14.5,21.5,35.8,14197
Yippin Creek,17.0,6.0,16.0,17.0,28.0,19.5,6.9,18.4,19.5,32.2,14515
Rosewood (Port Macquarie-Hastings - NSW),17.0,17.0,13.0,22.0,43.0,14.7,14.7,11.2,19.0,37.1,13414
Beechwood,30.0,25.0,40.0,42.0,88.0,12.4,10.4,16.6,17.4,36.5,10248
Redbank (NSW),15.0,16.0,25.0,29.0,68.0,9.4,10.1,15.7,18.2,42.8,13336
Crosslands,26.0,17.0,29.0,37.0,89.0,13.1,8.6,14.6,18.7,44.9,11127
King Creek,97.0,81.0,77.0,125.0,274.0,13.6,11.3,10.8,17.5,38.3,12145
Sancrox,41.0,27.0,34.0,49.0,113.0,14.7,9.7,12.2,17.6,40.6,13471
Gloucester,150.0,108.0,138.0,184.0,359.0,14.9,10.7,13.7,18.2,35.6,11685
Craven,6.0,8.0,6.0,6.0,16.0,14.3,19.0,14.3,14.3,38.1,11107
Stratford (NSW),3.0,5.0,13.0,6.0,29.0,5.4,8.9,23.2,10.7,51.8,13672
Forbesdale,19.0,9.0,7.0,8.0,32.0,23.5,11.1,8.6,9.9,39.5,11539
Barrington (NSW),13.0,19.0,23.0,24.0,53.0,9.3,13.6,16.4,17.1,37.9,10216
Bowman,11.0,4.0,13.0,5.0,19.0,21.2,7.7,25.0,9.6,36.5,10531
Diamond Beach,50.0,49.0,61.0,62.0,121.0,13.6,13.4,16.6,16.9,33.0,11251
Manning Point,3.0,6.0,10.0,11.0,13.0,6.5,13.0,21.7,23.9,28.3,12478
Mitchells Island,23.0,26.0,15.0,25.0,64.0,13.8,15.6,9.0,15.0,38.3,12652
Oxley Island,20.0,16.0,13.0,13.0,52.0,16.3,13.0,10.6,10.6,42.3,13109
Old Bar,199.0,199.0,216.0,282.0,505.0,13.1,13.1,14.3,18.6,33.3,13073
Black Head,33.0,28.0,42.0,54.0,92.0,12.5,10.6,15.9,20.5,34.8,10384
Red Head,30.0,21.0,19.0,23.0,77.0,16.0,11.2,10.1,12.2,41.0,13329
Rainbow Flat,48.0,36.0,35.0,43.0,104.0,16.5,12.4,12.0,14.8,35.7,13305
Hallidays Point,32.0,44.0,26.0,41.0,67.0,14.5,19.9,11.8,18.6,30.3,11832
Wallabi Point,42.0,46.0,43.0,67.0,111.0,13.0,14.2,13.3,20.7,34.3,14099
Koorainghat,17.0,7.0,11.0,15.0,25.0,20.5,8.4,13.3,18.1,30.1,12191
Tallwoods Village,42.0,37.0,34.0,49.0,81.0,16.5,14.5,13.3,19.2,31.8,13737
Taree,683.0,552.0,754.0,1036.0,1655.0,13.6,11.0,15.0,20.7,33.0,13764
Cundletown,102.0,91.0,128.0,140.0,271.0,12.8,11.5,16.1,17.6,34.1,11161
Taree South,11.0,8.0,14.0,18.0,41.0,11.1,8.1,14.1,18.2,41.4,13765
Pampoolah,22.0,16.0,28.0,23.0,43.0,14.7,10.7,18.7,15.3,28.7,13142
Glenthorne,10.0,7.0,8.0,9.0,36.0,11.6,8.1,9.3,10.5,41.9,11680
Tinonee,66.0,43.0,58.0,102.0,147.0,15.0,9.8,13.2,23.2,33.5,13876
Harrington,106.0,99.0,126.0,116.0,265.0,13.9,13.0,16.5,15.2,34.7,11858
Wherrol Flat,15.0,25.0,12.0,25.0,46.0,11.0,18.4,8.8,18.4,33.8,14271
Coopernook,22.0,26.0,38.0,34.0,64.0,11.1,13.1,19.1,17.1,32.2,11047
Moto,10.0,8.0,4.0,5.0,16.0,19.2,15.4,7.7,9.6,30.8,12742
Moorland (NSW),39.0,22.0,22.0,26.0,55.0,21.5,12.2,12.2,14.4,30.4,12714
Hannam Vale,6.0,14.0,10.0,16.0,37.0,7.2,16.9,12.0,19.3,44.6,11849
Stewarts River,8.0,16.0,4.0,9.0,13.0,15.1,30.2,7.5,17.0,24.5,13659
Upper Lansdowne,32.0,33.0,21.0,38.0,74.0,14.5,14.9,9.5,17.2,33.5,14033
Lansdowne (Mid-Coast - NSW),23.0,18.0,33.0,22.0,73.0,12.6,9.9,18.1,12.1,40.1,12273
Kundle Kundle,13.0,6.0,11.0,10.0,39.0,15.3,7.1,12.9,11.8,45.9,12211
Killabakh,12.0,13.0,14.0,21.0,30.0,12.1,13.1,14.1,21.2,30.3,12128
Cedar Party,18.0,25.0,14.0,21.0,51.0,13.1,18.2,10.2,15.3,37.2,10870
Marlee,16.0,12.0,13.0,11.0,28.0,17.4,13.0,14.1,12.0,30.4,12494
Elands,8.0,10.0,3.0,7.0,20.0,16.7,20.8,6.2,14.6,41.7,11388
Bobin,6.0,9.0,11.0,5.0,17.0,11.3,17.0,20.8,9.4,32.1,10427
Mount George (NSW),8.0,12.0,17.0,9.0,39.0,8.6,12.9,18.3,9.7,41.9,12761
Killawarra (NSW),11.0,7.0,7.0,9.0,32.0,15.1,9.6,9.6,12.3,43.8,12132
Burrell Creek,13.0,9.0,11.0,18.0,27.0,15.9,11.0,13.4,22.0,32.9,10709
Bootawa,12.0,12.0,3.0,13.0,26.0,18.2,18.2,4.5,19.7,39.4,10504
Mondrook,8.0,10.0,5.0,11.0,22.0,12.7,15.9,7.9,17.5,34.9,12676
