,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Cooranbong,1528.0,271.0,55.0,3.0,81.8,14.5,2.9,0.2,11052
Wyee,639.0,54.0,0.0,113.0,78.7,6.7,0.0,13.9,14438
Morisset,954.0,335.0,21.0,3.0,72.2,25.3,1.6,0.2,12723
Wyee Point,363.0,5.0,0.0,0.0,98.6,1.4,0.0,0.0,14439
Mandalong,123.0,4.0,0.0,0.0,96.9,3.1,0.0,0.0,12465
Dora Creek,646.0,0.0,12.0,0.0,98.2,0.0,1.8,0.0,11277
Blackalls Park,903.0,129.0,10.0,0.0,86.7,12.4,1.0,0.0,10390
Toronto,1732.0,302.0,120.0,0.0,80.0,14.0,5.5,0.0,13918
Kilaben Bay,484.0,29.0,3.0,0.0,93.8,5.6,0.6,0.0,12125
Coal Point,630.0,9.0,4.0,0.0,97.5,1.4,0.6,0.0,10943
Carey Bay,240.0,31.0,47.0,25.0,70.0,9.0,13.7,7.3,10812
Buttaba,378.0,7.0,0.0,0.0,98.2,1.8,0.0,0.0,10723
Fishing Point,391.0,3.0,0.0,0.0,99.2,0.8,0.0,0.0,11526
Rathmines,667.0,56.0,0.0,3.0,91.9,7.7,0.0,0.4,13319
Wangi Wangi,963.0,36.0,42.0,66.0,86.8,3.2,3.8,5.9,14135
Arcadia Vale,494.0,5.0,0.0,0.0,99.0,1.0,0.0,0.0,10073
Balmoral (Lake Macquarie - NSW),258.0,3.0,0.0,0.0,98.9,1.1,0.0,0.0,10166
Holmesville,466.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11924
Barnsley,584.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10204
West Wallsend,792.0,25.0,4.0,3.0,96.1,3.0,0.5,0.4,14253
Killingworth (NSW),214.0,3.0,0.0,0.0,98.6,1.4,0.0,0.0,12137
