,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Lidsdale,1335.0,--,--,--,93.8,6.2,12318
Wallerawang,1517.0,--,--,--,95.6,4.4,14114
Little Hartley,1950.0,--,--,--,84.9,15.1,12352
Hartley (NSW),1950.0,--,--,--,91.7,8.3,11861
Clarence,2167.0,--,--,--,93.4,6.6,10919
Glen Davis,1874.0,--,--,--,92.5,7.5,11646
Kanimbla (NSW),2000.0,--,--,--,86.0,14.0,12065
Capertee,830.0,--,--,--,100.0,0.0,10802
Running Stream,1096.0,--,--,--,100.0,0.0,13441
Mudgee,1733.0,--,--,--,94.0,6.0,12812
Putta Bucca,1517.0,--,--,--,95.3,4.7,13278
Bombira,2250.0,--,--,--,95.2,4.8,10457
Spring Flat,1928.0,--,--,--,90.9,9.1,13613
Kandos,867.0,--,--,--,95.8,4.2,12057
Rylstone,1495.0,--,--,--,95.6,4.4,13457
Ilford,855.0,--,--,--,100.0,0.0,11971
Lue,1322.0,--,--,--,94.7,5.3,12420
Gulgong,1517.0,--,--,--,94.8,5.2,11794
Dunedoo,967.0,--,--,--,97.0,3.0,11316
Leadville,780.0,--,--,--,100.0,0.0,12290
Cassilis (NSW),769.0,--,--,--,97.3,2.7,10844
Tallawang,2037.0,--,--,--,89.7,10.3,13731
Beryl,1200.0,--,--,--,100.0,0.0,10327
Stubbo,1690.0,--,--,--,82.7,17.3,13682
Cope,1600.0,--,--,--,100.0,0.0,11057
Yarrawonga (NSW),1474.0,--,--,--,94.4,5.6,14486
Piambong,1964.0,--,--,--,90.9,9.1,13197
Cooks Gap,1600.0,--,--,--,90.0,10.0,11018
Frog Rock,1993.0,--,--,--,93.2,6.8,11570
Cooyal,2015.0,--,--,--,100.0,0.0,11055
St Fillans,1625.0,--,--,--,96.2,3.8,13634
Eurunderee,2600.0,--,--,--,89.1,10.9,11467
Budgee Budgee (NSW),1950.0,--,--,--,95.1,4.9,10641
Menah,2059.0,--,--,--,91.5,8.5,12566
Grattai,1300.0,--,--,--,90.7,9.3,11741
Hargraves,993.0,--,--,--,88.0,12.0,11854
Windeyer (NSW),1138.0,--,--,--,85.9,14.1,14322
Bocoble,1287.0,--,--,--,93.0,7.0,10432
Mount Frome,2483.0,--,--,--,100.0,0.0,12760
Buckaroo,1733.0,--,--,--,100.0,0.0,10630
Blayney,1408.0,--,--,--,94.8,5.2,10410
Carcoar,1257.0,--,--,--,95.3,4.7,10808
Lyndhurst (Blayney - NSW),1300.0,--,--,--,94.3,5.7,12426
Forest Reefs,2300.0,--,--,--,89.0,11.0,11547
Barry (Blayney - NSW),1395.0,--,--,--,100.0,0.0,10218
