,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Junee,981.0,432.0,45.0,67.3,29.6,3.1,12046
Old Junee,75.0,24.0,0.0,75.8,24.2,0.0,13078
Illabo,43.0,10.0,0.0,81.1,18.9,0.0,11972
Bethungra,49.0,22.0,0.0,69.0,31.0,0.0,10328
Wantabadgery,44.0,21.0,0.0,67.7,32.3,0.0,14136
Temora,1224.0,600.0,38.0,65.7,32.2,2.0,13784
Springdale (NSW),35.0,7.0,0.0,83.3,16.7,0.0,13621
Lake Albert (NSW),1728.0,415.0,44.0,79.0,19.0,2.0,12238
East Wagga Wagga,59.0,22.0,3.0,70.2,26.2,3.6,11364
Kooringal (NSW),1888.0,832.0,117.0,66.5,29.3,4.1,12193
Tatton,656.0,137.0,21.0,80.6,16.8,2.6,13775
Estella,527.0,145.0,93.0,68.9,19.0,12.2,11444
Boorooma,205.0,25.0,29.0,79.2,9.7,11.2,10501
North Wagga Wagga,166.0,47.0,13.0,73.5,20.8,5.8,13014
Cartwrights Hill,53.0,8.0,0.0,86.9,13.1,0.0,10839
Springvale (Wagga Wagga - NSW),455.0,30.0,0.0,93.8,6.2,0.0,13628
Lloyd,229.0,41.0,10.0,81.8,14.6,3.6,12365
Bourkelands,783.0,178.0,19.0,79.9,18.2,1.9,10523
Glenfield Park,1407.0,476.0,61.0,72.4,24.5,3.1,11665
Tolland,839.0,402.0,52.0,64.9,31.1,4.0,13887
Mount Austin,952.0,532.0,46.0,62.2,34.8,3.0,12748
Turvey Park,871.0,331.0,40.0,70.1,26.7,3.2,13983
San Isidore,106.0,13.0,0.0,89.1,10.9,0.0,13469
Ashmont,933.0,431.0,60.0,65.5,30.3,4.2,10101
Wagga Wagga,1525.0,1295.0,243.0,49.8,42.3,7.9,14083
Kapooka,47.0,5.0,0.0,90.4,9.6,0.0,12068
Moorong,38.0,6.0,0.0,86.4,13.6,0.0,12715
Ladysmith,92.0,29.0,3.0,74.2,23.4,2.4,12233
The Rock,322.0,107.0,12.0,73.0,24.3,2.7,13838
Forest Hill (NSW),538.0,141.0,26.0,76.3,20.0,3.7,11544
Collingullie,60.0,9.0,0.0,87.0,13.0,0.0,10976
Lockhart,271.0,145.0,6.0,64.2,34.4,1.4,12369
Pleasant Hills,29.0,11.0,0.0,72.5,27.5,0.0,13228
Ganmain,198.0,79.0,4.0,70.5,28.1,1.4,11585
Matong,35.0,17.0,0.0,67.3,32.7,0.0,12523
Yerong Creek,81.0,18.0,3.0,79.4,17.6,2.9,14508
Uranquinty,244.0,71.0,4.0,76.5,22.3,1.3,14055
Oura,55.0,15.0,0.0,78.6,21.4,0.0,13102
Gobbagombalin,131.0,14.0,10.0,84.5,9.0,6.5,11689
Downside,39.0,9.0,0.0,81.2,18.8,0.0,11285
Marrar,98.0,19.0,5.0,80.3,15.6,4.1,12503
Coolamon,558.0,165.0,8.0,76.3,22.6,1.1,11025
Tarcutta,105.0,45.0,7.0,66.9,28.7,4.5,13763
Gregadoo,68.0,3.0,0.0,95.8,4.2,0.0,11773
Mangoplah,68.0,4.0,0.0,94.4,5.6,0.0,12470
Gelston Park,35.0,4.0,0.0,89.7,10.3,0.0,11597
Berry,735.0,280.0,18.0,71.2,27.1,1.7,10322
Kangaroo Valley,239.0,79.0,4.0,74.2,24.5,1.2,12061
Bellawongarah,40.0,3.0,0.0,93.0,7.0,0.0,10267
Far Meadow,58.0,12.0,3.0,79.5,16.4,4.1,11488
Coolangatta (NSW),91.0,8.0,3.0,89.2,7.8,2.9,11026
Jaspers Brush,105.0,24.0,3.0,79.5,18.2,2.3,12002
Shoalhaven Heads,823.0,521.0,30.0,59.9,37.9,2.2,13540
Callala Bay,622.0,192.0,19.0,74.7,23.0,2.3,10757
Callala Beach,203.0,91.0,8.0,67.2,30.1,2.6,10758
Currarong,120.0,49.0,0.0,71.0,29.0,0.0,11176
Myola (NSW),28.0,14.0,0.0,66.7,33.3,0.0,12878
Orient Point,155.0,79.0,8.0,64.0,32.6,3.3,13096
Culburra Beach,760.0,356.0,27.0,66.5,31.1,2.4,11146
Greenwell Point,346.0,181.0,8.0,64.7,33.8,1.5,11769
Numbaa,34.0,9.0,3.0,73.9,19.6,6.5,13035
Huskisson,192.0,166.0,10.0,52.2,45.1,2.7,11966
Vincentia,937.0,380.0,36.0,69.3,28.1,2.7,14075
Bomaderry,1709.0,915.0,76.0,63.3,33.9,2.8,10453
Cambewarra,63.0,10.0,3.0,82.9,13.2,3.9,10763
North Nowra,1486.0,551.0,58.0,70.9,26.3,2.8,13000
Bangalee (NSW),194.0,41.0,0.0,82.6,17.4,0.0,10173
Meroo Meadow,136.0,22.0,0.0,86.1,13.9,0.0,12579
Cambewarra Village,334.0,46.0,3.0,87.2,12.0,0.8,10764
Tapitallee,178.0,22.0,3.0,87.7,10.8,1.5,13755
Worrigee,1334.0,254.0,55.0,81.2,15.5,3.3,14423
Nowra,2149.0,1346.0,125.0,59.4,37.2,3.5,13028
Nowra Hill,304.0,40.0,0.0,88.4,11.6,0.0,13029
West Nowra,381.0,113.0,14.0,75.0,22.2,2.8,14248
Terara,58.0,50.0,6.0,50.9,43.9,5.3,13795
South Nowra,477.0,134.0,18.0,75.8,21.3,2.9,13594
St Georges Basin,788.0,288.0,19.0,72.0,26.3,1.7,13636
Worrowing Heights,121.0,88.0,3.0,57.1,41.5,1.4,14424
Basin View,384.0,155.0,15.0,69.3,28.0,2.7,10223
Sanctuary Point,1958.0,848.0,96.0,67.5,29.2,3.3,13472
Erowal Bay,177.0,54.0,6.0,74.7,22.8,2.5,11436
Old Erowal Bay,271.0,115.0,8.0,68.8,29.2,2.0,13075
Sussex Inlet,991.0,558.0,35.0,62.6,35.2,2.2,13700
Swanhaven,52.0,25.0,0.0,67.5,32.5,0.0,13709
Berrara,82.0,30.0,3.0,71.3,26.1,2.6,10313
Cudmirrah,81.0,37.0,0.0,68.6,31.4,0.0,11145
Falls Creek (NSW),260.0,36.0,9.0,85.2,11.8,3.0,11487
Tomerong,289.0,61.0,10.0,80.3,16.9,2.8,13894
Wandandian,90.0,11.0,3.0,86.5,10.6,2.9,14127
Woollamia,165.0,45.0,3.0,77.5,21.1,1.4,14405
Parma,53.0,10.0,0.0,84.1,15.9,0.0,13155
Ulladulla,1799.0,863.0,67.0,65.9,31.6,2.5,14003
Kings Point,169.0,33.0,8.0,80.5,15.7,3.8,12153
Burrill Lake,400.0,179.0,21.0,66.7,29.8,3.5,10712
Milton (NSW),386.0,168.0,15.0,67.8,29.5,2.6,12630
Mollymook Beach,721.0,285.0,23.0,70.1,27.7,2.2,12670
Narrawallee,351.0,144.0,10.0,69.5,28.5,2.0,12909
Mollymook,297.0,119.0,8.0,70.0,28.1,1.9,12669
Manyana,149.0,76.0,4.0,65.1,33.2,1.7,12482
Fishermans Paradise,120.0,53.0,10.0,65.6,29.0,5.5,11523
Lake Tabourie,181.0,74.0,5.0,69.6,28.5,1.9,12254
Conjola Park,83.0,46.0,3.0,62.9,34.8,2.3,11012
Lake Conjola,133.0,61.0,0.0,68.6,31.4,0.0,12244
Yatte Yattah,50.0,11.0,0.0,82.0,18.0,0.0,14497
Croobyar,40.0,13.0,0.0,75.5,24.5,0.0,11121
Bawley Point,195.0,89.0,3.0,67.9,31.0,1.0,10235
Kioloa,69.0,42.0,4.0,60.0,36.5,3.5,12165
Termeil,74.0,12.0,3.0,83.1,13.5,3.4,13797
Bowral,2834.0,1196.0,72.0,69.1,29.2,1.8,10536
Burradoo,735.0,181.0,17.0,78.8,19.4,1.8,10701
Woodlands (Wingecarribee - NSW),74.0,22.0,4.0,74.0,22.0,4.0,14388
Balmoral (Wingecarribee - NSW),127.0,22.0,0.0,85.2,14.8,0.0,10167
Hill Top (Wingecarribee - NSW),700.0,140.0,18.0,81.6,16.3,2.1,11905
Colo Vale,419.0,90.0,14.0,80.1,17.2,2.7,10985
Alpine,35.0,3.0,0.0,92.1,7.9,0.0,10044
Aylmerton,52.0,18.0,3.0,71.2,24.7,4.1,10119
Mittagong,1436.0,716.0,53.0,65.1,32.5,2.4,12653
Willow Vale (Wingecarribee - NSW),197.0,42.0,5.0,80.7,17.2,2.0,14307
Renwick,181.0,17.0,4.0,89.6,8.4,2.0,13350
Balaclava (NSW),132.0,32.0,3.0,79.0,19.2,1.8,10143
Welby,184.0,79.0,5.0,68.7,29.5,1.9,14219
Glenquarry,56.0,11.0,0.0,83.6,16.4,0.0,11674
Braemar,118.0,32.0,4.0,76.6,20.8,2.6,10545
Moss Vale,2164.0,942.0,84.0,67.8,29.5,2.6,12739
Sutton Forest,126.0,38.0,6.0,74.1,22.4,3.5,13703
Berrima,191.0,49.0,6.0,77.6,19.9,2.4,10320
New Berrima,162.0,59.0,3.0,72.3,26.3,1.3,12938
Robertson (NSW),498.0,150.0,13.0,75.3,22.7,2.0,13374
Wildes Meadow,80.0,13.0,5.0,81.6,13.3,5.1,14292
Burrawang,100.0,34.0,5.0,71.9,24.5,3.6,10708
Avoca (NSW),60.0,16.0,3.0,75.9,20.3,3.8,10113
Fitzroy Falls,52.0,18.0,0.0,74.3,25.7,0.0,11529
Bundanoon (NSW),755.0,341.0,15.0,68.0,30.7,1.4,10670
Wingello,161.0,41.0,6.0,77.4,19.7,2.9,14330
Exeter (NSW),281.0,100.0,3.0,73.2,26.0,0.8,11475
High Range,108.0,18.0,0.0,85.7,14.3,0.0,11900
Joadja,31.0,5.0,0.0,86.1,13.9,0.0,12035
Canyonleigh,99.0,34.0,4.0,72.3,24.8,2.9,10799
Penrose,63.0,30.0,4.0,64.9,30.9,4.1,13185
Baulkham Hills,10025.0,1753.0,255.0,83.3,14.6,2.1,10233
Bella Vista,1997.0,134.0,46.0,91.7,6.2,2.1,10263
Glenhaven,1798.0,310.0,17.0,84.6,14.6,0.8,11667
Castle Hill (NSW),10483.0,1984.0,172.0,82.9,15.7,1.4,10847
West Pennant Hills,4462.0,564.0,42.0,88.0,11.1,0.8,14249
Cherrybrook,5112.0,650.0,35.0,88.2,11.2,0.6,10898
Kellyville,7326.0,603.0,106.0,91.2,7.5,1.3,12088
Kenthurst,1280.0,144.0,13.0,89.1,10.0,0.9,12100
Glenorie,864.0,120.0,18.0,86.2,12.0,1.8,11673
Maroota,146.0,27.0,9.0,80.2,14.8,4.9,12500
Canoelands,46.0,12.0,0.0,79.3,20.7,0.0,10794
Cattai,192.0,36.0,9.0,81.0,15.2,3.8,10859
South Maroota,137.0,20.0,3.0,85.6,12.5,1.9,13592
Dural (Hornsby - NSW),1928.0,377.0,32.0,82.5,16.1,1.4,11328
Sackville North,78.0,12.0,0.0,86.7,13.3,0.0,13459
Lower Portland,138.0,31.0,3.0,80.2,18.0,1.7,12412
Middle Dural,251.0,27.0,8.0,87.8,9.4,2.8,12603
Annangrove,350.0,26.0,4.0,92.1,6.8,1.1,10062
Galston,811.0,200.0,14.0,79.1,19.5,1.4,11582
Arcadia (NSW),365.0,41.0,8.0,88.2,9.9,1.9,10072
Fiddletown,58.0,10.0,3.0,81.7,14.1,4.2,11513
Berowra Waters,23.0,9.0,0.0,71.9,28.1,0.0,10311
Bilpin,174.0,51.0,4.0,76.0,22.3,1.7,10358
Lower Macdonald,77.0,37.0,3.0,65.8,31.6,2.6,12408
Cumberland Reach,49.0,9.0,0.0,84.5,15.5,0.0,11156
St Albans (NSW),37.0,20.0,0.0,64.9,35.1,0.0,13630
Bowen Mountain,415.0,81.0,8.0,82.3,16.1,1.6,10528
Grose Vale,329.0,42.0,0.0,88.7,11.3,0.0,11785
Grose Wold,161.0,20.0,0.0,89.0,11.0,0.0,11786
Kurrajong,809.0,145.0,16.0,83.4,14.9,1.6,12218
Kurrajong Hills,175.0,31.0,3.0,83.7,14.8,1.4,12220
Kurrajong Heights,358.0,79.0,8.0,80.4,17.8,1.8,12219
Kurmond,228.0,49.0,0.0,82.3,17.7,0.0,12215
The Slopes,82.0,10.0,3.0,86.3,10.5,3.2,13842
East Kurrajong,543.0,55.0,3.0,90.3,9.2,0.5,11356
Wilberforce (NSW),774.0,156.0,24.0,81.1,16.4,2.5,14288
Freemans Reach,517.0,92.0,11.0,83.4,14.8,1.8,11564
Ebenezer (NSW),236.0,48.0,4.0,81.9,16.7,1.4,11371
Glossodia,759.0,102.0,11.0,87.0,11.7,1.3,11684
Blaxlands Ridge,116.0,16.0,0.0,87.9,12.1,0.0,10409
Tennyson (NSW),99.0,22.0,3.0,79.8,17.7,2.4,13789
Vineyard,249.0,148.0,11.0,61.0,36.3,2.7,14076
McGraths Hill,690.0,129.0,16.0,82.6,15.4,1.9,12542
Maraylya,297.0,47.0,9.0,84.1,13.3,2.5,12484
Oakville,518.0,51.0,6.0,90.1,8.9,1.0,13060
Pitt Town,810.0,91.0,9.0,89.0,10.0,1.0,13226
Pitt Town Bottoms,15.0,6.0,0.0,71.4,28.6,0.0,13227
Rouse Hill,2005.0,258.0,35.0,87.2,11.2,1.5,13429
Beaumont Hills,2307.0,145.0,15.0,93.5,5.9,0.6,10243
Nelson (The Hills Shire - NSW),117.0,24.0,5.0,80.1,16.4,3.4,12922
Box Hill (NSW),222.0,38.0,8.0,82.8,14.2,3.0,10539
Blacktown,11610.0,2790.0,513.0,77.9,18.7,3.4,10397
Kings Park (NSW),950.0,178.0,26.0,82.3,15.4,2.3,12150
Acacia Gardens,1005.0,88.0,17.0,90.5,7.9,1.5,10014
Quakers Hill,7096.0,941.0,151.0,86.7,11.5,1.8,13286
Marayong,1906.0,557.0,69.0,75.3,22.0,2.7,12485
Woodcroft (NSW),1663.0,142.0,17.0,91.3,7.8,0.9,14381
Bungarribee,670.0,13.0,5.0,97.4,1.9,0.7,10682
Doonside,3305.0,714.0,135.0,79.6,17.2,3.2,11275
Seven Hills (NSW),4895.0,1249.0,190.0,77.3,19.7,3.0,13518
Lalor Park,1861.0,807.0,81.0,67.7,29.4,2.9,12261
Kings Langley,2583.0,411.0,40.0,85.1,13.5,1.3,12149
Toongabbie (NSW),3620.0,762.0,154.0,79.8,16.8,3.4,13907
Prospect (NSW),1225.0,205.0,34.0,83.7,14.0,2.3,13266
Glenwood (NSW),4055.0,270.0,83.0,92.0,6.1,1.9,11682
Parklea,611.0,44.0,9.0,92.0,6.6,1.4,13153
Stanhope Gardens,2334.0,411.0,42.0,83.7,14.7,1.5,13649
Kellyville Ridge,2603.0,229.0,49.0,90.4,7.9,1.7,12089
The Ponds,3057.0,171.0,43.0,93.5,5.2,1.3,13835
Riverstone,1856.0,391.0,64.0,80.3,16.9,2.8,13368
Schofields,1303.0,195.0,28.0,85.4,12.8,1.8,13502
Shanes Park,87.0,24.0,4.0,75.7,20.9,3.5,13524
Marsden Park,232.0,110.0,5.0,66.9,31.7,1.4,12505
Colebee,498.0,29.0,7.0,93.3,5.4,1.3,10965
Bidwill (NSW),983.0,271.0,27.0,76.7,21.2,2.1,10340
Hebersham,1331.0,259.0,33.0,82.0,16.0,2.0,11886
Dharruk,683.0,126.0,18.0,82.6,15.2,2.2,11248
Blackett,795.0,214.0,26.0,76.8,20.7,2.5,10392
Emerton,501.0,169.0,22.0,72.4,24.4,3.2,11413
Glendenning,1285.0,122.0,22.0,89.9,8.5,1.5,11659
Dean Park,793.0,141.0,12.0,83.8,14.9,1.3,11224
Plumpton (NSW),2154.0,257.0,39.0,87.9,10.5,1.6,13230
Oakhurst (NSW),1682.0,186.0,29.0,88.7,9.8,1.5,13058
Hassall Grove,1078.0,129.0,9.0,88.7,10.6,0.7,11866
Shalvey,824.0,161.0,16.0,82.3,16.1,1.6,13523
Willmot,540.0,160.0,27.0,74.3,22.0,3.7,14302
Tregear,857.0,287.0,33.0,72.8,24.4,2.8,13934
Lethbridge Park,1094.0,372.0,50.0,72.2,24.5,3.3,12307
Ropes Crossing,1595.0,206.0,31.0,87.1,11.2,1.7,13397
Mount Druitt,3949.0,835.0,153.0,80.0,16.9,3.1,12756
Whalan,1351.0,454.0,43.0,73.1,24.6,2.3,14266
Eastern Creek,185.0,51.0,10.0,75.2,20.7,4.1,11366
Minchinbury,1417.0,156.0,24.0,88.7,9.8,1.5,12633
Rooty Hill,3466.0,520.0,70.0,85.5,12.8,1.7,13395
Botany,2753.0,745.0,154.0,75.4,20.4,4.2,10517
Mascot,3562.0,1040.0,602.0,68.4,20.0,11.6,12519
Eastlakes,1681.0,748.0,160.0,64.9,28.9,6.2,11368
Rosebery (NSW),2497.0,817.0,408.0,67.1,22.0,11.0,13405
Pagewood,949.0,275.0,26.0,75.9,22.0,2.1,13125
Daceyville,238.0,278.0,24.0,44.1,51.5,4.4,11185
Hillsdale,1389.0,431.0,139.0,70.9,22.0,7.1,11911
Eastgardens,216.0,72.0,11.0,72.2,24.1,3.7,11367
Matraville,2452.0,757.0,112.0,73.8,22.8,3.4,12524
Marrickville,6135.0,2528.0,1097.0,62.9,25.9,11.2,12504
Petersham,1855.0,959.0,337.0,58.9,30.4,10.7,13190
Dulwich Hill,3361.0,1674.0,435.0,61.4,30.6,8.0,11303
Newtown (NSW),3085.0,2058.0,960.0,50.5,33.7,15.7,12960
Lewisham (NSW),743.0,340.0,131.0,61.2,28.0,10.8,12313
Stanmore (NSW),1781.0,837.0,404.0,58.9,27.7,13.4,13650
Camperdown (NSW),1887.0,2064.0,505.0,42.3,46.3,11.3,10781
Enmore (Inner West - NSW),819.0,469.0,254.0,53.1,30.4,16.5,11425
St Peters (NSW),748.0,288.0,182.0,61.4,23.6,14.9,13644
Sydenham (NSW),255.0,97.0,57.0,62.3,23.7,13.9,13714
Tempe,848.0,258.0,113.0,69.6,21.2,9.3,13785
Darlinghurst,2135.0,2325.0,584.0,42.3,46.1,11.6,11212
Erskineville,2009.0,962.0,468.0,58.4,28.0,13.6,11439
Alexandria,2033.0,1047.0,511.0,56.6,29.2,14.2,10030
Glebe (NSW),2354.0,1844.0,577.0,49.3,38.6,12.1,11641
Forest Lodge,1009.0,563.0,305.0,53.8,30.0,16.2,11546
Annandale (NSW),2214.0,1089.0,302.0,61.4,30.2,8.4,10061
Darlington (Sydney - NSW),377.0,447.0,340.0,32.4,38.4,29.2,11214
Potts Point,1300.0,2000.0,318.0,35.9,55.3,8.8,13256
Elizabeth Bay,1042.0,1602.0,210.0,36.5,56.1,7.4,11395
Sydney,2969.0,1912.0,1138.0,49.3,31.8,18.9,13715
Woolloomooloo,770.0,914.0,201.0,40.8,48.5,10.7,14406
Rushcutters Bay,474.0,719.0,92.0,36.9,56.0,7.2,13444
Pyrmont,3060.0,1547.0,764.0,57.0,28.8,14.2,13284
Ultimo,1149.0,901.0,805.0,40.2,31.6,28.2,14006
Redfern,2532.0,2251.0,992.0,43.8,39.0,17.2,13339
Eveleigh,160.0,68.0,25.0,63.2,26.9,9.9,11471
Chippendale,1282.0,1310.0,758.0,38.3,39.1,22.6,10907
Surry Hills,3140.0,2933.0,1122.0,43.6,40.8,15.6,13699
Haymarket,964.0,357.0,635.0,49.3,18.3,32.5,11877
Dawes Point,103.0,44.0,0.0,70.1,29.9,0.0,11222
Millers Point,382.0,264.0,27.0,56.8,39.2,4.0,12619
Balmain East,516.0,246.0,30.0,65.2,31.1,3.8,10165
The Rocks (Sydney - NSW),132.0,108.0,8.0,53.2,43.5,3.2,13840
Waterloo (NSW),2974.0,2463.0,1049.0,45.9,38.0,16.2,14183
Zetland,2234.0,1033.0,941.0,53.1,24.5,22.4,14524
Beaconsfield (NSW),239.0,106.0,48.0,60.8,27.0,12.2,10239
Bronte,1675.0,576.0,193.0,68.5,23.6,7.9,10594
Tamarama,373.0,146.0,62.0,64.2,25.1,10.7,13741
Bondi,2135.0,1184.0,671.0,53.5,29.7,16.8,10464
Bondi Beach,2448.0,1541.0,758.0,51.6,32.5,16.0,10465
North Bondi,2149.0,748.0,363.0,65.9,22.9,11.1,12984
Waverley (NSW),919.0,451.0,125.0,61.5,30.2,8.4,14200
Bondi Junction,2042.0,1166.0,410.0,56.4,32.2,11.3,10467
Queens Park (NSW),787.0,237.0,64.0,72.3,21.8,5.9,13294
Centennial Park (NSW),532.0,460.0,98.0,48.8,42.2,9.0,10873
Darling Point,1039.0,703.0,121.0,55.8,37.7,6.5,11211
Edgecliff,555.0,481.0,97.0,49.0,42.5,8.6,11379
Double Bay,1123.0,663.0,206.0,56.4,33.3,10.3,11281
Bellevue Hill,2618.0,941.0,310.0,67.7,24.3,8.0,10271
Rose Bay (NSW),2590.0,1039.0,233.0,67.1,26.9,6.0,13398
Paddington (NSW),2929.0,1785.0,573.0,55.4,33.8,10.8,13115
Point Piper,380.0,139.0,18.0,70.8,25.9,3.4,13233
Vaucluse,2407.0,635.0,98.0,76.7,20.2,3.1,14071
Dover Heights,1018.0,210.0,29.0,81.0,16.7,2.3,11284
Watsons Bay,184.0,80.0,5.0,68.4,29.7,1.9,14187
Woollahra,1800.0,911.0,208.0,61.7,31.2,7.1,14404
Clovelly,1278.0,386.0,113.0,71.9,21.7,6.4,10938
South Coogee,1283.0,685.0,90.0,62.3,33.3,4.4,13579
Coogee (NSW),3509.0,1644.0,881.0,58.2,27.2,14.6,11015
La Perouse,110.0,16.0,0.0,87.3,12.7,0.0,12230
Little Bay,1075.0,457.0,42.0,68.3,29.0,2.7,12349
Malabar,899.0,389.0,21.0,68.7,29.7,1.6,12453
Chifley (NSW),819.0,228.0,22.0,76.6,21.3,2.1,10901
Phillip Bay,171.0,37.0,4.0,80.7,17.5,1.9,13193
Kensington (NSW),2561.0,1295.0,773.0,55.3,28.0,16.7,12099
Kingsford (NSW),3036.0,1178.0,1200.0,56.1,21.8,22.2,12156
Maroubra,7552.0,2915.0,882.0,66.5,25.7,7.8,12501
Randwick,7020.0,3101.0,1354.0,61.2,27.0,11.8,13312
Georges Hall,2209.0,379.0,31.0,84.3,14.5,1.2,11601
Bass Hill,2089.0,528.0,58.0,78.1,19.7,2.2,10224
Yagoona,4101.0,1028.0,118.0,78.2,19.6,2.2,14453
Villawood,1185.0,541.0,50.0,66.7,30.5,2.8,14074
Greenacre,5382.0,1281.0,99.0,79.6,18.9,1.5,11757
Potts Hill,212.0,27.0,6.0,86.5,11.0,2.4,13255
Milperra,1066.0,177.0,19.0,84.5,14.0,1.5,12625
Revesby,3522.0,970.0,118.0,76.4,21.0,2.6,13355
Condell Park,2701.0,469.0,49.0,83.9,14.6,1.5,11001
Bankstown,7304.0,1932.0,360.0,76.1,20.1,3.8,10180
Mount Lewis,285.0,54.0,8.0,82.1,15.6,2.3,12774
Punchbowl (Canterbury-Bankstown - NSW),4522.0,985.0,196.0,79.3,17.3,3.4,13273
Padstow,3429.0,935.0,103.0,76.8,20.9,2.3,13120
Padstow Heights,886.0,326.0,19.0,72.0,26.5,1.5,13121
Panania,3233.0,825.0,73.0,78.3,20.0,1.8,13144
East Hills,797.0,296.0,27.0,71.2,26.4,2.4,11351
Picnic Point,1655.0,304.0,21.0,83.6,15.4,1.1,13199
Revesby Heights,439.0,76.0,5.0,84.4,14.6,1.0,13356
Birrong,725.0,157.0,23.0,80.1,17.3,2.5,10379
Belmore,3144.0,933.0,180.0,73.9,21.9,4.2,10279
Belfield,1595.0,435.0,46.0,76.8,21.0,2.2,10257
Campsie,6052.0,1348.0,554.0,76.1,16.9,7.0,10782
Canterbury (NSW),1853.0,564.0,167.0,71.7,21.8,6.5,10797
Clemton Park,406.0,109.0,8.0,77.6,20.8,1.5,10928
Earlwood,4574.0,1011.0,169.0,79.5,17.6,2.9,11343
Kingsgrove,3311.0,724.0,109.0,79.9,17.5,2.6,12158
Riverwood,2913.0,1298.0,183.0,66.3,29.5,4.2,13371
Roselands,2826.0,694.0,88.0,78.3,19.2,2.4,13409
Beverly Hills,2613.0,632.0,94.0,78.3,18.9,2.8,10331
Narwee,1398.0,466.0,54.0,72.9,24.3,2.8,12912
Lakemba,3721.0,822.0,360.0,75.9,16.8,7.3,12257
Wiley Park,2369.0,548.0,168.0,76.8,17.8,5.4,14293
Hurstville,7067.0,1525.0,928.0,74.2,16.0,9.7,11964
Carlton (NSW),2736.0,704.0,172.0,75.7,19.5,4.8,10819
Penshurst (NSW),3261.0,959.0,165.0,74.4,21.9,3.8,13186
Oatley,2839.0,680.0,60.0,79.3,19.0,1.7,13064
Mortdale,2700.0,917.0,140.0,71.9,24.4,3.7,12728
Peakhurst,2589.0,803.0,61.0,75.0,23.3,1.8,13168
Hurstville Grove,700.0,109.0,19.0,84.5,13.2,2.3,11965
Lugarno,1582.0,247.0,24.0,85.4,13.3,1.3,12421
Peakhurst Heights,658.0,141.0,12.0,81.1,17.4,1.5,13169
South Hurstville,1253.0,333.0,61.0,76.1,20.2,3.7,13587
Blakehurst,1559.0,319.0,27.0,81.8,16.7,1.4,10403
Kyle Bay,276.0,40.0,0.0,87.3,12.7,0.0,12227
Connells Point,762.0,128.0,16.0,84.1,14.1,1.8,11013
Carss Park,324.0,101.0,3.0,75.7,23.6,0.7,10837
Arncliffe,2456.0,708.0,287.0,71.2,20.5,8.3,10086
Wolli Creek,1512.0,533.0,432.0,61.0,21.5,17.4,14353
Turrella,577.0,115.0,79.0,74.8,14.9,10.2,13982
Bardwell Valley,597.0,164.0,14.0,77.0,21.2,1.8,10196
Bardwell Park,593.0,142.0,26.0,77.9,18.7,3.4,10195
Bexley,4708.0,1185.0,160.0,77.8,19.6,2.6,10334
Kogarah,3795.0,1129.0,349.0,72.0,21.4,6.6,12181
Bexley North,1065.0,288.0,44.0,76.2,20.6,3.1,10335
Allawah,1469.0,428.0,131.0,72.4,21.1,6.5,10038
Beverley Park,635.0,148.0,21.0,79.0,18.4,2.6,10330
Kogarah Bay,529.0,83.0,12.0,84.8,13.3,1.9,12182
Kyeemagh,234.0,67.0,5.0,76.5,21.9,1.6,12226
Brighton-le-Sands,2076.0,1067.0,145.0,63.1,32.5,4.4,10569
Rockdale,3682.0,1027.0,506.0,70.6,19.7,9.7,13379
Monterey,1182.0,455.0,46.0,70.2,27.0,2.7,12686
Banksia,854.0,156.0,52.0,80.4,14.7,4.9,10178
Sandringham (NSW),337.0,119.0,11.0,72.2,25.5,2.4,13478
Dolls Point,434.0,280.0,39.0,57.6,37.2,5.2,11267
Sans Souci,2708.0,1116.0,103.0,69.0,28.4,2.6,13489
Ramsgate,303.0,75.0,11.0,77.9,19.3,2.8,13309
Ramsgate Beach,401.0,285.0,30.0,56.0,39.8,4.2,13310
Concord,3837.0,826.0,131.0,80.0,17.2,2.7,10999
Breakfast Point,1297.0,419.0,28.0,74.4,24.0,1.6,10557
Cabarita (NSW),578.0,111.0,5.0,83.3,16.0,0.7,10736
Mortlake (NSW),295.0,82.0,9.0,76.4,21.2,2.3,12729
North Strathfield,1130.0,321.0,155.0,70.4,20.0,9.7,13009
Concord West,1517.0,324.0,59.0,79.8,17.1,3.1,11000
Sydney Olympic Park,430.0,167.0,45.0,67.0,26.0,7.0,13716
Liberty Grove,593.0,89.0,48.0,81.2,12.2,6.6,12315
Rhodes,3063.0,945.0,704.0,65.0,20.1,14.9,13358
Drummoyne,3023.0,1293.0,314.0,65.3,27.9,6.8,11293
Russell Lea,1294.0,421.0,56.0,73.1,23.8,3.2,13447
Rodd Point,383.0,91.0,8.0,79.5,18.9,1.7,13391
Abbotsford (NSW),1506.0,584.0,69.0,69.8,27.0,3.2,10003
Chiswick,771.0,378.0,67.0,63.4,31.1,5.5,10910
Five Dock,2441.0,819.0,134.0,71.9,24.1,3.9,11530
Canada Bay,330.0,97.0,25.0,73.0,21.5,5.5,10785
