,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%)
Wollongong,577.0,907.0,2750.0,5668.0,1262.0,2360.0,4.3,6.7,20.3,41.9,9.3,17.4
Wollstonecraft,256.0,332.0,987.0,4359.0,682.0,956.0,3.4,4.4,13.0,57.6,9.0,12.6
Wombarra,50.0,111.0,103.0,390.0,63.0,122.0,6.0,13.2,12.3,46.5,7.5,14.5
Woodbine,189.0,441.0,524.0,1254.0,201.0,113.0,6.9,16.2,19.3,46.1,7.4,4.2
Woodcroft,402.0,837.0,856.0,2383.0,208.0,226.0,8.2,17.0,17.4,48.5,4.2,4.6
Woodpark,104.0,171.0,156.0,557.0,164.0,106.0,8.2,13.5,12.4,44.1,13.0,8.4
Woodrising,169.0,337.0,156.0,740.0,75.0,41.0,11.1,22.1,10.2,48.6,4.9,2.7
Woollahra,350.0,552.0,721.0,3442.0,852.0,1116.0,5.0,7.8,10.3,48.9,12.1,15.9
Woolloomooloo,117.0,235.0,375.0,1718.0,285.0,315.0,3.9,7.7,12.3,56.6,9.4,10.4
Woolooware,443.0,1012.0,957.0,3008.0,633.0,1064.0,6.2,14.2,13.5,42.3,8.9,15.0
Woolwich,30.0,97.0,111.0,347.0,116.0,104.0,3.8,12.1,13.9,43.4,14.5,13.0
