,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Lower Boro,24.0,11.0,9.0,5.0,49.0,22.4,18.4,10.2,12402
New South Wales,709524.0,887358.0,310906.0,32438.0,36.6,45.7,16.0,1.7,
Australia,2291987.0,2716224.0,959543.0,102559.0,37.8,44.7,15.8,1.7,
Oallen,16.0,12.0,3.0,0.0,51.6,38.7,9.7,0.0,13062
Braidwood,187.0,164.0,71.0,5.0,43.8,38.4,16.6,1.2,10547
Majors Creek (NSW),33.0,22.0,7.0,0.0,53.2,35.5,11.3,0.0,12452
Araluen (NSW),25.0,10.0,8.0,0.0,58.1,23.3,18.6,0.0,10070
Reidsdale,17.0,11.0,3.0,0.0,54.8,35.5,9.7,0.0,13348
Bombay,9.0,16.0,3.0,0.0,32.1,57.1,10.7,0.0,10456
Warri,13.0,16.0,0.0,0.0,44.8,55.2,0.0,0.0,14172
Manar,19.0,10.0,0.0,0.0,65.5,34.5,0.0,0.0,12462
Mongarlowe,16.0,8.0,7.0,0.0,51.6,25.8,22.6,0.0,12678
Karabar,723.0,1005.0,469.0,42.0,32.3,44.9,20.9,1.9,12071
Queanbeyan,601.0,521.0,289.0,45.0,41.3,35.8,19.8,3.1,13291
Crestwood,465.0,445.0,209.0,13.0,41.1,39.3,18.5,1.1,11115
Queanbeyan East,372.0,401.0,168.0,14.0,39.0,42.0,17.6,1.5,13292
Greenleigh,79.0,106.0,11.0,0.0,40.3,54.1,5.6,0.0,11767
The Ridgeway,27.0,21.0,4.0,0.0,51.9,40.4,7.7,0.0,13836
Bungendore,413.0,631.0,102.0,9.0,35.8,54.6,8.8,0.8,10684
Sutton (NSW),155.0,195.0,31.0,3.0,40.4,50.8,8.1,0.8,13702
Carwoola,192.0,192.0,23.0,3.0,46.8,46.8,5.6,0.7,10841
Hoskinstown,19.0,27.0,4.0,0.0,38.0,54.0,8.0,0.0,11944
Captains Flat,63.0,64.0,23.0,0.0,42.0,42.7,15.3,0.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),104.0,101.0,15.0,3.0,46.6,45.3,6.7,1.3,10697
Mount Fairy,32.0,23.0,8.0,0.0,50.8,36.5,12.7,0.0,12758
Mulloon,22.0,11.0,4.0,0.0,59.5,29.7,10.8,0.0,12827
Royalla,92.0,159.0,16.0,0.0,34.5,59.6,6.0,0.0,13434
Primrose Valley,13.0,21.0,4.0,0.0,34.2,55.3,10.5,0.0,13265
Urila,16.0,15.0,0.0,0.0,51.6,48.4,0.0,0.0,14059
Tarago,54.0,48.0,14.0,3.0,45.4,40.3,11.8,2.5,13758
Currawang,21.0,24.0,3.0,0.0,43.8,50.0,6.2,0.0,11177
Googong,241.0,442.0,55.0,3.0,32.5,59.6,7.4,0.4,11704
Wamboin,183.0,253.0,28.0,0.0,39.4,54.5,6.0,0.0,14123
Bywong,178.0,177.0,32.0,0.0,46.0,45.7,8.3,0.0,10735
Michelago,50.0,81.0,4.0,0.0,37.0,60.0,3.0,0.0,12598
Jerrabomberra,740.0,1611.0,278.0,13.0,28.0,61.0,10.5,0.5,12016
Queanbeyan West,256.0,385.0,170.0,14.0,31.0,46.7,20.6,1.7,13293
Delegate,41.0,28.0,12.0,0.0,50.6,34.6,14.8,0.0,11233
Bombala,157.0,142.0,51.0,8.0,43.9,39.7,14.2,2.2,10455
Cathcart (NSW),16.0,11.0,3.0,0.0,53.3,36.7,10.0,0.0,10855
Cooma (NSW),756.0,566.0,339.0,20.0,45.0,33.7,20.2,1.2,11036
Kosciuszko National Park,37.0,22.0,4.0,0.0,58.7,34.9,6.3,0.0,12199
Adaminaby,55.0,22.0,8.0,0.0,64.7,25.9,9.4,0.0,10015
Nimmitabel,49.0,27.0,12.0,0.0,55.7,30.7,13.6,0.0,12966
Numeralla,31.0,27.0,8.0,0.0,47.0,40.9,12.1,0.0,13039
Colinton (NSW),22.0,14.0,0.0,0.0,61.1,38.9,0.0,0.0,10968
Dairymans Plains,22.0,28.0,0.0,0.0,44.0,56.0,0.0,0.0,11188
Binjura,42.0,40.0,5.0,3.0,46.7,44.4,5.6,3.3,10370
Bunyan,18.0,19.0,4.0,0.0,43.9,46.3,9.8,0.0,10691
Bredbo,41.0,47.0,3.0,0.0,45.1,51.6,3.3,0.0,10559
Berridale,127.0,135.0,37.0,0.0,42.5,45.2,12.4,0.0,10316
Kalkite,35.0,20.0,10.0,0.0,53.8,30.8,15.4,0.0,12052
Crackenback,19.0,16.0,5.0,0.0,47.5,40.0,12.5,0.0,11103
Jindabyne,245.0,235.0,78.0,5.0,43.5,41.7,13.9,0.9,12030
East Jindabyne,73.0,90.0,29.0,0.0,38.0,46.9,15.1,0.0,11352
Dalgety,30.0,24.0,5.0,3.0,48.4,38.7,8.1,4.8,11190
Moonbah,54.0,81.0,11.0,0.0,37.0,55.5,7.5,0.0,12698
Catalina,294.0,189.0,123.0,4.0,48.2,31.0,20.2,0.7,10853
Batemans Bay,159.0,68.0,90.0,13.0,48.2,20.6,27.3,3.9,10229
Nelligen,60.0,30.0,16.0,0.0,56.6,28.3,15.1,0.0,12920
Long Beach,255.0,137.0,41.0,3.0,58.5,31.4,9.4,0.7,12376
Benandarah,20.0,8.0,3.0,0.0,64.5,25.8,9.7,0.0,10287
North Batemans Bay,85.0,38.0,23.0,0.0,58.2,26.0,15.8,0.0,12982
Surfside,184.0,108.0,79.0,3.0,49.2,28.9,21.1,0.8,13698
Maloneys Beach,59.0,29.0,22.0,0.0,53.6,26.4,20.0,0.0,12460
Lilli Pilli (Eurobodalla - NSW),106.0,60.0,20.0,3.0,56.1,31.7,10.6,1.6,12321
Malua Bay,324.0,156.0,78.0,0.0,58.1,28.0,14.0,0.0,12461
Surf Beach (NSW),274.0,132.0,102.0,3.0,53.6,25.8,20.0,0.6,13697
Denhams Beach,84.0,35.0,19.0,0.0,60.9,25.4,13.8,0.0,11236
Sunshine Bay,211.0,92.0,65.0,3.0,56.9,24.8,17.5,0.8,13695
Rosedale (NSW),43.0,17.0,5.0,0.0,66.2,26.2,7.7,0.0,13407
Batehaven,234.0,111.0,112.0,7.0,50.4,23.9,24.1,1.5,10228
Bega,490.0,435.0,264.0,12.0,40.8,36.2,22.0,1.0,10253
Tathra,242.0,144.0,54.0,9.0,53.9,32.1,12.0,2.0,13774
Kalaru,81.0,87.0,12.0,0.0,45.0,48.3,6.7,0.0,12051
Wallagoot,72.0,58.0,12.0,0.0,50.7,40.8,8.5,0.0,14103
Bournda,9.0,19.0,9.0,0.0,24.3,51.4,24.3,0.0,10524
Black Range (NSW),16.0,25.0,7.0,0.0,33.3,52.1,14.6,0.0,10388
Tarraganda,47.0,41.0,6.0,0.0,50.0,43.6,6.4,0.0,13768
Kanoona,14.0,23.0,3.0,0.0,35.0,57.5,7.5,0.0,12066
Toothdale,25.0,21.0,4.0,0.0,50.0,42.0,8.0,0.0,13914
Wolumla,93.0,78.0,27.0,0.0,47.0,39.4,13.6,0.0,14362
South Wolumla,26.0,26.0,4.0,0.0,46.4,46.4,7.1,0.0,13602
Wyndham (NSW),53.0,29.0,13.0,0.0,55.8,30.5,13.7,0.0,14443
Kiah,22.0,12.0,0.0,3.0,59.5,32.4,0.0,8.1,12115
Towamba,33.0,21.0,9.0,0.0,52.4,33.3,14.3,0.0,13927
Lochiel (NSW),50.0,41.0,7.0,0.0,51.0,41.8,7.1,0.0,12367
Nethercote,52.0,35.0,16.0,3.0,49.1,33.0,15.1,2.8,12932
Candelo,92.0,63.0,31.0,3.0,48.7,33.3,16.4,1.6,10788
Tantawangalo,17.0,15.0,3.0,0.0,48.6,42.9,8.6,0.0,13753
Bemboka,78.0,46.0,20.0,4.0,52.7,31.1,13.5,2.7,10284
Quaama,42.0,22.0,9.0,0.0,57.5,30.1,12.3,0.0,13285
Cobargo,105.0,66.0,37.0,4.0,49.5,31.1,17.5,1.9,10951
Yowrie,21.0,12.0,7.0,0.0,52.5,30.0,17.5,0.0,14520
Wandella (NSW),35.0,11.0,0.0,0.0,76.1,23.9,0.0,0.0,14128
Angledale,21.0,20.0,0.0,0.0,51.2,48.8,0.0,0.0,10056
Verona,50.0,27.0,12.0,0.0,56.2,30.3,13.5,0.0,14073
Tanja,32.0,13.0,6.0,0.0,62.7,25.5,11.8,0.0,13749
Coolagolite,53.0,23.0,3.0,0.0,67.1,29.1,3.8,0.0,11023
Brogo,71.0,51.0,18.0,3.0,49.7,35.7,12.6,2.1,10589
Coopers Gully,22.0,20.0,3.0,0.0,48.9,44.4,6.7,0.0,11048
Stony Creek (Bega Valley - NSW),20.0,14.0,0.0,0.0,58.8,41.2,0.0,0.0,13668
Numbugga,15.0,15.0,3.0,0.0,45.5,45.5,9.1,0.0,13038
Buckajo,48.0,26.0,14.0,3.0,52.7,28.6,15.4,3.3,10629
Kameruka,18.0,20.0,0.0,0.0,47.4,52.6,0.0,0.0,12054
Greigs Flat,23.0,21.0,4.0,0.0,47.9,43.8,8.3,0.0,11775
Broulee,208.0,146.0,83.0,3.0,47.3,33.2,18.9,0.7,10608
Tomakin,160.0,77.0,30.0,0.0,59.9,28.8,11.2,0.0,13890
Mossy Point,87.0,57.0,27.0,3.0,50.0,32.8,15.5,1.7,12741
Bodalla,105.0,68.0,40.0,3.0,48.6,31.5,18.5,1.4,10434
Narooma,402.0,155.0,100.0,9.0,60.4,23.3,15.0,1.4,12900
Eden,385.0,242.0,155.0,10.0,48.6,30.6,19.6,1.3,11375
South Durras,47.0,32.0,11.0,0.0,52.2,35.6,12.2,0.0,13580
Mogo (Eurobodalla - NSW),34.0,30.0,14.0,0.0,43.6,38.5,17.9,0.0,12660
Jeremadra,17.0,25.0,10.0,0.0,32.7,48.1,19.2,0.0,12012
Mogendoura,30.0,17.0,5.0,0.0,57.7,32.7,9.6,0.0,12657
Turlinjah,16.0,17.0,4.0,0.0,43.2,45.9,10.8,0.0,13975
Potato Point,32.0,9.0,0.0,0.0,78.0,22.0,0.0,0.0,13253
Kianga (NSW),146.0,54.0,27.0,4.0,63.2,23.4,11.7,1.7,12119
Tuross Head,463.0,137.0,87.0,8.0,66.6,19.7,12.5,1.2,13979
Pambula Beach,104.0,51.0,29.0,0.0,56.5,27.7,15.8,0.0,13141
Merimbula,512.0,218.0,161.0,8.0,57.0,24.2,17.9,0.9,12575
Tura Beach,580.0,266.0,77.0,3.0,62.6,28.7,8.3,0.3,13973
South Pambula,61.0,56.0,24.0,0.0,43.3,39.7,17.0,0.0,13595
Pambula,104.0,79.0,55.0,3.0,43.2,32.8,22.8,1.2,13140
Broadwater (Bega Valley - NSW),19.0,16.0,3.0,0.0,50.0,42.1,7.9,0.0,10579
Bald Hills (NSW),30.0,33.0,8.0,0.0,42.3,46.5,11.3,0.0,10147
Millingandi,96.0,29.0,8.0,0.0,72.2,21.8,6.0,0.0,12622
Mirador,65.0,46.0,12.0,0.0,52.8,37.4,9.8,0.0,12644
Berrambool,71.0,27.0,24.0,3.0,56.8,21.6,19.2,2.4,10312
Moruya,543.0,341.0,182.0,17.0,50.1,31.5,16.8,1.6,12734
Moruya Heads,146.0,84.0,42.0,0.0,53.7,30.9,15.4,0.0,12735
Bergalia,30.0,16.0,3.0,0.0,61.2,32.7,6.1,0.0,10302
Congo,20.0,22.0,14.0,0.0,35.7,39.3,25.0,0.0,11008
Bingie,35.0,14.0,10.0,0.0,59.3,23.7,16.9,0.0,10367
Bermagui,239.0,115.0,52.0,4.0,58.3,28.0,12.7,1.0,10307
Dalmeny,302.0,134.0,76.0,6.0,58.3,25.9,14.7,1.2,11191
Wallaga Lake,113.0,32.0,12.0,0.0,72.0,20.4,7.6,0.0,14102
Central Tilba,58.0,16.0,9.0,0.0,69.9,19.3,10.8,0.0,10877
North Narooma,127.0,40.0,34.0,0.0,63.2,19.9,16.9,0.0,12998
Akolele,14.0,12.0,12.0,0.0,36.8,31.6,31.6,0.0,10023
Mystery Bay,32.0,13.0,4.0,0.0,65.3,26.5,8.2,0.0,12883
Goulburn,2189.0,2174.0,1151.0,91.0,39.1,38.8,20.5,1.6,11725
Run-o-Waters,69.0,64.0,12.0,0.0,47.6,44.1,8.3,0.0,13440
Marulan,143.0,124.0,50.0,0.0,45.1,39.1,15.8,0.0,12513
Windellama,45.0,32.0,12.0,3.0,48.9,34.8,13.0,3.3,14318
Bigga,31.0,20.0,8.0,0.0,52.5,33.9,13.6,0.0,10346
Tirrannaville,36.0,21.0,9.0,0.0,54.5,31.8,13.6,0.0,13883
Lake Bathurst,31.0,18.0,3.0,0.0,59.6,34.6,5.8,0.0,12239
Quialigo,34.0,32.0,9.0,0.0,45.3,42.7,12.0,0.0,13297
Laggan,50.0,44.0,15.0,0.0,45.9,40.4,13.8,0.0,12235
Grabben Gullen,25.0,28.0,10.0,0.0,39.7,44.4,15.9,0.0,11731
Parkesbourne,37.0,18.0,0.0,0.0,67.3,32.7,0.0,0.0,13152
Yarra,25.0,21.0,3.0,0.0,51.0,42.9,6.1,0.0,14468
Crookwell,354.0,254.0,94.0,12.0,49.6,35.6,13.2,1.7,11123
Bungonia,53.0,34.0,13.0,0.0,53.0,34.0,13.0,0.0,10685
Collector,31.0,47.0,7.0,0.0,36.5,55.3,8.2,0.0,10972
Middle Arm,42.0,46.0,15.0,3.0,39.6,43.4,14.2,2.8,12599
Taralga,38.0,44.0,12.0,0.0,40.4,46.8,12.8,0.0,13759
Tarlo,32.0,17.0,4.0,0.0,60.4,32.1,7.5,0.0,13767
Wayo,23.0,6.0,0.0,0.0,79.3,20.7,0.0,0.0,14204
Kingsdale,25.0,24.0,0.0,0.0,51.0,49.0,0.0,0.0,12155
Bannister (NSW),18.0,13.0,3.0,0.0,52.9,38.2,8.8,0.0,10183
Brayton,21.0,19.0,3.0,0.0,48.8,44.2,7.0,0.0,10554
Greenwich Park,15.0,11.0,4.0,0.0,50.0,36.7,13.3,0.0,11771
Tallong,130.0,84.0,27.0,0.0,53.9,34.9,11.2,0.0,13733
Carrick (NSW),10.0,15.0,3.0,0.0,35.7,53.6,10.7,0.0,10828
Brisbane Grove,15.0,14.0,5.0,0.0,44.1,41.2,14.7,0.0,10577
Binda,32.0,27.0,3.0,0.0,51.6,43.5,4.8,0.0,10363
Towrang,21.0,15.0,12.0,0.0,43.8,31.2,25.0,0.0,13930
Mummel,15.0,15.0,0.0,0.0,50.0,50.0,0.0,0.0,12835
Baw Baw (NSW),40.0,30.0,3.0,0.0,54.8,41.1,4.1,0.0,10234
Boxers Creek,25.0,25.0,8.0,4.0,40.3,40.3,12.9,6.5,10541
Gundary,25.0,38.0,7.0,0.0,35.7,54.3,10.0,0.0,11806
Yass,659.0,757.0,258.0,19.0,38.9,44.7,15.2,1.1,14493
Bookham,26.0,13.0,3.0,0.0,61.9,31.0,7.1,0.0,10478
Binalong,68.0,62.0,18.0,0.0,45.9,41.9,12.2,0.0,10362
Jugiong,26.0,23.0,5.0,0.0,48.1,42.6,9.3,0.0,12044
Galong,23.0,24.0,6.0,0.0,43.4,45.3,11.3,0.0,11580
Manton (NSW),39.0,39.0,3.0,0.0,48.1,48.1,3.7,0.0,12481
Yass River,52.0,46.0,8.0,0.0,49.1,43.4,7.5,0.0,14494
Rye Park,33.0,28.0,8.0,0.0,47.8,40.6,11.6,0.0,13455
Dalton,26.0,20.0,4.0,3.0,49.1,37.7,7.5,5.7,11194
Gundaroo,141.0,159.0,31.0,0.0,42.6,48.0,9.4,0.0,11805
Bowning,85.0,58.0,22.0,3.0,50.6,34.5,13.1,1.8,10535
Bellmount Forest,12.0,18.0,3.0,0.0,36.4,54.5,9.1,0.0,10274
Gunning,68.0,78.0,34.0,3.0,37.2,42.6,18.6,1.6,11813
Lade Vale,18.0,12.0,3.0,0.0,54.5,36.4,9.1,0.0,12232
Good Hope,12.0,17.0,3.0,0.0,37.5,53.1,9.4,0.0,11700
Wallaroo (NSW),69.0,106.0,19.0,0.0,35.6,54.6,9.8,0.0,14112
Murrumbateman,346.0,495.0,50.0,5.0,38.6,55.2,5.6,0.6,12860
Springrange,34.0,43.0,4.0,0.0,42.0,53.1,4.9,0.0,13625
Jeir,30.0,38.0,8.0,0.0,39.5,50.0,10.5,0.0,12004
Marchmont,26.0,30.0,4.0,0.0,43.3,50.0,6.7,0.0,12487
Nanima,22.0,29.0,4.0,0.0,40.0,52.7,7.3,0.0,12891
Young,1044.0,993.0,525.0,45.0,40.0,38.1,20.1,1.7,14518
Kingsvale,36.0,12.0,3.0,0.0,70.6,23.5,5.9,0.0,12161
Burrangong,21.0,36.0,8.0,0.0,32.3,55.4,12.3,0.0,10706
Wyangala,33.0,14.0,7.0,3.0,57.9,24.6,12.3,5.3,14434
Wombat,26.0,31.0,7.0,0.0,40.6,48.4,10.9,0.0,14364
Cunningar,29.0,16.0,0.0,0.0,64.4,35.6,0.0,0.0,11164
Harden,260.0,170.0,90.0,10.0,49.1,32.1,17.0,1.9,11851
Boorowa,198.0,156.0,67.0,11.0,45.8,36.1,15.5,2.5,10503
Murrumburrah,19.0,14.0,3.0,0.0,52.8,38.9,8.3,0.0,12863
Maimuru,14.0,17.0,3.0,0.0,41.2,50.0,8.8,0.0,12444
Bendick Murrell,15.0,14.0,3.0,0.0,46.9,43.8,9.4,0.0,10290
Koorawatha,57.0,30.0,15.0,0.0,55.9,29.4,14.7,0.0,12192
Monteagle,29.0,25.0,5.0,0.0,49.2,42.4,8.5,0.0,12683
Murringo,52.0,41.0,10.0,0.0,50.5,39.8,9.7,0.0,12858
Thuddungra,21.0,13.0,0.0,0.0,61.8,38.2,0.0,0.0,13853
Bribbaree,18.0,15.0,3.0,0.0,50.0,41.7,8.3,0.0,10566
Avoca Beach,422.0,643.0,181.0,9.0,33.6,51.2,14.4,0.7,10114
Copacabana,246.0,373.0,139.0,4.0,32.3,49.0,18.2,0.5,11056
Killcare Heights,101.0,97.0,26.0,0.0,45.1,43.3,11.6,0.0,12134
Macmasters Beach,173.0,164.0,47.0,0.0,45.1,42.7,12.2,0.0,12432
Empire Bay,242.0,317.0,115.0,4.0,35.7,46.8,17.0,0.6,11415
Wagstaffe,25.0,29.0,4.0,0.0,43.1,50.0,6.9,0.0,14084
St Huberts Island,177.0,118.0,33.0,3.0,53.5,35.6,10.0,0.9,13638
Killcare,61.0,43.0,19.0,3.0,48.4,34.1,15.1,2.4,12133
Bensville,231.0,402.0,86.0,5.0,31.9,55.5,11.9,0.7,10297
Daleys Point,128.0,52.0,28.0,0.0,61.5,25.0,13.5,0.0,11189
Pretty Beach (Central Coast - NSW),53.0,38.0,4.0,0.0,55.8,40.0,4.2,0.0,13261
Hardys Bay,43.0,18.0,10.0,0.0,60.6,25.4,14.1,0.0,11852
Kincumber South,121.0,29.0,27.0,0.0,68.4,16.4,15.3,0.0,12142
Somersby,118.0,130.0,24.0,3.0,42.9,47.3,8.7,1.1,13571
Calga,13.0,23.0,0.0,0.0,36.1,63.9,0.0,0.0,10752
Woy Woy,1116.0,925.0,632.0,61.0,40.8,33.8,23.1,2.2,14425
Patonga,41.0,3.0,8.0,0.0,78.8,5.8,15.4,0.0,13160
Mooney Mooney,54.0,29.0,6.0,0.0,60.7,32.6,6.7,0.0,12704
Kariong,469.0,936.0,276.0,13.0,27.7,55.3,16.3,0.8,12074
Peats Ridge,32.0,48.0,15.0,0.0,33.7,50.5,15.8,0.0,13172
Central Mangrove,33.0,37.0,3.0,3.0,43.4,48.7,3.9,3.9,10876
Mangrove Mountain,64.0,97.0,23.0,4.0,34.0,51.6,12.2,2.1,12472
Kulnura,76.0,80.0,16.0,0.0,44.2,46.5,9.3,0.0,12206
Mount White,20.0,15.0,6.0,0.0,48.8,36.6,14.6,0.0,12803
Wendoree Park,6.0,21.0,6.0,0.0,18.2,63.6,18.2,0.0,14224
Wisemans Ferry,18.0,17.0,15.0,0.0,36.0,34.0,30.0,0.0,14344
Gunderman,23.0,11.0,0.0,0.0,67.6,32.4,0.0,0.0,11808
Spencer,33.0,14.0,7.0,0.0,61.1,25.9,13.0,0.0,13607
Erina,579.0,401.0,162.0,13.0,50.1,34.7,14.0,1.1,11433
Green Point (Central Coast - NSW),682.0,800.0,316.0,11.0,37.7,44.2,17.5,0.6,11753
Matcham,95.0,162.0,18.0,0.0,34.5,58.9,6.5,0.0,12520
Holgate,95.0,151.0,20.0,0.0,35.7,56.8,7.5,0.0,11921
Lisarow,430.0,763.0,189.0,18.0,30.7,54.5,13.5,1.3,12343
Erina Heights,31.0,63.0,14.0,0.0,28.7,58.3,13.0,0.0,11434
Terrigal,1275.0,1383.0,456.0,38.0,40.5,43.9,14.5,1.2,13805
Springfield (Central Coast - NSW),337.0,536.0,255.0,10.0,29.6,47.1,22.4,0.9,13623
North Gosford,315.0,391.0,227.0,13.0,33.3,41.3,24.0,1.4,12991
West Gosford,150.0,81.0,71.0,6.0,48.7,26.3,23.1,1.9,14244
Gosford,398.0,222.0,183.0,23.0,48.2,26.9,22.2,2.8,11722
East Gosford,439.0,401.0,213.0,10.0,41.3,37.7,20.0,0.9,11349
Point Frederick,236.0,157.0,100.0,10.0,46.9,31.2,19.9,2.0,13232
Kincumber,779.0,783.0,353.0,20.0,40.3,40.5,18.2,1.0,12141
Picketts Valley,17.0,37.0,7.0,0.0,27.9,60.7,11.5,0.0,13198
Narara,761.0,1014.0,435.0,22.0,34.1,45.4,19.5,1.0,12895
Niagara Park,234.0,356.0,140.0,13.0,31.5,47.9,18.8,1.7,12961
Mount Elliot (NSW),25.0,26.0,3.0,0.0,46.3,48.1,5.6,0.0,12757
Point Clare,383.0,458.0,174.0,6.0,37.5,44.9,17.0,0.6,13231
Tascott,195.0,190.0,53.0,7.0,43.8,42.7,11.9,1.6,13772
Koolewong,119.0,95.0,37.0,7.0,46.1,36.8,14.3,2.7,12185
Saratoga,417.0,538.0,153.0,7.0,37.4,48.3,13.7,0.6,13492
Davistown,307.0,271.0,107.0,6.0,44.4,39.2,15.5,0.9,11221
Yattalunga (NSW),63.0,78.0,20.0,0.0,39.1,48.4,12.4,0.0,14496
North Avoca,213.0,307.0,78.0,7.0,35.2,50.7,12.9,1.2,12980
Umina Beach,1672.0,1758.0,960.0,75.0,37.4,39.4,21.5,1.7,14007
Booker Bay,202.0,93.0,60.0,15.0,54.6,25.1,16.2,4.1,10477
Ettalong Beach,589.0,324.0,328.0,39.0,46.0,25.3,25.6,3.0,11445
Pearl Beach,98.0,31.0,16.0,0.0,67.6,21.4,11.0,0.0,13171
Wamberal,623.0,918.0,231.0,12.0,34.9,51.5,12.9,0.7,14122
Forresters Beach,339.0,362.0,112.0,3.0,41.5,44.4,13.7,0.4,11549
Tumbi Umbi,576.0,627.0,237.0,17.0,39.5,43.0,16.3,1.2,13962
Horsfield Bay,61.0,75.0,13.0,0.0,40.9,50.3,8.7,0.0,11941
Phegans Bay,37.0,57.0,16.0,0.0,33.6,51.8,14.5,0.0,13192
Woy Woy Bay,64.0,56.0,7.0,0.0,50.4,44.1,5.5,0.0,14426
Blackwall (NSW),202.0,186.0,112.0,11.0,39.5,36.4,21.9,2.2,10399
Wyoming,936.0,1081.0,527.0,34.0,36.3,41.9,20.4,1.3,14445
Bateau Bay,1220.0,1326.0,657.0,43.0,37.6,40.9,20.2,1.3,10227
Killarney Vale,602.0,771.0,499.0,32.0,31.6,40.5,26.2,1.7,12131
Blue Haven,525.0,763.0,428.0,16.0,30.3,44.1,24.7,0.9,10415
San Remo (NSW),378.0,436.0,348.0,9.0,32.3,37.2,29.7,0.8,13470
Doyalson,20.0,37.0,24.0,0.0,24.7,45.7,29.6,0.0,11286
Buff Point,407.0,357.0,177.0,9.0,42.8,37.6,18.6,0.9,10645
Budgewoi,390.0,288.0,237.0,17.0,41.8,30.9,25.4,1.8,10642
Halekulani,332.0,233.0,119.0,5.0,48.2,33.8,17.3,0.7,11830
Glenning Valley,208.0,287.0,74.0,4.0,36.3,50.1,12.9,0.7,11672
Berkeley Vale,739.0,1065.0,428.0,28.0,32.7,47.1,18.9,1.2,10304
Chittaway Point,94.0,126.0,34.0,4.0,36.4,48.8,13.2,1.6,10912
Chittaway Bay,188.0,251.0,115.0,4.0,33.7,45.0,20.6,0.7,10911
Kanwal,331.0,386.0,232.0,15.0,34.3,40.0,24.1,1.6,12067
Wyongah,185.0,238.0,128.0,9.0,33.0,42.5,22.9,1.6,14448
Tuggerawong,105.0,157.0,57.0,7.0,32.2,48.2,17.5,2.1,13951
Rocky Point (NSW),26.0,32.0,11.0,0.0,37.7,46.4,15.9,0.0,13388
Gorokan,849.0,747.0,547.0,51.0,38.7,34.0,24.9,2.3,11721
Charmhaven,222.0,261.0,155.0,15.0,34.0,40.0,23.7,2.3,10889
Lake Haven,364.0,296.0,242.0,13.0,39.8,32.3,26.4,1.4,12247
Jilliby,161.0,238.0,32.0,4.0,37.0,54.7,7.4,0.9,12027
Yarramalong,39.0,52.0,7.0,0.0,39.8,53.1,7.1,0.0,14475
Cedar Brush Creek,14.0,11.0,3.0,0.0,50.0,39.3,10.7,0.0,10867
Wyong Creek,54.0,49.0,10.0,0.0,47.8,43.4,8.8,0.0,14447
Dooralong,30.0,40.0,4.0,0.0,40.5,54.1,5.4,0.0,11276
Lake Munmorah,704.0,521.0,231.0,17.0,47.8,35.4,15.7,1.2,12253
Chain Valley Bay,395.0,198.0,103.0,5.0,56.3,28.2,14.7,0.7,10880
Kingfisher Shores,26.0,22.0,7.0,0.0,47.3,40.0,12.7,0.0,12146
Mannering Park,251.0,257.0,175.0,8.0,36.3,37.2,25.3,1.2,12477
Doyalson North,82.0,9.0,5.0,0.0,85.4,9.4,5.2,0.0,11287
Ourimbah,372.0,503.0,192.0,19.0,34.3,46.3,17.7,1.7,13103
Fountaindale,74.0,103.0,12.0,0.0,39.2,54.5,6.3,0.0,11554
Palm Grove (NSW),22.0,6.0,4.0,0.0,68.8,18.8,12.5,0.0,13133
Gwandalan,395.0,394.0,153.0,12.0,41.4,41.3,16.0,1.3,11824
Summerland Point,332.0,252.0,121.0,10.0,46.4,35.2,16.9,1.4,13690
Long Jetty,614.0,549.0,459.0,31.0,37.1,33.2,27.8,1.9,12378
Shelly Beach (NSW),148.0,157.0,50.0,3.0,41.3,43.9,14.0,0.8,13535
Blue Bay,139.0,72.0,65.0,6.0,49.3,25.5,23.0,2.1,10414
Toowoon Bay,69.0,32.0,31.0,0.0,52.3,24.2,23.5,0.0,13916
The Entrance North,163.0,130.0,85.0,4.0,42.7,34.0,22.3,1.0,13819
Magenta (NSW),45.0,14.0,10.0,0.0,65.2,20.3,14.5,0.0,12441
The Entrance,423.0,222.0,282.0,27.0,44.3,23.3,29.6,2.8,13818
Toukley,491.0,334.0,273.0,26.0,43.7,29.7,24.3,2.3,13925
Canton Beach,137.0,53.0,63.0,7.0,52.7,20.4,24.2,2.7,10798
Noraville,283.0,309.0,186.0,11.0,35.9,39.2,23.6,1.4,12974
Norah Head,171.0,122.0,44.0,7.0,49.7,35.5,12.8,2.0,12973
Kangy Angy,38.0,35.0,15.0,0.0,43.2,39.8,17.0,0.0,12064
Tuggerah,87.0,97.0,63.0,0.0,35.2,39.3,25.5,0.0,13950
Wyong,424.0,328.0,280.0,28.0,40.0,30.9,26.4,2.6,14446
Mardi,313.0,487.0,168.0,9.0,32.0,49.8,17.2,0.9,12488
Tacoma South,25.0,33.0,12.0,0.0,35.7,47.1,17.1,0.0,13725
Hamlyn Terrace,543.0,771.0,292.0,15.0,33.5,47.6,18.0,0.9,11843
Woongarrah,392.0,801.0,206.0,11.0,27.8,56.8,14.6,0.8,14415
Warnervale,62.0,84.0,34.0,0.0,34.4,46.7,18.9,0.0,14154
Wallarah,32.0,39.0,21.0,0.0,34.8,42.4,22.8,0.0,14109
Wadalba,199.0,398.0,139.0,5.0,26.9,53.7,18.8,0.7,14080
