,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Springvale (Wagga Wagga - NSW),0.0,39.0,201.0,227.0,9.0,0.0,8.2,42.2,47.7,1.9,13628
Lloyd,0.0,72.0,146.0,57.0,3.0,0.0,25.9,52.5,20.5,1.1,12365
Bourkelands,11.0,277.0,481.0,196.0,20.0,1.1,28.1,48.8,19.9,2.0,10523
Glenfield Park,60.0,714.0,822.0,290.0,58.0,3.1,36.7,42.3,14.9,3.0,11665
Tolland,146.0,498.0,398.0,165.0,88.0,11.3,38.5,30.7,12.7,6.8,13887
Mount Austin,197.0,603.0,474.0,177.0,87.0,12.8,39.2,30.8,11.5,5.7,12748
Turvey Park,66.0,493.0,478.0,181.0,38.0,5.3,39.3,38.1,14.4,3.0,13983
San Isidore,0.0,22.0,45.0,51.0,0.0,0.0,18.6,38.1,43.2,0.0,13469
Ashmont,181.0,598.0,398.0,167.0,78.0,12.7,42.1,28.0,11.7,5.5,10101
Wagga Wagga,345.0,1447.0,841.0,311.0,118.0,11.3,47.3,27.5,10.2,3.9,14083
Kapooka,0.0,14.0,25.0,3.0,3.0,0.0,31.1,55.6,6.7,6.7,12068
Moorong,0.0,9.0,19.0,17.0,0.0,0.0,20.0,42.2,37.8,0.0,12715
Ladysmith,0.0,28.0,51.0,29.0,15.0,0.0,22.8,41.5,23.6,12.2,12233
The Rock,5.0,129.0,174.0,112.0,20.0,1.1,29.3,39.5,25.5,4.5,13838
Forest Hill (NSW),16.0,209.0,313.0,132.0,27.0,2.3,30.0,44.9,18.9,3.9,11544
Collingullie,0.0,11.0,32.0,27.0,0.0,0.0,15.7,45.7,38.6,0.0,10976
Lockhart,24.0,159.0,140.0,78.0,23.0,5.7,37.5,33.0,18.4,5.4,12369
Pleasant Hills,0.0,10.0,13.0,20.0,0.0,0.0,23.3,30.2,46.5,0.0,13228
Ganmain,11.0,84.0,115.0,59.0,18.0,3.8,29.3,40.1,20.6,6.3,11585
Matong,0.0,14.0,19.0,16.0,3.0,0.0,26.9,36.5,30.8,5.8,12523
Yerong Creek,0.0,21.0,45.0,31.0,5.0,0.0,20.6,44.1,30.4,4.9,14508
Uranquinty,10.0,79.0,130.0,79.0,19.0,3.2,24.9,41.0,24.9,6.0,14055
Currawarna,0.0,14.0,28.0,19.0,5.0,0.0,21.2,42.4,28.8,7.6,11178
Oura,3.0,8.0,32.0,22.0,0.0,4.6,12.3,49.2,33.8,0.0,13102
Eunanoreenya,0.0,8.0,15.0,28.0,0.0,0.0,15.7,29.4,54.9,0.0,11457
Gobbagombalin,0.0,21.0,84.0,41.0,12.0,0.0,13.3,53.2,25.9,7.6,11689
Brucedale,0.0,4.0,22.0,27.0,0.0,0.0,7.5,41.5,50.9,0.0,10613
Downside,0.0,10.0,16.0,18.0,0.0,0.0,22.7,36.4,40.9,0.0,11285
Euberta,0.0,0.0,16.0,20.0,0.0,0.0,0.0,44.4,55.6,0.0,11451
Marrar,0.0,20.0,47.0,54.0,3.0,0.0,16.1,37.9,43.5,2.4,12503
Coolamon,25.0,219.0,260.0,188.0,44.0,3.4,29.8,35.3,25.5,6.0,11025
Tarcutta,0.0,32.0,50.0,55.0,15.0,0.0,21.1,32.9,36.2,9.9,13763
Gregadoo,0.0,3.0,39.0,29.0,0.0,0.0,4.2,54.9,40.8,0.0,11773
Big Springs,0.0,8.0,13.0,19.0,3.0,0.0,18.6,30.2,44.2,7.0,10345
Mangoplah,0.0,11.0,30.0,26.0,6.0,0.0,15.1,41.1,35.6,8.2,12470
Gelston Park,0.0,0.0,20.0,21.0,0.0,0.0,0.0,48.8,51.2,0.0,11597
Berry,47.0,400.0,360.0,197.0,31.0,4.5,38.6,34.8,19.0,3.0,10322
Kangaroo Valley,5.0,103.0,134.0,58.0,15.0,1.6,32.7,42.5,18.4,4.8,12061
Barrengarry,0.0,14.0,25.0,11.0,0.0,0.0,28.0,50.0,22.0,0.0,10213
Upper Kangaroo River,0.0,12.0,21.0,8.0,0.0,0.0,29.3,51.2,19.5,0.0,14030
Broughton Vale,0.0,13.0,30.0,19.0,0.0,0.0,21.0,48.4,30.6,0.0,10606
Bellawongarah,0.0,4.0,19.0,16.0,0.0,0.0,10.3,48.7,41.0,0.0,10267
Beaumont (NSW),0.0,13.0,18.0,16.0,0.0,0.0,27.7,38.3,34.0,0.0,10242
Far Meadow,0.0,18.0,26.0,29.0,7.0,0.0,22.5,32.5,36.2,8.8,11488
Coolangatta (NSW),0.0,16.0,46.0,36.0,3.0,0.0,15.8,45.5,35.6,3.0,11026
Jaspers Brush,0.0,28.0,55.0,39.0,4.0,0.0,22.2,43.7,31.0,3.2,12002
Shoalhaven Heads,78.0,634.0,423.0,152.0,75.0,5.7,46.5,31.1,11.2,5.5,13540
Callala Bay,21.0,301.0,327.0,155.0,25.0,2.5,36.3,39.4,18.7,3.0,10757
Callala Beach,8.0,137.0,103.0,47.0,15.0,2.6,44.2,33.2,15.2,4.8,10758
Currarong,5.0,73.0,69.0,23.0,10.0,2.8,40.6,38.3,12.8,5.6,11176
Myola (NSW),0.0,13.0,19.0,3.0,7.0,0.0,31.0,45.2,7.1,16.7,12878
Orient Point,11.0,115.0,73.0,30.0,14.0,4.5,47.3,30.0,12.3,5.8,13096
Culburra Beach,64.0,432.0,441.0,146.0,66.0,5.6,37.6,38.4,12.7,5.7,11146
Greenwell Point,26.0,209.0,186.0,77.0,30.0,4.9,39.6,35.2,14.6,5.7,11769
Numbaa,0.0,14.0,26.0,5.0,0.0,0.0,31.1,57.8,11.1,0.0,13035
Huskisson,32.0,176.0,97.0,41.0,17.0,8.8,48.5,26.7,11.3,4.7,11966
Vincentia,46.0,513.0,538.0,202.0,54.0,3.4,37.9,39.8,14.9,4.0,14075
Hyams Beach,3.0,23.0,21.0,3.0,0.0,6.0,46.0,42.0,6.0,0.0,11967
Bomaderry,207.0,1158.0,853.0,362.0,122.0,7.7,42.9,31.6,13.4,4.5,10453
Cambewarra,0.0,11.0,29.0,33.0,0.0,0.0,15.1,39.7,45.2,0.0,10763
North Nowra,95.0,772.0,801.0,350.0,86.0,4.5,36.7,38.1,16.6,4.1,13000
Bangalee (NSW),3.0,48.0,95.0,83.0,3.0,1.3,20.7,40.9,35.8,1.3,10173
Meroo Meadow,0.0,30.0,76.0,46.0,8.0,0.0,18.8,47.5,28.8,5.0,12579
Cambewarra Village,3.0,75.0,185.0,117.0,7.0,0.8,19.4,47.8,30.2,1.8,10764
Tapitallee,0.0,33.0,92.0,71.0,3.0,0.0,16.6,46.2,35.7,1.5,13755
Worrigee,32.0,511.0,690.0,362.0,53.0,1.9,31.0,41.9,22.0,3.2,14423
Nowra,477.0,1598.0,947.0,384.0,219.0,13.2,44.1,26.1,10.6,6.0,13028
Nowra Hill,3.0,44.0,119.0,163.0,18.0,0.9,12.7,34.3,47.0,5.2,13029
West Nowra,12.0,187.0,203.0,83.0,20.0,2.4,37.0,40.2,16.4,4.0,14248
Terara,8.0,47.0,37.0,10.0,9.0,7.2,42.3,33.3,9.0,8.1,13795
South Nowra,21.0,217.0,250.0,116.0,22.0,3.4,34.7,39.9,18.5,3.5,13594
St Georges Basin,32.0,422.0,404.0,201.0,32.0,2.9,38.7,37.0,18.4,2.9,13636
Worrowing Heights,12.0,142.0,39.0,11.0,15.0,5.5,64.8,17.8,5.0,6.8,14424
Basin View,7.0,185.0,200.0,120.0,43.0,1.3,33.3,36.0,21.6,7.7,10223
Sanctuary Point,130.0,1302.0,956.0,353.0,152.0,4.5,45.0,33.0,12.2,5.3,13472
Erowal Bay,8.0,82.0,108.0,42.0,10.0,3.2,32.8,43.2,16.8,4.0,11436
Wrights Beach,0.0,16.0,22.0,7.0,0.0,0.0,35.6,48.9,15.6,0.0,14428
Old Erowal Bay,12.0,162.0,138.0,64.0,27.0,3.0,40.2,34.2,15.9,6.7,13075
Sussex Inlet,105.0,712.0,497.0,182.0,90.0,6.6,44.9,31.3,11.5,5.7,13700
Swanhaven,0.0,42.0,23.0,9.0,3.0,0.0,54.5,29.9,11.7,3.9,13709
Berrara,3.0,41.0,37.0,20.0,8.0,2.8,37.6,33.9,18.3,7.3,10313
Cudmirrah,3.0,50.0,46.0,12.0,3.0,2.6,43.9,40.4,10.5,2.6,11145
Falls Creek (NSW),0.0,50.0,128.0,122.0,10.0,0.0,16.1,41.3,39.4,3.2,11487
Tomerong,3.0,86.0,157.0,103.0,7.0,0.8,24.2,44.1,28.9,2.0,13894
Wandandian,0.0,17.0,40.0,37.0,3.0,0.0,17.5,41.2,38.1,3.1,14127
Woollamia,3.0,52.0,97.0,60.0,5.0,1.4,24.0,44.7,27.6,2.3,14405
Parma,0.0,10.0,26.0,17.0,3.0,0.0,17.9,46.4,30.4,5.4,13155
Ulladulla,185.0,1190.0,897.0,320.0,139.0,6.8,43.6,32.8,11.7,5.1,14003
Kings Point,3.0,78.0,90.0,42.0,4.0,1.4,35.9,41.5,19.4,1.8,12153
Burrill Lake,19.0,241.0,226.0,72.0,37.0,3.2,40.5,38.0,12.1,6.2,10712
Dolphin Point,0.0,35.0,31.0,10.0,0.0,0.0,46.1,40.8,13.2,0.0,11269
Milton (NSW),23.0,208.0,193.0,108.0,34.0,4.1,36.7,34.1,19.1,6.0,12630
Mollymook Beach,34.0,424.0,432.0,113.0,31.0,3.3,41.0,41.8,10.9,3.0,12670
Narrawallee,19.0,207.0,183.0,69.0,22.0,3.8,41.4,36.6,13.8,4.4,12909
Mollymook,17.0,186.0,153.0,60.0,19.0,3.9,42.8,35.2,13.8,4.4,12669
Manyana,4.0,85.0,96.0,32.0,7.0,1.8,37.9,42.9,14.3,3.1,12482
Conjola,0.0,5.0,14.0,17.0,3.0,0.0,12.8,35.9,43.6,7.7,11011
Fishermans Paradise,3.0,82.0,74.0,23.0,6.0,1.6,43.6,39.4,12.2,3.2,11523
Lake Tabourie,12.0,103.0,100.0,34.0,8.0,4.7,40.1,38.9,13.2,3.1,12254
Conjola Park,0.0,50.0,53.0,25.0,9.0,0.0,36.5,38.7,18.2,6.6,11012
Lake Conjola,0.0,88.0,76.0,20.0,11.0,0.0,45.1,39.0,10.3,5.6,12244
Yatte Yattah,0.0,9.0,25.0,23.0,0.0,0.0,15.8,43.9,40.4,0.0,14497
Little Forest,0.0,17.0,26.0,14.0,4.0,0.0,27.9,42.6,23.0,6.6,12351
Croobyar,0.0,12.0,28.0,19.0,0.0,0.0,20.3,47.5,32.2,0.0,11121
Morton,0.0,19.0,34.0,20.0,6.0,0.0,24.1,43.0,25.3,7.6,12730
Woodstock (Shoalhaven - NSW),0.0,13.0,40.0,27.0,0.0,0.0,16.2,50.0,33.8,0.0,14396
Bawley Point,0.0,113.0,117.0,46.0,9.0,0.0,39.6,41.1,16.1,3.2,10235
Kioloa,4.0,57.0,43.0,16.0,11.0,3.1,43.5,32.8,12.2,8.4,12165
Termeil,0.0,13.0,41.0,33.0,7.0,0.0,13.8,43.6,35.1,7.4,13797
Bowral,179.0,1678.0,1466.0,645.0,141.0,4.4,40.8,35.7,15.7,3.4,10536
Burradoo,18.0,255.0,444.0,193.0,33.0,1.9,27.0,47.1,20.5,3.5,10701
Woodlands (Wingecarribee - NSW),0.0,14.0,40.0,35.0,4.0,0.0,15.1,43.0,37.6,4.3,14388
Balmoral (Wingecarribee - NSW),3.0,31.0,58.0,62.0,0.0,1.9,20.1,37.7,40.3,0.0,10167
Hill Top (Wingecarribee - NSW),12.0,210.0,346.0,258.0,38.0,1.4,24.3,40.0,29.9,4.4,11905
Colo Vale,7.0,117.0,201.0,190.0,11.0,1.3,22.2,38.2,36.1,2.1,10985
Alpine,0.0,0.0,19.0,20.0,4.0,0.0,0.0,44.2,46.5,9.3,10044
Aylmerton,0.0,18.0,33.0,22.0,0.0,0.0,24.7,45.2,30.1,0.0,10119
Mittagong,139.0,859.0,766.0,343.0,94.0,6.3,39.0,34.8,15.6,4.3,12653
Willow Vale (Wingecarribee - NSW),0.0,57.0,108.0,64.0,3.0,0.0,24.6,46.6,27.6,1.3,14307
Renwick,3.0,50.0,106.0,38.0,3.0,1.5,25.0,53.0,19.0,1.5,13350
Balaclava (NSW),0.0,50.0,60.0,48.0,13.0,0.0,29.2,35.1,28.1,7.6,10143
Welby,11.0,106.0,95.0,57.0,14.0,3.9,37.5,33.6,20.1,4.9,14219
Glenquarry,0.0,10.0,29.0,30.0,0.0,0.0,14.5,42.0,43.5,0.0,11674
Braemar,3.0,38.0,78.0,30.0,3.0,2.0,25.0,51.3,19.7,2.0,10545
Moss Vale,185.0,1182.0,1120.0,585.0,122.0,5.8,37.0,35.1,18.3,3.8,12739
Sutton Forest,3.0,38.0,56.0,76.0,7.0,1.7,21.1,31.1,42.2,3.9,13703
Berrima,0.0,59.0,113.0,70.0,9.0,0.0,23.5,45.0,27.9,3.6,10320
New Berrima,14.0,70.0,85.0,43.0,7.0,6.4,32.0,38.8,19.6,3.2,12938
Robertson (NSW),12.0,184.0,279.0,160.0,20.0,1.8,28.1,42.6,24.4,3.1,13374
Kangaloon,0.0,17.0,20.0,16.0,0.0,0.0,32.1,37.7,30.2,0.0,12058
Wildes Meadow,0.0,18.0,54.0,26.0,3.0,0.0,17.8,53.5,25.7,3.0,14292
Burrawang,0.0,41.0,68.0,27.0,7.0,0.0,28.7,47.6,18.9,4.9,10708
Avoca (NSW),0.0,17.0,31.0,26.0,0.0,0.0,23.0,41.9,35.1,0.0,10113
Fitzroy Falls,0.0,11.0,29.0,29.0,0.0,0.0,15.9,42.0,42.0,0.0,11529
Bundanoon (NSW),22.0,461.0,401.0,184.0,35.0,2.0,41.8,36.4,16.7,3.2,10670
Wingello,3.0,61.0,92.0,51.0,12.0,1.4,27.9,42.0,23.3,5.5,14330
Exeter (NSW),3.0,115.0,180.0,76.0,6.0,0.8,30.3,47.4,20.0,1.6,11475
High Range,0.0,10.0,55.0,55.0,7.0,0.0,7.9,43.3,43.3,5.5,11900
Medway,0.0,8.0,21.0,16.0,3.0,0.0,16.7,43.8,33.3,6.2,12555
Joadja,0.0,9.0,12.0,19.0,0.0,0.0,22.5,30.0,47.5,0.0,12035
Canyonleigh,0.0,22.0,58.0,51.0,12.0,0.0,15.4,40.6,35.7,8.4,10799
Penrose,0.0,27.0,35.0,30.0,4.0,0.0,28.1,36.5,31.2,4.2,13185
Baulkham Hills,370.0,3692.0,5374.0,2393.0,217.0,3.1,30.6,44.6,19.9,1.8,10233
Bella Vista,21.0,354.0,1009.0,762.0,30.0,1.0,16.3,46.4,35.0,1.4,10263
Glenhaven,43.0,502.0,863.0,684.0,35.0,2.0,23.6,40.6,32.2,1.6,11667
Castle Hill (NSW),543.0,3470.0,5436.0,2908.0,279.0,4.3,27.5,43.0,23.0,2.2,10847
West Pennant Hills,97.0,1078.0,2293.0,1512.0,92.0,1.9,21.3,45.2,29.8,1.8,14249
Cherrybrook,143.0,1525.0,2708.0,1343.0,76.0,2.5,26.3,46.7,23.2,1.3,10898
Kellyville,97.0,1550.0,4028.0,2244.0,111.0,1.2,19.3,50.2,27.9,1.4,12088
Kenthurst,27.0,184.0,471.0,713.0,42.0,1.9,12.8,32.8,49.6,2.9,12100
Glenorie,6.0,175.0,340.0,446.0,32.0,0.6,17.5,34.0,44.6,3.2,11673
Maroota,3.0,27.0,62.0,75.0,12.0,1.7,15.1,34.6,41.9,6.7,12500
Canoelands,0.0,14.0,14.0,26.0,3.0,0.0,24.6,24.6,45.6,5.3,10794
Cattai,3.0,34.0,64.0,123.0,5.0,1.3,14.8,27.9,53.7,2.2,10859
South Maroota,0.0,28.0,59.0,66.0,6.0,0.0,17.6,37.1,41.5,3.8,13592
Dural (Hornsby - NSW),65.0,551.0,899.0,763.0,50.0,2.8,23.7,38.6,32.8,2.1,11328
Sackville North,0.0,8.0,31.0,41.0,3.0,0.0,9.6,37.3,49.4,3.6,13459
Lower Portland,0.0,29.0,70.0,70.0,6.0,0.0,16.6,40.0,40.0,3.4,12412
Middle Dural,3.0,34.0,99.0,143.0,6.0,1.1,11.9,34.7,50.2,2.1,12603
Annangrove,3.0,32.0,129.0,207.0,4.0,0.8,8.5,34.4,55.2,1.1,10062
Galston,31.0,252.0,357.0,362.0,28.0,3.0,24.5,34.7,35.1,2.7,11582
Arcadia (NSW),3.0,66.0,149.0,186.0,12.0,0.7,15.9,35.8,44.7,2.9,10072
Fiddletown,0.0,7.0,30.0,34.0,0.0,0.0,9.9,42.3,47.9,0.0,11513
Berowra Waters,0.0,15.0,7.0,5.0,3.0,0.0,50.0,23.3,16.7,10.0,10311
Berrilee,3.0,6.0,17.0,32.0,0.0,5.2,10.3,29.3,55.2,0.0,10319
Bilpin,3.0,48.0,89.0,87.0,5.0,1.3,20.7,38.4,37.5,2.2,10358
Colo Heights,0.0,28.0,34.0,28.0,3.0,0.0,30.1,36.6,30.1,3.2,10984
Lower Macdonald,4.0,41.0,42.0,26.0,3.0,3.4,35.3,36.2,22.4,2.6,12408
Cumberland Reach,0.0,15.0,20.0,26.0,0.0,0.0,24.6,32.8,42.6,0.0,11156
St Albans (NSW),0.0,16.0,25.0,8.0,3.0,0.0,30.8,48.1,15.4,5.8,13630
Bowen Mountain,7.0,105.0,240.0,142.0,19.0,1.4,20.5,46.8,27.7,3.7,10528
Grose Vale,0.0,54.0,136.0,176.0,5.0,0.0,14.6,36.7,47.4,1.3,11785
Grose Wold,0.0,16.0,68.0,89.0,4.0,0.0,9.0,38.4,50.3,2.3,11786
Kurrajong,12.0,172.0,396.0,378.0,23.0,1.2,17.5,40.4,38.5,2.3,12218
Kurrajong Hills,0.0,38.0,67.0,99.0,9.0,0.0,17.8,31.5,46.5,4.2,12220
Kurrajong Heights,4.0,104.0,195.0,139.0,7.0,0.9,23.2,43.4,31.0,1.6,12219
Kurmond,0.0,66.0,106.0,99.0,10.0,0.0,23.5,37.7,35.2,3.6,12215
The Slopes,0.0,14.0,36.0,46.0,3.0,0.0,14.1,36.4,46.5,3.0,13842
East Kurrajong,6.0,70.0,225.0,301.0,18.0,1.0,11.3,36.3,48.5,2.9,11356
Wilberforce (NSW),38.0,160.0,361.0,365.0,26.0,4.0,16.8,38.0,38.4,2.7,14288
Freemans Reach,7.0,110.0,252.0,244.0,14.0,1.1,17.5,40.2,38.9,2.2,11564
Sackville,0.0,13.0,34.0,36.0,5.0,0.0,14.8,38.6,40.9,5.7,13458
Ebenezer (NSW),7.0,44.0,105.0,130.0,14.0,2.3,14.7,35.0,43.3,4.7,11371
Glossodia,10.0,140.0,375.0,329.0,28.0,1.1,15.9,42.5,37.3,3.2,11684
Blaxlands Ridge,0.0,16.0,41.0,69.0,4.0,0.0,12.3,31.5,53.1,3.1,10409
Tennyson (NSW),0.0,18.0,45.0,56.0,3.0,0.0,14.8,36.9,45.9,2.5,13789
Vineyard,39.0,100.0,106.0,119.0,39.0,9.7,24.8,26.3,29.5,9.7,14076
McGraths Hill,10.0,185.0,375.0,253.0,19.0,1.2,22.0,44.5,30.0,2.3,12542
Maraylya,0.0,47.0,127.0,169.0,13.0,0.0,13.2,35.7,47.5,3.7,12484
Oakville,4.0,61.0,188.0,305.0,20.0,0.7,10.6,32.5,52.8,3.5,13060
Pitt Town,8.0,132.0,411.0,338.0,20.0,0.9,14.5,45.2,37.2,2.2,13226
Pitt Town Bottoms,0.0,6.0,3.0,10.0,0.0,0.0,31.6,15.8,52.6,0.0,13227
Rouse Hill,27.0,492.0,1042.0,642.0,95.0,1.2,21.4,45.3,27.9,4.1,13429
Beaumont Hills,18.0,418.0,1261.0,727.0,37.0,0.7,17.0,51.2,29.5,1.5,10243
Nelson (The Hills Shire - NSW),0.0,24.0,38.0,77.0,8.0,0.0,16.3,25.9,52.4,5.4,12922
Box Hill (NSW),8.0,45.0,82.0,122.0,14.0,3.0,16.6,30.3,45.0,5.2,10539
Blacktown,1437.0,5877.0,4730.0,2222.0,645.0,9.6,39.4,31.7,14.9,4.3,10397
Kings Park (NSW),32.0,382.0,497.0,224.0,23.0,2.8,33.0,42.9,19.3,2.0,12150
Acacia Gardens,11.0,296.0,515.0,269.0,20.0,1.0,26.6,46.4,24.2,1.8,10014
Quakers Hill,269.0,2504.0,3574.0,1657.0,192.0,3.3,30.6,43.6,20.2,2.3,13286
Marayong,296.0,904.0,791.0,436.0,111.0,11.7,35.6,31.2,17.2,4.4,12485
Woodcroft (NSW),55.0,480.0,797.0,453.0,42.0,3.0,26.3,43.6,24.8,2.3,14381
Bungarribee,3.0,185.0,339.0,145.0,10.0,0.4,27.1,49.7,21.3,1.5,10682
Doonside,467.0,1484.0,1292.0,709.0,200.0,11.2,35.7,31.1,17.1,4.8,11275
Seven Hills (NSW),589.0,2169.0,2253.0,1105.0,224.0,9.3,34.2,35.5,17.4,3.5,13518
Lalor Park,382.0,952.0,865.0,412.0,145.0,13.9,34.5,31.4,14.9,5.3,12261
Kings Langley,86.0,717.0,1348.0,809.0,70.0,2.8,23.7,44.5,26.7,2.3,12149
Toongabbie (NSW),326.0,1750.0,1641.0,672.0,151.0,7.2,38.5,36.1,14.8,3.3,13907
Prospect (NSW),50.0,372.0,612.0,391.0,43.0,3.4,25.3,41.7,26.6,2.9,13266
Glenwood (NSW),84.0,964.0,2161.0,1127.0,77.0,1.9,21.8,49.0,25.5,1.7,11682
Parklea,6.0,154.0,325.0,162.0,12.0,0.9,23.4,49.3,24.6,1.8,13153
Stanhope Gardens,77.0,834.0,1289.0,525.0,67.0,2.8,29.9,46.2,18.8,2.4,13649
Kellyville Ridge,33.0,625.0,1533.0,652.0,37.0,1.1,21.7,53.2,22.6,1.3,12089
The Ponds,34.0,700.0,1839.0,635.0,65.0,1.0,21.4,56.2,19.4,2.0,13835
Riverstone,137.0,683.0,897.0,516.0,78.0,5.9,29.6,38.8,22.3,3.4,13368
Schofields,43.0,460.0,639.0,349.0,41.0,2.8,30.0,41.7,22.8,2.7,13502
Shanes Park,3.0,24.0,34.0,51.0,0.0,2.7,21.4,30.4,45.5,0.0,13524
Marsden Park,18.0,130.0,97.0,79.0,25.0,5.2,37.2,27.8,22.6,7.2,12505
Colebee,0.0,89.0,290.0,146.0,10.0,0.0,16.6,54.2,27.3,1.9,10965
Bidwill (NSW),244.0,550.0,279.0,116.0,84.0,19.2,43.2,21.9,9.1,6.6,10340
Hebersham,155.0,575.0,507.0,299.0,86.0,9.6,35.5,31.3,18.4,5.3,11886
Dharruk,74.0,297.0,272.0,143.0,46.0,8.9,35.7,32.7,17.2,5.5,11248
Blackett,152.0,428.0,272.0,128.0,59.0,14.6,41.2,26.2,12.3,5.7,10392
Emerton,115.0,277.0,166.0,93.0,46.0,16.5,39.7,23.8,13.3,6.6,11413
Glendenning,34.0,408.0,678.0,283.0,28.0,2.4,28.5,47.4,19.8,2.0,11659
Dean Park,42.0,297.0,356.0,212.0,32.0,4.5,31.6,37.9,22.6,3.4,11224
Plumpton (NSW),87.0,639.0,1023.0,626.0,76.0,3.5,26.1,41.7,25.5,3.1,13230
Oakhurst (NSW),57.0,504.0,784.0,506.0,49.0,3.0,26.5,41.3,26.6,2.6,13058
Hassall Grove,34.0,329.0,495.0,325.0,33.0,2.8,27.1,40.7,26.7,2.7,11866
Shalvey,126.0,359.0,306.0,147.0,71.0,12.5,35.6,30.3,14.6,7.0,13523
Willmot,110.0,298.0,194.0,91.0,34.0,15.1,41.0,26.7,12.5,4.7,14302
Tregear,197.0,461.0,284.0,135.0,104.0,16.7,39.0,24.0,11.4,8.8,13934
Lethbridge Park,247.0,572.0,404.0,175.0,117.0,16.3,37.8,26.7,11.6,7.7,12307
Ropes Crossing,50.0,639.0,884.0,230.0,28.0,2.7,34.9,48.3,12.6,1.5,13397
Mount Druitt,561.0,2105.0,1402.0,648.0,228.0,11.3,42.6,28.4,13.1,4.6,12756
Whalan,300.0,728.0,494.0,227.0,116.0,16.1,39.0,26.5,12.2,6.2,14266
Eastern Creek,15.0,68.0,99.0,59.0,8.0,6.0,27.3,39.8,23.7,3.2,11366
Minchinbury,51.0,364.0,603.0,528.0,50.0,3.2,22.8,37.8,33.1,3.1,12633
Rooty Hill,236.0,1296.0,1544.0,847.0,133.0,5.8,32.0,38.1,20.9,3.3,13395
Botany,283.0,1336.0,1415.0,492.0,127.0,7.7,36.6,38.7,13.5,3.5,10517
Mascot,822.0,2428.0,1414.0,382.0,154.0,15.8,46.7,27.2,7.3,3.0,12519
Eastlakes,622.0,1112.0,509.0,194.0,150.0,24.0,43.0,19.7,7.5,5.8,11368
Rosebery (NSW),538.0,1815.0,968.0,291.0,115.0,14.4,48.7,26.0,7.8,3.1,13405
Pagewood,139.0,422.0,426.0,219.0,51.0,11.1,33.6,33.9,17.4,4.1,13125
Daceyville,198.0,202.0,68.0,24.0,51.0,36.5,37.2,12.5,4.4,9.4,11185
Hillsdale,259.0,1019.0,482.0,122.0,72.0,13.3,52.1,24.7,6.2,3.7,11911
Eastgardens,40.0,103.0,92.0,39.0,23.0,13.5,34.7,31.0,13.1,7.7,11367
Matraville,399.0,1153.0,1145.0,494.0,133.0,12.0,34.7,34.4,14.9,4.0,12524
Marrickville,1835.0,4804.0,2109.0,656.0,359.0,18.8,49.2,21.6,6.7,3.7,12504
Petersham,648.0,1537.0,703.0,163.0,95.0,20.6,48.9,22.3,5.2,3.0,13190
Dulwich Hill,890.0,2767.0,1315.0,322.0,183.0,16.2,50.5,24.0,5.9,3.3,11303
Newtown (NSW),1932.0,3003.0,811.0,157.0,205.0,31.6,49.2,13.3,2.6,3.4,12960
Lewisham (NSW),236.0,620.0,281.0,53.0,34.0,19.3,50.7,23.0,4.3,2.8,12313
Stanmore (NSW),528.0,1483.0,713.0,201.0,112.0,17.4,48.8,23.5,6.6,3.7,13650
Camperdown (NSW),1672.0,2012.0,563.0,101.0,117.0,37.4,45.1,12.6,2.3,2.6,10781
Enmore (Inner West - NSW),361.0,734.0,311.0,70.0,61.0,23.5,47.8,20.2,4.6,4.0,11425
St Peters (NSW),167.0,637.0,289.0,76.0,40.0,13.8,52.7,23.9,6.3,3.3,13644
Sydenham (NSW),85.0,188.0,88.0,19.0,24.0,21.0,46.5,21.8,4.7,5.9,13714
Tempe,186.0,565.0,337.0,93.0,45.0,15.2,46.1,27.5,7.6,3.7,13785
Darlinghurst,2227.0,2068.0,475.0,63.0,203.0,44.2,41.1,9.4,1.3,4.0,11212
Erskineville,763.0,1961.0,556.0,61.0,103.0,22.2,56.9,16.1,1.8,3.0,11439
Alexandria,669.0,2003.0,717.0,106.0,91.0,18.7,55.9,20.0,3.0,2.5,10030
Glebe (NSW),1456.0,2121.0,730.0,162.0,309.0,30.5,44.4,15.3,3.4,6.5,11641
Forest Lodge,519.0,912.0,317.0,65.0,65.0,27.6,48.6,16.9,3.5,3.5,11546
Annandale (NSW),512.0,1743.0,1019.0,224.0,107.0,14.2,48.3,28.3,6.2,3.0,10061
Darlington (Sydney - NSW),625.0,362.0,116.0,22.0,43.0,53.5,31.0,9.9,1.9,3.7,11214
Potts Point,1986.0,1273.0,203.0,33.0,114.0,55.0,35.3,5.6,0.9,3.2,13256
Elizabeth Bay,1269.0,1222.0,221.0,34.0,108.0,44.5,42.8,7.7,1.2,3.8,11395
Sydney,3363.0,1948.0,337.0,41.0,333.0,55.8,32.3,5.6,0.7,5.5,13715
Woolloomooloo,835.0,761.0,179.0,35.0,73.0,44.3,40.4,9.5,1.9,3.9,14406
Rushcutters Bay,595.0,526.0,99.0,21.0,48.0,46.2,40.8,7.7,1.6,3.7,13444
Pyrmont,1554.0,2739.0,768.0,103.0,196.0,29.0,51.1,14.3,1.9,3.7,13284
