,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Burrangong,0.0,0.0,10.0,29.0,52.0,3.0,3.5,2.3,0.0,0.0,10.6,30.9,55.3,3.2,--,--,10706
Wyangala,0.0,4.0,25.0,30.0,18.0,0.0,2.8,1.9,0.0,5.2,32.5,39.0,23.4,0.0,--,--,14434
Wombat,0.0,4.0,12.0,36.0,33.0,3.0,3.2,2.4,0.0,4.5,13.6,40.9,37.5,3.4,--,--,14364
Cunningar,0.0,3.0,3.0,28.0,19.0,3.0,3.4,2.2,0.0,5.4,5.4,50.0,33.9,5.4,--,--,11164
Harden,6.0,17.0,172.0,412.0,186.0,45.0,3.0,2.2,0.7,2.0,20.5,49.2,22.2,5.4,--,--,11851
Boorowa,4.0,30.0,103.0,283.0,228.0,17.0,3.2,2.3,0.6,4.5,15.5,42.6,34.3,2.6,--,--,10503
Murrumburrah,0.0,0.0,5.0,18.0,18.0,0.0,3.2,2.5,0.0,0.0,12.2,43.9,43.9,0.0,--,--,12863
Frogmore,0.0,0.0,6.0,16.0,34.0,4.0,3.7,2.1,0.0,0.0,10.0,26.7,56.7,6.7,--,--,11571
Maimuru,0.0,0.0,6.0,21.0,19.0,0.0,3.4,2.7,0.0,0.0,13.0,45.7,41.3,0.0,--,--,12444
Bendick Murrell,0.0,0.0,16.0,18.0,22.0,4.0,3.2,2.3,0.0,0.0,26.7,30.0,36.7,6.7,--,--,10290
Koorawatha,0.0,10.0,46.0,67.0,36.0,8.0,2.9,2.2,0.0,6.0,27.5,40.1,21.6,4.8,--,--,12192
Monteagle,3.0,0.0,11.0,35.0,32.0,0.0,3.4,2.6,3.7,0.0,13.6,43.2,39.5,0.0,--,--,12683
Murringo,5.0,6.0,19.0,58.0,59.0,0.0,3.3,2.4,3.4,4.1,12.9,39.5,40.1,0.0,--,--,12858
Thuddungra,0.0,0.0,4.0,11.0,24.0,3.0,3.9,2.5,0.0,0.0,9.5,26.2,57.1,7.1,--,--,13853
Bribbaree,0.0,0.0,7.0,29.0,20.0,0.0,3.3,2.0,0.0,0.0,12.5,51.8,35.7,0.0,--,--,10566
Avoca Beach,0.0,39.0,180.0,536.0,748.0,23.0,3.5,2.8,0.0,2.6,11.8,35.1,49.0,1.5,--,--,10114
Copacabana,0.0,17.0,91.0,351.0,457.0,18.0,3.5,2.8,0.0,1.8,9.7,37.6,48.9,1.9,--,--,11056
Killcare Heights,0.0,5.0,20.0,96.0,156.0,3.0,3.6,2.5,0.0,1.8,7.1,34.3,55.7,1.1,--,--,12134
Macmasters Beach,0.0,11.0,52.0,146.0,234.0,7.0,3.6,2.7,0.0,2.4,11.6,32.4,52.0,1.6,--,--,12432
Empire Bay,0.0,28.0,115.0,336.0,328.0,19.0,3.4,2.8,0.0,3.4,13.9,40.7,39.7,2.3,--,--,11415
Wagstaffe,0.0,3.0,13.0,31.0,39.0,0.0,3.4,2.2,0.0,3.5,15.1,36.0,45.3,0.0,--,--,14084
St Huberts Island,0.0,3.0,10.0,177.0,220.0,12.0,3.6,2.4,0.0,0.7,2.4,41.9,52.1,2.8,--,--,13638
Killcare,0.0,0.0,39.0,77.0,57.0,0.0,3.2,2.2,0.0,0.0,22.5,44.5,32.9,0.0,--,--,12133
Bensville,0.0,3.0,32.0,236.0,519.0,6.0,3.8,3.1,0.0,0.4,4.0,29.6,65.2,0.8,--,--,10297
Daleys Point,0.0,18.0,112.0,80.0,96.0,12.0,2.9,2.1,0.0,5.7,35.2,25.2,30.2,3.8,--,--,11189
Pretty Beach (Central Coast - NSW),0.0,0.0,26.0,60.0,42.0,0.0,3.1,2.4,0.0,0.0,20.3,46.9,32.8,0.0,--,--,13261
Hardys Bay,0.0,0.0,14.0,38.0,30.0,3.0,3.3,2.2,0.0,0.0,16.5,44.7,35.3,3.5,--,--,11852
Kincumber South,0.0,20.0,227.0,98.0,42.0,12.0,2.4,1.6,0.0,5.0,56.9,24.6,10.5,3.0,--,--,12142
Somersby,3.0,6.0,50.0,103.0,159.0,8.0,3.4,2.8,0.9,1.8,15.2,31.3,48.3,2.4,--,--,13571
Calga,0.0,0.0,10.0,16.0,16.0,0.0,3.1,2.5,0.0,0.0,23.8,38.1,38.1,0.0,--,--,10752
Woy Woy,16.0,293.0,1216.0,2074.0,718.0,176.0,2.8,2.2,0.4,6.5,27.1,46.2,16.0,3.9,--,--,14425
Patonga,0.0,7.0,31.0,37.0,24.0,0.0,2.9,1.7,0.0,7.1,31.3,37.4,24.2,0.0,--,--,13160
Mooney Mooney,0.0,4.0,22.0,51.0,42.0,3.0,3.1,2.5,0.0,3.3,18.0,41.8,34.4,2.5,--,--,12704
Kariong,0.0,8.0,47.0,944.0,953.0,25.0,3.6,3.0,0.0,0.4,2.4,47.7,48.2,1.3,--,--,12074
Peats Ridge,0.0,6.0,21.0,36.0,51.0,3.0,3.3,3.0,0.0,5.1,17.9,30.8,43.6,2.6,--,--,13172
Central Mangrove,0.0,3.0,6.0,33.0,38.0,9.0,3.3,3.0,0.0,3.4,6.7,37.1,42.7,10.1,--,--,10876
Mangrove Mountain,3.0,6.0,33.0,68.0,113.0,11.0,3.5,3.0,1.3,2.6,14.1,29.1,48.3,4.7,--,--,12472
Kulnura,0.0,5.0,20.0,81.0,83.0,7.0,3.6,2.9,0.0,2.6,10.2,41.3,42.3,3.6,--,--,12206
Mount White,4.0,25.0,21.0,16.0,22.0,3.0,2.2,2.0,4.4,27.5,23.1,17.6,24.2,3.3,--,--,12803
Wendoree Park,0.0,0.0,10.0,22.0,4.0,0.0,2.8,2.5,0.0,0.0,27.8,61.1,11.1,0.0,--,--,14224
Wisemans Ferry,0.0,13.0,25.0,36.0,21.0,6.0,2.6,2.0,0.0,12.9,24.8,35.6,20.8,5.9,--,--,14344
Gunderman,0.0,10.0,25.0,31.0,4.0,0.0,2.5,2.2,0.0,14.3,35.7,44.3,5.7,0.0,--,--,11808
Spencer,0.0,13.0,47.0,34.0,14.0,0.0,2.4,1.9,0.0,12.0,43.5,31.5,13.0,0.0,--,--,13607
Erina,0.0,90.0,795.0,483.0,521.0,73.0,2.8,2.1,0.0,4.6,40.5,24.6,26.6,3.7,--,--,11433
Green Point (Central Coast - NSW),3.0,35.0,341.0,935.0,1061.0,56.0,3.4,2.5,0.1,1.4,14.0,38.5,43.6,2.3,--,--,11753
Matcham,0.0,3.0,16.0,49.0,218.0,6.0,4.2,3.2,0.0,1.0,5.5,16.8,74.7,2.1,--,--,12520
Holgate,0.0,0.0,10.0,56.0,211.0,0.0,4.2,3.2,0.0,0.0,3.6,20.2,76.2,0.0,--,--,11921
Lisarow,0.0,12.0,142.0,555.0,944.0,23.0,3.7,2.9,0.0,0.7,8.5,33.1,56.3,1.4,--,--,12343
Erina Heights,0.0,0.0,11.0,42.0,67.0,8.0,3.7,3.2,0.0,0.0,8.6,32.8,52.3,6.2,--,--,11434
Terrigal,5.0,95.0,571.0,1611.0,1778.0,83.0,3.4,2.6,0.1,2.3,13.8,38.9,42.9,2.0,--,--,13805
Springfield (Central Coast - NSW),3.0,14.0,131.0,708.0,540.0,26.0,3.4,2.8,0.2,1.0,9.2,49.8,38.0,1.8,--,--,13623
North Gosford,3.0,123.0,296.0,697.0,283.0,42.0,2.8,2.4,0.2,8.5,20.5,48.3,19.6,2.9,--,--,12991
West Gosford,4.0,34.0,308.0,163.0,40.0,30.0,2.4,1.9,0.7,5.9,53.2,28.2,6.9,5.2,--,--,14244
Gosford,9.0,115.0,1045.0,386.0,36.0,46.0,2.2,1.9,0.5,7.0,63.8,23.6,2.2,2.8,--,--,11722
East Gosford,23.0,156.0,499.0,847.0,266.0,65.0,2.7,2.1,1.2,8.4,26.9,45.6,14.3,3.5,--,--,11349
Point Frederick,22.0,40.0,298.0,263.0,164.0,35.0,2.7,2.1,2.7,4.9,36.3,32.0,20.0,4.3,--,--,13232
Kincumber,4.0,89.0,757.0,1063.0,850.0,75.0,3.0,2.4,0.1,3.1,26.7,37.5,30.0,2.6,--,--,12141
Picketts Valley,0.0,0.0,3.0,6.0,51.0,0.0,4.4,3.4,0.0,0.0,5.0,10.0,85.0,0.0,--,--,13198
Narara,0.0,16.0,194.0,1344.0,1109.0,47.0,3.5,2.8,0.0,0.6,7.2,49.6,40.9,1.7,--,--,12895
Niagara Park,3.0,43.0,40.0,519.0,330.0,13.0,3.3,2.7,0.3,4.5,4.2,54.7,34.8,1.4,--,--,12961
Mount Elliot (NSW),0.0,0.0,3.0,8.0,33.0,0.0,4.3,3.3,0.0,0.0,6.8,18.2,75.0,0.0,--,--,12757
Point Clare,19.0,51.0,217.0,560.0,523.0,45.0,3.2,2.5,1.3,3.6,15.3,39.6,37.0,3.2,--,--,13231
Tascott,0.0,15.0,67.0,323.0,207.0,5.0,3.3,2.5,0.0,2.4,10.9,52.4,33.5,0.8,--,--,13772
Koolewong,0.0,6.0,69.0,137.0,139.0,3.0,3.2,2.3,0.0,1.7,19.5,38.7,39.3,0.8,--,--,12185
Saratoga,3.0,27.0,126.0,601.0,571.0,29.0,3.4,2.8,0.2,2.0,9.3,44.3,42.1,2.1,--,--,13492
Davistown,0.0,31.0,265.0,410.0,267.0,22.0,3.0,2.3,0.0,3.1,26.6,41.2,26.8,2.2,--,--,11221
Yattalunga (NSW),0.0,4.0,26.0,91.0,75.0,0.0,3.4,2.8,0.0,2.0,13.3,46.4,38.3,0.0,--,--,14496
North Avoca,3.0,7.0,61.0,246.0,415.0,10.0,3.6,2.8,0.4,0.9,8.2,33.2,55.9,1.3,--,--,12980
Umina Beach,45.0,313.0,1296.0,2869.0,1671.0,179.0,3.0,2.4,0.7,4.9,20.3,45.0,26.2,2.8,--,--,14007
Booker Bay,0.0,27.0,169.0,276.0,89.0,14.0,2.8,2.1,0.0,4.7,29.4,48.0,15.5,2.4,--,--,10477
Ettalong Beach,17.0,119.0,759.0,1046.0,212.0,66.0,2.6,2.0,0.8,5.4,34.2,47.1,9.6,3.0,--,--,11445
Pearl Beach,0.0,10.0,44.0,100.0,71.0,3.0,3.1,2.0,0.0,4.4,19.3,43.9,31.1,1.3,--,--,13171
Wamberal,0.0,29.0,202.0,785.0,1077.0,43.0,3.6,2.9,0.0,1.4,9.5,36.8,50.4,2.0,--,--,14122
Forresters Beach,0.0,33.0,196.0,358.0,422.0,29.0,3.3,2.6,0.0,3.2,18.9,34.5,40.7,2.8,--,--,11549
Tumbi Umbi,4.0,14.0,289.0,544.0,877.0,38.0,3.5,2.8,0.2,0.8,16.4,30.8,49.7,2.2,--,--,13962
Horsfield Bay,3.0,3.0,23.0,72.0,74.0,5.0,3.3,2.7,1.7,1.7,12.8,40.0,41.1,2.8,--,--,11941
Phegans Bay,0.0,3.0,27.0,69.0,54.0,0.0,3.2,2.4,0.0,2.0,17.6,45.1,35.3,0.0,--,--,13192
Woy Woy Bay,0.0,7.0,23.0,61.0,57.0,3.0,3.3,2.6,0.0,4.6,15.2,40.4,37.7,2.0,--,--,14426
Blackwall (NSW),3.0,21.0,194.0,351.0,163.0,16.0,2.9,2.3,0.4,2.8,25.9,46.9,21.8,2.1,--,--,10399
Wyoming,8.0,102.0,671.0,1744.0,1066.0,100.0,3.1,2.5,0.2,2.8,18.2,47.3,28.9,2.7,--,--,14445
Bateau Bay,8.0,238.0,601.0,1853.0,1648.0,148.0,3.2,2.5,0.2,5.3,13.4,41.2,36.7,3.3,--,--,10227
Killarney Vale,3.0,59.0,374.0,1287.0,741.0,72.0,3.2,2.6,0.1,2.3,14.7,50.7,29.2,2.8,--,--,12131
Blue Haven,3.0,15.0,70.0,934.0,1027.0,47.0,3.5,2.9,0.1,0.7,3.3,44.6,49.0,2.2,--,--,10415
San Remo (NSW),0.0,19.0,169.0,840.0,429.0,39.0,3.2,2.7,0.0,1.3,11.3,56.1,28.7,2.6,--,--,13470
Doyalson,0.0,0.0,12.0,59.0,38.0,3.0,3.3,2.9,0.0,0.0,10.7,52.7,33.9,2.7,--,--,11286
Buff Point,0.0,22.0,221.0,625.0,392.0,34.0,3.2,2.5,0.0,1.7,17.1,48.3,30.3,2.6,--,--,10645
Budgewoi,3.0,33.0,360.0,590.0,335.0,56.0,3.0,2.3,0.2,2.4,26.1,42.8,24.3,4.1,--,--,10642
Halekulani,8.0,55.0,278.0,428.0,247.0,40.0,2.9,2.3,0.8,5.2,26.3,40.5,23.4,3.8,--,--,11830
Glenning Valley,0.0,3.0,17.0,271.0,366.0,6.0,3.7,2.9,0.0,0.5,2.6,40.9,55.2,0.9,--,--,11672
Berkeley Vale,3.0,56.0,429.0,1395.0,984.0,59.0,3.2,2.7,0.1,1.9,14.7,47.7,33.6,2.0,--,--,10304
Chittaway Point,0.0,7.0,47.0,146.0,125.0,4.0,3.3,2.8,0.0,2.1,14.3,44.4,38.0,1.2,--,--,10912
Chittaway Bay,0.0,7.0,64.0,346.0,255.0,9.0,3.4,2.8,0.0,1.0,9.4,50.8,37.4,1.3,--,--,10911
Kanwal,7.0,57.0,117.0,618.0,489.0,53.0,3.3,2.5,0.5,4.3,8.7,46.1,36.5,4.0,--,--,12067
Wyongah,0.0,17.0,88.0,327.0,250.0,7.0,3.3,2.8,0.0,2.5,12.8,47.5,36.3,1.0,--,--,14448
Tuggerawong,5.0,44.0,62.0,185.0,152.0,18.0,3.0,2.6,1.1,9.4,13.3,39.7,32.6,3.9,--,--,13951
Rocky Point (NSW),0.0,3.0,17.0,43.0,34.0,3.0,3.1,2.8,0.0,3.0,17.0,43.0,34.0,3.0,--,--,13388
Gorokan,3.0,96.0,911.0,1495.0,694.0,93.0,2.9,2.3,0.1,2.9,27.7,45.4,21.1,2.8,--,--,11721
Charmhaven,3.0,15.0,142.0,438.0,239.0,24.0,3.2,2.7,0.3,1.7,16.5,50.9,27.8,2.8,--,--,10889
Lake Haven,3.0,44.0,227.0,622.0,442.0,112.0,3.2,2.3,0.2,3.0,15.7,42.9,30.5,7.7,--,--,12247
Jilliby,0.0,10.0,9.0,95.0,337.0,0.0,4.1,3.4,0.0,2.2,2.0,21.1,74.7,0.0,--,--,12027
Yarramalong,0.0,7.0,13.0,48.0,48.0,6.0,3.4,2.5,0.0,5.7,10.7,39.3,39.3,4.9,--,--,14475
Cedar Brush Creek,0.0,0.0,10.0,22.0,16.0,0.0,3.2,2.5,0.0,0.0,20.8,45.8,33.3,0.0,--,--,10867
Wyong Creek,0.0,8.0,9.0,48.0,73.0,3.0,3.6,2.8,0.0,5.7,6.4,34.0,51.8,2.1,--,--,14447
Dooralong,0.0,7.0,8.0,40.0,41.0,3.0,3.3,2.7,0.0,7.1,8.1,40.4,41.4,3.0,--,--,11276
Lake Munmorah,11.0,80.0,489.0,839.0,591.0,61.0,3.0,2.4,0.5,3.9,23.6,40.5,28.5,2.9,--,--,12253
Chain Valley Bay,0.0,11.0,289.0,495.0,205.0,28.0,2.9,2.2,0.0,1.1,28.1,48.2,19.9,2.7,--,--,10880
Kingfisher Shores,0.0,3.0,13.0,34.0,18.0,0.0,3.1,2.4,0.0,4.4,19.1,50.0,26.5,0.0,--,--,12146
Mannering Park,3.0,16.0,138.0,449.0,270.0,26.0,3.2,2.6,0.3,1.8,15.3,49.8,29.9,2.9,--,--,12477
Doyalson North,0.0,9.0,142.0,39.0,10.0,7.0,2.2,1.6,0.0,4.3,68.6,18.8,4.8,3.4,--,--,11287
Ourimbah,0.0,19.0,177.0,600.0,565.0,13.0,3.4,2.8,0.0,1.4,12.9,43.7,41.1,0.9,--,--,13103
Fountaindale,0.0,0.0,10.0,54.0,129.0,9.0,4.0,3.3,0.0,0.0,5.0,26.7,63.9,4.5,--,--,11554
Palm Grove (NSW),0.0,0.0,5.0,19.0,16.0,0.0,3.4,2.3,0.0,0.0,12.5,47.5,40.0,0.0,--,--,13133
Gwandalan,3.0,15.0,169.0,521.0,472.0,30.0,3.3,2.6,0.2,1.2,14.0,43.1,39.0,2.5,--,--,11824
Summerland Point,0.0,21.0,147.0,384.0,373.0,21.0,3.3,2.5,0.0,2.2,15.5,40.6,39.4,2.2,--,--,13690
Long Jetty,10.0,186.0,810.0,1115.0,456.0,102.0,2.8,2.2,0.4,6.9,30.2,41.6,17.0,3.8,--,--,12378
Shelly Beach (NSW),0.0,6.0,52.0,192.0,204.0,16.0,3.4,2.6,0.0,1.3,11.1,40.9,43.4,3.4,--,--,13535
Blue Bay,3.0,15.0,122.0,200.0,84.0,11.0,2.8,2.1,0.7,3.4,28.0,46.0,19.3,2.5,--,--,10414
Toowoon Bay,4.0,20.0,88.0,94.0,45.0,7.0,2.7,1.9,1.6,7.8,34.1,36.4,17.4,2.7,--,--,13916
The Entrance North,4.0,63.0,155.0,207.0,136.0,17.0,2.8,2.3,0.7,10.8,26.6,35.6,23.4,2.9,--,--,13819
Magenta (NSW),0.0,5.0,11.0,46.0,28.0,0.0,3.1,2.2,0.0,5.6,12.2,51.1,31.1,0.0,--,--,12441
The Entrance,10.0,135.0,990.0,510.0,139.0,76.0,2.4,1.9,0.5,7.3,53.2,27.4,7.5,4.1,--,--,13818
Toukley,14.0,93.0,574.0,767.0,320.0,69.0,2.8,2.2,0.8,5.1,31.2,41.8,17.4,3.8,--,--,13925
Canton Beach,3.0,37.0,319.0,134.0,42.0,36.0,2.3,1.8,0.5,6.5,55.9,23.5,7.4,6.3,--,--,10798
Noraville,3.0,39.0,189.0,480.0,342.0,20.0,3.1,2.5,0.3,3.6,17.6,44.7,31.9,1.9,--,--,12974
Norah Head,0.0,11.0,53.0,140.0,191.0,6.0,3.4,2.6,0.0,2.7,13.2,34.9,47.6,1.5,--,--,12973
Kangy Angy,0.0,9.0,31.0,20.0,42.0,0.0,3.0,2.7,0.0,8.8,30.4,19.6,41.2,0.0,--,--,12064
Tuggerah,0.0,3.0,47.0,197.0,101.0,6.0,3.2,2.5,0.0,0.8,13.3,55.6,28.5,1.7,--,--,13950
Wyong,12.0,119.0,472.0,697.0,349.0,55.0,2.8,2.3,0.7,7.0,27.7,40.9,20.5,3.2,--,--,14446
Mardi,0.0,3.0,37.0,444.0,655.0,28.0,3.6,2.9,0.0,0.3,3.2,38.0,56.1,2.4,--,--,12488
Tacoma South,0.0,4.0,14.0,33.0,33.0,7.0,3.3,2.6,0.0,4.4,15.4,36.3,36.3,7.7,--,--,13725
Hamlyn Terrace,0.0,16.0,160.0,328.0,1328.0,37.0,3.7,3.0,0.0,0.9,8.6,17.5,71.1,2.0,--,--,11843
Woongarrah,0.0,3.0,16.0,144.0,1342.0,17.0,4.0,3.3,0.0,0.2,1.1,9.5,88.2,1.1,--,--,14415
Warnervale,0.0,4.0,8.0,58.0,124.0,0.0,3.8,3.2,0.0,2.1,4.1,29.9,63.9,0.0,--,--,14154
Wallarah,0.0,0.0,10.0,27.0,61.0,0.0,3.6,3.3,0.0,0.0,10.2,27.6,62.2,0.0,--,--,14109
Wadalba,5.0,70.0,52.0,147.0,642.0,33.0,3.6,2.9,0.5,7.4,5.5,15.5,67.7,3.5,--,--,14080
Watanobbi,0.0,43.0,75.0,723.0,465.0,29.0,3.3,2.7,0.0,3.2,5.6,54.2,34.8,2.2,--,--,14181
Tacoma,0.0,0.0,9.0,83.0,99.0,3.0,3.6,3.2,0.0,0.0,4.6,42.8,51.0,1.5,--,--,13724
Llanarth (NSW),0.0,3.0,4.0,106.0,575.0,6.0,4.0,2.9,0.0,0.4,0.6,15.3,82.9,0.9,--,--,12362
South Bathurst,0.0,11.0,96.0,359.0,114.0,22.0,3.0,2.2,0.0,1.8,15.9,59.6,18.9,3.7,--,--,13577
Bathurst,25.0,199.0,1156.0,1086.0,448.0,76.0,2.6,2.0,0.8,6.7,38.7,36.3,15.0,2.5,--,--,10231
Robin Hill,0.0,4.0,3.0,42.0,253.0,3.0,4.3,2.9,0.0,1.3,1.0,13.8,83.0,1.0,--,--,13375
West Bathurst,0.0,30.0,213.0,781.0,371.0,40.0,3.1,2.4,0.0,2.1,14.8,54.4,25.9,2.8,--,--,14241
Mitchell (NSW),0.0,31.0,31.0,26.0,7.0,7.0,2.2,1.7,0.0,30.4,30.4,25.5,6.9,6.9,--,--,12650
Gormans Hill,0.0,39.0,66.0,101.0,55.0,48.0,2.7,2.1,0.0,12.6,21.4,32.7,17.8,15.5,--,--,11720
Abercrombie,0.0,0.0,9.0,101.0,235.0,0.0,3.8,3.1,0.0,0.0,2.6,29.3,68.1,0.0,--,--,10004
Eglinton (NSW),0.0,0.0,33.0,335.0,373.0,8.0,3.5,2.9,0.0,0.0,4.4,44.7,49.8,1.1,--,--,11386
Windradyne,0.0,53.0,32.0,562.0,428.0,17.0,3.3,2.5,0.0,4.9,2.9,51.5,39.2,1.6,--,--,14324
Raglan (NSW),0.0,4.0,17.0,180.0,185.0,8.0,3.5,2.9,0.0,1.0,4.3,45.7,47.0,2.0,--,--,13304
White Rock (NSW),0.0,5.0,8.0,32.0,167.0,0.0,4.1,3.1,0.0,2.4,3.8,15.1,78.8,0.0,--,--,14275
Kelso (NSW),7.0,69.0,155.0,1061.0,1601.0,68.0,3.5,2.8,0.2,2.3,5.2,35.8,54.1,2.3,--,--,12090
O'Connell (NSW),4.0,0.0,18.0,53.0,96.0,3.0,3.5,2.8,2.3,0.0,10.3,30.5,55.2,1.7,--,--,13052
Brewongle,0.0,0.0,4.0,15.0,25.0,0.0,3.7,2.3,0.0,0.0,9.1,34.1,56.8,0.0,--,--,10564
Trunkey Creek,0.0,3.0,14.0,12.0,15.0,0.0,2.7,2.0,0.0,6.8,31.8,27.3,34.1,0.0,--,--,13942
Perthville,0.0,11.0,15.0,72.0,100.0,3.0,3.5,2.8,0.0,5.5,7.5,35.8,49.8,1.5,--,--,13189
Sofala,0.0,10.0,19.0,11.0,12.0,5.0,2.5,1.6,0.0,17.5,33.3,19.3,21.1,8.8,--,--,13569
Wattle Flat (NSW),3.0,3.0,30.0,44.0,29.0,7.0,3.0,1.9,2.6,2.6,25.9,37.9,25.0,6.0,--,--,14191
Peel,0.0,0.0,9.0,30.0,42.0,5.0,3.6,2.9,0.0,0.0,10.5,34.9,48.8,5.8,--,--,13174
Limekilns,0.0,0.0,4.0,14.0,20.0,0.0,3.5,2.4,0.0,0.0,10.5,36.8,52.6,0.0,--,--,12330
Clear Creek,0.0,0.0,0.0,12.0,25.0,0.0,3.9,2.6,0.0,0.0,0.0,32.4,67.6,0.0,--,--,10925
Rockley,0.0,3.0,12.0,39.0,16.0,3.0,2.9,2.1,0.0,4.1,16.4,53.4,21.9,4.1,--,--,13380
Georges Plains,0.0,0.0,8.0,27.0,32.0,0.0,3.4,3.0,0.0,0.0,11.9,40.3,47.8,0.0,--,--,11602
Duramana,0.0,5.0,5.0,28.0,40.0,0.0,3.5,2.7,0.0,6.4,6.4,35.9,51.3,0.0,--,--,11330
Billywillinga,0.0,3.0,7.0,18.0,34.0,0.0,3.4,2.9,0.0,4.8,11.3,29.0,54.8,0.0,--,--,10357
Mount Rankin,0.0,3.0,0.0,33.0,73.0,3.0,3.9,2.8,0.0,2.7,0.0,29.5,65.2,2.7,--,--,12786
Rock Forest,0.0,0.0,8.0,24.0,32.0,0.0,3.5,2.5,0.0,0.0,12.5,37.5,50.0,0.0,--,--,13377
Evans Plains,0.0,0.0,7.0,20.0,25.0,0.0,3.4,2.6,0.0,0.0,13.5,38.5,48.1,0.0,--,--,11470
The Lagoon,0.0,3.0,4.0,35.0,33.0,0.0,3.4,3.0,0.0,4.0,5.3,46.7,44.0,0.0,--,--,13828
Wisemans Creek,0.0,3.0,7.0,21.0,14.0,0.0,3.1,2.1,0.0,6.7,15.6,46.7,31.1,0.0,--,--,14343
Yetholme,0.0,3.0,8.0,30.0,38.0,0.0,3.4,2.5,0.0,3.8,10.1,38.0,48.1,0.0,--,--,14513
Meadow Flat,0.0,4.0,12.0,34.0,58.0,7.0,3.4,2.6,0.0,3.5,10.4,29.6,50.4,6.1,--,--,12549
Tarana,0.0,0.0,5.0,27.0,18.0,0.0,3.3,2.4,0.0,0.0,10.0,54.0,36.0,0.0,--,--,13760
Glanmire (NSW),0.0,0.0,5.0,20.0,32.0,0.0,3.6,2.7,0.0,0.0,8.8,35.1,56.1,0.0,--,--,11640
Napoleon Reef,0.0,3.0,9.0,23.0,26.0,0.0,3.2,2.3,0.0,4.9,14.8,37.7,42.6,0.0,--,--,12893
Oberon,0.0,28.0,166.0,580.0,391.0,46.0,3.2,2.3,0.0,2.3,13.7,47.9,32.3,3.8,--,--,13068
Black Springs (NSW),0.0,3.0,10.0,30.0,32.0,0.0,3.3,2.6,0.0,4.0,13.3,40.0,42.7,0.0,--,--,10389
Condobolin,4.0,28.0,195.0,571.0,405.0,48.0,3.2,2.5,0.3,2.2,15.6,45.6,32.4,3.8,--,--,11002
Tullamore,0.0,3.0,9.0,78.0,64.0,5.0,3.4,2.2,0.0,1.9,5.7,49.1,40.3,3.1,--,--,13954
Lake Cargelligo,3.0,13.0,78.0,236.0,155.0,24.0,3.2,2.5,0.6,2.6,15.3,46.4,30.5,4.7,--,--,12242
Tullibigeal,0.0,0.0,13.0,29.0,45.0,0.0,3.6,2.4,0.0,0.0,14.9,33.3,51.7,0.0,--,--,13957
Ungarie,0.0,6.0,29.0,100.0,64.0,5.0,3.2,2.2,0.0,2.9,14.2,49.0,31.4,2.5,--,--,14011
Euabalong,0.0,4.0,12.0,29.0,21.0,0.0,3.0,2.5,0.0,6.1,18.2,43.9,31.8,0.0,--,--,11449
Fifield,0.0,0.0,5.0,16.0,19.0,3.0,3.4,2.4,0.0,0.0,11.6,37.2,44.2,7.0,--,--,11514
Tottenham (NSW),0.0,14.0,29.0,78.0,44.0,5.0,3.0,2.1,0.0,8.2,17.1,45.9,25.9,2.9,--,--,13923
Cowra,14.0,103.0,656.0,1763.0,1208.0,140.0,3.2,2.3,0.4,2.7,16.9,45.4,31.1,3.6,--,--,11099
Canowindra,3.0,25.0,179.0,377.0,297.0,31.0,3.1,2.3,0.3,2.7,19.6,41.3,32.6,3.4,--,--,10796
Woodstock (Cowra - NSW),0.0,13.0,61.0,104.0,81.0,13.0,3.1,2.2,0.0,4.8,22.4,38.2,29.8,4.8,--,--,14394
Gooloogong,0.0,11.0,28.0,65.0,51.0,3.0,3.1,2.5,0.0,7.0,17.7,41.1,32.3,1.9,--,--,11709
Mandurama,0.0,7.0,29.0,54.0,54.0,3.0,3.2,2.3,0.0,4.8,19.7,36.7,36.7,2.0,--,--,12467
Wattamondara,0.0,3.0,15.0,39.0,22.0,5.0,3.0,2.2,0.0,3.6,17.9,46.4,26.2,6.0,--,--,14190
Darbys Falls,0.0,6.0,14.0,38.0,30.0,4.0,3.1,2.3,0.0,6.5,15.2,41.3,32.6,4.3,--,--,11205
Billimari,0.0,3.0,10.0,22.0,16.0,0.0,3.0,2.4,0.0,5.9,19.6,43.1,31.4,0.0,--,--,10354
Moorbel,0.0,0.0,13.0,40.0,33.0,0.0,3.3,2.3,0.0,0.0,15.1,46.5,38.4,0.0,--,--,12709
Forbes (NSW),15.0,92.0,540.0,1434.0,941.0,99.0,3.1,2.3,0.5,2.9,17.3,45.9,30.2,3.2,--,--,11536
Eugowra,0.0,12.0,57.0,136.0,89.0,6.0,3.1,2.3,0.0,4.0,19.0,45.3,29.7,2.0,--,--,11454
Warroo (NSW),0.0,0.0,7.0,13.0,25.0,0.0,3.4,3.0,0.0,0.0,15.6,28.9,55.6,0.0,--,--,14175
Bedgerabong,0.0,0.0,14.0,21.0,19.0,0.0,3.0,2.3,0.0,0.0,25.9,38.9,35.2,0.0,--,--,10247
