,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Numinbah,29.0,14.0,0.0,63.0,22.8,11.0,0.0,49.6,13040
Upper Crystal Creek,34.0,5.0,11.0,123.0,18.6,2.7,6.0,67.2,14021
Nobbys Creek,39.0,16.0,18.0,181.0,14.4,5.9,6.6,66.8,12968
Dungay,23.0,13.0,19.0,156.0,10.5,5.9,8.7,71.2,11318
Kynnumboon,15.0,4.0,8.0,97.0,11.3,3.0,6.0,72.9,12228
Dunbible,50.0,30.0,16.0,231.0,14.0,8.4,4.5,64.5,11309
Fernvale (NSW),45.0,19.0,8.0,175.0,17.0,7.2,3.0,66.0,11511
Kielvale,11.0,13.0,12.0,206.0,4.3,5.1,4.7,80.5,12122
Reserve Creek,19.0,5.0,8.0,79.0,15.6,4.1,6.6,64.8,13353
Tygalgah,8.0,4.0,8.0,86.0,6.6,3.3,6.6,70.5,13996
Dulguigan,12.0,10.0,6.0,94.0,9.6,8.0,4.8,75.2,11302
Urliup,26.0,15.0,8.0,119.0,14.3,8.2,4.4,65.4,14060
Eviron,10.0,13.0,12.0,134.0,5.1,6.6,6.1,68.0,11472
Duranbah,37.0,19.0,5.0,156.0,15.0,7.7,2.0,63.2,11331
Condong,37.0,13.0,13.0,218.0,11.9,4.2,4.2,70.3,11003
Farrants Hill,20.0,11.0,3.0,70.0,16.8,9.2,2.5,58.8,11493
Clothiers Creek,42.0,18.0,18.0,159.0,14.9,6.4,6.4,56.6,10936
Nunderi,72.0,35.0,29.0,482.0,10.9,5.3,4.4,72.8,13042
Uki,128.0,46.0,44.0,398.0,18.4,6.6,6.3,57.1,14000
Bogangar,480.0,242.0,172.0,1939.0,15.6,7.9,5.6,63.2,10439
Mooball,17.0,16.0,13.0,137.0,8.4,7.9,6.4,67.8,12687
Cabarita Beach,15.0,12.0,12.0,71.0,13.2,10.5,10.5,62.3,10737
Pottsville,1030.0,455.0,346.0,4419.0,15.4,6.8,5.2,65.9,13257
Crabbes Creek,44.0,20.0,11.0,179.0,15.2,6.9,3.8,61.7,11102
Upper Burringbar,49.0,25.0,13.0,156.0,17.8,9.1,4.7,56.5,14015
Burringbar,113.0,67.0,30.0,541.0,13.3,7.9,3.5,63.8,10713
Hastings Point,114.0,33.0,21.0,428.0,17.5,5.1,3.2,65.5,11868
Round Mountain,18.0,7.0,11.0,99.0,12.1,4.7,7.4,66.4,13425
Cudgera Creek,38.0,14.0,22.0,236.0,11.4,4.2,6.6,70.9,11144
Tweed Heads,1855.0,507.0,356.0,4581.0,22.7,6.2,4.4,56.0,13984
Tweed Heads West,1226.0,418.0,301.0,3616.0,19.8,6.7,4.9,58.3,13986
Piggabeen,43.0,25.0,10.0,222.0,13.4,7.8,3.1,69.2,13202
Bilambil Heights,663.0,255.0,158.0,2030.0,19.7,7.6,4.7,60.4,10348
Cobaki,34.0,11.0,10.0,143.0,16.0,5.2,4.7,67.1,10947
Bilambil,64.0,37.0,26.0,263.0,15.6,9.0,6.3,64.1,10347
Carool,20.0,19.0,4.0,119.0,11.6,11.0,2.3,68.8,10822
Glengarrie,22.0,3.0,4.0,80.0,15.4,2.1,2.8,55.9,11666
Banora Point,2917.0,1124.0,807.0,10387.0,18.0,7.0,5.0,64.3,10185
Terranora,432.0,213.0,166.0,1954.0,14.8,7.3,5.7,67.0,13802
North Tumbulgum,35.0,25.0,6.0,174.0,13.7,9.8,2.3,68.0,13012
Tweed Heads South,1680.0,467.0,313.0,4578.0,22.1,6.1,4.1,60.1,13985
Griffith (NSW),5749.0,1005.0,522.0,9089.0,31.6,5.5,2.9,49.9,11782
Yoogali,340.0,71.0,48.0,671.0,27.7,5.8,3.9,54.7,14516
Bilbul,95.0,22.0,16.0,375.0,16.8,3.9,2.8,66.3,10349
Yenda (NSW),248.0,90.0,42.0,1002.0,16.2,5.9,2.7,65.3,14504
Beelbangera,47.0,27.0,16.0,283.0,11.5,6.6,3.9,69.0,10251
Myall Park (NSW),24.0,10.0,8.0,115.0,12.6,5.3,4.2,60.5,12873
Binya,8.0,5.0,3.0,126.0,5.5,3.4,2.1,86.9,10373
Hillston,211.0,44.0,36.0,1025.0,14.4,3.0,2.5,70.1,11912
Rankins Springs,17.0,15.0,0.0,138.0,9.4,8.3,0.0,76.2,13316
Whitton,29.0,21.0,14.0,376.0,5.8,4.2,2.8,74.9,14280
Tharbogang,126.0,25.0,23.0,246.0,24.9,4.9,4.5,48.5,13811
Hanwood,340.0,76.0,44.0,673.0,27.1,6.1,3.5,53.6,11850
Coleambally,89.0,44.0,43.0,1019.0,6.7,3.3,3.2,76.7,10964
Darlington Point,84.0,28.0,31.0,886.0,7.3,2.4,2.7,76.8,11215
Carrathool,14.0,3.0,5.0,186.0,5.9,1.3,2.1,78.8,10827
Goolgowi,45.0,19.0,16.0,293.0,11.1,4.7,3.9,72.0,11705
Merriwagga,4.0,11.0,9.0,84.0,3.5,9.6,7.9,73.7,12586
Nericon,33.0,17.0,9.0,201.0,11.3,5.8,3.1,69.1,12927
Lake Wyangan,200.0,69.0,36.0,530.0,22.3,7.7,4.0,59.1,12255
Murrami,9.0,12.0,3.0,200.0,3.7,5.0,1.2,83.0,12850
Stanbridge,34.0,5.0,4.0,122.0,17.1,2.5,2.0,61.3,13646
Leeton,1155.0,366.0,185.0,6040.0,13.4,4.2,2.1,70.1,12293
Yanco,46.0,40.0,23.0,794.0,4.7,4.1,2.3,80.6,14460
Corbie Hill,49.0,18.0,11.0,132.0,21.5,7.9,4.8,57.9,11068
Merungle Hill,14.0,16.0,3.0,175.0,5.4,6.1,1.1,67.0,12590
Narrandera,282.0,136.0,71.0,3356.0,6.4,3.1,1.6,76.7,12906
Grong Grong,24.0,8.0,7.0,172.0,9.3,3.1,2.7,66.7,11784
Boree Creek,5.0,0.0,0.0,171.0,2.5,0.0,0.0,86.4,10512
Gillenbah,5.0,0.0,0.0,84.0,3.8,0.0,0.0,63.2,11622
Tumbarumba,156.0,96.0,40.0,1404.0,8.4,5.1,2.1,75.2,13961
Khancoban,57.0,13.0,16.0,189.0,18.6,4.2,5.2,61.6,12111
Rosewood (Snowy Valleys - NSW),25.0,8.0,3.0,148.0,11.8,3.8,1.4,69.8,13415
Humula,4.0,0.0,0.0,101.0,3.4,0.0,0.0,86.3,11952
Tooma,4.0,7.0,5.0,81.0,3.6,6.2,4.5,72.3,13906
Tumut,593.0,208.0,182.0,4530.0,9.5,3.3,2.9,72.7,13966
Gilmore (NSW),12.0,3.0,7.0,158.0,6.6,1.6,3.8,86.3,11626
Batlow,230.0,59.0,46.0,845.0,17.6,4.5,3.5,64.7,10232
Talbingo,50.0,13.0,11.0,136.0,20.5,5.3,4.5,55.7,13730
Gocup,0.0,3.0,6.0,129.0,0.0,2.0,4.0,86.6,11690
Bombowlee,28.0,10.0,8.0,221.0,9.4,3.4,2.7,74.2,10459
Lacmalac,14.0,3.0,6.0,122.0,8.8,1.9,3.8,76.7,12231
Mundongo,22.0,9.0,3.0,161.0,10.3,4.2,1.4,75.6,12840
Adelong,66.0,32.0,16.0,762.0,7.0,3.4,1.7,81.0,10018
Cootamundra,488.0,265.0,151.0,5371.0,7.2,3.9,2.2,79.1,11053
Stockinbingal,35.0,16.0,15.0,281.0,9.3,4.2,4.0,74.3,13660
Wallendbeen,22.0,12.0,10.0,208.0,8.3,4.5,3.8,78.5,14113
Gundagai,91.0,36.0,30.0,1377.0,5.4,2.2,1.8,82.3,11803
South Gundagai,51.0,17.0,17.0,626.0,6.3,2.1,2.1,77.2,13584
Tumblong,3.0,3.0,3.0,162.0,1.5,1.5,1.5,82.7,13963
Nangus,10.0,7.0,3.0,170.0,5.0,3.5,1.5,85.4,12890
Coolac,3.0,4.0,3.0,189.0,1.4,1.9,1.4,88.3,11022
Junee,348.0,121.0,104.0,3048.0,7.1,2.5,2.1,62.0,12046
Harefield,10.0,5.0,8.0,114.0,7.1,3.6,5.7,81.4,11853
Old Junee,13.0,11.0,9.0,214.0,5.0,4.2,3.4,82.0,13078
Illabo,10.0,0.0,3.0,125.0,6.7,0.0,2.0,83.3,11972
Bethungra,14.0,15.0,3.0,129.0,8.0,8.6,1.7,73.7,10328
Wantabadgery,10.0,8.0,6.0,125.0,5.5,4.4,3.3,68.3,14136
Temora,327.0,146.0,94.0,3842.0,7.0,3.1,2.0,82.0,13784
Springdale (NSW),11.0,5.0,5.0,106.0,7.2,3.3,3.3,69.7,13621
Lake Albert (NSW),502.0,267.0,189.0,4975.0,8.1,4.3,3.0,80.3,12238
East Wagga Wagga,33.0,19.0,8.0,152.0,13.9,8.0,3.4,64.1,11364
Kooringal (NSW),917.0,320.0,229.0,5373.0,12.7,4.4,3.2,74.3,12193
Gumly Gumly,17.0,11.0,10.0,237.0,5.5,3.6,3.3,77.2,11800
Tatton,397.0,135.0,69.0,1899.0,15.2,5.2,2.6,72.8,13775
Estella,334.0,91.0,81.0,1647.0,14.7,4.0,3.6,72.5,11444
Boorooma,209.0,37.0,39.0,544.0,24.2,4.3,4.5,63.0,10501
North Wagga Wagga,29.0,31.0,17.0,553.0,4.0,4.3,2.4,77.1,13014
Cartwrights Hill,13.0,11.0,3.0,147.0,7.0,5.9,1.6,78.6,10839
Springvale (Wagga Wagga - NSW),117.0,47.0,54.0,1453.0,6.8,2.7,3.1,83.9,13628
Lloyd,126.0,36.0,20.0,619.0,14.9,4.3,2.4,73.3,12365
Bourkelands,382.0,129.0,96.0,2135.0,13.4,4.5,3.4,74.9,10523
Glenfield Park,594.0,241.0,135.0,3978.0,11.4,4.6,2.6,76.2,11665
Tolland,483.0,128.0,89.0,2389.0,14.4,3.8,2.7,71.3,13887
Mount Austin,450.0,162.0,86.0,2982.0,11.4,4.1,2.2,75.3,12748
Turvey Park,355.0,132.0,107.0,2564.0,10.7,4.0,3.2,77.0,13983
San Isidore,41.0,31.0,4.0,275.0,10.8,8.2,1.1,72.4,13469
Ashmont,276.0,129.0,83.0,2996.0,7.2,3.4,2.2,78.2,10101
Wagga Wagga,1159.0,292.0,223.0,4869.0,16.3,4.1,3.1,68.6,14083
Kapooka,81.0,55.0,58.0,325.0,12.9,8.8,9.3,51.9,12068
Moorong,3.0,6.0,5.0,139.0,1.7,3.5,2.9,80.3,12715
Ladysmith,29.0,11.0,7.0,275.0,8.3,3.1,2.0,78.6,12233
The Rock,77.0,30.0,34.0,982.0,6.2,2.4,2.7,79.2,13838
Forest Hill (NSW),259.0,105.0,97.0,1684.0,11.4,4.6,4.3,74.1,11544
Collingullie,10.0,3.0,4.0,171.0,4.5,1.4,1.8,77.0,10976
Lockhart,56.0,38.0,19.0,857.0,5.3,3.6,1.8,81.1,12369
Pleasant Hills,12.0,3.0,3.0,97.0,8.8,2.2,2.2,70.8,13228
Ganmain,54.0,30.0,17.0,605.0,6.9,3.8,2.2,77.6,11585
Matong,13.0,3.0,3.0,113.0,7.7,1.8,1.8,67.3,12523
Yerong Creek,39.0,9.0,11.0,246.0,10.7,2.5,3.0,67.8,14508
Uranquinty,69.0,34.0,20.0,706.0,7.6,3.7,2.2,77.5,14055
Currawarna,4.0,7.0,4.0,139.0,2.1,3.7,2.1,73.2,11178
Oura,11.0,6.0,3.0,175.0,5.1,2.8,1.4,80.6,13102
Eunanoreenya,6.0,4.0,0.0,148.0,3.4,2.3,0.0,85.1,11457
Gobbagombalin,53.0,24.0,9.0,352.0,11.2,5.1,1.9,74.3,11689
Brucedale,12.0,5.0,10.0,137.0,6.8,2.8,5.6,77.4,10613
Downside,5.0,0.0,0.0,109.0,4.1,0.0,0.0,90.1,11285
Euberta,6.0,4.0,0.0,113.0,4.2,2.8,0.0,79.6,11451
Marrar,14.0,15.0,9.0,308.0,3.7,4.0,2.4,82.4,12503
Coolamon,98.0,77.0,52.0,1724.0,4.5,3.5,2.4,78.3,11025
Tarcutta,24.0,14.0,8.0,340.0,5.4,3.2,1.8,76.7,13763
Gregadoo,16.0,13.0,6.0,189.0,6.4,5.2,2.4,75.6,11773
Big Springs,5.0,4.0,5.0,100.0,4.2,3.4,4.2,84.0,10345
Mangoplah,13.0,9.0,3.0,220.0,4.2,2.9,1.0,70.5,12470
Gelston Park,10.0,3.0,6.0,101.0,7.8,2.3,4.7,78.3,11597
Berry,474.0,161.0,150.0,1682.0,17.8,6.0,5.6,63.0,10322
Kangaroo Valley,214.0,66.0,37.0,464.0,24.4,7.5,4.2,52.9,12061
Barrengarry,16.0,17.0,6.0,115.0,8.2,8.7,3.1,58.7,10213
Upper Kangaroo River,23.0,9.0,0.0,68.0,19.5,7.6,0.0,57.6,14030
Broughton Vale,35.0,11.0,8.0,100.0,21.1,6.6,4.8,60.2,10606
Bellawongarah,36.0,3.0,0.0,70.0,29.3,2.4,0.0,56.9,10267
Beaumont (NSW),30.0,10.0,8.0,54.0,24.0,8.0,6.4,43.2,10242
Far Meadow,35.0,23.0,7.0,121.0,16.1,10.6,3.2,55.5,11488
Coolangatta (NSW),46.0,8.0,6.0,247.0,13.7,2.4,1.8,73.7,11026
Jaspers Brush,66.0,16.0,19.0,222.0,18.5,4.5,5.3,62.2,12002
Shoalhaven Heads,508.0,182.0,111.0,2037.0,16.6,5.9,3.6,66.4,13540
Callala Bay,415.0,139.0,93.0,1444.0,18.9,6.3,4.2,65.8,10757
Callala Beach,182.0,55.0,32.0,469.0,22.4,6.8,3.9,57.8,10758
Currarong,67.0,25.0,19.0,284.0,14.9,5.5,4.2,63.0,11176
Myola (NSW),24.0,4.0,3.0,48.0,22.9,3.8,2.9,45.7,12878
Orient Point,93.0,37.0,20.0,394.0,15.0,6.0,3.2,63.7,13096
Culburra Beach,389.0,191.0,141.0,1892.0,13.5,6.6,4.9,65.6,11146
Greenwell Point,171.0,83.0,52.0,810.0,14.1,6.8,4.3,66.8,11769
Numbaa,11.0,5.0,13.0,82.0,9.6,4.3,11.3,71.3,13035
Huskisson,148.0,58.0,29.0,486.0,18.7,7.3,3.7,61.3,11966
Vincentia,753.0,248.0,165.0,1902.0,22.9,7.5,5.0,57.8,14075
Hyams Beach,28.0,3.0,3.0,68.0,26.7,2.9,2.9,64.8,11967
Bomaderry,989.0,444.0,309.0,4374.0,14.8,6.7,4.6,65.7,10453
Cambewarra,33.0,21.0,4.0,158.0,14.0,8.9,1.7,67.2,10763
North Nowra,967.0,429.0,303.0,3697.0,16.7,7.4,5.2,63.8,13000
Bangalee (NSW),115.0,58.0,29.0,422.0,17.7,8.9,4.5,64.8,10173
Meroo Meadow,64.0,21.0,22.0,331.0,13.6,4.4,4.7,70.1,12579
Cambewarra Village,178.0,90.0,65.0,798.0,15.1,7.6,5.5,67.6,10764
Tapitallee,78.0,42.0,53.0,390.0,12.7,6.9,8.6,63.6,13755
Worrigee,652.0,330.0,216.0,3541.0,12.9,6.5,4.3,69.9,14423
Nowra,1262.0,554.0,403.0,5897.0,13.7,6.0,4.4,64.2,13028
Nowra Hill,193.0,116.0,84.0,878.0,9.2,5.5,4.0,41.9,13029
West Nowra,168.0,81.0,56.0,1005.0,12.0,5.8,4.0,71.7,14248
Terara,32.0,10.0,9.0,162.0,14.3,4.5,4.0,72.3,13795
South Nowra,307.0,106.0,83.0,1222.0,15.9,5.5,4.3,63.4,13594
St Georges Basin,500.0,194.0,129.0,1898.0,17.2,6.7,4.4,65.2,13636
Worrowing Heights,119.0,26.0,12.0,313.0,23.4,5.1,2.4,61.5,14424
Basin View,226.0,147.0,65.0,975.0,14.6,9.5,4.2,62.8,10223
Sanctuary Point,1254.0,472.0,317.0,4699.0,17.3,6.5,4.4,65.0,13472
Erowal Bay,101.0,56.0,26.0,394.0,16.3,9.0,4.2,63.5,11436
Wrights Beach,28.0,3.0,3.0,93.0,20.7,2.2,2.2,68.9,14428
Old Erowal Bay,159.0,72.0,36.0,705.0,15.4,7.0,3.5,68.2,13075
Sussex Inlet,596.0,218.0,149.0,2398.0,16.7,6.1,4.2,67.0,13700
Swanhaven,33.0,12.0,13.0,115.0,16.8,6.1,6.6,58.7,13709
Berrara,27.0,19.0,7.0,228.0,9.1,6.4,2.4,76.8,10313
Cudmirrah,21.0,14.0,20.0,202.0,7.8,5.2,7.4,74.8,11145
Falls Creek (NSW),160.0,57.0,35.0,598.0,17.2,6.1,3.8,64.3,11487
Tomerong,160.0,78.0,57.0,687.0,15.0,7.3,5.4,64.5,13894
Wandandian,32.0,10.0,17.0,245.0,9.9,3.1,5.3,76.1,14127
Woollamia,115.0,44.0,27.0,353.0,20.4,7.8,4.8,62.6,14405
Parma,27.0,9.0,9.0,118.0,16.6,5.5,5.5,72.4,13155
Ulladulla,1079.0,410.0,290.0,4353.0,16.3,6.2,4.4,65.8,14003
Kings Point,39.0,43.0,26.0,434.0,7.0,7.7,4.7,77.6,12153
Burrill Lake,183.0,85.0,60.0,1031.0,12.5,5.8,4.1,70.3,10712
Dolphin Point,25.0,3.0,18.0,122.0,12.6,1.5,9.0,61.3,11269
Milton (NSW),227.0,104.0,70.0,988.0,13.6,6.2,4.2,59.2,12630
Mollymook Beach,417.0,172.0,132.0,1550.0,17.0,7.0,5.4,63.3,12670
Narrawallee,202.0,76.0,66.0,815.0,16.3,6.1,5.3,65.9,12909
Mollymook,210.0,53.0,63.0,672.0,19.5,4.9,5.9,62.5,12669
Manyana,66.0,26.0,21.0,376.0,12.6,5.0,4.0,72.0,12482
Conjola,26.0,8.0,14.0,93.0,17.3,5.3,9.3,62.0,11011
Fishermans Paradise,80.0,17.0,15.0,283.0,16.8,3.6,3.2,59.5,11523
Lake Tabourie,101.0,51.0,29.0,446.0,15.6,7.9,4.5,68.7,12254
Conjola Park,41.0,24.0,15.0,236.0,11.7,6.9,4.3,67.6,11012
Lake Conjola,59.0,26.0,24.0,303.0,13.3,5.8,5.4,68.1,12244
Yatte Yattah,9.0,21.0,7.0,131.0,4.8,11.2,3.7,70.1,14497
Little Forest,41.0,8.0,6.0,99.0,25.5,5.0,3.7,61.5,12351
Croobyar,22.0,10.0,7.0,103.0,14.3,6.5,4.5,66.9,11121
Morton,40.0,16.0,13.0,125.0,18.3,7.3,6.0,57.3,12730
Woodstock (Shoalhaven - NSW),32.0,11.0,9.0,154.0,12.5,4.3,3.5,60.2,14396
Bawley Point,120.0,33.0,34.0,462.0,17.3,4.8,4.9,66.8,10235
Kioloa,52.0,11.0,12.0,168.0,19.9,4.2,4.6,64.4,12165
Termeil,39.0,15.0,10.0,177.0,15.4,5.9,4.0,70.0,13797
Bowral,2360.0,902.0,573.0,5829.0,22.9,8.7,5.5,56.4,10536
Burradoo,580.0,231.0,142.0,1481.0,22.0,8.8,5.4,56.1,10701
Woodlands (Wingecarribee - NSW),34.0,22.0,12.0,176.0,12.6,8.1,4.4,65.2,14388
Balmoral (Wingecarribee - NSW),93.0,31.0,23.0,257.0,22.3,7.4,5.5,61.6,10167
Hill Top (Wingecarribee - NSW),440.0,198.0,148.0,1708.0,16.5,7.4,5.5,64.0,11905
Colo Vale,276.0,131.0,72.0,1038.0,17.1,8.1,4.5,64.2,10985
Alpine,22.0,15.0,5.0,86.0,15.3,10.4,3.5,59.7,10044
Aylmerton,38.0,13.0,7.0,122.0,20.7,7.1,3.8,66.3,10119
Mittagong,1147.0,442.0,327.0,3287.0,19.9,7.7,5.7,57.0,12653
Willow Vale (Wingecarribee - NSW),134.0,37.0,28.0,457.0,18.9,5.2,4.0,64.5,14307
Renwick,140.0,42.0,38.0,324.0,24.4,7.3,6.6,56.5,13350
Balaclava (NSW),110.0,39.0,18.0,260.0,22.4,7.9,3.7,52.8,10143
Welby,117.0,49.0,35.0,477.0,15.3,6.4,4.6,62.4,14219
Glenquarry,26.0,27.0,17.0,141.0,11.4,11.8,7.5,61.8,11674
Braemar,94.0,33.0,26.0,275.0,21.0,7.4,5.8,61.5,10545
Moss Vale,1610.0,610.0,412.0,5321.0,18.8,7.1,4.8,62.0,12739
Sutton Forest,80.0,33.0,26.0,291.0,16.9,7.0,5.5,61.4,13703
Berrima,140.0,45.0,44.0,362.0,21.1,6.8,6.6,54.4,10320
New Berrima,92.0,32.0,29.0,377.0,15.8,5.5,5.0,64.6,12938
Robertson (NSW),339.0,163.0,90.0,1093.0,18.2,8.8,4.8,58.8,13374
Kangaloon,18.0,7.0,16.0,90.0,12.1,4.7,10.7,60.4,12058
Wildes Meadow,42.0,25.0,14.0,146.0,16.1,9.6,5.4,55.9,14292
Burrawang,61.0,35.0,19.0,223.0,16.9,9.7,5.3,61.8,10708
Avoca (NSW),19.0,13.0,5.0,149.0,9.6,6.6,2.5,75.3,10113
Fitzroy Falls,28.0,16.0,13.0,138.0,12.8,7.3,6.0,63.3,11529
Bundanoon (NSW),585.0,197.0,147.0,1648.0,21.4,7.2,5.4,60.4,10670
Wingello,71.0,47.0,39.0,361.0,12.4,8.2,6.8,62.9,14330
Exeter (NSW),175.0,81.0,44.0,596.0,18.4,8.5,4.6,62.7,11475
High Range,81.0,31.0,26.0,225.0,20.7,7.9,6.6,57.5,11900
Medway,17.0,9.0,4.0,75.0,14.8,7.8,3.5,65.2,12555
Joadja,31.0,7.0,8.0,65.0,24.8,5.6,6.4,52.0,12035
Canyonleigh,96.0,18.0,19.0,246.0,23.8,4.5,4.7,61.0,10799
Penrose,58.0,14.0,17.0,148.0,22.7,5.5,6.7,58.0,13185
Baulkham Hills,18981.0,2338.0,1807.0,12763.0,51.2,6.3,4.9,34.4,10233
Bella Vista,5104.0,348.0,310.0,1814.0,65.2,4.4,4.0,23.2,10263
Glenhaven,2157.0,530.0,326.0,3269.0,33.1,8.1,5.0,50.2,11667
Castle Hill (NSW),20715.0,2325.0,1745.0,12990.0,52.3,5.9,4.4,32.8,10847
West Pennant Hills,8547.0,946.0,767.0,5677.0,52.2,5.8,4.7,34.7,14249
Cherrybrook,11564.0,961.0,731.0,4929.0,61.6,5.1,3.9,26.3,10898
Kellyville,14171.0,1881.0,1276.0,9718.0,50.7,6.7,4.6,34.7,12088
Kenthurst,1513.0,435.0,305.0,2636.0,30.1,8.7,6.1,52.4,12100
Glenorie,1070.0,282.0,203.0,1701.0,30.6,8.1,5.8,48.6,11673
Maroota,143.0,23.0,21.0,352.0,23.3,3.7,3.4,57.3,12500
Canoelands,44.0,12.0,9.0,95.0,25.3,6.9,5.2,54.6,10794
Cattai,117.0,57.0,34.0,518.0,15.0,7.3,4.4,66.3,10859
South Maroota,70.0,39.0,31.0,351.0,12.5,7.0,5.6,62.9,13592
Dural (Hornsby - NSW),3088.0,590.0,387.0,3200.0,40.8,7.8,5.1,42.3,11328
Sackville North,50.0,14.0,18.0,186.0,16.4,4.6,5.9,61.0,13459
Lower Portland,86.0,39.0,26.0,367.0,14.6,6.6,4.4,62.3,12412
Middle Dural,351.0,90.0,58.0,456.0,35.0,9.0,5.8,45.5,12603
Annangrove,360.0,95.0,103.0,785.0,25.8,6.8,7.4,56.3,10062
Galston,807.0,294.0,219.0,1714.0,25.7,9.4,7.0,54.7,11582
Arcadia (NSW),348.0,155.0,73.0,771.0,24.9,11.1,5.2,55.2,10072
Fiddletown,58.0,21.0,27.0,119.0,25.3,9.2,11.8,52.0,11513
Berowra Waters,24.0,8.0,7.0,20.0,19.4,6.5,5.6,16.1,10311
Berrilee,70.0,30.0,23.0,104.0,29.9,12.8,9.8,44.4,10319
Bilpin,121.0,51.0,38.0,388.0,18.2,7.7,5.7,58.3,10358
Colo Heights,61.0,16.0,30.0,184.0,18.0,4.7,8.8,54.3,10984
Lower Macdonald,59.0,13.0,13.0,156.0,23.1,5.1,5.1,61.2,12408
Cumberland Reach,24.0,7.0,15.0,123.0,13.6,4.0,8.5,69.5,11156
St Albans (NSW),28.0,11.0,3.0,68.0,18.5,7.3,2.0,45.0,13630
Bowen Mountain,264.0,143.0,82.0,993.0,16.8,9.1,5.2,63.2,10528
Grose Vale,279.0,102.0,65.0,770.0,22.1,8.1,5.1,60.9,11785
Grose Wold,117.0,50.0,33.0,393.0,18.2,7.8,5.1,61.0,11786
Kurrajong,595.0,246.0,166.0,1883.0,19.4,8.0,5.4,61.5,12218
Kurrajong Hills,149.0,79.0,27.0,367.0,22.4,11.9,4.1,55.2,12220
Kurrajong Heights,254.0,123.0,77.0,763.0,18.9,9.2,5.7,56.9,12219
Kurmond,167.0,55.0,56.0,528.0,19.5,6.4,6.5,61.8,12215
The Slopes,56.0,27.0,20.0,202.0,17.0,8.2,6.1,61.4,13842
East Kurrajong,321.0,138.0,126.0,1412.0,14.6,6.3,5.7,64.4,11356
Wilberforce (NSW),448.0,206.0,154.0,2013.0,14.9,6.8,5.1,66.9,14288
Freemans Reach,371.0,158.0,104.0,1247.0,18.8,8.0,5.3,63.0,11564
Sackville,21.0,8.0,10.0,192.0,6.9,2.6,3.3,63.0,13458
Ebenezer (NSW),163.0,74.0,57.0,641.0,16.3,7.4,5.7,64.3,11371
Glossodia,411.0,239.0,135.0,1891.0,14.5,8.5,4.8,66.9,11684
Blaxlands Ridge,86.0,29.0,24.0,319.0,17.0,5.7,4.8,63.2,10409
Tennyson (NSW),97.0,27.0,23.0,223.0,25.6,7.1,6.1,58.8,13789
Vineyard,303.0,87.0,48.0,583.0,26.1,7.5,4.1,50.1,14076
McGraths Hill,450.0,208.0,134.0,1668.0,17.6,8.1,5.2,65.3,12542
Maraylya,226.0,109.0,61.0,764.0,18.3,8.8,4.9,61.8,12484
Oakville,526.0,156.0,111.0,1107.0,26.8,7.9,5.6,56.3,13060
Pitt Town,473.0,258.0,165.0,1991.0,15.6,8.5,5.5,65.8,13226
Pitt Town Bottoms,28.0,3.0,4.0,46.0,26.7,2.9,3.8,43.8,13227
Rouse Hill,3268.0,587.0,419.0,3431.0,41.0,7.4,5.3,43.0,13429
Beaumont Hills,4827.0,574.0,427.0,2911.0,53.4,6.4,4.7,32.2,10243
Nelson (The Hills Shire - NSW),88.0,47.0,31.0,265.0,19.3,10.3,6.8,58.1,12922
Box Hill (NSW),290.0,71.0,48.0,439.0,32.0,7.8,5.3,48.5,10539
Blacktown,30181.0,2083.0,1436.0,10751.0,64.0,4.4,3.0,22.8,10397
Kings Park (NSW),1257.0,304.0,193.0,1565.0,36.4,8.8,5.6,45.4,12150
Acacia Gardens,2239.0,183.0,162.0,1084.0,59.0,4.8,4.3,28.6,10014
Quakers Hill,14444.0,1700.0,1050.0,8813.0,53.3,6.3,3.9,32.5,13286
Marayong,4328.0,412.0,310.0,2362.0,56.2,5.3,4.0,30.6,12485
Woodcroft (NSW),5268.0,174.0,182.0,663.0,81.8,2.7,2.8,10.3,14381
Bungarribee,2263.0,67.0,35.0,190.0,85.9,2.5,1.3,7.2,10682
Doonside,7718.0,680.0,442.0,3792.0,57.4,5.1,3.3,28.2,11275
Seven Hills (NSW),10378.0,1005.0,714.0,6139.0,53.7,5.2,3.7,31.8,13518
Lalor Park,2730.0,583.0,358.0,3402.0,35.6,7.6,4.7,44.4,12261
Kings Langley,3421.0,787.0,527.0,4334.0,36.6,8.4,5.6,46.4,12149
Toongabbie (NSW),8774.0,645.0,413.0,3744.0,61.2,4.5,2.9,26.1,13907
Prospect (NSW),2559.0,288.0,199.0,1362.0,54.3,6.1,4.2,28.9,13266
Glenwood (NSW),10535.0,784.0,609.0,3835.0,65.4,4.9,3.8,23.8,11682
Parklea,1689.0,104.0,82.0,464.0,48.8,3.0,2.4,13.4,13153
Stanhope Gardens,5392.0,515.0,382.0,2568.0,58.8,5.6,4.2,28.0,13649
Kellyville Ridge,5689.0,702.0,507.0,3135.0,54.3,6.7,4.8,29.9,12089
The Ponds,7537.0,592.0,436.0,2701.0,64.2,5.0,3.7,23.0,13835
Riverstone,1991.0,505.0,339.0,3851.0,27.5,7.0,4.7,53.1,13368
