,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
Seven Hills,18024.0,8971.0,9053.0,35.0,15721.0,5932.0,103.0,5041.0,6789.0,2.8,1068.0,1625.0,200.0
Shalvey,3731.0,1815.0,1916.0,26.0,3029.0,842.0,0.0,969.0,1159.0,3.3,738.0,1360.0,154.0
Shell Cove,2833.0,1386.0,1447.0,33.0,2581.0,517.0,5.0,823.0,929.0,3.2,1518.0,1844.0,325.0
Shellharbour,3304.0,1639.0,1665.0,38.0,2911.0,545.0,5.0,905.0,1362.0,2.7,1056.0,1534.0,230.0
Shelly Beach,1344.0,672.0,672.0,44.0,1198.0,111.0,0.0,381.0,635.0,2.5,925.0,1543.0,220.0
Shortland,4179.0,2045.0,2134.0,30.0,3634.0,532.0,168.0,974.0,1506.0,2.4,695.0,1083.0,190.0
Silverwater,2890.0,2270.0,620.0,31.0,771.0,1120.0,7.0,230.0,370.0,2.9,910.0,1600.0,250.0
Smithfield,11109.0,5551.0,5558.0,36.0,9483.0,4477.0,35.0,3041.0,4044.0,2.9,857.0,1517.0,200.0
South Coogee,5367.0,2724.0,2643.0,38.0,4357.0,1399.0,50.0,1183.0,2207.0,2.4,851.0,2496.0,117.0
South Granville,3450.0,1746.0,1704.0,30.0,2947.0,1266.0,13.0,801.0,1064.0,3.4,827.0,1733.0,220.0
South Hurstville,4567.0,2223.0,2344.0,37.0,3875.0,1758.0,36.0,1193.0,1798.0,2.7,1072.0,1800.0,270.0
South Penrith,11562.0,5659.0,5903.0,35.0,10437.0,2174.0,43.0,3355.0,4333.0,2.8,1148.0,1500.0,225.0
South Turramurra,3002.0,1504.0,1498.0,39.0,2609.0,840.0,26.0,852.0,1023.0,3.0,1914.0,2300.0,441.0
South Wentworthville,5156.0,2563.0,2593.0,33.0,4393.0,1718.0,21.0,1366.0,1943.0,2.8,1008.0,1750.0,240.0
Speers Point,3103.0,1529.0,1574.0,44.0,2876.0,310.0,7.0,894.0,1404.0,2.4,901.0,1300.0,200.0
Springfield,4056.0,1979.0,2077.0,35.0,3542.0,437.0,4.0,1056.0,1500.0,2.8,1077.0,1517.0,190.0
Springwood,8210.0,3857.0,4353.0,42.0,7626.0,1330.0,26.0,2208.0,3297.0,2.5,1124.0,1517.0,220.0
St Andrews,5952.0,2989.0,2963.0,31.0,5371.0,1650.0,14.0,1611.0,1878.0,3.3,1204.0,1500.0,210.0
St Clair,20126.0,10009.0,10117.0,31.0,17989.0,5016.0,82.0,5533.0,6380.0,3.3,1362.0,1517.0,240.0
St Helens Park,6136.0,2987.0,3149.0,28.0,5321.0,1210.0,16.0,1619.0,2039.0,3.1,1154.0,1517.0,220.0
St Huberts Island,1096.0,531.0,565.0,54.0,991.0,157.0,6.0,336.0,527.0,2.3,895.0,1900.0,320.0
St Ives,14207.0,6839.0,7368.0,43.0,12343.0,5885.0,102.0,4056.0,5057.0,3.0,2174.0,2600.0,550.0
St Ives Chase,3127.0,1535.0,1592.0,41.0,2736.0,1254.0,35.0,900.0,1043.0,3.1,2324.0,2500.0,510.0
St Johns Park,5431.0,2666.0,2765.0,38.0,4854.0,2968.0,14.0,1447.0,1581.0,3.5,1074.0,1500.0,225.0
St Leonards,3977.0,2010.0,1967.0,30.0,2174.0,1838.0,117.0,889.0,2229.0,1.9,1768.0,2188.0,371.0
St Marys,9717.0,4873.0,4844.0,36.0,7942.0,2743.0,35.0,2451.0,4244.0,2.4,781.0,1400.0,180.0
St Peters,2601.0,1358.0,1243.0,34.0,2025.0,796.0,23.0,607.0,1186.0,2.3,1316.0,2100.0,325.0
Stanhope Gardens,4258.0,2107.0,2151.0,31.0,3516.0,1464.0,50.0,1147.0,1584.0,2.8,1484.0,2350.0,310.0
Stanmore,7151.0,3607.0,3544.0,34.0,5731.0,1983.0,74.0,1669.0,3374.0,2.2,1442.0,2125.0,280.0
Stockton,4208.0,2112.0,2096.0,46.0,3885.0,295.0,4.0,1007.0,1763.0,2.3,770.0,1300.0,180.0
Strathfield,20481.0,10210.0,10271.0,34.0,14785.0,10541.0,360.0,4801.0,7337.0,2.9,1161.0,2167.0,295.0
Strathfield South,3105.0,1540.0,1565.0,36.0,2574.0,1364.0,24.0,832.0,1160.0,2.9,1110.0,1997.0,290.0
Summer Hill,6130.0,2999.0,3131.0,36.0,4736.0,2125.0,80.0,1421.0,2968.0,2.1,1161.0,1742.0,240.0
Surry Hills,15036.0,8942.0,6094.0,33.0,8374.0,5178.0,570.0,2430.0,8622.0,1.8,1374.0,2104.0,335.0
Sutherland,9515.0,4433.0,5082.0,34.0,8194.0,2004.0,47.0,2547.0,4759.0,2.1,1121.0,1820.0,250.0
Swansea,4638.0,2246.0,2392.0,48.0,4204.0,363.0,8.0,1282.0,2328.0,2.2,570.0,1300.0,175.0
Swansea Heads,604.0,297.0,307.0,41.0,577.0,46.0,0.0,171.0,246.0,2.8,1037.0,1257.0,220.0
Sydenham,961.0,492.0,469.0,36.0,743.0,387.0,13.0,246.0,405.0,2.5,1153.0,1733.0,300.0
Sydney,13547.0,7055.0,6492.0,28.0,3351.0,5893.0,5342.0,1704.0,6883.0,2.1,1093.0,2167.0,450.0
Sylvania,9619.0,4518.0,5101.0,43.0,8644.0,2145.0,38.0,2712.0,4070.0,2.5,1157.0,1930.0,275.0
Sylvania Waters,3029.0,1522.0,1507.0,39.0,2637.0,805.0,12.0,844.0,1107.0,2.9,1426.0,2167.0,300.0
Tacoma,719.0,380.0,339.0,33.0,687.0,61.0,0.0,185.0,236.0,3.2,1096.0,1430.0,210.0
Tacoma South,274.0,144.0,130.0,38.0,243.0,27.0,0.0,69.0,98.0,3.1,1163.0,1300.0,230.0
Tamarama,1512.0,760.0,752.0,35.0,1048.0,445.0,99.0,328.0,763.0,2.2,2028.0,2300.0,400.0
Taren Point,1263.0,607.0,656.0,49.0,1107.0,258.0,4.0,352.0,530.0,2.5,1265.0,2091.0,350.0
Tarrawanna,1457.0,664.0,793.0,40.0,1314.0,288.0,7.0,392.0,590.0,2.5,742.0,1400.0,175.0
Tascott,1696.0,865.0,831.0,40.0,1474.0,256.0,3.0,465.0,705.0,2.5,1125.0,1500.0,240.0
