,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Blue Vale,62.0,0.516,0.484,42.0,16.0,1.4,0.4,38.0,2.1,1624.0,2334.0,125.0,2.3,10419
Willala,57.0,0.525,0.47500000000000003,48.0,14.0,1.5,0.4,36.0,2.2,1333.0,0.0,0.0,2.5,14294
Ghoolendaadi,62.0,0.5,0.5,45.0,21.0,2.4,0.9,32.0,3.0,949.0,0.0,0.0,1.9,11611
Marys Mount,75.0,0.514,0.48600000000000004,40.0,24.0,1.6,0.6,30.0,3.0,1799.0,2400.0,0.0,2.3,12516
Mullaley,154.0,0.525,0.47500000000000003,43.0,45.0,2.0,0.8,78.0,2.3,1024.0,800.0,118.0,2.0,12820
Milroy (Gunnedah - NSW),77.0,0.539,0.461,43.0,22.0,1.7,0.5,33.0,2.3,1458.0,1523.0,0.0,2.4,12626
Keepit,13.0,0.7000000000000001,0.3,45.0,3.0,0.0,0.0,21.0,1.0,900.0,0.0,0.0,1.0,12081
Kelvin,175.0,0.522,0.478,44.0,43.0,2.1,0.8,82.0,2.6,1449.0,1842.0,200.0,2.3,12091
Orange Grove (NSW),33.0,0.4,0.6,48.0,12.0,2.0,0.6,21.0,2.5,2249.0,1950.0,0.0,1.9,13093
Rangari,37.0,0.47500000000000003,0.525,54.0,10.0,0.0,0.0,22.0,2.2,1208.0,0.0,125.0,2.0,13313
Werris Creek,1572.0,0.515,0.485,49.0,386.0,1.8,0.5,782.0,2.1,786.0,919.0,190.0,1.6,14238
Quirindi,3444.0,0.484,0.516,44.0,903.0,1.9,0.7,1585.0,2.3,1052.0,1200.0,205.0,1.8,13301
Wallabadah,421.0,0.53,0.47000000000000003,52.0,106.0,1.9,0.6,217.0,2.2,966.0,1083.0,160.0,2.1,14098
Currabubula,332.0,0.484,0.516,45.0,86.0,1.8,0.6,153.0,2.5,1116.0,1556.0,120.0,2.1,11172
Quipolly,177.0,0.503,0.49700000000000005,45.0,46.0,1.8,0.7,82.0,2.6,1350.0,1745.0,140.0,2.3,13300
Gowrie (Tamworth Regional - NSW),92.0,0.495,0.505,36.0,24.0,1.9,0.9,35.0,2.9,1875.0,1733.0,275.0,2.4,11730
Braefield,62.0,0.552,0.44799999999999995,50.0,19.0,2.0,0.5,28.0,2.3,1333.0,1300.0,0.0,2.4,10544
Willow Tree,308.0,0.525,0.47500000000000003,46.0,75.0,1.9,0.5,155.0,2.3,844.0,1000.0,170.0,2.0,14305
Chilcotts Creek,3.0,0.5,0.5,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10902
Ardglen,59.0,0.5,0.5,40.0,14.0,1.5,0.5,34.0,2.4,833.0,0.0,58.0,2.2,10074
Macdonalds Creek,11.0,0.6920000000000001,0.308,50.0,7.0,0.0,0.0,10.0,2.0,1416.0,0.0,0.0,2.0,12429
Parraweena,40.0,0.538,0.462,37.0,13.0,1.5,0.6,21.0,2.3,1812.0,0.0,0.0,2.0,13157
Little Jacks Creek,19.0,0.593,0.40700000000000003,36.0,6.0,3.0,1.3,12.0,2.7,1375.0,0.0,0.0,2.5,12353
Big Jacks Creek,56.0,0.569,0.43100000000000005,42.0,11.0,2.0,0.8,25.0,2.2,1874.0,2947.0,0.0,3.1,10343
Warrah,49.0,0.611,0.389,36.0,13.0,1.6,0.8,30.0,2.7,1208.0,1322.0,0.0,1.5,14160
Warrah Creek,90.0,0.5710000000000001,0.429,42.0,20.0,1.4,0.3,40.0,2.3,1125.0,2016.0,0.0,2.5,14161
Cattle Creek (NSW),30.0,0.457,0.543,30.0,10.0,0.0,0.0,24.0,1.4,1125.0,0.0,0.0,1.9,10860
Blackville,113.0,0.518,0.48200000000000004,46.0,31.0,1.7,0.7,69.0,2.3,1224.0,0.0,0.0,2.1,10398
Pine Ridge,119.0,0.47100000000000003,0.529,40.0,29.0,2.3,1.0,48.0,2.8,1437.0,1554.0,0.0,2.9,13216
Warrah Ridge,99.0,0.459,0.541,41.0,29.0,1.7,0.8,33.0,2.9,2041.0,650.0,175.0,2.3,14162
Bundella,69.0,0.47000000000000003,0.53,48.0,24.0,2.3,0.8,35.0,2.8,1375.0,0.0,0.0,2.4,10673
Yarraman (NSW),11.0,0.47100000000000003,0.529,51.0,3.0,0.0,0.0,11.0,1.5,1874.0,0.0,0.0,3.0,14476
Coomoo Coomoo,8.0,0.667,0.33299999999999996,50.0,4.0,0.0,0.0,4.0,2.0,1649.0,0.0,0.0,0.0,11042
Yannergee,24.0,0.429,0.5710000000000001,47.0,5.0,0.0,0.0,25.0,1.3,1125.0,1142.0,0.0,1.6,14464
Colly Blue,31.0,0.618,0.38200000000000006,53.0,7.0,3.0,0.8,12.0,1.5,749.0,0.0,0.0,1.3,10981
Hillvue,6391.0,0.484,0.516,41.0,1795.0,1.9,0.8,2578.0,2.6,1471.0,1589.0,330.0,2.0,11914
Calala,3927.0,0.49700000000000005,0.503,34.0,1038.0,1.9,0.9,1461.0,2.7,1520.0,1650.0,330.0,2.0,10748
Kingswood (Tamworth Regional - NSW),1034.0,0.513,0.48700000000000004,44.0,292.0,1.9,0.9,380.0,2.8,1801.0,1950.0,290.0,2.4,12164
South Tamworth,6565.0,0.48600000000000004,0.514,39.0,1600.0,1.8,0.6,3247.0,2.2,889.0,1261.0,235.0,1.5,13597
West Tamworth,5201.0,0.49100000000000005,0.509,36.0,1218.0,1.9,0.7,2479.0,2.3,861.0,1213.0,230.0,1.3,14252
North Tamworth,5141.0,0.47600000000000003,0.524,39.0,1152.0,1.8,0.6,2305.0,2.2,1154.0,1603.0,270.0,1.6,13011
Tamworth,180.0,0.599,0.401,38.0,26.0,1.8,0.4,195.0,1.9,825.0,0.0,203.0,1.4,13746
East Tamworth,5342.0,0.456,0.544,42.0,1389.0,1.8,0.6,2525.0,2.3,1368.0,1517.0,290.0,1.6,11363
Oxley Vale,3742.0,0.46399999999999997,0.536,33.0,948.0,1.9,0.8,1489.0,2.6,1208.0,1408.0,300.0,1.7,13111
Nemingha,666.0,0.528,0.47200000000000003,43.0,184.0,1.9,0.7,289.0,2.5,1375.0,1582.0,293.0,2.3,12926
Taminda,53.0,0.625,0.375,47.0,16.0,1.7,0.5,26.0,1.7,624.0,0.0,255.0,2.0,13745
Westdale (Tamworth Regional - NSW),2755.0,0.49200000000000005,0.508,29.0,681.0,2.0,1.1,963.0,2.9,1410.0,1517.0,325.0,1.9,14259
Kootingal,2126.0,0.48,0.52,39.0,597.0,1.9,0.8,901.0,2.5,1237.0,1387.0,300.0,2.0,12194
Duri,532.0,0.51,0.49,44.0,140.0,1.9,0.7,212.0,2.7,1447.0,1500.0,230.0,2.4,11332
Bithramere,172.0,0.494,0.506,51.0,46.0,1.6,0.4,75.0,2.3,1437.0,2000.0,150.0,2.5,10381
Winton (NSW),222.0,0.462,0.538,46.0,59.0,1.7,0.6,100.0,2.4,1437.0,2029.0,0.0,2.4,14336
Appleby,37.0,0.559,0.441,40.0,13.0,1.6,1.1,17.0,3.5,1625.0,1733.0,150.0,1.7,10065
Wallamore,121.0,0.488,0.512,39.0,28.0,2.1,0.8,47.0,2.7,1562.0,1972.0,220.0,2.3,14105
Gidley,91.0,0.56,0.44,37.0,22.0,2.0,1.1,34.0,3.7,1625.0,1733.0,0.0,2.3,11616
Rushes Creek,106.0,0.5700000000000001,0.43,54.0,29.0,1.9,0.6,55.0,2.0,1031.0,2290.0,200.0,2.2,13445
Somerton (NSW),277.0,0.529,0.47100000000000003,42.0,65.0,1.8,0.5,124.0,2.2,1268.0,1092.0,155.0,2.2,13572
Bective,206.0,0.515,0.485,47.0,56.0,1.9,0.6,83.0,2.6,1583.0,1733.0,270.0,2.7,10245
Attunga,571.0,0.517,0.483,42.0,164.0,2.0,0.7,244.0,2.5,1184.0,1268.0,250.0,2.3,10105
Klori,51.0,0.5,0.5,41.0,13.0,1.6,0.7,17.0,2.2,1749.0,1993.0,160.0,2.1,12176
Garthowen,150.0,0.51,0.49,45.0,49.0,1.5,0.7,60.0,2.8,1781.0,2052.0,250.0,2.5,11593
Weabonga,49.0,0.531,0.469,55.0,13.0,1.9,0.8,36.0,1.8,725.0,867.0,0.0,1.4,14205
Mulla Creek,90.0,0.543,0.457,50.0,26.0,1.5,0.3,33.0,2.4,1833.0,1200.0,70.0,2.4,12819
Limbri,108.0,0.51,0.49,56.0,32.0,1.9,0.3,58.0,1.9,966.0,900.0,0.0,2.0,12327
Tintinhull,391.0,0.511,0.489,44.0,112.0,2.1,0.7,157.0,2.8,1359.0,1600.0,213.0,2.2,13879
Loomberah,509.0,0.521,0.479,42.0,149.0,2.0,1.0,199.0,2.8,1666.0,1800.0,110.0,2.7,12386
Moonbi,1126.0,0.47000000000000003,0.53,52.0,295.0,1.9,0.7,457.0,2.4,1064.0,1517.0,200.0,2.1,12699
Bendemeer,492.0,0.502,0.498,49.0,123.0,2.0,0.6,230.0,2.2,905.0,1000.0,150.0,2.0,10289
Watsons Creek (NSW),115.0,0.5,0.5,53.0,24.0,1.3,0.3,78.0,2.0,662.0,1365.0,0.0,1.8,14188
Halls Creek (NSW),128.0,0.519,0.48100000000000004,45.0,35.0,2.2,0.9,71.0,2.6,1093.0,1202.0,110.0,2.5,11834
Retreat (NSW),52.0,0.5710000000000001,0.429,50.0,12.0,1.8,0.9,29.0,2.2,550.0,867.0,150.0,1.4,13354
Lindesay,20.0,0.455,0.545,69.0,11.0,0.0,0.0,11.0,1.7,687.0,0.0,0.0,2.2,12337
Barraba,1410.0,0.484,0.516,55.0,342.0,1.9,0.4,802.0,2.0,737.0,650.0,155.0,1.6,10206
Mayvale,12.0,0.5,0.5,53.0,7.0,0.0,0.0,4.0,2.0,1375.0,0.0,0.0,0.0,12539
Upper Manilla,124.0,0.504,0.49600000000000005,46.0,33.0,2.1,0.5,67.0,2.0,1125.0,1021.0,133.0,2.1,14037
Red Hill (Tamworth Regional - NSW),23.0,0.381,0.619,54.0,3.0,1.0,0.4,12.0,2.0,725.0,0.0,0.0,2.0,13331
Wongo Creek,26.0,0.593,0.40700000000000003,53.0,7.0,0.0,0.0,11.0,1.6,949.0,0.0,0.0,2.0,14375
Borah Creek,31.0,0.424,0.5760000000000001,52.0,5.0,1.0,0.2,20.0,2.1,762.0,0.0,120.0,1.6,10508
Banoon,25.0,0.64,0.36,60.0,7.0,1.0,0.3,18.0,1.6,665.0,0.0,0.0,2.0,10184
New Mexico,52.0,0.49100000000000005,0.509,42.0,15.0,2.6,1.4,22.0,2.9,1125.0,650.0,200.0,2.2,12944
Longarm,17.0,0.231,0.7690000000000001,68.0,3.0,0.0,0.0,12.0,1.6,1062.0,0.0,0.0,2.0,12383
Wimborne,18.0,0.3,0.7000000000000001,49.0,11.0,0.0,0.0,14.0,2.4,2250.0,0.0,0.0,2.5,14313
Manilla,2550.0,0.483,0.517,47.0,641.0,1.9,0.7,1184.0,2.3,837.0,1083.0,225.0,1.7,12474
Woodsreef,69.0,0.45799999999999996,0.542,46.0,19.0,2.0,0.3,33.0,2.1,1031.0,0.0,0.0,1.9,14393
Namoi River,60.0,0.544,0.456,43.0,12.0,0.0,0.0,40.0,1.8,1020.0,2752.0,0.0,1.9,12888
Thirldene,5.0,0.0,1.0,61.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,13846
Ironbark (NSW),31.0,0.5,0.5,57.0,10.0,1.0,0.3,15.0,1.8,593.0,0.0,0.0,2.1,11985
Daruka,783.0,0.48700000000000004,0.513,43.0,223.0,2.0,1.0,273.0,3.0,2231.0,2100.0,370.0,2.5,11218
Moore Creek,2368.0,0.504,0.49600000000000005,35.0,646.0,2.0,1.1,751.0,3.2,2109.0,2167.0,400.0,2.5,12710
Hallsville,532.0,0.48700000000000004,0.513,47.0,160.0,1.7,0.7,207.0,2.7,1519.0,1733.0,248.0,2.5,11835
Nundle,496.0,0.523,0.47700000000000004,52.0,122.0,1.8,0.5,287.0,2.0,695.0,902.0,150.0,1.8,13043
Bowling Alley Point,32.0,0.56,0.44,46.0,8.0,2.0,0.7,11.0,1.6,1062.0,0.0,0.0,2.0,10530
Hanging Rock,105.0,0.45799999999999996,0.542,54.0,22.0,1.5,0.2,81.0,1.5,658.0,850.0,0.0,1.6,11847
Ogunbil,148.0,0.45299999999999996,0.547,49.0,46.0,1.7,0.6,81.0,2.6,1125.0,1400.0,208.0,2.3,13071
Dungowan,398.0,0.504,0.49600000000000005,39.0,113.0,2.0,0.9,144.0,2.7,1286.0,1700.0,240.0,2.3,11321
Piallamore,261.0,0.506,0.494,43.0,74.0,2.0,1.0,98.0,2.9,1444.0,1517.0,300.0,2.5,13195
Duncans Creek,57.0,0.473,0.527,47.0,17.0,1.4,0.5,27.0,2.7,900.0,1200.0,0.0,2.1,11311
Woolomin,279.0,0.527,0.473,43.0,84.0,2.0,0.9,119.0,2.6,949.0,1300.0,270.0,1.8,14408
Warral,370.0,0.533,0.467,47.0,113.0,2.0,0.8,152.0,2.5,1462.0,1517.0,255.0,2.3,14163
Garoo,104.0,0.541,0.459,47.0,32.0,1.8,0.5,49.0,2.4,1687.0,2500.0,213.0,2.5,11591
Goonoo Goonoo,61.0,0.485,0.515,42.0,16.0,1.5,0.5,27.0,2.9,2166.0,1625.0,100.0,2.3,11714
Timbumburi,142.0,0.49,0.51,43.0,40.0,1.9,0.7,55.0,3.0,1625.0,2184.0,393.0,2.5,13870
Bennetts Green,9.0,0.563,0.438,60.0,3.0,1.0,0.5,6.0,2.0,749.0,0.0,0.0,2.0,10295
Windale,3358.0,0.47200000000000003,0.528,38.0,821.0,1.8,0.7,1556.0,2.3,689.0,1481.0,166.0,1.1,14315
Jewells,2407.0,0.49,0.51,45.0,732.0,1.8,0.7,937.0,2.6,1492.0,1842.0,410.0,2.1,12024
Belmont North,6335.0,0.494,0.506,40.0,1779.0,1.9,0.9,2409.0,2.7,1409.0,1734.0,350.0,1.9,10277
Belmont (NSW),7114.0,0.485,0.515,46.0,1934.0,1.7,0.6,3370.0,2.3,1040.0,1842.0,295.0,1.6,10276
Floraville,1856.0,0.49700000000000005,0.503,38.0,523.0,2.0,1.0,651.0,3.0,1848.0,2000.0,380.0,2.0,11535
Blacksmiths,1846.0,0.507,0.493,48.0,510.0,1.8,0.7,898.0,2.3,988.0,1733.0,300.0,1.7,10396
Little Pelican,4.0,1.0,0.0,52.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12355
Pelican (NSW),881.0,0.493,0.507,47.0,258.0,1.6,0.6,387.0,2.5,1206.0,1876.0,320.0,1.9,13178
Marks Point,1826.0,0.47700000000000004,0.523,47.0,510.0,1.7,0.5,943.0,2.1,955.0,1680.0,285.0,1.5,12492
Belmont South,1054.0,0.485,0.515,44.0,301.0,1.7,0.6,499.0,2.3,1026.0,1700.0,250.0,1.6,10278
Kahibah,2464.0,0.48,0.52,38.0,686.0,1.8,0.7,1085.0,2.4,1435.0,1767.0,350.0,1.7,12048
Charlestown (NSW),12912.0,0.49,0.51,38.0,3647.0,1.7,0.7,5558.0,2.5,1424.0,1863.0,350.0,1.8,10885
Whitebridge,2612.0,0.483,0.517,41.0,741.0,1.8,0.9,1028.0,2.6,1534.0,1825.0,350.0,2.0,14276
Gateshead,3145.0,0.484,0.516,35.0,815.0,1.9,0.9,1289.0,2.5,926.0,1509.0,262.0,1.6,11594
Dudley,2414.0,0.493,0.507,40.0,678.0,1.9,0.9,931.0,2.7,1991.0,2000.0,365.0,2.1,11300
Highfields (NSW),835.0,0.49,0.51,41.0,234.0,1.7,0.8,351.0,2.5,1756.0,2167.0,340.0,1.8,11902
Garden Suburb,1910.0,0.49200000000000005,0.508,44.0,538.0,1.8,0.9,664.0,2.9,1856.0,1950.0,410.0,2.1,11587
Cardiff (NSW),5830.0,0.493,0.507,37.0,1601.0,1.7,0.7,2495.0,2.4,1231.0,1690.0,340.0,1.7,10809
Hillsborough (Lake Macquarie - NSW),652.0,0.49200000000000005,0.508,40.0,188.0,1.7,0.9,244.0,2.8,1542.0,1863.0,351.0,1.9,11909
Warners Bay,7614.0,0.47100000000000003,0.529,43.0,2148.0,1.8,0.7,3323.0,2.4,1231.0,1800.0,350.0,1.7,14153
Argenton,1351.0,0.503,0.49700000000000005,40.0,363.0,1.7,0.7,610.0,2.4,1002.0,1517.0,275.0,1.6,10078
Glendale (NSW),3097.0,0.484,0.516,38.0,843.0,1.8,0.7,1312.0,2.5,1204.0,1613.0,300.0,1.7,11658
Elermore Vale,5526.0,0.473,0.527,40.0,1539.0,1.8,0.7,2235.0,2.5,1325.0,1733.0,325.0,1.8,11394
Macquarie Hills,3304.0,0.49600000000000005,0.504,35.0,969.0,1.8,1.0,1183.0,2.9,1930.0,1907.0,400.0,2.1,12434
Kotara,3929.0,0.49100000000000005,0.509,39.0,1125.0,1.8,0.8,1592.0,2.6,1638.0,1894.0,380.0,1.8,12200
Cardiff Heights,1443.0,0.47500000000000003,0.525,46.0,375.0,1.8,0.7,577.0,2.4,1468.0,1777.0,360.0,1.8,10810
Cardiff South,2830.0,0.48,0.52,38.0,784.0,1.7,0.8,1158.0,2.5,1386.0,1733.0,345.0,1.8,10811
New Lambton Heights,2454.0,0.502,0.498,40.0,700.0,1.8,0.9,892.0,2.9,2295.0,2054.0,400.0,2.1,12943
Rankin Park,2460.0,0.493,0.507,41.0,746.0,1.8,0.8,969.0,2.6,1709.0,1789.0,400.0,1.9,13315
Tingira Heights,2149.0,0.48100000000000004,0.519,37.0,586.0,1.9,1.0,762.0,2.9,1719.0,1800.0,350.0,2.1,13875
Mount Hutton (NSW),3529.0,0.473,0.527,46.0,918.0,1.8,0.7,1510.0,2.3,1174.0,1733.0,330.0,1.7,12766
Eleebana,5760.0,0.49,0.51,44.0,1668.0,1.9,0.9,2160.0,2.8,1969.0,2000.0,420.0,2.1,11393
Redhead,3516.0,0.485,0.515,46.0,918.0,1.9,0.8,1461.0,2.4,1281.0,2037.0,370.0,1.8,13340
Caves Beach,4054.0,0.48100000000000004,0.519,46.0,1187.0,1.9,0.8,1661.0,2.7,1407.0,1950.0,360.0,1.9,10862
Nords Wharf,886.0,0.519,0.48100000000000004,44.0,254.0,1.8,0.8,406.0,2.7,1485.0,2000.0,350.0,2.1,12975
Swansea (NSW),5058.0,0.49,0.51,52.0,1387.0,1.7,0.5,2517.0,2.2,874.0,1733.0,290.0,1.6,13711
Swansea Heads,614.0,0.517,0.483,44.0,172.0,1.7,0.9,249.0,2.8,1634.0,2167.0,440.0,2.1,13712
Catherine Hill Bay,162.0,0.51,0.49,49.0,39.0,1.3,0.3,111.0,2.5,1416.0,2167.0,315.0,1.8,10857
Cams Wharf,138.0,0.46,0.54,47.0,39.0,1.8,0.8,59.0,2.3,1524.0,1400.0,320.0,1.8,10784
Murrays Beach,637.0,0.48600000000000004,0.514,38.0,195.0,1.9,0.9,241.0,2.9,2070.0,2253.0,530.0,1.9,12854
Valentine,5516.0,0.49600000000000005,0.504,45.0,1648.0,1.9,0.8,2180.0,2.7,1795.0,2000.0,420.0,2.1,14065
Croudace Bay,574.0,0.48700000000000004,0.513,41.0,159.0,2.1,1.1,211.0,3.0,1448.0,2234.0,420.0,1.8,11128
Speers Point,3313.0,0.49,0.51,46.0,930.0,1.7,0.6,1460.0,2.4,1369.0,1841.0,350.0,1.8,13605
Lakelands (NSW),1424.0,0.48200000000000004,0.518,43.0,420.0,1.9,0.9,518.0,2.8,1939.0,2100.0,380.0,2.2,12256
Boolaroo,1039.0,0.495,0.505,42.0,277.0,1.6,0.6,477.0,2.3,1187.0,1467.0,323.0,1.8,10482
Booragul,1281.0,0.45799999999999996,0.542,45.0,336.0,1.7,0.7,562.0,2.5,932.0,1521.0,250.0,1.6,10495
Fennell Bay,1613.0,0.485,0.515,47.0,488.0,1.7,0.6,715.0,2.4,1204.0,1615.0,300.0,1.8,11500
Marmong Point,758.0,0.505,0.495,45.0,207.0,1.9,0.8,312.0,2.6,1575.0,1800.0,378.0,1.9,12498
Woodrising,1168.0,0.506,0.494,34.0,325.0,1.9,1.0,418.0,2.9,1418.0,1453.0,333.0,2.0,14391
Bolton Point,2119.0,0.47500000000000003,0.525,43.0,558.0,1.9,0.8,868.0,2.5,1009.0,1517.0,225.0,1.6,10449
Teralba,1588.0,0.509,0.49100000000000005,46.0,406.0,1.7,0.7,648.0,2.5,1133.0,1538.0,255.0,1.8,13793
Fassifern (NSW),601.0,0.49700000000000005,0.503,46.0,171.0,1.7,0.7,255.0,2.5,1238.0,1600.0,300.0,1.7,11495
Balcolyn,967.0,0.488,0.512,41.0,272.0,2.0,0.7,459.0,2.5,1153.0,1750.0,368.0,1.8,10145
Yarrawonga Park,380.0,0.501,0.499,44.0,118.0,1.7,0.6,195.0,2.4,1308.0,1450.0,340.0,1.8,14487
Mirrabooka (NSW),728.0,0.494,0.506,43.0,207.0,1.7,0.8,343.0,2.5,1244.0,1653.0,313.0,1.9,12647
Sunshine (NSW),430.0,0.513,0.48700000000000004,47.0,125.0,1.9,0.7,230.0,2.4,1212.0,1759.0,340.0,1.8,13694
Silverwater (Lake Macquarie - NSW),301.0,0.46399999999999997,0.536,44.0,82.0,1.9,0.9,134.0,2.6,1160.0,1842.0,345.0,2.0,13546
Bonnells Bay,3578.0,0.49100000000000005,0.509,44.0,1046.0,1.9,0.7,1543.0,2.6,1210.0,1700.0,360.0,1.9,10468
Brightwaters,903.0,0.495,0.505,46.0,268.0,1.9,0.8,413.0,2.6,1333.0,1827.0,348.0,1.9,10570
Morisset Park,743.0,0.478,0.522,42.0,220.0,2.0,0.8,292.0,2.8,1612.0,2143.0,400.0,2.3,12724
Windermere Park,696.0,0.488,0.512,36.0,201.0,1.8,0.8,296.0,2.6,1092.0,1517.0,340.0,1.8,14321
Edgeworth,6207.0,0.483,0.517,40.0,1723.0,1.8,0.7,2621.0,2.5,1167.0,1600.0,310.0,1.8,11381
Cameron Park,7995.0,0.48700000000000004,0.513,32.0,2156.0,2.0,1.2,2574.0,3.2,2103.0,2167.0,470.0,2.2,10775
Cooranbong,5449.0,0.47700000000000004,0.523,43.0,1436.0,1.9,0.8,2112.0,2.6,1232.0,1733.0,310.0,2.0,11052
Wyee,2406.0,0.489,0.511,46.0,625.0,1.9,0.8,942.0,2.7,1125.0,1733.0,250.0,2.1,14438
Morisset,3213.0,0.47500000000000003,0.525,56.0,803.0,1.8,0.5,1566.0,2.1,799.0,1576.0,340.0,1.4,12723
Wyee Point,1129.0,0.508,0.49200000000000005,41.0,319.0,2.1,1.0,411.0,2.9,1450.0,1842.0,350.0,2.3,14439
Mandalong,426.0,0.49200000000000005,0.508,40.0,117.0,2.0,0.9,148.0,3.0,1771.0,2025.0,315.0,2.5,12465
Dora Creek,1643.0,0.516,0.484,50.0,472.0,1.7,0.6,799.0,2.3,1154.0,1733.0,313.0,2.0,11277
Eraring,216.0,0.521,0.479,52.0,64.0,1.5,0.4,99.0,2.6,1312.0,2169.0,138.0,2.3,11429
Myuna Bay,11.0,0.529,0.47100000000000003,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12884
Martinsville,361.0,0.508,0.49200000000000005,53.0,101.0,1.7,0.7,161.0,2.7,1702.0,1733.0,323.0,2.5,12512
Freemans Waterhole,99.0,0.545,0.455,45.0,18.0,2.1,0.6,50.0,2.3,634.0,2492.0,200.0,1.6,11565
Blackalls Park,2753.0,0.48100000000000004,0.519,42.0,760.0,1.8,0.8,1160.0,2.5,1139.0,1625.0,310.0,1.8,10390
Toronto,5602.0,0.48,0.52,48.0,1493.0,1.8,0.7,2503.0,2.3,1018.0,1500.0,280.0,1.6,13918
Kilaben Bay,1431.0,0.483,0.517,45.0,427.0,1.8,0.8,592.0,2.6,1798.0,1950.0,370.0,2.2,12125
Coal Point,1723.0,0.494,0.506,50.0,515.0,1.7,0.6,782.0,2.5,1801.0,2000.0,375.0,2.2,10943
Awaba,402.0,0.506,0.494,40.0,109.0,1.9,1.0,150.0,2.8,1597.0,1718.0,300.0,2.2,10118
Ryhope,24.0,0.34600000000000003,0.654,56.0,8.0,1.0,0.4,14.0,2.6,2125.0,0.0,0.0,2.2,13456
Carey Bay,896.0,0.42700000000000005,0.573,56.0,212.0,1.7,0.4,410.0,2.0,1206.0,1977.0,280.0,1.7,10812
Buttaba,1101.0,0.51,0.49,42.0,312.0,1.8,0.8,446.0,2.6,1435.0,1961.0,340.0,2.0,10723
Fishing Point,1039.0,0.505,0.495,53.0,310.0,1.7,0.6,487.0,2.4,1355.0,2000.0,400.0,2.0,11526
Rathmines,1905.0,0.494,0.506,46.0,564.0,1.8,0.7,816.0,2.5,1287.0,1613.0,330.0,2.0,13319
Wangi Wangi,2759.0,0.49600000000000005,0.504,53.0,812.0,1.7,0.5,1367.0,2.3,1174.0,1733.0,300.0,1.8,14135
Arcadia Vale,1378.0,0.508,0.49200000000000005,44.0,410.0,1.8,0.8,601.0,2.6,1366.0,1647.0,325.0,1.9,10073
Balmoral (Lake Macquarie - NSW),723.0,0.511,0.489,42.0,212.0,1.8,0.8,296.0,2.6,1543.0,1800.0,350.0,2.1,10166
Holmesville,1365.0,0.502,0.498,40.0,398.0,1.8,0.9,505.0,2.8,1366.0,1712.0,323.0,2.1,11924
Barnsley,1747.0,0.5,0.5,36.0,494.0,1.8,0.9,634.0,2.8,1402.0,1700.0,340.0,2.2,10204
Seahampton,303.0,0.466,0.534,35.0,89.0,1.6,0.8,113.0,2.7,1458.0,1595.0,375.0,1.9,13511
West Wallsend,2240.0,0.488,0.512,37.0,656.0,1.9,0.8,919.0,2.6,1276.0,1625.0,335.0,1.9,14253
Killingworth (NSW),679.0,0.523,0.47700000000000004,37.0,199.0,2.0,1.2,225.0,3.1,1757.0,1733.0,385.0,2.6,12137
Wakefield,144.0,0.507,0.493,41.0,38.0,1.6,0.7,46.0,2.9,1875.0,1733.0,255.0,2.3,14088
Adamstown Heights,5299.0,0.501,0.499,41.0,1532.0,1.8,0.8,2074.0,2.7,1770.0,2008.0,395.0,1.9,10017
Adamstown,6044.0,0.48200000000000004,0.518,36.0,1541.0,1.8,0.7,2678.0,2.4,1404.0,1842.0,325.0,1.6,10016
Kotara South,1104.0,0.483,0.517,38.0,314.0,1.8,0.8,463.0,2.6,1421.0,1950.0,301.0,1.7,12201
Woodberry,2993.0,0.48,0.52,38.0,810.0,1.9,0.9,1187.0,2.6,1032.0,1300.0,250.0,1.7,14377
Beresfield,3181.0,0.508,0.49200000000000005,40.0,891.0,1.8,0.6,1441.0,2.4,1032.0,1400.0,300.0,1.7,10301
Tarro,1645.0,0.478,0.522,45.0,451.0,1.8,0.6,735.0,2.4,975.0,1478.0,300.0,1.7,13771
Hexham (NSW),130.0,0.53,0.47000000000000003,50.0,31.0,1.3,0.4,72.0,2.3,916.0,1300.0,245.0,1.9,11898
Lenaghan,59.0,0.48100000000000004,0.519,40.0,15.0,1.5,0.6,15.0,2.3,2750.0,3375.0,0.0,2.9,12302
Hamilton South,3876.0,0.505,0.495,44.0,954.0,1.8,0.6,1894.0,2.3,1028.0,2167.0,135.0,1.4,11841
Broadmeadow,1592.0,0.501,0.499,35.0,402.0,1.6,0.5,772.0,2.2,1288.0,1712.0,330.0,1.5,10578
Hamilton East,983.0,0.507,0.493,42.0,252.0,1.9,0.7,398.0,2.6,1792.0,2221.0,350.0,1.7,11839
Newcastle West,618.0,0.547,0.45299999999999996,36.0,99.0,1.3,0.1,405.0,1.6,1306.0,1740.0,400.0,1.1,12951
Hamilton North,869.0,0.49100000000000005,0.509,36.0,228.0,1.7,0.6,411.0,2.3,1452.0,1900.0,378.0,1.6,11840
