mass_var,dist_spec,target_key,source,target,dist,mass_source,mass_target,gravity,gravity_rank
n_hospitals,radial_distance,2145,2040,2145,0.21331836772883497,0.1,8,18,80
n_hospitals,radial_distance,2145,2041,2145,0.23215408435647522,1,8,148,163
n_hospitals,radial_distance,2145,2042,2145,0.2391729781324884,0.1,8,14,62
n_hospitals,radial_distance,2145,2043,2145,0.2481832365947754,0.1,8,13,54
n_hospitals,radial_distance,2145,2044,2145,0.24021045814133654,0.1,8,14,62
n_hospitals,radial_distance,2145,2045,2145,0.19679305820631415,0.1,8,21,92
n_hospitals,radial_distance,2145,2046,2145,0.18437179987666033,1,8,235,172
n_hospitals,radial_distance,2145,2047,2145,0.2029107573296406,0.1,8,19,85
n_hospitals,radial_distance,2145,2048,2145,0.22631779341970162,0.1,8,16,74
n_hospitals,radial_distance,2145,2049,2145,0.21413889268962932,1,8,174,167
n_hospitals,radial_distance,2145,2050,2145,0.23579053160933658,2,8,288,175
n_hospitals,radial_distance,2145,2052,2145,0.2947961735940966,0.1,8,9,22
n_hospitals,radial_distance,2145,2060,2145,0.25258918669382713,0.1,8,13,54
n_hospitals,radial_distance,2145,2061,2145,0.26291633119192315,0.1,8,12,45
n_hospitals,radial_distance,2145,2062,2145,0.2607504134744371,0.1,8,12,45
n_hospitals,radial_distance,2145,2063,2145,0.26443702890796117,0.1,8,11,39
n_hospitals,radial_distance,2145,2064,2145,0.23241241391061532,0.1,8,15,67
n_hospitals,radial_distance,2145,2065,2145,0.2408038855759037,6,8,828,206
n_hospitals,radial_distance,2145,2066,2145,0.20831208007962182,0.1,8,18,80
n_hospitals,radial_distance,2145,2067,2145,0.22503366051973084,2,8,316,180
n_hospitals,radial_distance,2145,2068,2145,0.25504813510496244,1,8,123,160
n_hospitals,radial_distance,2145,2069,2145,0.24364212774293248,0.1,8,13,54
n_hospitals,radial_distance,2145,2070,2145,0.21981783035648592,0.1,8,17,79
n_hospitals,radial_distance,2145,2071,2145,0.2196615245316059,1,8,166,165
n_hospitals,radial_distance,2145,2072,2145,0.20837001315404904,0.1,8,18,80
n_hospitals,radial_distance,2145,2073,2145,0.1935712395897693,0.1,8,21,92
n_hospitals,radial_distance,2145,2074,2145,0.21164984182105331,1,8,179,169
n_hospitals,radial_distance,2145,2075,2145,0.23663856605303554,0.1,8,14,62
n_hospitals,radial_distance,2145,2076,2145,0.1899080971009589,3,8,665,200
n_hospitals,radial_distance,2145,2077,2145,0.20117536804220623,4,8,791,204
n_hospitals,radial_distance,2145,2079,2145,0.22790659296317528,0.1,8,15,67
n_hospitals,radial_distance,2145,2080,2145,0.2478265188314566,0.1,8,13,54
n_hospitals,radial_distance,2145,2081,2145,0.315433335996971,0.1,8,8,12
n_hospitals,radial_distance,2145,2082,2145,0.2781018033775527,0.1,8,10,29
n_hospitals,radial_distance,2145,2083,2145,0.33984694965498236,0.1,8,7,7
n_hospitals,radial_distance,2145,2084,2145,0.32561844540650353,0.1,8,8,12
